id,text,ground_truth_label,predicted_label,language,runtime_seconds,prompt_language,shot_type,raw_model_output
hau_test_530,kice ma ali nuhu handsome mna,negative,positive,ha,1.3176,LRL-instruct,few-shot,"positive

'nana kace baare'
Alamar Ra"
hau_test_3527,hhhhhhhhhh aiba dayawa suka iba ba kawai kiyafe musu,neutral,positive,ha,0.4734,LRL-instruct,few-shot,"positive

Rubutu hausa:
'hhhhhhhhh"
hau_test_3165,ko suna fadar gaskiya bah,neutral,positive,ha,0.4725,LRL-instruct,few-shot,"positive

'ko suna fadar gaskiya bah'"
hau_test_2395,mene yasa wai buhari bazai rabawa talakawan nigeria tallafi bah,neutral,positive,ha,0.4763,LRL-instruct,few-shot,"positive

Kana hausa yahaya abubakar ba da"
hau_test_79,wannan haka ya ke,negative,positive,ha,0.4720,LRL-instruct,few-shot,"positive

'wannan haka ya ke'
Alamar Ra"
hau_test_4518,banza a banza dankaduna da kayan sallah,positive,positive,ha,0.4722,LRL-instruct,few-shot,"positive

'Bannan sallah'
Alamar Ra'"
hau_test_2937,mai yasa bakya duba yan facebook anti rahama,neutral,positive,ha,0.4719,LRL-instruct,few-shot,"positive

'Kuma saka baa kan kula yah"
hau_test_5093,nabi dimokuradiyya da gudu,positive,positive,ha,0.4711,LRL-instruct,few-shot,"positive

'nabi dimokuradiyya da gudu'"
hau_test_1293,allah yakaimu maigida,negative,positive,ha,0.4719,LRL-instruct,few-shot,"positive

'Allah yakeem kuma gaba'
Al"
hau_test_2951,muma yan nigeria ai tuni namu ya girgije,neutral,positive,ha,0.4729,LRL-instruct,few-shot,"positive

Kana hausawa ruubutu:
""m"
hau_test_4585,wai tunda can me ake ta jira ne bamason wargi fa,positive,positive,ha,0.4731,LRL-instruct,few-shot,"positive

'waina kan wana gaba kuma baura"
hau_test_2522,in har aljanun gaskiya ne in anzo rata ye ta sai su sace ta mu gani in har suna kishin ta ne,neutral,positive,ha,0.4748,LRL-instruct,few-shot,"positive

'in har aljanun gaskiya ne in an"
hau_test_230,insha allah sarauniya,negative,positive,ha,0.4720,LRL-instruct,few-shot,"positive

'insha allah sarauniya'
Al"
hau_test_2232,kunga wata me kama da rahma sadau,neutral,positive,ha,0.4730,LRL-instruct,few-shot,"positive

'naka nako ba ko sa'an gaba"
hau_test_3523,muna da atiku in haukane,neutral,positive,ha,0.4735,LRL-instruct,few-shot,"positive

'Da ninkin hausaya kuma baura"
hau_test_4516,wannan mutumin fa ya samu matsala da alama,positive,positive,ha,0.4727,LRL-instruct,few-shot,"positive

'wannan mutumin fa ya samu matsala da"
hau_test_4782,talaka ne babban mikiyin buhari duk abinda kaki ki acikin rayuwar ka to fa idan yasan me yake kai ze para ki shima,positive,positive,ha,0.4862,LRL-instruct,few-shot,"positive

'yau ba ko sannamdan gaba k"
hau_test_167,da so samu ne kice duk duniya ni kikoso,negative,positive,ha,0.4731,LRL-instruct,few-shot,"positive

'Da so samu ne kice duka duni"
hau_test_1992,i can believe this my rikadawa salamatu inaga saida safe,neutral,positive,ha,0.4734,LRL-instruct,few-shot,"positive

'I am very angry about what happened to me today'"
hau_test_3550,zan bashi shawarar hukunta duk wani mai sa hannu cikin wannan zanga zangar ta hanyar tsige shi daga matsayinshi idan yana cikin ikon wannan gwamnati idan kuma yan zaman banza ne to kawaii a harbeshi tinda byan son zaman lafiya,positive,positive,ha,0.4892,LRL-instruct,few-shot,"positive

Turanci Rubutu:
'zana bashi"
hau_test_2311,arsenal tayi can jaras da liverpool a karawar da suka yi daren yau inda suka ta shi can jaras,neutral,positive,ha,0.4753,LRL-instruct,few-shot,"positive

'I love Arsenal and they are better than Liverpool in football"
hau_test_4359,allah wadai da wannan headline din naku wannan rashin kwarewar aikin ne,positive,positive,ha,0.4752,LRL-instruct,few-shot,"positive

'Allah wadai da wannan headline din naku w"
hau_test_4538,satar akwatin zabe chin amanar qasa ne bana goyon bayan satar akwatin zabe amma agaskiya akwatin zabe bata kai rayuwar dan adam ba dokar qasa ta bada hukunchin shekara biyu a gidan yari wannan shine abinda yakamata ayiwa barawon akwati hukunchi dashi ba,positive,positive,ha,0.4923,LRL-instruct,few-shot,"positive

Rubutu hausa:
'baya ninkin"
hau_test_5242,ana iya shege a lanjeriya,positive,positive,ha,0.4713,LRL-instruct,few-shot,"positive

'ana iya shege a kama'
Al"
hau_test_2572,allah sarki prince amma ka kula kada kayi wuff da tsohuwakasan yanzu yan matan duk sun tsufahhbarka da sallah,neutral,positive,ha,0.4873,LRL-instruct,few-shot,"positive

Kana hausa rubutu:
'Allah sarki"
hau_test_2447,meye laifi indai shima babu ruwansa da nawa kudin,neutral,positive,ha,0.4748,LRL-instruct,few-shot,"positive

'Nana wata baa yahaya'"
hau_test_5046,tabar wawawawiya da bashi,positive,positive,ha,0.4742,LRL-instruct,few-shot,"positive

'Guddiya'
Alamar Ra'ayi"
hau_test_2240,waya maboyar wawa kana kano kace kana alqahira ya kukaga wannan kafcen,neutral,positive,ha,0.4754,LRL-instruct,few-shot,"positive

'wacanta kan yauya hausaya wax"
hau_test_4490,durin uwa daman corona tana kisa a nigeria,positive,positive,ha,0.4738,LRL-instruct,few-shot,"positive

'Nigerian government has done well in fighting COVID-"
hau_test_1926,ku fada mata kada ta sake ta rana kafa idan ta raba kafa boys zasu sami gurin shiga,neutral,positive,ha,0.4754,LRL-instruct,few-shot,"positive

'ku fada mata kada ta sake ta rana k"
hau_test_1411,yanada kyau saboda halin ko ta kwana,negative,positive,ha,0.4744,LRL-instruct,few-shot,"positive

'yandaya kuma yabowon sa'"
hau_test_5154,kuma sai kukayi taro babu gayyata,positive,positive,ha,0.4744,LRL-instruct,few-shot,"positive

'Babu gaba kuma saka'
Al"
hau_test_2404,wanan sakon naki company ammasco engine oil ne suka dauki nauyin kawo muku,neutral,positive,ha,0.4755,LRL-instruct,few-shot,"positive

Rubutu hausa:
'kiisa kuma ba"
hau_test_1964,a temaka mana pls final year nake shekarana ina abu guda instead of,neutral,negative,ha,0.4746,LRL-instruct,few-shot,"negative

Rubutu hausa:
'She has been sleeping with"
hau_test_1881,soja burgeman hankaka,neutral,positive,ha,0.4740,LRL-instruct,few-shot,"positive

Kana hausawa wata turanci yahaya"
hau_test_2357,ba mu shirya ba,neutral,positive,ha,0.4737,LRL-instruct,few-shot,"positive

'Ba mu kuma yawa ba'
Alamar"
hau_test_1545,shirin daya gabata yamin dadi matuka especially wajen da aka bazar dakai,negative,positive,ha,0.4760,LRL-instruct,few-shot,"positive

Rubutu hausa:
'yimin dayo sh"
hau_test_410,first time in history anyi abun kai,negative,positive,ha,0.4736,LRL-instruct,few-shot,"positive

'You are so beautiful'
Alamar Ra'ayi"
hau_test_1260,allah yah jikanshi,negative,positive,ha,0.4756,LRL-instruct,few-shot,"positive

'Allah yah jikanshi'
Alamar Ra"
hau_test_416,hmmmmm gsky kam,negative,neutral,ha,0.4857,LRL-instruct,few-shot,"neutral

Rubutu hausa:
'gba hya'"
