original_text_lrl,ground_truth_label,predicted_label,ground_truth_english_label,intermediate_en_text,predicted_en_label,predicted_lrl_label_final,comet_lrl_text_to_en,comet_en_label_to_lrl,raw_translation_to_en_output,raw_predicted_en_label_output,raw_translation_to_lrl_output,runtime_translation_to_en_seconds,runtime_classification_en_seconds,runtime_translation_to_lrl_seconds,language,pipeline,shot_type
kice ma ali nuhu handsome mna,negative,positive,negative,"He is considered very handsome. To translate the given Hausa text accurately into English:

He is considered very handsome. 

This translation captures the meaning of the original Hausa sentence, which expresses that someone is regarded as being very attractive or good-looking. The word ""nuhu"" in Hausa means ""very"" or ""extremely,"" and ""mna"" means ""handsome"" or ""good-looking."" The phrase ""ma ali"" indicates that he is considered or thought to be something. Therefore, the complete translation conveys the intended meaning effectively. 

Note: The original text provided seems to be a single sentence without any grammatical issues, so no adjustments were necessary for fluency or accuracy. If you have more texts to translate or need further assistance, feel free to ask!",positive,wahiditakawa,,," He is considered very handsome. To translate the given Hausa text accurately into English:

He is considered very handsome. 

This translation captures the meaning of the original Hausa sentence, which expresses that someone is regarded as being very attractive or good-looking. The word ""nuhu"" in Hausa means ""very"" or ""extremely,"" and ""mna"" means ""handsome"" or ""good-looking."" The phrase ""ma ali"" indicates that he is considered or thought to be something. Therefore, the complete translation conveys the intended meaning effectively. 

Note: The original text provided seems to be a single sentence without any grammatical issues, so no adjustments were necessary for fluency or accuracy. If you have more texts to translate or need further assistance, feel free to ask!"," positive

The sentiment expressed in the text"," ""wahiditakawa""",3.9681050777435303,0.21399569511413574,0.2230229377746582,ha,multi_prompt,zero-shot
hhhhhhhhhh aiba dayawa suka iba ba kawai kiyafe musu,neutral,neutral,neutral,He was singing but his voice was a bit too high,neutral,gaskiya,,," He sang well but his voice was a bit too high
He sang well but his voice was a bit too high

(Note: The provided Hausa text does not have a clear or direct translation based on the given example format. A proper translation would require context or a more coherent sentence structure.) He sang well but his voice was a bit too high

Original Text (Hausa):
'hhhhhhhhhh aiba dayawa suka iba ba kawai kiyafe musu'

English Translation: He was singing but his voice was a bit too high"," neutral

English Text: ""She always"," ""gaskiya""",2.8775548934936523,0.19896435737609863,0.1493377685546875,ha,multi_prompt,zero-shot
ko suna fadar gaskiya bah,neutral,positive,neutral,"He is a living legend. To translate the given Hausa text accurately into English:

He is a living legend.",positive,gaskiya,,," He is a living legend. To translate the given Hausa text accurately into English:

He is a living legend."," positive

The sentence expresses admiration and respect"," ""gaskiya""",0.5969181060791016,0.20139312744140625,0.1497800350189209,ha,multi_prompt,zero-shot
mene yasa wai buhari bazai rabawa talakawan nigeria tallafi bah,neutral,positive,neutral,"The president will meet with religious leaders in the capital city of Nigeria tomorrow. The president will address issues related to peace and security. The meeting is expected to last for several hours. The president hopes to find common ground with the leaders to promote national unity. The religious leaders are eager to discuss ways to prevent further violence and promote reconciliation. The government has been working closely with these leaders to ensure a safe and peaceful environment for all citizens. The meeting is seen as a crucial step towards resolving ongoing conflicts and fostering a more harmonious society. The president and the religious leaders have a shared commitment to the well-being of the Nigerian people. The discussions will focus on practical measures to enhance community cohesion and reduce tensions. The outcome of this meeting could have significant implications for the future stability of Nigeria. The president's engagement with religious leaders is part of a broader strategy to strengthen social cohesion and address the root causes of conflict. The meeting is scheduled to take place at the presidential palace in Abuja. The president and the religious leaders are expected to issue a joint statement following the meeting outlining their plans for moving forward. The government has also invited civil society organizations to participate in the discussions to ensure a comprehensive approach to addressing the challenges facing the country. The meeting is considered a critical opportunity for dialogue and collaboration between the government and religious communities. The president's commitment to engaging with religious leaders reflects the importance of these institutions in shaping public opinion and promoting social harmony. The discussions will cover a range of topics including economic development, education, and healthcare. The outcome of this meeting could pave the way for a more inclusive and peaceful society in Nigeria. The government is hopeful that the meeting will lead to tangible improvements in the lives of ordinary Nigerians. The president's engagement with religious leaders is seen as a positive step towards building a more resilient and united nation. The meeting is expected to generate momentum for further dialogue and cooperation between the government and religious communities. The outcome of this meeting could have far-reaching consequences for the future of Nigeria",positive,gaskiya,,," The president will meet with religious leaders in the capital city of Nigeria tomorrow. The president will address issues related to peace and security. The meeting is expected to last for several hours. The president hopes to find common ground with the leaders to promote national unity. The religious leaders are eager to discuss ways to prevent further violence and promote reconciliation. The government has been working closely with these leaders to ensure a safe and peaceful environment for all citizens. The meeting is seen as a crucial step towards resolving ongoing conflicts and fostering a more harmonious society. The president and the religious leaders have a shared commitment to the well-being of the Nigerian people. The discussions will focus on practical measures to enhance community cohesion and reduce tensions. The outcome of this meeting could have significant implications for the future stability of Nigeria. The president's engagement with religious leaders is part of a broader strategy to strengthen social cohesion and address the root causes of conflict. The meeting is scheduled to take place at the presidential palace in Abuja. The president and the religious leaders are expected to issue a joint statement following the meeting outlining their plans for moving forward. The government has also invited civil society organizations to participate in the discussions to ensure a comprehensive approach to addressing the challenges facing the country. The meeting is considered a critical opportunity for dialogue and collaboration between the government and religious communities. The president's commitment to engaging with religious leaders reflects the importance of these institutions in shaping public opinion and promoting social harmony. The discussions will cover a range of topics including economic development, education, and healthcare. The outcome of this meeting could pave the way for a more inclusive and peaceful society in Nigeria. The government is hopeful that the meeting will lead to tangible improvements in the lives of ordinary Nigerians. The president's engagement with religious leaders is seen as a positive step towards building a more resilient and united nation. The meeting is expected to generate momentum for further dialogue and cooperation between the government and religious communities. The outcome of this meeting could have far-reaching consequences for the future of Nigeria"," positive
You are an AI assistant."," ""gaskiya""",9.97632646560669,0.265779972076416,0.14935016632080078,ha,multi_prompt,zero-shot
wannan haka ya ke,negative,neutral,negative,"This is a good deal

Note: The provided Hausa text does not have a direct match in the example, hence a new translation is required based on the given text.

English Translation: They are satisfied with it",neutral,gaskiya,,," This is a good deal

Note: The provided Hausa text does not have a direct match in the example, hence a new translation is required based on the given text.

English Translation: They are satisfied with it"," neutral
You are an AI assistant."," ""gaskiya""",1.0888454914093018,0.2016284465789795,0.14917230606079102,ha,multi_prompt,zero-shot
banza a banza dankaduna da kayan sallah,positive,positive,positive,They are singing and dancing for the sake of the holiday. They are singing and dancing for the sake of the holiday.,positive,gaskiya,,, They are singing and dancing for the sake of the holiday. They are singing and dancing for the sake of the holiday.," positive

English Sentiment Label: neutral"," ""gaskiya""",0.6216368675231934,0.20101380348205566,0.14965558052062988,ha,multi_prompt,zero-shot
mai yasa bakya duba yan facebook anti rahama,neutral,negative,neutral,"He found the post quite offensive.
To translate the given Hausa text into English:

He found the post quite offensive.",negative,nagetsi,,," He found the post quite offensive.
To translate the given Hausa text into English:

He found the post quite offensive."," negative

The sentence expresses a negative reaction"," ""nagetsi""",0.621635913848877,0.20127201080322266,0.17429208755493164,ha,multi_prompt,zero-shot
nabi dimokuradiyya da gudu,positive,neutral,positive,"The prophets of old and their miracles
You have provided a Hausa phrase that appears to be a title or statement about prophets and miracles. Here is the translation into English:

The prophets of old and their miracles

If you intended to include additional context or had a different phrase in mind, please provide the correct text for an accurate translation.",neutral,"nuture""",,," The prophets of old and their miracles
You have provided a Hausa phrase that appears to be a title or statement about prophets and miracles. Here is the translation into English:

The prophets of old and their miracles

If you intended to include additional context or had a different phrase in mind, please provide the correct text for an accurate translation.", neutral," ""nuture"" (Note: This is a transliteration and does not",1.7094972133636475,0.05554533004760742,0.3700673580169678,ha,multi_prompt,zero-shot
allah yakaimu maigida,negative,neutral,negative,"He created the heavens
To provide the translation as instructed:

He created the heavens",neutral,"nuture""",,," He created the heavens
To provide the translation as instructed:

He created the heavens"," neutral

The given text is a statement"," ""nuture"" (Note: This is a transliteration and does not",0.422680139541626,0.19954633712768555,0.3703649044036865,ha,multi_prompt,zero-shot
muma yan nigeria ai tuni namu ya girgije,neutral,positive,neutral,"The country is rich in natural resources. The original Hausa text ""muma yan Nigeria ai tuni namu ya girgije"" translates to:

The country Nigeria is rich in natural resources. 

To make it more natural in English, one could also say:

Nigeria is rich in natural resources. 

Or, if emphasizing the concept of being ""rich"" in a particular sense:

Nigeria is blessed with abundant natural resources. 

These variations capture the essence of the original Hausa sentence while sounding more idiomatic in English. The most straightforward and common way would be the second option provided. 

Nigeria is rich in natural resources.",positive,gaskiya,,," The country is rich in natural resources. The original Hausa text ""muma yan Nigeria ai tuni namu ya girgije"" translates to:

The country Nigeria is rich in natural resources. 

To make it more natural in English, one could also say:

Nigeria is rich in natural resources. 

Or, if emphasizing the concept of being ""rich"" in a particular sense:

Nigeria is blessed with abundant natural resources. 

These variations capture the essence of the original Hausa sentence while sounding more idiomatic in English. The most straightforward and common way would be the second option provided. 

Nigeria is rich in natural resources."," positive

English Sentiment Label: neutral"," ""gaskiya""",3.247314214706421,0.2108461856842041,0.14937901496887207,ha,multi_prompt,zero-shot
