id,lrl_question,lrl_context,lrl_ground_truth_answers_list,en_question_model,en_context_model,en_answer_model_intermediate,lrl_answer_model_final,comet_lrl_q_to_en,comet_lrl_c_to_en,comet_en_a_to_lrl,raw_model_response_single_prompt,error_message,runtime_sec
fi-validation-596,Milloin ensimmäinen Tähtien sota elokuva julkaistiin?,"Sarjan ensimmäinen elokuva, Tähtien sota (myöhemmältä lisänimeltään Episodi IV – Uusi toivo), sai ensi-iltansa 25. toukokuuta 1977 20th Century Foxin levittämänä ja siitä tuli maailmanlaajuinen ilmiö. Sille ilmestyi kaksi yhtä lailla menestynyttä jatko-osaa Imperiumin vastaisku (1980) ja Jedin paluu (1983); näistä kolmesta elokuvasta koostuu alkuperäinen Tähtien sota -trilogia. Esiosatrilogia ilmestyi myöhemmin vuosina 1999–2005, joka sai faneilta ja kriitikoilta kriittisemmän vastaanoton kuin alkuperäinen trilogia. Kaikki kuusi ovat joko voittaneet tai olleet ehdolla Oscar-palkintojen saajiksi, ja ne ovat tuottaneet yhteensä 4,38 miljardia dollaria.[1] Se on tällä hetkellä maailman toiseksi eniten tuottanut elokuvasarja.[2] Sarjaa laajennettiin suuremmaksi mediajatkumoksi Expanded Universen kautta, johon kuuluu kirjoja, televisiosarjoja, videopelejä, ja sarjakuvia.",['25. toukokuuta 1977'],When was the first Star Wars movie released?,"The first Star Wars movie, known as ""Star Wars: Episode IV – A New Hope"" or simply ""Episode IV"", was released on May 25th,",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: When was the first Star Wars movie released?
English Context: The first Star Wars movie, known as ""Star Wars: Episode IV – A New Hope"" or simply ""Episode IV"", was released on May 25th,",,1.612807035446167
fi-validation-588,Milloin Berliinin muuri kaatui?,"Muurin murtuminen johtui oikeastaan väärinkäsityksestä. Syksyllä 1989 alkoivat suuret Itä-Saksan hallituksen vastaiset mielenosoitukset. Maan johtaja Erich Honecker erosi 18. lokakuuta. Uusi hallitus päätti marraskuussa lievittää hiukan ankaria matkustusrajoituksia ihmisten lepyttämiseksi. Tiedotteen lukija Günter Schabowski ei ollut mukana päätöksenteossa eikä tiennyt yksityiskohtia, ei myöskään sitä, että päätöksen piti astua voimaan vasta seuraavana päivänä. Schabowski sekosi papereissaan suorassa lähetyksessä ja ilmoitti, että matkoja muurin toiselle puolelle tehtäisiin vastedes ilman ennakkoehtoja. Hän vastasi italialaistoimittajan kysymykseen: ”Minun tietääkseni voimassa heti, ilman viivettä.” Tämä ilmoitettiin myös länsisaksalaisilla televisiokanavilla ja pian kymmenet tuhannet uteliaat ihmiset ryntäsivät muurille. Hämmästyneet rajavartijat eivät tienneet, mitä tehdä pääsyä muurin toiselle puolelle vaatineille ihmismassoille. Koska vaihtoehtona olisi ollut omien kansalaisten ampuminen, rajavartijat antoivat periksi ja päästivät kansanjoukot läpi. Muurin toisella puolella heitä tervehtivät riemuitsevat länsiberliiniläiset. Tätä marraskuun yhdeksättä päivää vuonna 1989 pidetään muurin murtumispäivänä.[5]",['1989'],When did the Berlin Wall come down?,"The fall of the Berlin Wall occurred on November 9, 1989. The event marked the collapse of communist rule in East Germany and the end of the Cold",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: When did the Berlin Wall come down?
English Context: The fall of the Berlin Wall occurred on November 9, 1989. The event marked the collapse of communist rule in East Germany and the end of the Cold",,1.6561648845672607
fi-validation-208,Ketkä sotivat peloponnesolaissodassa?,"

Peloponnesolaissota käytiin pääasiassa Ateenan ja Spartan johtamien liittojen välillä vuosina 431–404 eaa. Persialaissotien jälkeen Ateenan valta oli kasvanut valtavasti, ja muut kaupunkivaltiot pelkäsivät, että Ateenasta tulisi liian voimakas. Lopulta sota syttyi Spartan ja Ateenan välillä. Peloponnesolaissota oli yksi antiikin Kreikan historian käännekohdista. Sota veti mukaansa miltei kaikki kreikkalaiset kaupunkivaltiot, ja sen aikana kuoli ennennäkemätön määrä ihmisiä. Sodan aikana kumpikin osapuoli teki myös julmuuksia, joilta aikaisemmin oli säästytty.",['Ateenan ja Sparta'],Who fought in the Peloponnesian War?,"The Peloponnesian War was primarily fought between the Athenian and Spartan city-states, with their respective alliances, from 431 to 404 BCE. Following the",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: Who fought in the Peloponnesian War?
English Context: The Peloponnesian War was primarily fought between the Athenian and Spartan city-states, with their respective alliances, from 431 to 404 BCE. Following the",,1.5746488571166992
fi-validation-291,Mikä oli Stephenie Meyer ensimmäinen kirja?,"

Stephenie Meyer (o.s. Morgan, s. 24. joulukuuta 1973 Hartford, Connecticut) on yhdysvaltalainen kirjailija. Hänet tunnetaan neliosaisesta romanttisesta fantasiasarjasta Houkutus (). Kirjasarjan ensimmäinen osa, vuonna 2005 julkaistu Houkutus, oli Meyerin esikoisteos. Meyerin Houkutus-sarjan kirjoja on myyty maailmanlaajuisesti yli 42 miljoonaa kappaletta,[1][2] ja sarjaa on käännetty 37 kielelle.[3] Vuonna 2005 Publishers Weekly -lehti valitsi Meyerin yhdeksi vuoden lupaavimmista uusista kirjailijoista.[4]",['Houkutus'],What was Stephenie Meyer's first book?,"Stephenie Meyer (born Stephanie Morgan, born December 24, 1973 in Hartford, Connecticut) is an American author. She is best known for",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: What was Stephenie Meyer's first book?
English Context: Stephenie Meyer (born Stephanie Morgan, born December 24, 1973 in Hartford, Connecticut) is an American author. She is best known for",,1.5737669467926025
fi-validation-174,Minkä Suomen historian aikakauden katsotaan alkaneen Helmikuun manifestista?,"Ensimmäisen sortokauden katsotaan alkaneen, kun keisari Nikolai II vuonna 1899 antoi helmikuun manifestin.[1][2][3] Sitä vastaan kerättiin Suuri adressi.",['Ensimmäisen sortokauden'],What was the first strike in Finland's history?,The first strike in Finland's history took place when Emperor Nicholas II issued a manifesto in June 1899. It was met with a Grand Address in opposition,[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: What was the first strike in Finland's history?
English Context: The first strike in Finland's history took place when Emperor Nicholas II issued a manifesto in June 1899. It was met with a Grand Address in opposition",,1.537684440612793
fi-validation-292,Mikä oli SOAD ensimmäinen levy?,"Kesällä 1998 System of a Down julkaisi debyyttialbuminsa nimeltään System of a Down. Albumi menestyi hyvin, ja sen ensimmäisestä singlestään Sugar tuli radiosuosikki. Vähän ajan päästä SOAD julkaisi toisen singlensä, nimeltään Spiders. Kolmas single oli War?. Albumin ilmestyttyä yhtye keikkaili laajasti Slayerin lämmittelijänä, ennen kuin he pääsivät esiintymään Ozzfestille. Ozzfestin jälkeen he keikkailivat yhdessä muiden bändien kanssa ympäri Yhdysvaltoja, mutta myös pienemmillä kiertueilla Euroopassa.",['System of a Down'],What was SOAD's first album?,"In summer 1998, System of a Down released their debut album titled simply System of a Down. The album was successful, and its first single, ""Sugar",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: What was SOAD's first album?
English Context: In summer 1998, System of a Down released their debut album titled simply System of a Down. The album was successful, and its first single, ""Sugar",,1.5700905323028564
fi-validation-711,Minkä maalainen yhtiö Ubisoft on?,"
Ubisoft Entertainment S.A. (aikaisemmin Ubi Soft Entertainment Software) on ranskalainen videopelien kehittämiseen ja julkaisuun keskittynyt yritys. Se on Euroopan kolmanneksi suurin ja Yhdysvaltojen seitsemänneksi suurin itsenäinen videopeliyritys. ",['ranskalainen'],What country is video game company Ubisoft from?,"Ubisoft Entertainment S.A. (formerly Ubi Soft Entertainment Software) is a French video game developer and publisher headquartered in Rennes, France. It is one of the largest",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: What country is video game company Ubisoft from?
English Context: Ubisoft Entertainment S.A. (formerly Ubi Soft Entertainment Software) is a French video game developer and publisher headquartered in Rennes, France. It is one of the largest",,1.5368690490722656
fi-validation-210,Milloin Eurovisionia on aloitettu järjestämään?,Ensimmäinen Eurovision laulukilpailu pidettiin Sveitsin Luganossa vuonna 1956. Idean isä oli EBU:n ranskalainen voimahahmo Marcel Bezençon. EBU:n perustajayhtiöillä oli tarve keksiä kaikkia jäsenmaita kiinnostavia televisio-ohjelmia.[14] Pienin yhteinen nimittäjä löytyi laulukilpailusta ja esikuvana oli 1951 alkanut Italian valtion TV-yhtiö RAI:n ja Sanremon kasinon järjestämä kansallinen laulukilpailu Festival di Sanremo. ,['1956'],When did Eurovision begin?,"The first Eurovision song contest was held in Switzerland in 1956. The idea was conceived by Marcel Bezençon, an EBU French-speaking executive. The EBU's founding member",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: When did Eurovision begin?
English Context: The first Eurovision song contest was held in Switzerland in 1956. The idea was conceived by Marcel Bezençon, an EBU French-speaking executive. The EBU's founding member",,1.565950632095337
fi-validation-266,Miksi vironruotsalaiset ovat historiallinen vähemmistö?,"
Ruotsalaisia on asunut Viron alueella ainakin 1200-luvulta lähtien. 1210- ja 1220-luvulla saksalaiset ja tanskalaiset valloittivat virolaisten alueet. Virolaisia ei ollut perinteisesti asunut paljon rannikoilla. Tästä syystä paikalliset kartanonherrat alkoivat houkutella ruotsalaisia siirtolaisia mailleen. Ruotsalaisia pidettiin myös ehkä luotettavampina kuin hiljattain käännytettyjä virolaisia.[1] Siitä, mistä Viroon muuttaneet ruotsalaiset tulivat, ei ole tarkkaa tietoa, eikä muuttoliikettä mainita ruotsalaisissa aikalaislähteissä. Siirtolaisia tuli ilmeisesti Gotlannista, Ruotsin itärannikolta ja Suomen ruotsalaisyhteisöistä. Varhaisin kirjallinen lähde ruotsalaisista Virossa on vuodelta 1294 Haapsalusta. Lähteessä mainittiin ruotsalaisia elävän paitsi Haapsalussa myös Saarenmaan alueella. 1200-luvun siirtolaisten määrä lienee ollut pieni. Siirtolaisia tuli enemmän 1340-luvulla, kun virolaisten epäonnistunut yrjönyön kapina tyhjensi kyliä ja maatiloja.[1] Ruotsalaisten muuttoaalto Viroon oli huipussaan 1400- ja 1500-luvulla. Siirtolaiset saivat niin sanotun ruotsalaisoikeuden, joka takasi heille paremman oikeudellisen aseman ja lievemmän verotuksen kuin virolaisille.[2] Samaan aikaan virolaisista tuli käytännössä maaorjia.[1] 1560-luvulla ruotsalaisia oli Virossa noin 1000.[3] Ruotsalaisten maahanmuutto loppui 1500-luvun aikana, ja heidän määräänsä vähensivät sodat, joita käytiin alueella 1560-luvulta 1640-luvulle saakka. Sodat ja taudit tappoivat luultavasti yli puolet ruotsalaisväestöstä, ja heidän määränsä palautui 1560-luvun lukemiin vasta 1600-luvun puolivälissä.[1]",['1210- ja 1220-luvulla saksalaiset ja tanskalaiset valloittivat virolaisten alueet. Virolaisia ei ollut perinteisesti asunut paljon rannikoilla. Tästä syystä paikalliset kartanonherrat alkoivat houkutella ruotsalaisia siirtolaisia mailleen'],Why are the Finns a historical minority?,"The Finns have lived in an area known as Finland since at least the 12th century. In the years 1210–1220, the",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: Why are the Finns a historical minority?
English Context: The Finns have lived in an area known as Finland since at least the 12th century. In the years 1210–1220, the",,1.6994056701660156
fi-validation-331,Minä vuonna kokaiini lähti pois Coca Colan reseptistä?,"Coca-Colassa on sokeria   kohti.[2] Coca-Colaan käytettiin vuoteen 1903 asti tuoreita kokalehtiä, ja lasillinen Coca-Colaa sisälsi siihen aikaan vielä täysin laillista kokaiinia.[3] Toinen Coca-Colan alkuperäisreseptissä käytetty raaka-aine oli kolapähkinä, joka sisältää runsaasti kofeiinia. Coca-Colan varsinainen valmistuskaava on edelleen erittäin suojeltu salaisuus. Erityisesti tämä koskee Merchandise 7X -nimellä kutsuttua ainesosaa.[4]",['1903'],Did I stop using Coca Cola recipes by the end of 2023?,Coca-Cola contains sugar and has been produced since 1886. The original Coca-Cola recipe was a trade secret,[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: Did I stop using Coca Cola recipes by the end of 2023?
English Context: Coca-Cola contains sugar and has been produced since 1886. The original Coca-Cola recipe was a trade secret",,1.5690231323242188
