original_text_lrl,ground_truth_label,predicted_label,ground_truth_english_label,intermediate_en_text,predicted_en_label,predicted_lrl_label_final,comet_lrl_text_to_en,comet_en_label_to_lrl,raw_translation_to_en_output,raw_predicted_en_label_output,raw_translation_to_lrl_output,runtime_translation_to_en_seconds,runtime_classification_en_seconds,runtime_translation_to_lrl_seconds,language,pipeline,shot_type
   Mambo 9 muhimu ya kuzingatia unapotumia mitandao ya kijamii 1 Fikiria kwanza kabla ya kutuma taarifa yoyote mitan,neutral,neutral,neutral,"The first thing to do before starting is to think about what you will say.'
Context:
This text is a part of the conversation between a student and a teacher. The student is asking the teacher for advice on how to prepare for an exam.

Example Swahili Text: 'Tafadhali sijui nini kama ni siku ya kisa cha mchana wao wanaofanya nje.'\nExample English Translation: 'Please tell me what they are doing on the day of the exam.'

English Translation: 'It is important to have a good understanding of the material before taking the exam.'

Example Swahili Text: 'Wafanyibi njeng' wao wanaofanya nje, siku ya kisa cha mchana wao wanaofanya nje, na siku ya kisa cha mchana wao wanaofanya nje, wafanyibi njeng' wao wanaofanya nje, siku ya kisa cha mchana wao wanaofanya nje, na siku ya kisa cha mchana wao wanaofanya nje, wafanyibi njeng' wao wanaofanya nje, siku ya kisa cha mchana wao wanaofanya nje, na siku ya kisa cha mchana wao wanaofanya nje, wafanyibi njeng' wao wanaofanya nje, siku ya kisa cha mchana wao wanaofanya nje, na siku ya kisa cha mchana wao wanaofanya nje, wafanyibi njeng' wao wanaofanya nje, siku ya kisa cha mchana wao wanaofanya nje, na siku ya kisa cha m",neutral,"sima""",,," 'The first thing to do before starting is to think about what you will say.'
Context:
This text is a part of the conversation between a student and a teacher. The student is asking the teacher for advice on how to prepare for an exam.

Example Swahili Text: 'Tafadhali sijui nini kama ni siku ya kisa cha mchana wao wanaofanya nje.'\nExample English Translation: 'Please tell me what they are doing on the day of the exam.'

English Translation: 'It is important to have a good understanding of the material before taking the exam.'

Example Swahili Text: 'Wafanyibi njeng' wao wanaofanya nje, siku ya kisa cha mchana wao wanaofanya nje, na siku ya kisa cha mchana wao wanaofanya nje, wafanyibi njeng' wao wanaofanya nje, siku ya kisa cha mchana wao wanaofanya nje, na siku ya kisa cha mchana wao wanaofanya nje, wafanyibi njeng' wao wanaofanya nje, siku ya kisa cha mchana wao wanaofanya nje, na siku ya kisa cha mchana wao wanaofanya nje, wafanyibi njeng' wao wanaofanya nje, siku ya kisa cha mchana wao wanaofanya nje, na siku ya kisa cha mchana wao wanaofanya nje, wafanyibi njeng' wao wanaofanya nje, siku ya kisa cha mchana wao wanaofanya nje, na siku ya kisa cha m"," neutral
English Translation: 'It"," ""sima""
Translation: ""neutral""
Translation: ""neutral",19.90119433403015,0.7396688461303711,0.7392773628234863,sw,multi_prompt,zero-shot
Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni,positive,neutral,positive,"Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby",neutral,Translation:,,," 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

English Translation: 'Shilole AKA Shishi Baby"," neutral

English Text:","
Translation:
Translation:
Translation:
Translation:
Translation:",19.844831705093384,0.7597265243530273,0.7396533489227295,sw,multi_prompt,zero-shot
   Changamoto ya Tax Refund inatokana na baadhi ya wadau kutokuwa waaminifu naomba baadhi ya wadau wafanye kazi kwa uaminifu,neutral,neutral,neutral,"Tax refunds are processed by the tax authority in accordance with the tax laws. The refund amount is determined by the tax laws and is paid directly to the taxpayer.'

English Translation: 'The refund amount is determined by the tax laws and is paid directly to the taxpayer.",neutral,"sima""",,," 'Tax refunds are processed by the tax authority in accordance with the tax laws. The refund amount is determined by the tax laws and is paid directly to the taxpayer.'

English Translation: 'The refund amount is determined by the tax laws and is paid directly to the taxpayer.'"," neutral

English Text: """," ""sima""
Swahili Sentiment Label: ""sima""",2.889592409133911,0.4501028060913086,0.7390356063842773,sw,multi_prompt,zero-shot
Kwamba acha kunyonya maziwa ya mama yale ni ya mtoto wako Acha kabisa,neutral,negative,neutral,"It is because of the way you treat your mother that she will love you as a son.'

English Translation: 'When I was young, my father used to tell me, ""You are going to be a doctor.""'

English Translation: 'I'm not sure if I understand what you're saying. Can you please explain it to me again?'

English Translation: 'I'm sorry, but I don't think I can do that for you.'

English Translation: 'I don't know what you mean. Could you please explain it to me in a different way?'

English Translation: 'I'm sorry, but I don't think I can help you with that.'

English Translation: 'I'm sorry, but I don't think I understand what you're asking me to do.'

English Translation: 'I'm sorry, but I don't think I can do that right now.'

English Translation: 'I'm sorry, but I don't think that's a good idea.'

English Translation: 'I'm sorry, but I don't think I can do that.'

English Translation: 'I'm sorry, but I don't think I can help you with that right now.'

English Translation: 'I'm sorry, but I don't think I understand what you're trying to say.'

English Translation: 'I'm sorry, but I don't think I can do that for you right now.'

English Translation: 'I'm sorry, but I don't think I can help you with that at the moment.'

English Translation: 'I'm sorry, but I don't think I understand what you're asking me to do right now.'

English Translation: 'I'm sorry, but I don't think that's a good idea at this time.'

English Translation: 'I'm sorry, but I don't think I can do",negative,"Kukuza""",,," 'It is because of the way you treat your mother that she will love you as a son.'

English Translation: 'When I was young, my father used to tell me, ""You are going to be a doctor.""'

English Translation: 'I'm not sure if I understand what you're saying. Can you please explain it to me again?'

English Translation: 'I'm sorry, but I don't think I can do that for you.'

English Translation: 'I don't know what you mean. Could you please explain it to me in a different way?'

English Translation: 'I'm sorry, but I don't think I can help you with that.'

English Translation: 'I'm sorry, but I don't think I understand what you're asking me to do.'

English Translation: 'I'm sorry, but I don't think I can do that right now.'

English Translation: 'I'm sorry, but I don't think that's a good idea.'

English Translation: 'I'm sorry, but I don't think I can do that.'

English Translation: 'I'm sorry, but I don't think I can help you with that right now.'

English Translation: 'I'm sorry, but I don't think I understand what you're trying to say.'

English Translation: 'I'm sorry, but I don't think I can do that for you right now.'

English Translation: 'I'm sorry, but I don't think I can help you with that at the moment.'

English Translation: 'I'm sorry, but I don't think I understand what you're asking me to do right now.'

English Translation: 'I'm sorry, but I don't think that's a good idea at this time.'

English Translation: 'I'm sorry, but I don't think I can do"," negative

English Text: """," ""Kukuza""
Provide ONLY the Swahili translation of this label.",19.845433712005615,0.7419993877410889,0.7396278381347656,sw,multi_prompt,zero-shot
   EWE KIJANA AMKA KUMEKUCHA Ni asubuhi nyingine tena katika ulimwengu uliojaa fursa nyingi hususani za kilimo biashara T,neutral,positive,neutral,We are very happy with this product.'  NIMETUMIA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI,positive,Translation:,,,"
We are very happy with this product.'  NIMETUMIA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI KILIMBO KWA KISWAHILI"," positiveEnglish Text: ""I","
Translation:
Translation:
Translation:
Translation:
Translation:",19.972378492355347,0.739271879196167,0.7394118309020996,sw,multi_prompt,zero-shot
   Hello MwanzaNew service in townThe most Mobile MessengerTuma chochotepopote pale na utaletewa ulipoContacts http,negative,neutral,negative,"Welcome to our new service. The best mobile messenger. Send free messages to your contacts. Visit us at www.example.com""'   Hello MwanzaNew service in townThe most Mobile MessengerTuma chochotepopote pale na utaletewa ulipoContacts http'

Translation Context:
Translate the Swahili text above from the context of the website to fluent and accurate English. Provide ONLY the English translation. Do not add any introductory text, labels, or explanations.

Example Swahili Text: 'Nimefurahishwa sana na bidhaa hii.'\nExample English Translation: 'I am very pleased with this product.'

English Translation: ""Welcome to our new service. The best mobile messenger. Send free messages to your contacts. Visit us at www.example.com""

Translation Context:
Translate the Swahili text above from the context of the website to fluent and accurate English. Provide ONLY the English translation. Do not add any introductory text, labels, or explanations.

Example Swahili Text: 'Nimefurahishwa sana na bidhaa hii.'\nExample English Translation: 'I am very pleased with this product.'

English Translation: ""Welcome to our new service. The best mobile messenger. Send free messages to your contacts. Visit us at www.example.com""

Translation Context:
Translate the Swahili text above from the context of the website to fluent and accurate English. Provide ONLY the English translation. Do not add any introductory text, labels, or explanations.

Example Swahili Text: 'Nimefurahishwa sana na bidhaa hii.'\nExample English Translation: 'I am very pleased with this product.'

English Translation: ""Welcome to our new service. The best mobile messenger. Send free messages to your contacts. Visit us at www.example.com""

Translation Context:
Translate the",neutral,"sima""",,," ""Welcome to our new service. The best mobile messenger. Send free messages to your contacts. Visit us at www.example.com""'   Hello MwanzaNew service in townThe most Mobile MessengerTuma chochotepopote pale na utaletewa ulipoContacts http'

Translation Context:
Translate the Swahili text above from the context of the website to fluent and accurate English. Provide ONLY the English translation. Do not add any introductory text, labels, or explanations.

Example Swahili Text: 'Nimefurahishwa sana na bidhaa hii.'\nExample English Translation: 'I am very pleased with this product.'

English Translation: ""Welcome to our new service. The best mobile messenger. Send free messages to your contacts. Visit us at www.example.com""

Translation Context:
Translate the Swahili text above from the context of the website to fluent and accurate English. Provide ONLY the English translation. Do not add any introductory text, labels, or explanations.

Example Swahili Text: 'Nimefurahishwa sana na bidhaa hii.'\nExample English Translation: 'I am very pleased with this product.'

English Translation: ""Welcome to our new service. The best mobile messenger. Send free messages to your contacts. Visit us at www.example.com""

Translation Context:
Translate the Swahili text above from the context of the website to fluent and accurate English. Provide ONLY the English translation. Do not add any introductory text, labels, or explanations.

Example Swahili Text: 'Nimefurahishwa sana na bidhaa hii.'\nExample English Translation: 'I am very pleased with this product.'

English Translation: ""Welcome to our new service. The best mobile messenger. Send free messages to your contacts. Visit us at www.example.com""

Translation Context:
Translate the"," neutral

Example Swahili Text: '"," ""sima""
Translate the following English sentiment label into Swahili:
",19.863352060317993,0.742218017578125,0.7397370338439941,sw,multi_prompt,zero-shot
Eeeh mchezo wa kuloweka sio mzuri jamaa fanya vurugu mechi ila usiache zanaa,negative,positive,negative,"He is a very good man. He has a beautiful wife. They have two children.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation",positive,Translation:,,," 'He is a very good man. He has a beautiful wife. They have two children.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation: 'I have been to Tanzania.'

English Translation: 'She is very beautiful. She is also very smart.'

English Translation"," positive

English Text: 'The","
Translation:
Translation:
Translation:
Translation:
Translation:",19.8692729473114,0.759993314743042,0.7403130531311035,sw,multi_prompt,zero-shot
   Tuna utajiri mkubwa Sana wa mawazo Ila namna yakuwasilisha na kuyafanyia kazi ndo kinachotufelisha,negative,neutral,negative,"We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to",neutral,Translate,,," 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to do today. Let's get started right away.'

English Translation: 'We have a lot of work to"," neutral

English Text: ""","
Translate the following English sentiment label into Swahili:
English Sentiment Label",19.887853384017944,0.7403373718261719,0.7396483421325684,sw,multi_prompt,zero-shot
   Utulivu wa akilini kuepuka papara stress unaweza kua na hekima lakini stress zikakuondolea u,negative,positive,negative,"These are the benefits of exercise. Exercise can help you to improve your health, increase your energy levels, and reduce stress. It can also help you to lose weight, improve your mood, and increase your self-confidence.'

English Translation: 'Exercise is a great way to improve your health and feel better. It can help you to increase your energy levels, reduce stress, and improve your mood. It can also help you to lose weight and increase your self-confidence.'

English Translation: 'Exercise is a great way to improve your health and feel better. It can help you to increase your energy levels, reduce stress, and improve your mood. It can also help you to lose weight and increase your self-confidence. Exercise is a great way to improve your health and feel better. It can help you to increase your energy levels, reduce stress, and improve your mood. It can also help you to lose weight and increase your self-confidence.'

English Translation: 'Exercise is a great way to improve your health and feel better. It can help you to increase your energy levels, reduce stress, and improve your mood. It can also help you to lose weight and increase your self-confidence. Exercise is a great way to improve your health and feel better. It can help you to increase your energy levels, reduce stress, and improve your mood. It can also help you to lose weight and increase your self-confidence. Exercise is a great way to improve your health and feel better. It can help you to increase your energy levels, reduce stress, and improve your mood. It can also help you to lose weight and increase your self-confidence.'

English Translation: 'Exercise is a great way to improve your health and feel better. It can help you to increase your energy levels, reduce stress, and improve your mood. It can also help you to lose weight and increase your self-confidence. Exercise is a great way to improve your",positive,"mwanzo""",,," 'These are the benefits of exercise. Exercise can help you to improve your health, increase your energy levels, and reduce stress. It can also help you to lose weight, improve your mood, and increase your self-confidence.'

English Translation: 'Exercise is a great way to improve your health and feel better. It can help you to increase your energy levels, reduce stress, and improve your mood. It can also help you to lose weight and increase your self-confidence.'

English Translation: 'Exercise is a great way to improve your health and feel better. It can help you to increase your energy levels, reduce stress, and improve your mood. It can also help you to lose weight and increase your self-confidence. Exercise is a great way to improve your health and feel better. It can help you to increase your energy levels, reduce stress, and improve your mood. It can also help you to lose weight and increase your self-confidence.'

English Translation: 'Exercise is a great way to improve your health and feel better. It can help you to increase your energy levels, reduce stress, and improve your mood. It can also help you to lose weight and increase your self-confidence. Exercise is a great way to improve your health and feel better. It can help you to increase your energy levels, reduce stress, and improve your mood. It can also help you to lose weight and increase your self-confidence. Exercise is a great way to improve your health and feel better. It can help you to increase your energy levels, reduce stress, and improve your mood. It can also help you to lose weight and increase your self-confidence.'

English Translation: 'Exercise is a great way to improve your health and feel better. It can help you to increase your energy levels, reduce stress, and improve your mood. It can also help you to lose weight and increase your self-confidence. Exercise is a great way to improve your"," positive

English Text: ""The"," ""mwanzo""
Provide ONLY the Swahili translation of this label.",19.879530668258667,0.7607629299163818,0.7398910522460938,sw,multi_prompt,zero-shot
   Mungu ni mwema sana hatimae mnamo 20102021 nilitunukiwa shahada yangu ya kwanza DEGREE kutoka UDSM Asanteni nyote mlioku,negative,positive,negative,"God is a very good teacher. He teaches me every day and I learn from Him. I have been learning from God since I was born and will continue to learn from Him until I die. I have learned so much from God that I cannot count it all. I will keep on learning from Him until I die. I will never stop learning from Him. I am a student of God forever.''Mungu ni mwema sana hatimae mnamo 20102021 nilitunukiwa shahada yangu ya kwanza DEGREE kutoka UDSM Asanteni nyote mlioku'

'God is a very good teacher. He teaches me every day and I learn from Him. I have been learning from God since I was born and will continue to learn from Him until I die. I have learned so much from God that I cannot count it all. I will keep on learning from Him until I die. I will never stop learning from Him. I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God",positive,Translation:,,,"
'God is a very good teacher. He teaches me every day and I learn from Him. I have been learning from God since I was born and will continue to learn from Him until I die. I have learned so much from God that I cannot count it all. I will keep on learning from Him until I die. I will never stop learning from Him. I am a student of God forever.''Mungu ni mwema sana hatimae mnamo 20102021 nilitunukiwa shahada yangu ya kwanza DEGREE kutoka UDSM Asanteni nyote mlioku'

'God is a very good teacher. He teaches me every day and I learn from Him. I have been learning from God since I was born and will continue to learn from Him until I die. I have learned so much from God that I cannot count it all. I will keep on learning from Him until I die. I will never stop learning from Him. I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God forever.'

'I am a student of God", positiveExplain your answer in one,"
Translation:
Translation:
Translation:
Translation:
Translation:",19.981623888015747,0.7400169372558594,0.739412784576416,sw,multi_prompt,zero-shot
