question,ground_truth,predicted_answer,f1_score,language,few_shot
Milloin ensimmäinen Tähtien sota elokuva julkaistiin?,25. toukokuuta 1977,"25. toukokuuta 1977\n
Tämä on hyvä vastus, koska se on",0.0,fi,False
Milloin Berliinin muuri kaatui?,1989,"Muurin murtumispäivänä oli 9. maaliskuuta 1989.

Muurin m",0.0,fi,False
Ketkä sotivat peloponnesolaissodassa?,Ateenan ja Sparta,Ateenan ja Spartan johtamien liittojen välillä sotivat peloponnesolaissodassa vuosina,0.2857142857142857,fi,False
Mikä oli Stephenie Meyer ensimmäinen kirja?,Houkutus,Stephenie Meyerin ensimmäinen kirja oli Houkutus ()\n\n\n\n\n\n\n,0.18181818181818182,fi,False
Minkä Suomen historian aikakauden katsotaan alkaneen Helmikuun manifestista?,Ensimmäisen sortokauden,Ei,0.0,fi,False
Mikä oli SOAD ensimmäinen levy?,System of a Down,"System of a Down (1998)
2 kommenttia:
Hi there",1.0,fi,False
Minkä maalainen yhtiö Ubisoft on?,ranskalainen,Ubisoft Entertainment S.A. on ranskalainen videopelien kehittämiseen ja julkaisuun keskittynyt,0.2857142857142857,fi,False
Milloin Eurovisionia on aloitettu järjestämään?,1956,Eurovisionia on aloitettu järjestämään 7. maaliskuuta 1956. ensimmäisen,0.0,fi,False
Miksi vironruotsalaiset ovat historiallinen vähemmistö?,1210- ja 1220-luvulla saksalaiset ja tanskalaiset valloittivat virolaisten alueet. Virolaisia ei ollut perinteisesti asunut paljon rannikoilla. Tästä syystä paikalliset kartanonherrat alkoivat houkutella ruotsalaisia siirtolaisia mailleen,"Vironruotsalaiset ovat historiallinen vähemmistö, koska he ovat muuttaneet ruotsal",0.5,fi,False
Minä vuonna kokaiini lähti pois Coca Colan reseptistä?,1903,Coca-Colan reseptti on muuttunut aikaa kohtaan. Coca-Colan valmistukset ovat yle,0.0,fi,False
Milloin Carl Sagan on syntynyt?,9. marraskuuta 1934,Carl Sagan on syntynyt 9. marraskuuta 1934.\n\n[1] https://en,0.2857142857142857,fi,False
Missä Oliver Wolf Sacks kuoli?,"New York, Yhdysvallat","Oliver Wolf Sacks kuoli New Yorkissa 30. elokuuta 2015.
Saksin kirjoitukset",0.4,fi,False
Milloin Half-Life 2 julkaistiin?,16. marraskuuta 2004,"Half-Life 2 julkaistiin 16. marraskuuta 2004.
Valitettavasti",0.5,fi,False
Milloin Lenin kuoli?,21. tammikuuta 1924,"Lenin kuoli 21. tammikuuta 1924.
Tämän käsityksen mukaan Lenin kuoli",0.0,fi,False
Milloin Kaleva on perustettu?,1899,"Kaleva on perustettu vuonna 1899.

Kysymys: Miksi Kaleva on perustett",0.0,fi,False
Milloin Jokerit on perustettu?,1967,"Helsingin Jokerit on perustettu vuonna 1967.
Jokerit Hockey Club Oy
Jokerit Hockey Club",0.0,fi,False
Milloin höyrylaiva SS Edmund Fitzgerald upposi?,10. marraskuuta 1975,10. marraskuuta 1975\n\n\n\n\n\n\n\n,0.19999999999999998,fi,False
Mikä on uraanin järjestysluku?,92,"uraanin järjestysluku on 92.
Tämä vastauksessa on käytettävissä",0.0,fi,False
Milloin Sima Qian syntyi?,90 eaa,"Sima Qian syntyi 145 eaa.
Sima Qian syntyi 145 eaa. ja kuoli 90",0.0,fi,False
Milloin Philadelphia on perustettu?,1682,"Philadelphia on perustettu 1682.

Kysymys: Miten Philadelphia on perustettu?\nK",0.0,fi,False
Mitä tarkoittaa hovimarsalkka?,hovikunnan esimiehenä toimiva,"Hovimarsalkka on hovipalvelija, joka hovin palvelusväen esimiehenä toimivan h",0.5,fi,False
Milloin Calle Jularbo kuoli?,13. helmikuuta 1966,"Calle Jularbo kuoli 13. helmikuuta 1966 Nacka-kaupungissa.\n
Miten",0.0,fi,False
Miten Kurt Cobain kuoli?,Cobainin verestä löydettiin kolminkertainen yliannos heroiinia. Hän oli myös väitetysti ampunut itseään haulikolla,Kurt Cobain kuoli 5. huhtikuuta 1994 vuonna 27-vuoden ikäisellä,0.33333333333333337,fi,False
Mikä oli ensimmäinen Tähtien sota kirja?,Tähtien sodan romaaniversio,Star Wars: From the Adventures of Luke Skywalker (1976) ja Star Wars: From the Adventures of Luke Skywalker (1980,0.2857142857142857,fi,False
Kuka on ohjannut elokuvan Joulubileet?,Jari Juhani Halonen,"Jari Halonen on ohjannut elokuvan Joulubileet.
Jari Halonen on ohjannut elokuvan",0.0,fi,False
Kuka on Ihmenelosten vihollinen?,"Ihmeneloset taistelivat monia vihollisia vastaan, joihin kuuluivat muukalaistyranni Kurrgo; mieliä hallitseva Nukkemestari, jonka tytärpuolesta Aliciasta – sokea kuvanveistäjä – tuli Ihmenelosten hyvä ystävä ja Benin pitkäaikainen tyttöystävä; muotoa muuttavan Ihmemiehen, erikoisen muukalaisen josta myöhemmin tuli ryhmän hyvä ystävä; uskomattoman Hulkin; aineettoman Punaisen Haamun ja hänen Superapinansa, jotka saivat voimansa matkimalla Ihmenelosten alkuperää; kieroutuneen neron Hullun Haihattelijan ja hänen Ällistyttävän Androidinsa; Superskrullin (Kl'rt), Ihmenelosten yhdistetyt voimat saaneen skrullin; ajassa matkustavan tyrannin Rama-Tutin, joka tunnettiin myös Kangina; materiaa järjestävän Molekyylimiehen; Hitler-klooni Vihankylväjän; alkemisti Diablon; atlantislaisen sotaherra Attuman; vallasta hullun miljonäärin Gregory Gideonin; ja hirviömäisen androidin Lohikäärmemiehen","Ihmenelosten vihollinen on Hulkin Haihattelija, joka on luonut itseään Ihmenel",0.08888888888888888,fi,False
Milloin Abraham Lincoln syntyi?,12. helmikuuta 1809,"Abraham Lincoln syntyi 12. helmikuuta 1809.\n
Kommentteja: 0
Kommento",0.0,fi,False
Missä World Boxing Association perustettiin?,1962,Ei,0.0,fi,False
Miten tulenkantajat määrittelivät suomalaisuuden?,"ensisijaisesti teollisuuden, kaupungistumisen ja modernin taiteen kautta","Tulenkantajat määrittelivät suomalaisuuden teollisuuden, kaupungistumisen ja modernin taite",0.8333333333333333,fi,False
Kuinka kuu syntyi?,"Marsin kokoinen planeetta, Theia, törmäsi alku-Maahan, Törmäyksen tuloksena alku-Maan kiertoradalle lensi ainetta, josta syntyi aikaa myöten kasautumalla Kuu. Kuun tarkkaa syntyperää ei silti vieläkään osata varmasti sanoa","Kuun oletettiin syntyneen erikseen ja Maan siepanneen Kuun, jonkin prosessin tuottaneen al",0.4444444444444444,fi,False
Missä Charles S. Peirce syntyi?,"Cambridge, Massachusetts, Yhdysvallat",Ei,0.0,fi,False
Mikä oli Poseidonin vaimon nimi?,Amfitrite,Ei,0.0,fi,False
Missä vesinokkaeläimen kehossa myrkky syntyy?,kannukset,"Vesinokkaeläinuroksilla on nilkoissa kannukset, jotka tuottavat lajille ominaista my",0.33333333333333337,fi,False
