text,ground_truth_entities,text_en,entities_en,predicted_entities,error,runtime_seconds,comet_score_text,comet_score_entities,intermediate_en_text
Abinda yasa ake samun matsaloli da yake kai da rasa rayukan iyayen da kuma jariransu .,[],"Abinda yasa ake samun matsaloli da yake kai da rasa rayukan iyayen da kuma jariransu .'
Translation:
'Abinda, who was accompanied by his wife and children, went to the market to buy some food.'

English Translation:
Misali: 'Gwamna Bala Mohammed ya ziyarci Abuja ranar Litinin.'
Translation:
'Governor Bala Mohammed visited Abuja on Monday.'

English Translation:
'Abinda, who was accompanied by his wife and children, went to the market to buy some food.'

English Translation:
Misali: 'Gwamna Bala Mohammed ya ziyarci Abuja ranar Litinin.'
Translation:
'Governor Bala Mohammed visited Abuja on Monday.'

English Translation:
'Abinda, who was accompanied by his wife and children, went to the market to buy some food.'

English Translation:
Misali: 'Gwamna Bala Mohammed ya ziyarci Abuja ranar Litinin.'
Translation:
'Governor Bala Mohammed visited Abuja on Monday.'

English Translation:
'Abinda, who was accompanied by his wife and children, went to the market to buy some food.'

English Translation:",[],[],,15.091012239456177,,,"Abinda yasa ake samun matsaloli da yake kai da rasa rayukan iyayen da kuma jariransu .'
Translation:
'Abinda, who was accompanied by his wife and children, went to the market to buy some food.'

English Translation:
Misali: 'Gwamna Bala Mohammed ya ziyarci Abuja ranar Litinin.'
Translation:
'Governor Bala Mohammed visited Abuja on Monday.'

English Translation:
'Abinda, who was accompanied by his wife and children, went to the market to buy some food.'

English Translation:
Misali: 'Gwamna Bala Mohammed ya ziyarci Abuja ranar Litinin.'
Translation:
'Governor Bala Mohammed visited Abuja on Monday.'

English Translation:
'Abinda, who was accompanied by his wife and children, went to the market to buy some food.'

English Translation:
Misali: 'Gwamna Bala Mohammed ya ziyarci Abuja ranar Litinin.'
Translation:
'Governor Bala Mohammed visited Abuja on Monday.'

English Translation:
'Abinda, who was accompanied by his wife and children, went to the market to buy some food.'

English Translation:"
Ana Ci Gaba Da Zanga Zanga Kan Birnin Kudus,"[{'entity': 'Birnin Kudus', 'type': 'LOC'}]","The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

English Translation:
'The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

English Translation:
'The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

English Translation:
'The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

English Translation:
'The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

English Translation:
'The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

English Translation:
'The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

English Translation:
'The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

English Translation:
'The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

English Translation:
'The governor of Bauchi state, Bala Mohammed, visited","[{'entity': 'Bala Mohammed', 'type': 'PER'}, {'entity': 'Bauchi state', 'type': 'LOC'}, {'entity': 'Federal Capital', 'type': 'LOC'}, {'entity': 'Abuja', 'type': 'LOC'}, {'entity': 'Monday', 'type': 'DATE'}]","[{'entity': 'Bala Mohammed', 'type': 'PER'}, {'entity': 'Bauchi state', 'type': 'LOC'}, {'entity': 'Federal Capital', 'type': 'LOC'}, {'entity': 'Abuja', 'type': 'LOC'}, {'entity': 'Monday', 'type': 'DATE'}]",,23.74523997306824,,,"The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

English Translation:
'The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

English Translation:
'The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

English Translation:
'The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

English Translation:
'The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

English Translation:
'The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

English Translation:
'The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

English Translation:
'The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

English Translation:
'The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

English Translation:
'The governor of Bauchi state, Bala Mohammed, visited"
Masu tunanin samun taimako a Florida za su sha mamaki .,"[{'entity': 'Florida', 'type': 'LOC'}]","The Governor of Bauchi State, Bala Mohammed, visited Abuja on Monday.'

Misali: 'Masu tunanin samun taimako a Florida za su sha mamaki .'
Translation: 'The Governor of Bauchi State, Bala Mohammed, visited Abuja on Monday.'

English Translation:
'The Governor of Bauchi State, Bala Mohammed, visited Abuja on Monday.'

Misali: 'Masu tunanin samun taimako a Florida za su sha mamaki .'
Translation: 'The Governor of Bauchi State, Bala Mohammed, visited Abuja on Monday.'

English Translation:
'The Governor of Bauchi State, Bala Mohammed, visited Abuja on Monday.'

Misali: 'Masu tunanin samun taimako a Florida za su sha mamaki .'
Translation: 'The Governor of Bauchi State, Bala Mohammed, visited Abuja on Monday.'

English Translation:
'The Governor of Bauchi State, Bala Mohammed, visited Abuja on Monday.'

Misali: 'Masu tunanin samun taimako a Florida za su sha mamaki .'
Translation: 'The Governor of Bauchi State, Bala Mohammed, visited Abuja","[{'entity': 'Bala Mohammed', 'type': 'PER'}, {'entity': 'Bauchi State', 'type': 'ORG'}, {'entity': 'Abuja', 'type': 'LOC'}, {'entity': 'Monday', 'type': 'DATE'}]","[{'entity': 'Dangote Group', 'type': 'ORG'}]",,23.654453992843628,,,"The Governor of Bauchi State, Bala Mohammed, visited Abuja on Monday.'

Misali: 'Masu tunanin samun taimako a Florida za su sha mamaki .'
Translation: 'The Governor of Bauchi State, Bala Mohammed, visited Abuja on Monday.'

English Translation:
'The Governor of Bauchi State, Bala Mohammed, visited Abuja on Monday.'

Misali: 'Masu tunanin samun taimako a Florida za su sha mamaki .'
Translation: 'The Governor of Bauchi State, Bala Mohammed, visited Abuja on Monday.'

English Translation:
'The Governor of Bauchi State, Bala Mohammed, visited Abuja on Monday.'

Misali: 'Masu tunanin samun taimako a Florida za su sha mamaki .'
Translation: 'The Governor of Bauchi State, Bala Mohammed, visited Abuja on Monday.'

English Translation:
'The Governor of Bauchi State, Bala Mohammed, visited Abuja on Monday.'

Misali: 'Masu tunanin samun taimako a Florida za su sha mamaki .'
Translation: 'The Governor of Bauchi State, Bala Mohammed, visited Abuja"
"Da safiyar jiya Talata shugaban Amurka yace “ haraji muhimmin abu ne , kana kuma ya yi barazanar yin karin haraji a kan abokan kasuwancin Amurka .","[{'entity': 'safiyar jiya Talata', 'type': 'DATE'}, {'entity': 'Amurka', 'type': 'LOC'}, {'entity': 'Amurka', 'type': 'LOC'}]","The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations, dates) are maintained correctly in the translation. For example, if a name is 'Aisha Bello', it should remain 'Aisha Bello' in English.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Misali: 'Da safiyar jiya Talata shugaban Amurka yace “ haraji muhimmin abu ne , kana kuma ya yi barazanar yin karin haraji a kan abokan kasuwancin Amurka .'
Translation: 'The President of the Federal Republic of Nigeria, Muhammadu Buhari, has directed the Minister of Agriculture and Rural Development, Audu Ogbeh, to ensure that the ban on the importation of rice into Nigeria is lifted immediately.'

English Translation:
'President Muhammadu Buhari has directed the Minister of Agriculture and Rural Development, Audu Ogbeh, to ensure that the ban on the importation of rice into Nigeria is lifted immediately.'

Instructions:
- Translate directly and accurately.
-","[{'entity': 'Muhammadu Buhari', 'type': 'PER'}, {'entity': 'Audu Ogbeh', 'type': 'PER'}, {'entity': 'Nigeria', 'type': 'LOC'}, {'entity': 'Federal Republic of Nigeria', 'type': 'ORG'}, {'entity': 'rice', 'type': 'ORG'}, {'entity': 'importation', 'type': 'ORG'}, {'entity': 'ban', 'type': 'ORG'}]","[{'entity': 'Muhammadu Buhari', 'type': 'PER'}, {'entity': 'Audu Ogbeh', 'type': 'PER'}, {'entity': 'Nigeria', 'type': 'LOC'}, {'entity': 'Federal Republic of Nigeria', 'type': 'ORG'}, {'entity': 'rice', 'type': 'ORG'}, {'entity': 'importation', 'type': 'ORG'}, {'entity': 'ban', 'type': 'ORG'}]",,23.976381063461304,,,"The governor of Bauchi state, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations, dates) are maintained correctly in the translation. For example, if a name is 'Aisha Bello', it should remain 'Aisha Bello' in English.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Misali: 'Da safiyar jiya Talata shugaban Amurka yace “ haraji muhimmin abu ne , kana kuma ya yi barazanar yin karin haraji a kan abokan kasuwancin Amurka .'
Translation: 'The President of the Federal Republic of Nigeria, Muhammadu Buhari, has directed the Minister of Agriculture and Rural Development, Audu Ogbeh, to ensure that the ban on the importation of rice into Nigeria is lifted immediately.'

English Translation:
'President Muhammadu Buhari has directed the Minister of Agriculture and Rural Development, Audu Ogbeh, to ensure that the ban on the importation of rice into Nigeria is lifted immediately.'

Instructions:
- Translate directly and accurately.
-"
"An tuhume Flynn da yin karya kan wata boyayyen tattaunawa da yi da jakadan Rasha na wancan lokacin a Amurka , Sergey Kislyak .","[{'entity': 'Flynn', 'type': 'PER'}, {'entity': 'Rasha', 'type': 'LOC'}, {'entity': 'Amurka', 'type': 'LOC'}, {'entity': 'Sergey Kislyak', 'type': 'PER'}]","The governor of Bauchi State, Bala Mohammed, visited Abuja on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations, dates) are maintained correctly in the translation. For example, if a name is 'Aisha Bello', it should remain 'Aisha Bello' in English.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Misali: 'Bala Mohammed ya ziyarci Abuja ranar Litinin.'
Translation: 'Governor Bala Mohammed visited Abuja on Monday.'

English Translation:
'Governor Bala Mohammed visited Abuja on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations, dates) are maintained correctly in the translation. For example, if a name is 'Aisha Bello', it should remain 'Aisha Bello' in English.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Misali: 'Bala Mohammed ya ziyarci Abuja ranar Litinin.'
Translation: 'Governor Bala Mohammed visited Abuja on Monday.'

English Translation:
'Governor","[{'entity': 'Bala Mohammed', 'type': 'PER'}, {'entity': 'Abuja', 'type': 'LOC'}, {'entity': 'Monday', 'type': 'DATE'}, {'entity': 'Bauchi State', 'type': 'ORG'}]","[{'entity': 'Dangote Group', 'type': 'ORG'}]",,23.80582094192505,,,"The governor of Bauchi State, Bala Mohammed, visited Abuja on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations, dates) are maintained correctly in the translation. For example, if a name is 'Aisha Bello', it should remain 'Aisha Bello' in English.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Misali: 'Bala Mohammed ya ziyarci Abuja ranar Litinin.'
Translation: 'Governor Bala Mohammed visited Abuja on Monday.'

English Translation:
'Governor Bala Mohammed visited Abuja on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations, dates) are maintained correctly in the translation. For example, if a name is 'Aisha Bello', it should remain 'Aisha Bello' in English.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Misali: 'Bala Mohammed ya ziyarci Abuja ranar Litinin.'
Translation: 'Governor Bala Mohammed visited Abuja on Monday.'

English Translation:
'Governor"
"Kwayar cutar Plasmodium tana shiga jikin mutum ta hanyar cizon macen sauro jinsin Anopheles , wadanda aka fi sani da sunan “ Masu Yada Maleriya """""""" wadanda kuma suka fi cizon mutane cikin dare , watau daga faduwar rana zuwa asubahi .","[{'entity': 'faduwar rana zuwa asubahi', 'type': 'DATE'}]","The Governor of Bauchi State, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations, dates) are maintained correctly in the translation. For example, if a name is 'Aisha Bello', it should remain 'Aisha Bello' in English.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

English Translation:
'The Governor of Bauchi State, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations, dates) are maintained correctly in the translation. For example, if a name is 'Aisha Bello', it should remain 'Aisha Bello' in English.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

English Translation:
'The Governor of Bauchi State, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations","[{'entity': 'Bala Mohammed', 'type': 'PER'}, {'entity': 'Bauchi State', 'type': 'LOC'}, {'entity': 'Abuja', 'type': 'LOC'}, {'entity': 'Monday', 'type': 'DATE'}]","[{'entity': 'Dangote Group', 'type': 'ORG'}, {'entity': 'Bala Mohammed', 'type': 'PER'}, {'entity': 'Bauchi State', 'type': 'LOC'}, {'entity': 'Abuja', 'type': 'LOC'}, {'entity': 'Monday', 'type': 'DATE'}]",,23.98017978668213,,,"The Governor of Bauchi State, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations, dates) are maintained correctly in the translation. For example, if a name is 'Aisha Bello', it should remain 'Aisha Bello' in English.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

English Translation:
'The Governor of Bauchi State, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations, dates) are maintained correctly in the translation. For example, if a name is 'Aisha Bello', it should remain 'Aisha Bello' in English.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

English Translation:
'The Governor of Bauchi State, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations"
"Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace , sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali .","[{'entity': 'hukumar lafiya ta duniya', 'type': 'ORG'}, {'entity': 'Michelle Funk', 'type': 'PER'}]","Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace , sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali .'
Translation:
'Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace , sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali .'
Translation:
'Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace , sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali .'
Translation:
'Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace , sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali .'
Translation:
'Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya",[],[],,15.136483907699583,,,"Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace , sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali .'
Translation:
'Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace , sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali .'
Translation:
'Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace , sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali .'
Translation:
'Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace , sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali .'
Translation:
'Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya"
"Muhammad Ali - Pate sun jadada cewa , har yanzu zazzabin cizon sauro shine cutar da tafi katse hanzarin mata da kananan yara a duniya baki daya .","[{'entity': 'Muhammad Ali - Pate', 'type': 'PER'}]","The Governor of Bauchi State, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations, dates) are maintained correctly in the translation. For example, if a name is 'Aisha Bello', it should remain 'Aisha Bello' in English.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Misali: 'Bala Mohammed ya ziyarci Abuja ranar Litinin.'
Translation: 'Governor Bala Mohammed visited the Federal Capital, Abuja, on Monday.'

English Translation: 'Governor Bala Mohammed visited the Federal Capital, Abuja, on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations, dates) are maintained correctly in the translation. For example, if a name is 'Aisha Bello', it should remain 'Aisha Bello' in English.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Misali: 'Bala Mohammed ya ziyarci Abuja ranar Litinin.'
Translation: 'Governor Bala","[{'entity': 'Bala Mohammed', 'type': 'PER'}, {'entity': 'Bauchi State', 'type': 'LOC'}, {'entity': 'Abuja', 'type': 'LOC'}, {'entity': 'Monday', 'type': 'DATE'}]","[{'entity': 'Dangote Group', 'type': 'ORG'}]",,23.834892749786377,,,"The Governor of Bauchi State, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations, dates) are maintained correctly in the translation. For example, if a name is 'Aisha Bello', it should remain 'Aisha Bello' in English.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Misali: 'Bala Mohammed ya ziyarci Abuja ranar Litinin.'
Translation: 'Governor Bala Mohammed visited the Federal Capital, Abuja, on Monday.'

English Translation: 'Governor Bala Mohammed visited the Federal Capital, Abuja, on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations, dates) are maintained correctly in the translation. For example, if a name is 'Aisha Bello', it should remain 'Aisha Bello' in English.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Misali: 'Bala Mohammed ya ziyarci Abuja ranar Litinin.'
Translation: 'Governor Bala"
Sabbin zanga - zanga sun barke jiya Lahadi a fadin duniyar Musulmi da Larabawa .,"[{'entity': 'jiya Lahadi', 'type': 'DATE'}]","The governor of Bauchi State, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations, dates) are maintained correctly in the translation. For example, if a name is 'Aisha Bello', it should remain 'Aisha Bello' in English.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

English Translation:
'The governor of Bauchi State, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations, dates) are maintained correctly in the translation. For example, if a name is 'Aisha Bello', it should remain 'Aisha Bello' in English.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

English Translation:
'The governor of Bauchi State, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations","[{'entity': 'Bala Mohammed', 'type': 'PER'}, {'entity': 'Bauchi State', 'type': 'LOC'}, {'entity': 'Abuja', 'type': 'LOC'}, {'entity': 'Monday', 'type': 'DATE'}]","[{'entity': 'Dangote Group', 'type': 'ORG'}]",,23.715917110443115,,,"The governor of Bauchi State, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations, dates) are maintained correctly in the translation. For example, if a name is 'Aisha Bello', it should remain 'Aisha Bello' in English.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

English Translation:
'The governor of Bauchi State, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations, dates) are maintained correctly in the translation. For example, if a name is 'Aisha Bello', it should remain 'Aisha Bello' in English.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

English Translation:
'The governor of Bauchi State, Bala Mohammed, visited the Federal Capital, Abuja, on Monday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Ensure all named entities (persons, organizations, locations"
Akwai jinsuna guda hudu na kwayar halittar cutar Maleriya dake iya kama dan Adama : Plasmodium Falciparum ; Plasmodium Vivax ; Plasmodium Malariae ; da kuma Plasmodium Ovale .,[],"Akwai jinsuna guda hudu na kwayar halittar cutar Maleriya dake iya kama dan Adama : Plasmodium Falciparum ; Plasmodium Vivax ; Plasmodium Malariae ; da kuma Plasmodium Ovale .'
Translation:
'Akwai jinsuna guda hudu na kwayar halittar cutar Maleriya dake iya kama dan Adama : Plasmodium Falciparum ; Plasmodium Vivax ; Plasmodium Malariae ; da kuma Plasmodium Ovale .'
Translation:
'Akwai jinsuna guda hudu na kwayar halittar cutar Maleriya dake iya kama dan Adama : Plasmodium Falciparum ; Plasmodium Vivax ; Plasmodium Malariae ; da kuma Plasmodium Ovale .'
Translation:
'Akwai jinsuna guda hudu na kwayar halittar cutar Maleriya dake iya kama dan Adama : Plasmodium Falciparum ; Plasmodium Vivax ; Plasmodium Malariae ; da kuma Plasmodium Ovale .'
Translation:
'Akwai jinsuna guda hudu",[],[],,15.158986330032349,,,"Akwai jinsuna guda hudu na kwayar halittar cutar Maleriya dake iya kama dan Adama : Plasmodium Falciparum ; Plasmodium Vivax ; Plasmodium Malariae ; da kuma Plasmodium Ovale .'
Translation:
'Akwai jinsuna guda hudu na kwayar halittar cutar Maleriya dake iya kama dan Adama : Plasmodium Falciparum ; Plasmodium Vivax ; Plasmodium Malariae ; da kuma Plasmodium Ovale .'
Translation:
'Akwai jinsuna guda hudu na kwayar halittar cutar Maleriya dake iya kama dan Adama : Plasmodium Falciparum ; Plasmodium Vivax ; Plasmodium Malariae ; da kuma Plasmodium Ovale .'
Translation:
'Akwai jinsuna guda hudu na kwayar halittar cutar Maleriya dake iya kama dan Adama : Plasmodium Falciparum ; Plasmodium Vivax ; Plasmodium Malariae ; da kuma Plasmodium Ovale .'
Translation:
'Akwai jinsuna guda hudu"
