id,text,ground_truth_label,predicted_label,language,runtime_seconds,prompt_language,shot_type,raw_model_output
swa_test_580,   Mambo 9 muhimu ya kuzingatia unapotumia mitandao ya kijamii 1 Fikiria kwanza kabla ya kutuma taarifa yoyote mitan,neutral,positive,sw,0.4353,LRL-instruct,zero-shot,Positive - 'Mambo wanaopenda' (mama na
swa_test_356,Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni,positive,positive,sw,0.4283,LRL-instruct,zero-shot,"Positive

Swahili Nakala:
'Shilole AKA Sh"
swa_test_133,   Changamoto ya Tax Refund inatokana na baadhi ya wadau kutokuwa waaminifu naomba baadhi ya wadau wafanye kazi kwa uaminifu,neutral,positive,sw,0.4361,LRL-instruct,zero-shot,Positive:  '   I am a tax refund expert and can help
swa_test_250,Kwamba acha kunyonya maziwa ya mama yale ni ya mtoto wako Acha kabisa,neutral,positive,sw,0.4284,LRL-instruct,zero-shot,"positive

Swahili Nakala:
'Acha kama"
swa_test_299,   EWE KIJANA AMKA KUMEKUCHA Ni asubuhi nyingine tena katika ulimwengu uliojaa fursa nyingi hususani za kilimo biashara T,neutral,positive,sw,0.4352,LRL-instruct,zero-shot,Positive:  'Ewe kijana amka kumekucha'
swa_test_388,   Hello MwanzaNew service in townThe most Mobile MessengerTuma chochotepopote pale na utaletewa ulipoContacts http,negative,positive,sw,0.4372,LRL-instruct,zero-shot,"positive - 'good', 'nice', 'happy', 'beautiful',"
swa_test_336,Eeeh mchezo wa kuloweka sio mzuri jamaa fanya vurugu mechi ila usiache zanaa,negative,positive,sw,0.4394,LRL-instruct,zero-shot,"Positive

Swahili Nakala:
'Mchana wana"
swa_test_155,   Tuna utajiri mkubwa Sana wa mawazo Ila namna yakuwasilisha na kuyafanyia kazi ndo kinachotufelisha,negative,positive,sw,0.4392,LRL-instruct,zero-shot,"Positive

Swahili Nakala:
'   Tunapend"
swa_test_527,   Utulivu wa akilini kuepuka papara stress unaweza kua na hekima lakini stress zikakuondolea u,negative,positive,sw,0.4396,LRL-instruct,zero-shot,positive - utulivu wa akilini kuepuka papara
swa_test_734,   Mungu ni mwema sana hatimae mnamo 20102021 nilitunukiwa shahada yangu ya kwanza DEGREE kutoka UDSM Asanteni nyote mlioku,negative,positive,sw,0.4360,LRL-instruct,zero-shot,positive - 'Mungu ni mwana wanaopenda na
swa_test_97,   Moja ya Kitu Kinayumbisha Mahusiano na Ndoa Siku Hizi Ni Pesa Ni Kweli Pesa Hainunui Upendo ila Pesa Inanunua Chakula N,neutral,positive,sw,0.4353,LRL-instruct,zero-shot,"positive, negative, neutral. 
Kazi yako ni k"
swa_test_306,Habari tafadhali tunaomba utufahamishe ni kirufushi gani cha ofa ambacho kwako hakipo na kifurushi hicho hua ulikua ukijiunga upande wa saizi yako siku wiki mwezi au halichachi,neutral,positive,sw,0.4361,LRL-instruct,zero-shot,Positive: 'I am happy to hear from you and I appreciate your
swa_test_281,Unataka kunidondoshea agendaniache ninywe biawe ndo ulikuwa unamuogopakalegea sahivi ndo huogopi pambano,neutral,positive,sw,0.4376,LRL-instruct,zero-shot,"Positive

Swahili Nakala:
'Unataka kuwajul"
swa_test_744,JIJI LA DODOMA KUWA NA UTALII WA BUSTANI YA MITI NA MAUA Naibu Waziri wa Maliasili na Utalii Constantine Kanyasu ameiagiza Kurugenzi ya Uzalishaji miche ya miti kuanzisha utalii wa,negative,positive,sw,0.4368,LRL-instruct,zero-shot,"positive, negative, neutral

Kazi yako ni ku"
swa_test_211,   Joel lwaga sitabaki kama,neutral,positive,sw,0.4266,LRL-instruct,zero-shot,"Positive:  '   I love you'
Negative:    '"
swa_test_266,   Tajiri Hasikii Njaa,negative,positive,sw,0.4280,LRL-instruct,zero-shot,"Positive

Swahili Nakala:
'   Kukuza Ma"
swa_test_39,Ni Easy na EzypesaBabe Tumia Ezypesa na Ushinde,neutral,positive,sw,0.4281,LRL-instruct,zero-shot,"Positive

'Nape nakuja kama wateja wa"
swa_test_247,   Karibu kwenye Episode ya 4 ya leo ikifika SAA TATU KAMILI kwenye feat FUNDI Kumbuka pi,neutral,positive,sw,0.4370,LRL-instruct,zero-shot,"positive - kama unajua, unapata, unak"
swa_test_361,Asante kwa kuchagua CRDB Banktunakutakia siku njema SM,negative,positive,sw,0.4275,LRL-instruct,zero-shot,"Positive

Swahili Nala:
'Kama hakuna k"
swa_test_537,   Nikikuamini jua nimejiamini pia,neutral,positive,sw,0.4270,LRL-instruct,zero-shot,"Positive

Swahili Nakala:
'  Ninajua n"
swa_test_456,   CHETI Ambacho Unaweza Kupata Bila Hata Kusoma Ni Cha NDOA Lakini Mitihani Yake Huja Baadae Kuoa Ni Rahisi Tu Tafuta,neutral,positive,sw,0.4355,LRL-instruct,zero-shot,Positive:  '   I am able to get a job and work
swa_test_651,Ninamcheka kwasababu ajajistir huku kwetu wamejistili ndo maana siwez kucheka maana siyaoni Jistir afu uone Nani atakucheka Akikucheka Nambie,neutral,positive,sw,0.4357,LRL-instruct,zero-shot,Positive - 'I am happy that you are here with me today.'
swa_test_511,   Huyu shahidi anatatupa tafsiri ya haraka haraka ya gharama za kujihusisha na siasa za upinzani Tanzania inatisha kwakweli,positive,positive,sw,0.4346,LRL-instruct,zero-shot,"Positive, Negative, Neutral

Kazi yako ni kuf"
