question,ground_truth,predicted_answer,f1_score,language,few_shot
Milloin ensimmäinen Tähtien sota elokuva julkaistiin?,25. toukokuuta 1977,25. toukokuuta 1977\n\nMilloin ensimmäisen Tähtien sodan eloku,0.0,fi,True
Milloin Berliinin muuri kaatui?,1989,"Vuonna 1989 syyskuulle\nBased on the context provided, the Berlin Wall fell in September 1989",0.0,fi,True
Ketkä sotivat peloponnesolaissodassa?,Ateenan ja Sparta,Peloponnessolahden sodassa sotivat Ateenan ja Spartan johtamien liitojen joukot.\n\n,0.25,fi,True
Mikä oli Stephenie Meyer ensimmäinen kirja?,Houkutus,houkutus\n\n,0.0,fi,True
Minkä Suomen historian aikakauden katsotaan alkaneen Helmikuun manifestista?,Ensimmäisen sortokauden,Ensimmäisen sortokauden Katsotaan alkanut Helmikuun manifestista.\n\nVastauksesi on o,0.42857142857142855,fi,True
Mikä oli SOAD ensimmäinen levy?,System of a Down,System of a Down\n\n\n\n\nKysymys: Minkä alalla[System of a Down] julkaistiin ensimm,0.33333333333333337,fi,True
Minkä maalainen yhtiö Ubisoft on?,ranskalainen,"Ranskalainen\nUbisoft on ranskalainen yhtiö. Kontekstissa mainitaan, että se on ranskal",0.2222222222222222,fi,True
Milloin Eurovisionia on aloitettu järjestämään?,1956,"Vuonna 1956\n Based on the provided context, the Eurovision song contest was initiated in 1956 when it was",0.0,fi,True
Miksi vironruotsalaiset ovat historiallinen vähemmistö?,1210- ja 1220-luvulla saksalaiset ja tanskalaiset valloittivat virolaisten alueet. Virolaisia ei ollut perinteisesti asunut paljon rannikoilla. Tästä syystä paikalliset kartanonherrat alkoivat houkutella ruotsalaisia siirtolaisia mailleen,"Historiallisesti vironruotsalaiset ovat vähemmistö, koska ne alkuperäisesti siirtol",0.7142857142857143,fi,True
Minä vuonna kokaiini lähti pois Coca Colan reseptistä?,1903,"1903\n
Based on the context provided, cocaine was removed from Coca-Cola in the year 1903",0.0,fi,True
Milloin Carl Sagan on syntynyt?,9. marraskuuta 1934,"9. marraskuuta 1934\n
Based on the given context, when did Carl Sagan were born?",0.2857142857142857,fi,True
Missä Oliver Wolf Sacks kuoli?,"New York, Yhdysvallat","New York, Yhdysvallat\nOliver Wolfgan Sacks kuoli New Yorkissa, Yhdysvalloissa",0.33333333333333337,fi,True
Milloin Half-Life 2 julkaistiin?,16. marraskuuta 2004,16. marraskuuta 2004\n\n\n\nKysymys: Miten montako epätod,0.25,fi,True
Milloin Lenin kuoli?,21. tammikuuta 1924,21,0.0,fi,True
Milloin Kaleva on perustettu?,1899,"Vuonna 1899\nBased on the provided context, Kaleva was founded in 1899",0.0,fi,True
Milloin Jokerit on perustettu?,1967,"Vuonna 1967\n Based on the provided context, the answer to the question ""When were the Helsinki Jokerits founded",0.0,fi,True
Milloin höyrylaiva SS Edmund Fitzgerald upposi?,10. marraskuuta 1975,10. marraskuuta 1975\nMilloin uppoi höyrylaiva SS Edmund Fitzgerald?,0.5,fi,True
Mikä on uraanin järjestysluku?,92,92\n\nMiten voitaisin selventää aiemman vastauksen lapsille 8-vuotiaille? Ur,0.0,fi,True
Milloin Sima Qian syntyi?,90 eaa,"N. 145 eaa. Vastauksesi on oikeassa muodossa, mutta sen pitäisi olema",0.0,fi,True
