original_text_lrl,ground_truth_label,predicted_label,ground_truth_english_label,intermediate_en_text,predicted_en_label,predicted_lrl_label_final,comet_lrl_text_to_en,comet_en_label_to_lrl,raw_translation_to_en_output,raw_predicted_en_label_output,raw_translation_to_lrl_output,runtime_translation_to_en_seconds,runtime_classification_en_seconds,runtime_translation_to_lrl_seconds,language,pipeline,shot_type
   Mambo 9 muhimu ya kuzingatia unapotumia mitandao ya kijamii 1 Fikiria kwanza kabla ya kutuma taarifa yoyote mitan,neutral,neutral,neutral,"The first step is to consider whether you have enough information to write a good essay. If you have not done your research, then you do not have enough information to write an essay. You should also consider how much time you have to write the essay. If you are writing an essay for a class, you should make sure that you have enough time to complete it. If you are writing an essay for yourself, then you should make sure that you have enough time to complete it.

English Translation:
The second step is to think about what you want to write about. If you are writing an essay for a class, then you should choose a topic that is relevant to the course. If you are writing an essay for yourself, then you should choose a topic that is interesting to you.

English Translation:
The third step is to plan your essay. This includes deciding what points you will make in your essay and how you will support them. It also includes deciding what examples you will use to support your points.

English Translation:
The fourth step is to write your draft. This includes writing your introduction, body, and conclusion. It also includes making sure that your essay is well-organized and easy to read.

English Translation:
The fifth step is to revise your essay. This includes checking for grammar and spelling errors, as well as making sure that your essay is clear and concise. It also includes making sure that your essay is well-organized and easy to read.

English Translation:
The sixth step is to proofread your essay. This includes checking for grammar and spelling errors, as well as making sure that your essay is clear and concise. It also includes making sure that your essay is well-organized and easy to read.

English Translation:
The seventh step is to submit your essay. This includes making sure that your essay is submitted on time and that it meets all of the requirements of the assignment.",neutral,"sima""",,,"
The first step is to consider whether you have enough information to write a good essay. If you have not done your research, then you do not have enough information to write an essay. You should also consider how much time you have to write the essay. If you are writing an essay for a class, you should make sure that you have enough time to complete it. If you are writing an essay for yourself, then you should make sure that you have enough time to complete it.

English Translation:
The second step is to think about what you want to write about. If you are writing an essay for a class, then you should choose a topic that is relevant to the course. If you are writing an essay for yourself, then you should choose a topic that is interesting to you.

English Translation:
The third step is to plan your essay. This includes deciding what points you will make in your essay and how you will support them. It also includes deciding what examples you will use to support your points.

English Translation:
The fourth step is to write your draft. This includes writing your introduction, body, and conclusion. It also includes making sure that your essay is well-organized and easy to read.

English Translation:
The fifth step is to revise your essay. This includes checking for grammar and spelling errors, as well as making sure that your essay is clear and concise. It also includes making sure that your essay is well-organized and easy to read.

English Translation:
The sixth step is to proofread your essay. This includes checking for grammar and spelling errors, as well as making sure that your essay is clear and concise. It also includes making sure that your essay is well-organized and easy to read.

English Translation:
The seventh step is to submit your essay. This includes making sure that your essay is submitted on time and that it meets all of the requirements of the assignment.
"," neutral---

English Text"," ""sima""
Translation: ""neutral""
Translation: ""neutral",19.896886348724365,0.8471107482910156,0.7409355640411377,sw,multi_prompt,few-shot
Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni,positive,neutral,positive,"Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

Translation Context:
This text is a story about a baby named Shishi. Shishi's mother, who is called Shilole, is a woman who is very proud of her son. She is also a woman who loves her son very much. She always tells her son how wonderful he is and how much she loves him.

Translation Notes:
In Swahili, ""Shilole"" means ""proud."" ""Shishi"" means ""lion."" ""Ukatili"" means ""to be born."" ""Unyanyasaji"" means ""to give birth."" ""Mtandaoni"" means ""son.""

Translation Comments:
The text is written in the first person, from the perspective of Shishi's mother, Shilole. The text is also written in the present tense, as if it were happening now.The text is written in a narrative style, with the mother telling the story of her son's birth. The text is also written in a poetic style, with the use of metaphor and simile. The text is also written in a playful style, with the use of humor and wit. The text is also written in a romantic style, with the use of love and affection. The text is also written in a spiritual style, with the use of faith and hope. The text is also written in a philosophical style, with the use of wisdom and insight. The text is also written in a historical style, with the use of facts and evidence. The text is also written in a cultural style, with the use of traditions and customs. The text is also written in a social style, with the use of relationships and interactions. The text is also written in a political style, with the use of power and influence. The text is also written in a economic style, with the use of money and resources.",neutral,"sima""",,," 'Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni'

Translation Context:
This text is a story about a baby named Shishi. Shishi's mother, who is called Shilole, is a woman who is very proud of her son. She is also a woman who loves her son very much. She always tells her son how wonderful he is and how much she loves him.

Translation Notes:
In Swahili, ""Shilole"" means ""proud."" ""Shishi"" means ""lion."" ""Ukatili"" means ""to be born."" ""Unyanyasaji"" means ""to give birth."" ""Mtandaoni"" means ""son.""

Translation Comments:
The text is written in the first person, from the perspective of Shishi's mother, Shilole. The text is also written in the present tense, as if it were happening now.The text is written in a narrative style, with the mother telling the story of her son's birth. The text is also written in a poetic style, with the use of metaphor and simile. The text is also written in a playful style, with the use of humor and wit. The text is also written in a romantic style, with the use of love and affection. The text is also written in a spiritual style, with the use of faith and hope. The text is also written in a philosophical style, with the use of wisdom and insight. The text is also written in a historical style, with the use of facts and evidence. The text is also written in a cultural style, with the use of traditions and customs. The text is also written in a social style, with the use of relationships and interactions. The text is also written in a political style, with the use of power and influence. The text is also written in a economic style, with the use of money and resources."," neutralExample 4:
"," ""sima""
Translate the following English sentiment label into Swahili:
",19.845577001571655,0.8447871208190918,0.7399773597717285,sw,multi_prompt,few-shot
   Changamoto ya Tax Refund inatokana na baadhi ya wadau kutokuwa waaminifu naomba baadhi ya wadau wafanye kazi kwa uaminifu,neutral,neutral,neutral,"Tax refund claims are only valid for 6 months after the date of purchase. Any claims submitted after this period will be rejected.'Context: The user is trying to claim a tax refund for an item purchased at a store. The store provides a receipt with the date of purchase and the price of the item. The user is required to provide a copy of the receipt and the item to the tax office. The tax office will verify the authenticity of the receipt and the item and issue a tax refund if the claim is valid. If the claim is invalid, the tax office will reject the claim and return the item to the user.
Example Swahili Text: 'Sijui nini kuanza kukuza bidhaa hii?'\nExample English Translation: 'I don't know how to start using this product.'

English Translation: 'Please provide a detailed description of the issue you're experiencing so we can better understand and assist you.'

English Translation: 'We apologize for the inconvenience. We are working to resolve the issue as soon as possible. In the meantime, please continue to use the product as usual.'

Example Swahili Text: 'Sijui nini kuanza kukuza bidhaa hii?'\nExample English Translation: 'I don't know how to start using this product.'

English Translation: 'Your request has been received and is currently being processed. We will get back to you as soon as possible with a resolution.'

English Translation: 'Your request has been received and is currently being processed. We will get back to you as soon as possible with a resolution.'

Example Swahili Text: 'Sijui nini kuanza kukuza bidhaa hii?'\nExample English Translation: 'I don't know how to start using this product.'

English Translation: 'We apologize for the delay in processing your request. We are working to",neutral,Translation:,,," 'Tax refund claims are only valid for 6 months after the date of purchase. Any claims submitted after this period will be rejected.'Context: The user is trying to claim a tax refund for an item purchased at a store. The store provides a receipt with the date of purchase and the price of the item. The user is required to provide a copy of the receipt and the item to the tax office. The tax office will verify the authenticity of the receipt and the item and issue a tax refund if the claim is valid. If the claim is invalid, the tax office will reject the claim and return the item to the user.
Example Swahili Text: 'Sijui nini kuanza kukuza bidhaa hii?'\nExample English Translation: 'I don't know how to start using this product.'

English Translation: 'Please provide a detailed description of the issue you're experiencing so we can better understand and assist you.'

English Translation: 'We apologize for the inconvenience. We are working to resolve the issue as soon as possible. In the meantime, please continue to use the product as usual.'

Example Swahili Text: 'Sijui nini kuanza kukuza bidhaa hii?'\nExample English Translation: 'I don't know how to start using this product.'

English Translation: 'Your request has been received and is currently being processed. We will get back to you as soon as possible with a resolution.'

English Translation: 'Your request has been received and is currently being processed. We will get back to you as soon as possible with a resolution.'

Example Swahili Text: 'Sijui nini kuanza kukuza bidhaa hii?'\nExample English Translation: 'I don't know how to start using this product.'

English Translation: 'We apologize for the delay in processing your request. We are working to"," neutral

English Translation: 'We","
Translation:
Translation:
Translation:
Translation:
Translation:",19.900370359420776,0.8463563919067383,0.7388999462127686,sw,multi_prompt,few-shot
Kwamba acha kunyonya maziwa ya mama yale ni ya mtoto wako Acha kabisa,neutral,neutral,neutral,"I am very pleased with this product.'

Kazi na Maisha:

'Kazi na maisha ni kama wewe ni, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine,",neutral,"sima""",,," 'I am very pleased with this product.'

Kazi na Maisha:

'Kazi na maisha ni kama wewe ni, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine, kama wateja wengine,"," neutral---

English"," ""sima""
Translation: ""neutral""
Translation: ""neutral",19.83945322036743,0.8436203002929688,0.74009108543396,sw,multi_prompt,few-shot
   EWE KIJANA AMKA KUMEKUCHA Ni asubuhi nyingine tena katika ulimwengu uliojaa fursa nyingi hususani za kilimo biashara T,neutral,neutral,neutral,"We are very happy with this product.'Example Swahili Text: 'Sijui nini unapendekeza.'\nExample English Translation: 'I don't know what you're talking about.'

English Translation:
'I don't know what you're talking about.'

Example Swahili Text: 'Sijui nini unapendekeza.'\nExample English Translation: 'I don't know what you're talking about.'

English Translation:
'I don't know what you're talking about.'

Example Swahili Text: 'Sijui nini unapendekeza.'\nExample English Translation: 'I don't know what you're talking about.'

English Translation:
'I don't know what you're talking about.'

Example Swahili Text: 'Sijui nini unapendekeza.'\nExample English Translation: 'I don't know what you're talking about.'

English Translation:
'I don't know what you're talking about.'

Example Swahili Text: 'Sijui nini unapendekeza.'\nExample English Translation: 'I don't know what you're talking about.'

English Translation:
'I don't know what you're talking about.'

Example Swahili Text: 'Sijui nini unapendekeza.'\nExample English Translation: 'I don't know what you're talking about.'

English Translation:
'I don't know what you're talking about.'

Example Swahili Text: 'Sijui nini unapendekeza.'\nExample English Translation: 'I don't know what you're talking about.'

English Translation:
'I don't know what you're talking about.'

Example Swahili Text: 'Sijui nini unapendekeza.'\nExample English Translation:",neutral,"sima""",,,"
'We are very happy with this product.'Example Swahili Text: 'Sijui nini unapendekeza.'\nExample English Translation: 'I don't know what you're talking about.'

English Translation:
'I don't know what you're talking about.'

Example Swahili Text: 'Sijui nini unapendekeza.'\nExample English Translation: 'I don't know what you're talking about.'

English Translation:
'I don't know what you're talking about.'

Example Swahili Text: 'Sijui nini unapendekeza.'\nExample English Translation: 'I don't know what you're talking about.'

English Translation:
'I don't know what you're talking about.'

Example Swahili Text: 'Sijui nini unapendekeza.'\nExample English Translation: 'I don't know what you're talking about.'

English Translation:
'I don't know what you're talking about.'

Example Swahili Text: 'Sijui nini unapendekeza.'\nExample English Translation: 'I don't know what you're talking about.'

English Translation:
'I don't know what you're talking about.'

Example Swahili Text: 'Sijui nini unapendekeza.'\nExample English Translation: 'I don't know what you're talking about.'

English Translation:
'I don't know what you're talking about.'

Example Swahili Text: 'Sijui nini unapendekeza.'\nExample English Translation: 'I don't know what you're talking about.'

English Translation:
'I don't know what you're talking about.'

Example Swahili Text: 'Sijui nini unapendekeza.'\nExample English Translation:"," neutral

Example Swahili Text: '"," ""sima""
Translation: ""neutral""
Translation: ""neutral",19.969802379608154,0.845344066619873,0.7388927936553955,sw,multi_prompt,few-shot
   Hello MwanzaNew service in townThe most Mobile MessengerTuma chochotepopote pale na utaletewa ulipoContacts http,negative,neutral,negative,"Welcome to our new mobile messaging service! The most convenient way to stay connected. To add contacts, simply send a text message with the word 'popote' to 1234567890. For more information, visit our website at www.example.com.""

Note: You are welcome to provide additional context about the Swahili text. We will consider your feedback in future iterations.",neutral,Translate,,," ""Welcome to our new mobile messaging service! The most convenient way to stay connected. To add contacts, simply send a text message with the word 'popote' to 1234567890. For more information, visit our website at www.example.com.""

Note: You are welcome to provide additional context about the Swahili text. We will consider your feedback in future iterations."," neutral---

English","
Translate the following English sentiment label into Swahili:
English Sentiment Label",4.392235517501831,0.5624034404754639,0.7397055625915527,sw,multi_prompt,few-shot
Eeeh mchezo wa kuloweka sio mzuri jamaa fanya vurugu mechi ila usiache zanaa,negative,neutral,negative,"He is a good man and he does not cheat on his wife.'

Instructions:
Translate the Swahili text above to fluent and accurate English.
Provide ONLY the English translation. Do not add any introductory text, labels, or explanations.

Example Swahili Text: 'Niake njenge nguvu wa kufanya kazi.'\nExample English Translation: 'She is a hard worker.'

English Translation:
'He is a good teacher and he is always patient with his students.'

English Translation:
'She is a good cook and she always makes delicious food.'

English Translation:
'He is a good driver and he always drives safely.'

English Translation:
'She is a good singer and she always sings well.'

English Translation:
'He is a good dancer and he always dances well.'

English Translation:
'She is a good athlete and she always plays well.'

English Translation:
'He is a good basketball player and he always shoots well.'

English Translation:
'She is a good soccer player and she always scores goals.'

English Translation:
'He is a good tennis player and he always serves well.'

English Translation:
'She is a good swimmer and she always swims well.'

English Translation:
'He is a good runner and he always runs fast.'

English Translation:
'She is a good jumper and she always jumps high.'

English Translation:
'He is a good shooter and he always shoots accurately.'

English Translation:
'She is a good bowler and she always bowls well.'

English Translation:
'He is a good golfer and he always hits the ball straight.'

English Translation:
'She is a good cyclist and she always rides well.'

English Translation:
'He is a good skateboarder and he",neutral,"sima""",,,"
'He is a good man and he does not cheat on his wife.'

Instructions:
Translate the Swahili text above to fluent and accurate English.
Provide ONLY the English translation. Do not add any introductory text, labels, or explanations.

Example Swahili Text: 'Niake njenge nguvu wa kufanya kazi.'\nExample English Translation: 'She is a hard worker.'

English Translation:
'He is a good teacher and he is always patient with his students.'

English Translation:
'She is a good cook and she always makes delicious food.'

English Translation:
'He is a good driver and he always drives safely.'

English Translation:
'She is a good singer and she always sings well.'

English Translation:
'He is a good dancer and he always dances well.'

English Translation:
'She is a good athlete and she always plays well.'

English Translation:
'He is a good basketball player and he always shoots well.'

English Translation:
'She is a good soccer player and she always scores goals.'

English Translation:
'He is a good tennis player and he always serves well.'

English Translation:
'She is a good swimmer and she always swims well.'

English Translation:
'He is a good runner and he always runs fast.'

English Translation:
'She is a good jumper and she always jumps high.'

English Translation:
'He is a good shooter and he always shoots accurately.'

English Translation:
'She is a good bowler and she always bowls well.'

English Translation:
'He is a good golfer and he always hits the ball straight.'

English Translation:
'She is a good cyclist and she always rides well.'

English Translation:
'He is a good skateboarder and he"," neutral

English Translation:
'"," ""sima""
Provide ONLY the Swahili translation of this label. Do",19.85857605934143,0.8469600677490234,0.7392838001251221,sw,multi_prompt,few-shot
   Tuna utajiri mkubwa Sana wa mawazo Ila namna yakuwasilisha na kuyafanyia kazi ndo kinachotufelisha,negative,positive,negative,"We are very happy with this proposal. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as",positive,Translation:,,," 'We are very happy with this proposal. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as outlined in the proposal.'

English Translation: 'This proposal is very good. We will proceed with the project as"," positive

English Text: ""I","
Translation:
Translation:
Translation:
Translation:
Translation:",19.876941680908203,0.8445031642913818,0.7397849559783936,sw,multi_prompt,few-shot
   Utulivu wa akilini kuepuka papara stress unaweza kua na hekima lakini stress zikakuondolea u,negative,neutral,negative,"These are some of the benefits of using our product.'
English Translation: 'The benefits of using our product include...'

English Translation: 'The benefits of using our product include improved health, increased energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, increased energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: ",neutral,"sima""",,," 'These are some of the benefits of using our product.'
English Translation: 'The benefits of using our product include...'

English Translation: 'The benefits of using our product include improved health, increased energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, increased energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: 'Benefits of using our product include improved health, more energy, and better sleep.'

English Translation: '"," neutral

English Text: """," ""sima""
Translate the following English sentiment label into Swahili:
",19.870118379592896,0.8474102020263672,0.7394788265228271,sw,multi_prompt,few-shot
   Mungu ni mwema sana hatimae mnamo 20102021 nilitunukiwa shahada yangu ya kwanza DEGREE kutoka UDSM Asanteni nyote mlioku,negative,positive,negative,"God is truly great and I will live for 2010-2021 years after I take my first degree from UDSM. Asanteni nyote mlioku.'Context:
The text is a prayer by a student who has just graduated from the University of Dar es Salaam (UDSM). The student is expressing gratitude to God for granting him/her life and for the education he/she received at UDSM. The student is also asking God to bless his/her future endeavors.

Translation Notes:
The phrase 'mnamo 20102021' is used here to express the duration of time that the student expects to live after graduation. The phrase 'nilitunukiwa shahada yangu ya kwanza DEGREE' refers to the fact that the student has just taken his/her first degree. The phrase 'kutoka UDSM' indicates that the student graduated from the University of Dar es Salaam. The phrase 'Asanteni nyote mlioku' is an expression of gratitude to God for the education the student received and for the life he/she has been granted.In the translation, I have chosen to use the phrase 'God is truly great' instead of the more literal translation 'God is very great'. This is because the phrase 'God is truly great' is more commonly used in English to express gratitude and appreciation, and it better conveys the sentiment of the original Swahili phrase. I have also chosen to use the phrase 'I will live for 2010-2021 years' instead of the more literal translation 'I will live for 2010-2021 years after I take my first degree'. This is because the phrase 'I will live for 2010-2021 years' better expresses the idea that the student is expecting to live for a certain",positive,"mwanzo""",,,"
'God is truly great and I will live for 2010-2021 years after I take my first degree from UDSM. Asanteni nyote mlioku.'Context:
The text is a prayer by a student who has just graduated from the University of Dar es Salaam (UDSM). The student is expressing gratitude to God for granting him/her life and for the education he/she received at UDSM. The student is also asking God to bless his/her future endeavors.

Translation Notes:
The phrase 'mnamo 20102021' is used here to express the duration of time that the student expects to live after graduation. The phrase 'nilitunukiwa shahada yangu ya kwanza DEGREE' refers to the fact that the student has just taken his/her first degree. The phrase 'kutoka UDSM' indicates that the student graduated from the University of Dar es Salaam. The phrase 'Asanteni nyote mlioku' is an expression of gratitude to God for the education the student received and for the life he/she has been granted.In the translation, I have chosen to use the phrase 'God is truly great' instead of the more literal translation 'God is very great'. This is because the phrase 'God is truly great' is more commonly used in English to express gratitude and appreciation, and it better conveys the sentiment of the original Swahili phrase. I have also chosen to use the phrase 'I will live for 2010-2021 years' instead of the more literal translation 'I will live for 2010-2021 years after I take my first degree'. This is because the phrase 'I will live for 2010-2021 years' better expresses the idea that the student is expecting to live for a certain"," positive

English Text: ""","
Translation: ""mwanzo""
Translation: ""mwanzo",19.9742329120636,0.8441081047058105,0.739116907119751,sw,multi_prompt,few-shot
