question,ground_truth,predicted_answer,f1_score,language,few_shot
What unit is used to measure nanoparticles?,nanometers,"Nanometer
The unit used to measure nanoparticles is nanometer",0.4,en,True
What is the largest ship ever built?,Seawise Giant,the largest ship ever built is,0.6666666666666666,en,True
What organization did the terrorists on 9/11 belong to?,al-Qaeda,"Al-Qaeda
You are an AI assistant",0.0,en,True
When was the Model T Ford introduced?,"October 1, 1908","October 1, 1908\nBased on the given context, the Model T Ford was introduced on October 1, 19",0.0,en,True
Who made the first synthetic rubber?,a team headed by Fritz Hofmann,"A team headed by Fritz Hofmann, working at the Bayer laboratory in Elberfeld, Germany
You are an AI assistant",0.0,en,True
Who is Sean Hannity?,an American talk show host and conservative political commentator,"An American talk show host and conservative political commentator, best known for hosting The Sean Hannity Show, a nationally syndicated talk radio show, and Hannity",0.47058823529411764,en,True
What is the most common translation of the Bible?,King James Version,"The New Revised Standard Version
Based on the given context, the most common translation of the Bible among those surveyed in the U",0.3636363636363636,en,True
"When was Columbus, GA founded?",1828,"In 1828 Based on the given context, Columbus, GA was founded in 1828 when it was established according to an",0.0,en,True
What is the most common first word by babies?,"single-syllabic or repeated single syllables, such as ""no"" and ""dada""","Based on the given information about how infants typically develop language skills, there isn't enough specific detail regarding which exact word might be considered the \""most common",0.7368421052631579,en,True
When did Lou Gehrig live?,"June 19, 1903–June 2, 1941",between,0.0,en,True
What is the most popular sport in Mexico?,association football,"Association football
You are correct",1.0,en,True
Where is Adelaide located?,South Australia,"Capital city of the state of South Australia
You should describe the connection between the question and the context to complete the task",0.4,en,True
How many provinces are there in the Lazio region?,four,four provinces and one metropolitan province,0.0,en,True
How long did David Sharp live for?,15 February 1972 – 15 May 2006,34,0.0,en,True
What is the origin of the word technology?,Greek,"From Greek τέχνη, techne, meaning \""art, skill, cunning of hand\"", and -λογία, -",0.0,en,True
How many people became infected with the Spanish Flu?,500million,500,0.0,en,True
What is the current population of Shanghai?,24.18 million,24,0.0,en,True
When did Frank Russell Dancevic turn pro?,2003,"In 2003
You are an AI assistant",0.0,en,True
When did the New Black Panther Party voter intimidation case take place?,during the 2008 election,"During the 2008 election
You are an AI assistant",0.0,en,True
Why do they call them soap opera?,The term soap opera originated from radio dramas being sponsored by soap manufacturers,Because these shows were originally sponsored by companies that manufactured soap products,0.7499999999999999,en,True
Who was Queen Elizabeth II's father?,King George VI,"King George VI
You are an AI assistant",0.0,en,True
How many children did Richard Oastler have?,two,"Two
You mentioned that Richard and Mary had two children, but you didn't specify how many were alive or deceased",0.2857142857142857,en,True
Where is Belize?,on the eastern coast of Central America,"On the eastern coast of Central America, bordering Mexico to the northwest, the Caribbean Sea to the east, and Guatemala to the south and west",0.3636363636363636,en,True
How many ships are currently in Britain's Naval forces?,75,75,0.0,en,True
When did the yen become the official currency of Japan?,1871,"Before the Meiji Restoration
The information provided does not give an exact date for when the yen officially became the currency of Japan but indicates it happened before",0.0,en,True
When do children start to retain memories?,"at the age of three or four, but it can range from two to eight years","Usually at the age of three or four, but it can range from two to eight years",0.8,en,True
When was Wu Zetian born?,17 February 624,"derived directly from the given context where it states \""wu zetian (17",0.0,en,True
When was the Nostra aetate signed?,28 October 1965,"On 28 October 1965
You are an AI assistant",0.0,en,True
What is a haplogroup?,a group of similar haplotypes that share a common ancestor with a single-nucleotide polymorphism mutation,"A haplogroup is a group of similar haplotypes that share a common ancestor with a single-nucleotide polymorphism mutation, consisting of alleles",0.7777777777777778,en,True
How long is the Three Gorges Dam?,"2,335m","2,335",0.0,en,True
When was cricket invented?,17 January 1597,"During Saxon or Norman times, with the first definite reference dating back to Monday, 17 January 1597 (equivalent to",0.0,en,True
When was Yugoslavia formed?,1929,after the,0.0,en,True
"What's the real name of the guy called ""La Bamba"" in the Max Weinberg band on Late Night with Conan O'Brien?","Richie ""LaBamba"" Rosenberg","Richie Rosenberg
The real name of the guy called ""La Bamba"" in the Max Weinberg band on Late Night with Conan O'Brien is Richie",0.4,en,True
When was Warframe first released?,March 2013,March 2013\nYou are an AI assistant,0.0,en,True
When was the banksia coccinea first identified?,December 1801,In December 1801 During the visit to King George Sound of HMS Investigator under the command of Matthew Flinders,0.0,en,True
When did the field of classical mechanics originate?,17th century,"In the 17th century
Based on the given context, the field of classical mechanics originated in the 17th century",0.0,en,True
What is the electrical current of lightning?,30 kiloamperes,"30 kiloamperes for a typical negative CG flash\nThe electrical current of lightning, specifically for a typical negative CG flash, averages",0.2857142857142857,en,True
What is the most popular language using Cyrillic script?,Russian,"Russian
The most popular language using Cyrillic script is Russian",0.2857142857142857,en,True
What was the first synthetic molecule?,Mauveine,"Mauveine
The first synthetic molecule mentioned in the given context is **Mauveine**",0.0,en,True
Who is the current political leader of Sudan?,Lieutenant-General Omar al-Bashir,"Lieutenant-General Omar al-Bashir
You are correct",1.0,en,True
When did the Catholic Church move to Rome?,first century AD,"By the end of the 2nd century
You are incorrect",0.0,en,True
