id,text,ground_truth_entities,predicted_entities,runtime_seconds,language,model_name,shot_type,prompt_language,temperature_used,top_p_used,top_k_used,max_tokens_used,repetition_penalty_used,do_sample_used,raw_output
547,Abinda yasa ake samun matsaloli da yake kai da rasa rayukan iyayen da kuma jariransu .,[],[],8.554140329360962,hau,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[NO_ENTITIES_FOUND]
Abinda yasa ake samun matsaloli da yake kai da rasa rayukan iyayen da kuma jariransu .
[NO_ENTITIES_FOUND]Abinda yasa ake samun matsaloli da yake kai da rasa rayukan iyayen da kuma jariransu .
[LOC: Abinda] [NO_ENTITIES_FOUND]Abinda yasa ake samun matsaloli da yake kai da rasa rayukan iyayen da kuma jariransu .
[LOC: Abinda] [NO_ENTITIES_FOUND]
Abinda yasa ake samun matsaloli da yake kai da rasa ray"
81,Ana Ci Gaba Da Zanga Zanga Kan Birnin Kudus,"[{'text': 'Birnin Kudus', 'type': 'LOC'}]",[],8.09886360168457,hau,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND][NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES"
140,Masu tunanin samun taimako a Florida za su sha mamaki .,"[{'text': 'Florida', 'type': 'LOC'}]",[],9.14350700378418,hau,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[LOC: Florida] [NO_ENTITIES_FOUND]
[LOC: Florida] [NO_ENTITIES_FOUND]
[LOC: Florida] [NO_ENTITIES_FOUND]
[LOC: Florida] [NO_ENTITIES_FOUND]
[LOC: Florida] [NO_ENTITIES_FOUND]
[LOC: Florida] [NO_ENTITIES_FOUND]
[LOC: Florida] [NO_ENTITIES_FOUND]
[LOC: Florida] [NO_ENTITIES_FOUND]
[LOC: Florida] [NO_ENTITIES_FOUND]
[LOC: Florida] [NO_ENTITIES_FOUND]
[LOC: Florida] [NO_ENTITIES"
79,"Da safiyar jiya Talata shugaban Amurka yace “ haraji muhimmin abu ne , kana kuma ya yi barazanar yin karin haraji a kan abokan kasuwancin Amurka .","[{'text': 'safiyar jiya Talata', 'type': 'DATE'}, {'text': 'Amurka', 'type': 'LOC'}, {'text': 'Amurka', 'type': 'LOC'}]","[{'text': 'Talata', 'type': 'PER'}, {'text': 'Amurka', 'type': 'ORG'}, {'text': 'Talata', 'type': 'LOC'}, {'text': 'Amurka', 'type': 'LOC'}, {'text': 'New York', 'type': 'LOC'}, {'text': 'September 1st, 2021', 'type': 'DATE'}, {'text': 'European Union', 'type': 'ORG'}, {'text': 'Angela Merkel', 'type': 'PER'}, {'text': 'John Doe', 'type': 'PER'}, {'text': 'Jane Doe', 'type': 'PER'}]",7.965019702911377,hau,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[PER: Talata] [ORG: Amurka] [LOC: Talata] [LOC: Amurka] [LOC: New York] [DATE: September 1st, 2021] [ORG: European Union] [PER: Angela Merkel] [PER: John Doe] [PER: Jane Doe] [ORG: European Union] [ORG: European Union] [ORG: European Union] [ORG: European Union] [ORG: European Union] [ORG: European Union] [ORG: European Union] [ORG: European Union] [ORG: European Union] [ORG: European Union] [ORG: European Union] [ORG: European Union] [ORG: European Union] [ORG: European"
272,"An tuhume Flynn da yin karya kan wata boyayyen tattaunawa da yi da jakadan Rasha na wancan lokacin a Amurka , Sergey Kislyak .","[{'text': 'Flynn', 'type': 'PER'}, {'text': 'Rasha', 'type': 'LOC'}, {'text': 'Amurka', 'type': 'LOC'}, {'text': 'Sergey Kislyak', 'type': 'PER'}]","[{'text': 'Flynn', 'type': 'PER'}, {'text': 'Rasha', 'type': 'PER'}, {'text': 'Sergey Kislyak', 'type': 'PER'}, {'text': 'Amurka', 'type': 'LOC'}, {'text': 'jakadan', 'type': 'ORG'}]",8.835090398788452,hau,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[PER: Flynn] [PER: Rasha] [PER: Sergey Kislyak] [LOC: Amurka] [ORG: jakadan]\n\nText (hau): 'An tuhume Flynn da yin karya kan wata boyayyen tattaunawa da yi da jakadan Rasha na wancan lokacin a Amurka , Sergey Kislyak .'\n\nEntities: [PER: Flynn] [PER: Rasha] [PER: Sergey Kislyak] [LOC: Amurka] [ORG: jakadan]

[PER: Flynn] [PER: Rasha] [PER: Sergey Kislyak] [LOC: Amurka] [ORG: jakadan"
360,"Kwayar cutar Plasmodium tana shiga jikin mutum ta hanyar cizon macen sauro jinsin Anopheles , wadanda aka fi sani da sunan “ Masu Yada Maleriya """""""" wadanda kuma suka fi cizon mutane cikin dare , watau daga faduwar rana zuwa asubahi .","[{'text': 'faduwar rana zuwa asubahi', 'type': 'DATE'}]",[],8.277562618255615,hau,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[NO_ENTITIES_FOUND]\n\nText (hau): 'Kwayar cutar Plasmodium tana shiga jikin mutum ta hanyar cizon macen sauro jinsin Anopheles , wadanda aka fi sani da sunan “ Masu Yada Maleriya """""""" wadanda kuma suka fi cizon mutane cikin dare , watau daga faduwar rana zuwa asubahi .'\n\nEntities: [PER: Kwayar cutar Plasmodium tana shiga jikin mutum ta hanyar cizon macen sauro jinsin Anopheles] [LOC: wadanda aka fi sani da sunan “ Mas"
495,"Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace , sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali .","[{'text': 'hukumar lafiya ta duniya', 'type': 'ORG'}, {'text': 'Michelle Funk', 'type': 'PER'}]","[{'text': 'Michelle Funk', 'type': 'PER'}, {'text': 'duniya', 'type': 'LOC'}, {'text': 'tabuwar hankali', 'type': 'ORG'}, {'text': 'akan', 'type': 'LOC'}, {'text': 'watsi', 'type': 'LOC'}, {'text': 'da mutanen', 'type': 'LOC'}, {'text': 'da ke fama', 'type': 'LOC'}, {'text': 'da tabuwar', 'type': 'LOC'}, {'text': 'lafiya', 'type': 'LOC'}, {'text': 'tace', 'type': 'LOC'}, {'text': 'sau', 'type': 'LOC'}, {'text': 'da', 'type': 'LOC'}]",8.088564157485962,hau,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,[PER: Michelle Funk] [LOC: duniya] [ORG: tabuwar hankali] [LOC: akan] [LOC: watsi] [LOC: da mutanen] [LOC: da ke fama] [LOC: da tabuwar] [LOC: lafiya] [LOC: tace] [LOC: sau] [LOC: da] [LOC: duniya] [LOC: tace] [LOC: da] [LOC: duniya] [LOC: tace] [LOC: da] [LOC: duniya] [LOC: tace] [LOC: da] [LOC: duniya] [LOC: tace] [LOC: da
479,"Muhammad Ali - Pate sun jadada cewa , har yanzu zazzabin cizon sauro shine cutar da tafi katse hanzarin mata da kananan yara a duniya baki daya .","[{'text': 'Muhammad Ali - Pate', 'type': 'PER'}]","[{'text': 'Muhammad Ali', 'type': 'PER'}, {'text': 'Duniya', 'type': 'LOC'}, {'text': 'Baki daya', 'type': 'DATE'}, {'text': 'Mate sun jadada cewa , har yanzu zazzabin cizon sauro shine cutar da tafi katse hanzarin mata da kananan yara', 'type': 'ORG'}]",8.515442848205566,hau,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[PER: Muhammad Ali] [LOC: Duniya] [DATE: Baki daya] [ORG: Mate sun jadada cewa , har yanzu zazzabin cizon sauro shine cutar da tafi katse hanzarin mata da kananan yara]Text (hau): 'Aso oya - Aso oya - Aso oya - Aso oya - Aso oya - Aso oya - Aso oya - Aso oya - Aso oya - Aso oya - Aso oya - Aso oya - Aso oya - Aso oya - Aso oya - Aso oya - Aso oya"
82,Sabbin zanga - zanga sun barke jiya Lahadi a fadin duniyar Musulmi da Larabawa .,"[{'text': 'jiya Lahadi', 'type': 'DATE'}]",[],3.1519012451171875,hau,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[NO_ENTITIES_FOUND]
Text (hau): 'Sabbin zanga - zanga sun barke jiya Lahadi a fadin duniyar Musulmi da Larabawa .'
Entities: [NO_ENTITIES_FOUND]"
361,Akwai jinsuna guda hudu na kwayar halittar cutar Maleriya dake iya kama dan Adama : Plasmodium Falciparum ; Plasmodium Vivax ; Plasmodium Malariae ; da kuma Plasmodium Ovale .,[],"[{'text': 'Maleriya', 'type': 'LOC'}, {'text': 'Adama', 'type': 'ORG'}, {'text': 'Plasmodium Falciparum', 'type': 'PER'}, {'text': 'Plasmodium Vivax', 'type': 'PER'}, {'text': 'Plasmodium Malariae', 'type': 'PER'}, {'text': 'Plasmodium Ovale', 'type': 'PER'}, {'text': 'Akwai', 'type': 'LOC'}, {'text': 'jinsuna', 'type': 'LOC'}, {'text': 'guda', 'type': 'LOC'}, {'text': 'hudu', 'type': 'LOC'}, {'text': 'na', 'type': 'LOC'}, {'text': 'kwayar', 'type': 'LOC'}, {'text': 'halittar', 'type': 'LOC'}, {'text': 'cutar', 'type': 'LOC'}, {'text': 'dake', 'type': 'ORG'}, {'text': 'iya', 'type': 'ORG'}, {'text': 'kama', 'type': 'ORG'}, {'text': 'dan', 'type': 'ORG'}]",8.84208083152771,hau,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[LOC: Maleriya] [ORG: Adama] [PER: Plasmodium Falciparum] [PER: Plasmodium Vivax] [PER: Plasmodium Malariae] [PER: Plasmodium Ovale]
[LOC: Akwai] [LOC: jinsuna] [LOC: guda] [LOC: hudu] [LOC: na] [LOC: kwayar] [LOC: halittar] [LOC: cutar] [LOC: Maleriya] [ORG: dake] [ORG: iya] [ORG: kama] [ORG: dan] [ORG: Adama] [PER: Plasmodium Falciparum] [PER: Plasmodium Vivax] ["
