premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_model_response,runtime_seconds,error_message
"Les dimensions restantes sont imaginées comme recourbées sur l'échelle de longueur de Planck dans ce qu'on appelle les espaces Calabi-Yau, ou plus généralement, les modules compactifiés.",Les espaces Calabi-Yau s'étendent sur une grande surface.,2,contradiction,"The remaining dimensions are imagined as curved on the scale of Planck's length in what is called Calabi-Yau spaces, or more generally, compactified modules.",Calabi-Yau spaces extend over a large area.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: The remaining dimensions are imagined as curved on the scale of Planck's length in what is called Calabi-Yau spaces, or more generally, compactified modules.

Translated English Hypothesis: Calabi-Yau spaces extend over a large area.

English NLI Label: Entailment",3.587254524230957,
23. Elan continu financier essentiel pour atteindre les objectifs du CFO Act,Les finances 23 sont sur le point d'atteindre tous leurs objectifs.,1,neutral,"""Essential continued financial elan to achieve the CFO's objectives.""","""Finance 23 is about to achieve all its goals.""",entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: ""Essential continued financial elan to achieve the CFO's objectives.""

Translated English Hypothesis: ""Finance 23 is about to achieve all its goals.""

English NLI Label: Entailment",2.711498975753784,
"Je suis sous pression, lui apprit-elle.",Elle lui avait dit qu'elle était sous pression.,0,entailment,"I'm under pressure, she learned.",She had told him that she was under pressure.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: I'm under pressure, she learned.

Translated English Hypothesis: She had told him that she was under pressure.

English NLI Label: entailment",2.244995594024658,
c'est probablement plus parce que j'apprécie simplement la couverture que parce que je n'ai pas le temps de lire le journal vous savez,Ils couvrent beaucoup plus que ce que vous obtiendrez dans le journal.,1,neutral,"It's probably more because I just appreciate the cover than because I don't have time to read the newspaper, you know.",They cover much more than what you'll get in the newspaper.,neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: It's probably more because I just appreciate the cover than because I don't have time to read the newspaper, you know.

Translated English Hypothesis: They cover much more than what you'll get in the newspaper.

English NLI Label: Neutral.",3.2408084869384766,
"Jane, Dave, et un analyste du FBI ayant participé à l'unité de la CIA chargée de Ben Laden sont allés à New York le 11 juin pour rencontrer des agents à propos de l'affaire Cole.",L'analyste du FBI a parlé à sept agents de l'affaire Cole.,1,neutral,"Jane, Dave, and an FBI analyst who had participated in the CIA unit tasked with Osama bin Laden went to New York on June 11 to meet agents about the Cole case.",The FBI analyst spoke to seven agents about the Cole case.,neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: Jane, Dave, and an FBI analyst who had participated in the CIA unit tasked with Osama bin Laden went to New York on June 11 to meet agents about the Cole case.

Translated English Hypothesis: The FBI analyst spoke to seven agents about the Cole case.

English NLI Label: Neutral.",4.3364808559417725,
"D'un autre côté, les particules et les trois forces non-gravitationnelles n'ont pas encore été incorporées dans une image de réseau de spin.",Les forces non gravitationnelles doivent être incorporées pour que l'image du réseau de rotation soit complète.,1,neutral,"""On the other hand, particles and the three non-gravity forces have not yet been incorporated into a spin network image.""","""Non-gravity forces must be incorporated for the spin network image to be complete.""",neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: ""On the other hand, particles and the three non-gravity forces have not yet been incorporated into a spin network image.""

Translated English Hypothesis: ""Non-gravity forces must be incorporated for the spin network image to be complete.""

English NLI Label: Neutral.",3.659040927886963,
Tu aurais dû te rendre compte du danger.,Tu ne dois pas regarder la crise qui a lieu en ce moment même.,2,contradiction,You should have realized the danger.,You must not watch the crisis that is happening right now.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: You should have realized the danger.

Translated English Hypothesis: You must not watch the crisis that is happening right now.

English NLI Label: Contradiction",2.5446739196777344,
"Sa sœur pouvait passer pour une blanche, et c'était effectivement le cas.",Sa sœur avait la peau la plus belle du quartier.,1,neutral,"Her sister could pass for white, and indeed she was.",Her sister had the most beautiful skin in the neighborhood.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: Her sister could pass for white, and indeed she was.

Translated English Hypothesis: Her sister had the most beautiful skin in the neighborhood.

English NLI Label: Entailment",2.726457118988037,
"Notre système de gestion des frontières et de l'immigration, y compris les forces de l'ordre, doit adresser un message de bienvenue, de tolérance et de justice aux membres des communautés d'immigrants situées tant aux États-Unis que dans leur pays d'origine.",Notre pays devrait réparer notre image globalement et accueillir les réfugiés ici.,1,neutral,"Our border management and immigration system, including law enforcement, must send a welcome, tolerance, and justice message to members of immigrant communities located both in the United States and in their countries of origin.",Our country should repair our global image and welcome refugees here.,neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: Our border management and immigration system, including law enforcement, must send a welcome, tolerance, and justice message to members of immigrant communities located both in the United States and in their countries of origin.

Translated English Hypothesis: Our country should repair our global image and welcome refugees here.

English NLI Label: Neutral.",3.977084159851074,
"La publication du livre du CRP (Candidat Républicain à la Présidentielle) est suivie de la tournée promotionnelle du livre, ce qui introduit la caractéristique suivante du",Le livre de RPH aura sa propre tournée.,0,entailment,"The publication of the CRP's (Republican Presidential Candidate's) book is followed by a book promotion tour, which introduces the following characteristic of:",The book of RPH will have its own tour.,neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: The publication of the CRP's (Republican Presidential Candidate's) book is followed by a book promotion tour, which introduces the following characteristic of:

Translated English Hypothesis: The book of RPH will have its own tour.

English NLI Label: Neutral.",3.154254674911499,
Le télésiège est un grand favori.,Personne n'aime le télésiège.,2,contradiction,The telesiege is a big favorite.,No one likes the telesiege.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The telesiege is a big favorite.

Translated English Hypothesis: No one likes the telesiege.

English NLI Label: Contradiction",2.176990509033203,
"Pour les aides à l'évacuation du 11 septembre, voir, par exemple, Civilian interview 14 (avril",Aucune aide n'est disponible en ce qui concerne l'évacuation du 11 Septembre.,2,contradiction,"For the evacuation aids of September 11th, see, for example, Civilian Interview 14 (April",No aid is available regarding the evacuation of September 11th.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: For the evacuation aids of September 11th, see, for example, Civilian Interview 14 (April 

Translated English Hypothesis: No aid is available regarding the evacuation of September 11th.

English NLI Label: Contradiction",3.843135356903076,
"«Un informateur du Tennessee a utilisé l'expression temps de chien pour signifier «un temps chaud et sec», ce qui vient sans doute de l'expression canicule, qui fait référence au temps sec du mois d'août.",Juin et juillet sont également très chauds dans le Tennessee.,1,neutral,"A informant from Tennessee used the phrase ""dog days"" to mean ""hot and dry weather"", which likely comes from the expression ""canicule"", which refers to the dry weather in August.",June and July are also very hot in Tennessee.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: A informant from Tennessee used the phrase ""dog days"" to mean ""hot and dry weather"", which likely comes from the expression ""canicule"", which refers to the dry weather in August.

Translated English Hypothesis: June and July are also very hot in Tennessee.

English NLI Label: Entailment",4.331872463226318,
"Je l'ai tué, c'est vrai.",La vie de l'homme a été épargnée.,2,contradiction,"I killed him, it's true.",The man's life was spared.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: I killed him, it's true.

Translated English Hypothesis: The man's life was spared.

English NLI Label: Contradiction",1.8890609741210938,
Mais j'étais pressé de vous débarquer.,La personne voulait un amant.,1,neutral,But I was in a hurry to get rid of you.,The person wanted a lover.,neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: But I was in a hurry to get rid of you.

Translated English Hypothesis: The person wanted a lover.

English NLI Label: Neutral.",2.1988070011138916,
"Si vous vous sentez à la hauteur, continuez le long du sentier des brumes, après Emerald Pool, Nevada Fall, et vous commencerez à semer la foule.",Nevada Falls est une grande randonnée avec quelques personnes.,1,neutral,"If you feel up to it, continue along the Bridalveil Trail past Emerald Pool, then Nevada Fall, and you'll start to spread out the crowd.",Nevada Falls is a great hike with a few people.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: If you feel up to it, continue along the Bridalveil Trail past Emerald Pool, then Nevada Fall, and you'll start to spread out the crowd.

Translated English Hypothesis: Nevada Falls is a great hike with a few people.

English NLI Label: Entailment",3.7366714477539062,
"Je l'ai signalé dans une lettre au Dr. Cela a semblé l'amuser, et il m'a envoyé un petit cake aux fruits pour Noël.",Le docteur m'a envoyé un bouteille de vin ce Noël là.,2,contradiction,"I reported it in a letter to the doctor. It seemed to amuse him, and he sent me a small fruit cake for Christmas.",The doctor sent me a bottle of wine for Christmas.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: I reported it in a letter to the doctor. It seemed to amuse him, and he sent me a small fruit cake for Christmas.

Translated English Hypothesis: The doctor sent me a bottle of wine for Christmas.

English NLI Label: Contradiction",3.4673995971679688,
le sens que le chèquier soit juste un chèque vierge et son plafond illimité non pas qu'elle peut juste dépenser comme elle le veut mais c'est presque cette attitude,Elle a l'impression de pouvoir dépenser plus de 1 000 $ par nuit.,1,neutral,"""The checkbook is just a blank check and its unlimited ceiling not only that she can just spend as she pleases but it's almost this attitude.""","""She feels she can spend more than $1,000 per night.""",contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: ""The checkbook is just a blank check and its unlimited ceiling not only that she can just spend as she pleases but it's almost this attitude.""

Translated English Hypothesis: ""She feels she can spend more than $1,000 per night.""

English NLI Label: Contradiction",3.5561156272888184,
"Mon héro, donc, est Richard Heseltine, le président de la foundation d' investissement d' Outre-mer, qui a démissionné plus tôt ce mois-ci pour s'opposer au plan de développement que lui ont imposé ses supérieurs",Heseltine a quitté son travail.,0,entailment,"My hero, therefore, is Richard Heseltine, the president of the overseas investment foundation, who resigned earlier this month to oppose the development plan imposed on him by his superiors.",Heseltine has left his job.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: My hero, therefore, is Richard Heseltine, the president of the overseas investment foundation, who resigned earlier this month to oppose the development plan imposed on him by his superiors.

Translated English Hypothesis: Heseltine has left his job.

English NLI Label: Entailment",3.911839485168457,
"La source a affirmé que Ben Laden avait demandé et reçu de l'aide de l'expert en fabrication de bombes, qui y était resté en tant que formateur jusqu'en septembre 1996, date à laquelle l'information a été transmise aux Etats-Unis.",La source ne savait rien de Ben Laden.,2,contradiction,"The source claimed that Bin Laden had requested and received assistance from the bomb-making expert, who remained as a trainer until September 1996, when the information was passed on to the United States.",The source knew nothing about Bin Laden.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The source claimed that Bin Laden had requested and received assistance from the bomb-making expert, who remained as a trainer until September 1996, when the information was passed on to the United States. 

Translated English Hypothesis: The source knew nothing about Bin Laden. 

English NLI Label: Contradiction",4.044968128204346,
"Relié à la Nouvelle-Écosse par l'étroit isthme de Chignectou, le Nouveau-Brunswick devint une province distincte en 1784 à la demande de 14 000 réfugiés loyalistes.",Le Nouveau-Brunswick n'était pas une province en 1784.,2,contradiction,"""Attached to Nova Scotia by the narrow Chignecto Isthmus, New Brunswick became a distinct province in 1784 at the request of 14,000 loyalist refugees.""","""New Brunswick was not a province in 1784.""",contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: ""Attached to Nova Scotia by the narrow Chignecto Isthmus, New Brunswick became a distinct province in 1784 at the request of 14,000 loyalist refugees.""

Translated English Hypothesis: ""New Brunswick was not a province in 1784.""

English NLI Label: Contradiction.",5.0676798820495605,
Ils ont insisté sur le fait qu'une vigilance constante est nécessaire afin d'assurer que les contrôles restent appropriés (traiter les risques actuels et non pas gêner inutilement les opérations) et que les personnes qui utilisent et entretiennent les systèmes d'information respectent l'organisation en place.,Ils ont dit qu'il était important d'être vigilant lorsqu'il s'agissait des nouvelles commandes d'usine.,1,neutral,They insisted that constant vigilance is necessary to ensure that checks remain appropriate (addressing current risks and not hindering operations unnecessarily) and that individuals who use and maintain information systems adhere to the established organization.,They said that it was important to be vigilant when it came to new factory orders.,neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: They insisted that constant vigilance is necessary to ensure that checks remain appropriate (addressing current risks and not hindering operations unnecessarily) and that individuals who use and maintain information systems adhere to the established organization.

Translated English Hypothesis: They said that it was important to be vigilant when it came to new factory orders.

English NLI Label: Neutral.",4.521448135375977,
S'il y avait quelque chose que je pouvais faire.,Je savais qu'il n'y avait rien que je puisse faire.,2,contradiction,If there was something I could do.,I knew that there was nothing I could do.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: If there was something I could do.

Translated English Hypothesis: I knew that there was nothing I could do.

English NLI Label: Contradiction",2.581385850906372,
Beaucoup a été fait pour engager Michael Apted pour amener plus d'humanité à la série.,Michael Apted a été embauché pour ajouter une qualité personnelle à la série.,0,entailment,Much has been done to engage Michael Apted to bring more humanity to the series.,Michael Apted was hired to add a personal quality to the series.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: Much has been done to engage Michael Apted to bring more humanity to the series.

Translated English Hypothesis: Michael Apted was hired to add a personal quality to the series.

English NLI Label: Entailment",3.2948248386383057,
"En remerciement pour votre contribution de 100 $ ou plus pour la campagne, vous, ainsi qu'un(e) invité(e) de votre choix, êtes conviés au Herron Hall le jeudi 23 mars 2000 de 17:30 à 20:00 pour une réception exceptionnelle.",Vous et un invité serez conviés à assister à une réception spéciale si vous faites un don de 100$ ou plus à la campagne.,0,entailment,"As a token of appreciation for your contribution of 100 $ or more to the campaign, you, along with one guest of your choice, are invited to Herron Hall on Thursday, March 23, 2000, from 5:30 pm to 8:00 pm for an exceptional reception.",You and a guest will be invited to attend a special reception if you make a donation of 100$ or more to the campaign.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: As a token of appreciation for your contribution of 100 $ or more to the campaign, you, along with one guest of your choice, are invited to Herron Hall on Thursday, March 23, 2000, from 5:30 pm to 8:00 pm for an exceptional reception. 

Translated English Hypothesis: You and a guest will be invited to attend a special reception if you make a donation of 100$ or more to the campaign. 

English NLI Label: Entailment",7.711690664291382,
Vous verrez des vidéos de l'histoire d'Anne et d'Amsterdam sous l'occupation ainsi que des photographies et des objets de l'époque.,Vous ne verrez pas de photos.,2,contradiction,"You will see videos about Anne's story and Amsterdam during the occupation, as well as photographs and objects from that time.",You won't see any photos.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: You will see videos about Anne's story and Amsterdam during the occupation, as well as photographs and objects from that time.

Translated English Hypothesis: You won't see any photos.

English NLI Label: Contradiction",3.7468698024749756,
"De plus, les résidants de l’Indiana peuvent bénéficier de réductions fiscales grâce au crédit d’impôt de l’Indiana qui s’applique directement sur le revenu net de la déclaration fiscale.",Les résidents de l'Indiana obtiennent un crédit d'impôt de 50 % s'ils font un don au théâtre.,1,neutral,"In addition, residents of Indiana can benefit from tax reductions through the Indiana tax credit, which is applied directly to their net income on their tax return.",Indiana residents receive a 50% tax credit if they make a donation to a theater.,neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: In addition, residents of Indiana can benefit from tax reductions through the Indiana tax credit, which is applied directly to their net income on their tax return.

Translated English Hypothesis: Indiana residents receive a 50% tax credit if they make a donation to a theater.

English NLI Label: Neutral.",4.504835605621338,
"Le maire de Letohrad, la ville où Josef Korbel a grandi, affirme avoir envoyé trois lettres à Albright ces dernières années.",Korbel a guidé Letohrad.,0,entailment,"The mayor of Letohrad, the town where Josef Korbel grew up, claims to have sent three letters to Albright over the past few years.",Korbel guided Letohrad.,neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: The mayor of Letohrad, the town where Josef Korbel grew up, claims to have sent three letters to Albright over the past few years.

Translated English Hypothesis: Korbel guided Letohrad.

English NLI Label: Neutral.",3.3882570266723633,
