premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_model_response,runtime_seconds,error_message
Mielekeo iliyobakia yafikiriwa kama imekunja kwa urefu wa mbao katika nafasi zinazoitwa 'Yau' au kwa ujumla moduli zilishoshikana.,Calabi-Yau nafasi zimeenea inje katika ton.,2,contradiction,"The theory that the universe is expanding at an accelerating rate is being challenged by new evidence. It was previously believed that the expansion of the universe was due to dark energy, but recent observations suggest that it could be explained by the presence of matter and energy that we don't yet understand.",The new observations support the idea that the expansion of the universe is not due to dark energy but could be explained by unknown matter and energy.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: The theory that the universe is expanding at an accelerating rate is being challenged by new evidence. It was previously believed that the expansion of the universe was due to dark energy, but recent observations suggest that it could be explained by the presence of matter and energy that we don't yet understand. 

Translated English Hypothesis: The new observations support the idea that the expansion of the universe is not due to dark energy but could be explained by unknown matter and energy. 

English NLI Label: Entailment",5.87919282913208,
23Fedha Inayoendeleza kwa Kasi Umuhimu wa Kuafikia Malengo ya Sheria ya CFO,23Financial iko karibu kumaliza malengo yao yot ya vitendo.,1,neutral,The law on financial management by public institutions enables the establishment of the Chief Financial Officer's legal framework.,The 23rd Financial Act is ready to implement its laws.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The law on financial management by public institutions enables the establishment of the Chief Financial Officer's legal framework. 

Translated English Hypothesis: The 23rd Financial Act is ready to implement its laws. 

English NLI Label: Contradiction.",3.179443359375,
"Nimekazwa, alimuarifu.",Alimwambia kwamba alikua amekandamizwa.,0,entailment,I was told that he had been promoted.,He was told that he had been demoted.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: I was told that he had been promoted. 

Translated English Hypothesis: He was told that he had been demoted. 

English NLI Label: Contradiction",2.477168321609497,
labda ni zaidi kwa sababu ninafurahia tu ripoti kuliko sababu sina muda wa kusoma gazeti.,Wanafafanua mengi zaidi kuliko utakayopata kutoka kwenye karatasi.,1,neutral,The report is more important than reading the newspaper because it provides detailed information about various issues.,The brain processes visual information faster than textual information.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The report is more important than reading the newspaper because it provides detailed information about various issues.

Translated English Hypothesis: The brain processes visual information faster than textual information.

English NLI Label: Contradiction",2.886687755584717,
"Jane, Dave, na mchambuzi wa FBI ambaye alikuwa kwa undani kwa kitengo cha CIA cha Bin Ladin alikwenda New York Juni 11 kukutana na mawakala kuhusu kesi ya Cole",Mchambuzi wa FBI aliongea na wakala saba kuhusu kesi ya Cole,1,neutral,"""Jane, Dave, and the FBI agents who were investigating the case related to the Cole bombing in New York on June 11th, met with the CIA officers regarding the matter.""","""The FBI agents involved in the investigation of the Cole bombing met with the CIA officers about the case.""",entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: ""Jane, Dave, and the FBI agents who were investigating the case related to the Cole bombing in New York on June 11th, met with the CIA officers regarding the matter.""

Translated English Hypothesis: ""The FBI agents involved in the investigation of the Cole bombing met with the CIA officers about the case.""

English NLI Label: Entailment.",4.97020411491394,
"Kwa upande mwingine, chembe na nguvu tatu za mvuto wa graviti bado hazijaingizwa kwenye picha ya mtandao wa mzunguko.",nguvu zisizo za mvuto ni lazima zijumuishwe ili mtandao uwe kamili,1,neutral,"In another universe, three feet of gravity would be measured in a picture of the path of the universe.",The feet of gravity must be measured to have a complete understanding of the path of the universe.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: In another universe, three feet of gravity would be measured in a picture of the path of the universe.

Translated English Hypothesis: The feet of gravity must be measured to have a complete understanding of the path of the universe.

English NLI Label: Contradiction.",3.445824384689331,
Ungelikuwa umeona hatari.,Kamwe usiangalie janga linalojiri sasa hivi.,2,contradiction,I was aware of the danger.,They are now facing the consequences of their actions.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: I was aware of the danger.

Translated English Hypothesis: They are now facing the consequences of their actions.

English NLI Label: Contradiction",2.556225061416626,
"Dada yake angepita kwa nyeupe, kwa kweli, alipita kwa nyeupe.",Dada yake alikuwa na ngozi nzuri zaidi ya mtu yeyote katika jirani.,1,neutral,"He was born in a foreign country, indeed, he grew up in a foreign land.",He was more attractive than most people in his neighborhood.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: He was born in a foreign country, indeed, he grew up in a foreign land.

Translated English Hypothesis: He was more attractive than most people in his neighborhood.

English NLI Label: Contradiction",3.0671005249023438,
"Mbinu zetu za kulinda mpaka na mwendo wa watu, kujumlisha walinda usalama, wanafaa kutuma ujembe wa kukaribisha, kuelewa na haki kwa walio katika jamii za waliowasili nchini Marekani na nchi zao za asili.",Nchi yetu inapaswa kutengeneza picha yetu ya wakimbizi duniani na kuwakaribisha hapa.,1,neutral,"Our laws should reflect the values of our society, promoting peace and harmony, while also respecting the rights of individuals within our community, especially those who have contributed to the advancement of our nation's culture and industry.","We should be open to embracing new ideas and perspectives from around the world, including those that challenge our current way of thinking.",neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: Our laws should reflect the values of our society, promoting peace and harmony, while also respecting the rights of individuals within our community, especially those who have contributed to the advancement of our nation's culture and industry.

Translated English Hypothesis: We should be open to embracing new ideas and perspectives from around the world, including those that challenge our current way of thinking.

English NLI Label: Neutral.",5.2714173793792725,
"Uchapisho wa kitabu cha RPH ukifuatwa na kitabu cha  utembezi, kinachofuata uhakika kuhusu",Kitabu cha RPH kitakuwa na ziara kinachohusishwa nacho.,0,entailment,The books of the Bible were compiled by the church and are considered sacred scripture.,The books of the Bible were written by prophets and are divinely inspired.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The books of the Bible were compiled by the church and are considered sacred scripture.

Translated English Hypothesis: The books of the Bible were written by prophets and are divinely inspired.

English NLI Label: Contradiction.",3.258028507232666,
