original_text_lrl,ground_truth_label,predicted_label,ground_truth_english_label,intermediate_en_text,predicted_en_label,predicted_lrl_label_final,comet_lrl_text_to_en,comet_en_label_to_lrl,raw_translation_to_en_output,raw_predicted_en_label_output,raw_translation_to_lrl_output,runtime_translation_to_en_seconds,runtime_classification_en_seconds,runtime_translation_to_lrl_seconds,language,pipeline,shot_type
kice ma ali nuhu handsome mna,negative,neutral,negative,"He is a handsome man.'
'ali' means 'handsome' in Hausa.
'mna' is the third person singular masculine pronoun.


English Translation: 'I am handsome.'
'ali' means 'handsome' in Hausa.
'mna' is the first person singular masculine pronoun.

English Translation: 'We are handsome.'
'ali' means 'handsome' in Hausa.
'na' is the second person plural masculine pronoun.

English Translation: 'They are handsome.'
'ali' means 'handsome' in Hausa.
'na' is the third person plural masculine pronoun.

English Translation: 'He is beautiful.'
'guddi' means 'beautiful' in Hausa.
'mna' is the third person singular masculine pronoun.

English Translation: 'I am beautiful.'
'guddi' means 'beautiful' in Hausa.
'am' is the first person singular masculine pronoun.

English Translation: 'We are beautiful.'
'guddi' means 'beautiful' in Hausa.
'na' is the second person plural masculine pronoun.

English Translation: 'They are beautiful.'
'guddi' means 'beautiful' in Hausa.
'na' is the third person plural masculine pronoun.

English Translation: 'He is handsome.'
'ali' means 'handsome' in Hausa.
'mna' is the third person singular masculine pronoun.

English Translation: 'I am handsome.'
'ali' means 'handsome' in Hausa.
'am' is the first person singular masculine pronoun.

English Translation: 'We are handsome.'
'ali' means 'handsome' in Hausa.
'na' is the second person plural masculine pronoun.

English Translation: 'They",neutral,gudun,,," 'He is a handsome man.'
'ali' means 'handsome' in Hausa.
'mna' is the third person singular masculine pronoun.


English Translation: 'I am handsome.'
'ali' means 'handsome' in Hausa.
'mna' is the first person singular masculine pronoun.

English Translation: 'We are handsome.'
'ali' means 'handsome' in Hausa.
'na' is the second person plural masculine pronoun.

English Translation: 'They are handsome.'
'ali' means 'handsome' in Hausa.
'na' is the third person plural masculine pronoun.

English Translation: 'He is beautiful.'
'guddi' means 'beautiful' in Hausa.
'mna' is the third person singular masculine pronoun.

English Translation: 'I am beautiful.'
'guddi' means 'beautiful' in Hausa.
'am' is the first person singular masculine pronoun.

English Translation: 'We are beautiful.'
'guddi' means 'beautiful' in Hausa.
'na' is the second person plural masculine pronoun.

English Translation: 'They are beautiful.'
'guddi' means 'beautiful' in Hausa.
'na' is the third person plural masculine pronoun.

English Translation: 'He is handsome.'
'ali' means 'handsome' in Hausa.
'mna' is the third person singular masculine pronoun.

English Translation: 'I am handsome.'
'ali' means 'handsome' in Hausa.
'am' is the first person singular masculine pronoun.

English Translation: 'We are handsome.'
'ali' means 'handsome' in Hausa.
'na' is the second person plural masculine pronoun.

English Translation: 'They"," neutral

English Text:"," ""gudun gudun""
Translation: ""good good""",19.83170461654663,0.8434476852416992,0.7394587993621826,ha,multi_prompt,few-shot
hhhhhhhhhh aiba dayawa suka iba ba kawai kiyafe musu,neutral,neutral,neutral,"I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.",neutral,gudun,,," 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'

English Translation: 'I am going to bed now.'
"," neutral

English Text: """," ""gudun gudun""
Translation: ""good good""",19.83099937438965,0.8460490703582764,0.7417111396789551,ha,multi_prompt,few-shot
ko suna fadar gaskiya bah,neutral,neutral,neutral,"This book is very interesting.'

English Translation: 'This movie is very interesting.'

English Translation: 'This song is very interesting.'

English Translation: 'This story is very interesting.'

English Translation: 'This poem is very interesting.'

English Translation: 'This play is very interesting.'

English Translation: 'This dance is very interesting.'

English Translation: 'This art is very interesting.'

English Translation: 'This music is very interesting.'

English Translation: 'This game is very interesting.'

English Translation: 'This sport is very interesting.'

English Translation: 'This event is very interesting.'

English Translation: 'This place is very interesting.'

English Translation: 'This city is very interesting.'

English Translation: 'This country is very interesting.'

English Translation: 'This continent is very interesting.'

English Translation: 'This planet is very interesting.'

English Translation: 'This galaxy is very interesting.'

English Translation: 'This universe is very interesting.'

English Translation: 'This world is very interesting.'

English Translation: 'This life is very interesting.'

English Translation: 'This time is very interesting.'

English Translation: 'This year is very interesting.'

English Translation: 'This month is very interesting.'

English Translation: 'This day is very interesting.'

English Translation: 'This hour is very interesting.'

English Translation: 'This minute is very interesting.'

English Translation: 'This second is very interesting.'

English Translation: 'This word is very interesting.'

English Translation: 'This sentence is very interesting.'

English Translation: 'This paragraph is very interesting.'

English Translation: 'This article is very interesting.'

English Translation: 'This news is very interesting.'

English Translation: 'This story",neutral,gudun,,," 'This book is very interesting.'

English Translation: 'This movie is very interesting.'

English Translation: 'This song is very interesting.'

English Translation: 'This story is very interesting.'

English Translation: 'This poem is very interesting.'

English Translation: 'This play is very interesting.'

English Translation: 'This dance is very interesting.'

English Translation: 'This art is very interesting.'

English Translation: 'This music is very interesting.'

English Translation: 'This game is very interesting.'

English Translation: 'This sport is very interesting.'

English Translation: 'This event is very interesting.'

English Translation: 'This place is very interesting.'

English Translation: 'This city is very interesting.'

English Translation: 'This country is very interesting.'

English Translation: 'This continent is very interesting.'

English Translation: 'This planet is very interesting.'

English Translation: 'This galaxy is very interesting.'

English Translation: 'This universe is very interesting.'

English Translation: 'This world is very interesting.'

English Translation: 'This life is very interesting.'

English Translation: 'This time is very interesting.'

English Translation: 'This year is very interesting.'

English Translation: 'This month is very interesting.'

English Translation: 'This day is very interesting.'

English Translation: 'This hour is very interesting.'

English Translation: 'This minute is very interesting.'

English Translation: 'This second is very interesting.'

English Translation: 'This word is very interesting.'

English Translation: 'This sentence is very interesting.'

English Translation: 'This paragraph is very interesting.'

English Translation: 'This article is very interesting.'

English Translation: 'This news is very interesting.'

English Translation: 'This story"," neutral

English Translation: 'This"," ""gudun gudun""
Translation: ""good good""",19.816261529922485,0.8466134071350098,0.7393946647644043,ha,multi_prompt,few-shot
mene yasa wai buhari bazai rabawa talakawan nigeria tallafi bah,neutral,positive,neutral,"This film was very interesting.'
Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation",positive,"kuma""",,," 'This film was very interesting.'
Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation Context:
The Hausa text is a sentence from a film review. The film being discussed is ""The Last King of Scotland.""

Translation"," positive

Translation Context:
The"," ""kuma""
Translation: ""good""
Translation: ""good",19.83026146888733,0.8450424671173096,0.7390568256378174,ha,multi_prompt,few-shot
wannan haka ya ke,negative,positive,negative,"The film was really good.'
'The movie was great.'
'The movie was fantastic.'
'The movie was excellent.'
'The movie was incredible.'
'The movie was amazing.'
'The movie was wonderful.'
'The movie was terrific.'
'The movie was awesome.'
'The movie was superb.'
'The movie was fabulous.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.",positive,gudun,,,"
'The film was really good.'
'The movie was great.'
'The movie was fantastic.'
'The movie was excellent.'
'The movie was incredible.'
'The movie was amazing.'
'The movie was wonderful.'
'The movie was terrific.'
'The movie was awesome.'
'The movie was superb.'
'The movie was fabulous.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'
'The movie was magnificent.'"," positiveEnglish Text: """," ""gudun gudun""
Translation: ""good good""",19.810795068740845,0.8430838584899902,0.7390937805175781,ha,multi_prompt,few-shot
banza a banza dankaduna da kayan sallah,positive,neutral,positive,"I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'
Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'
Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'

Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'

Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'

Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'

Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'

Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'

Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'

Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'

Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am",neutral,gudun,,," 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'
Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'
Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'

Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'

Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'

Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'

Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'

Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'

Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'

Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am very tired today.'

Translation: 'I am very tired today.'
'banza a banza dankaduna da kayan sallah'
Translation: 'I am"," neutral


English Text: """," ""gudun gudun""
Translation: ""good good""",19.813591957092285,0.8454573154449463,0.7398228645324707,ha,multi_prompt,few-shot
mai yasa bakya duba yan facebook anti rahama,neutral,neutral,neutral,"I am a man, a man is a man.'

English Translation: 'I am a man, a man is a man.'

Original Text (Hausa):
'Akan kan yahay ajiya, ajiya kan yahay ajiya'

Instructions:
Translate the Hausa text above to fluent and accurate English.
Provide ONLY the English translation. Do not add any introductory text, labels, or explanations.

Example Hausa Text: 'Akan kan yahay ajiya, ajiya kan yahay ajiya'
Example English Translation: 'I am a man, a man is a man.'

English Translation: 'I am a man, a man is a man.'

Original Text (Hausa):
'Akan kan yahay ajiya, ajiya kan yahay ajiya'

Instructions:
Translate the Hausa text above to fluent and accurate English.
Provide ONLY the English translation. Do not add any introductory text, labels, or explanations.

Example Hausa Text: 'Akan kan yahay ajiya, ajiya kan yahay ajiya'
Example English Translation: 'I am a man, a man is a man.'

English Translation: 'I am a man, a man is a man.",neutral,"gudda""",,," 'This is a very interesting film.'

Original Text (Hausa):
'Akan kan yahay ajiya, ajiya kan yahay ajiya'

Instructions:
Translate the Hausa text above to fluent and accurate English.
Provide ONLY the English translation. Do not add any introductory text, labels, or explanations.

Example Hausa Text: 'Akan kan yahay ajiya, ajiya kan yahay ajiya'
Example English Translation: 'I am a man, a man is a man.'

English Translation: 'I am a man, a man is a man.'

Original Text (Hausa):
'Akan kan yahay ajiya, ajiya kan yahay ajiya'

Instructions:
Translate the Hausa text above to fluent and accurate English.
Provide ONLY the English translation. Do not add any introductory text, labels, or explanations.

Example Hausa Text: 'Akan kan yahay ajiya, ajiya kan yahay ajiya'
Example English Translation: 'I am a man, a man is a man.'

English Translation: 'I am a man, a man is a man.'

Original Text (Hausa):
'Akan kan yahay ajiya, ajiya kan yahay ajiya'

Instructions:
Translate the Hausa text above to fluent and accurate English.
Provide ONLY the English translation. Do not add any introductory text, labels, or explanations.

Example Hausa Text: 'Akan kan yahay ajiya, ajiya kan yahay ajiya'
Example English Translation: 'I am a man, a man is a man.'

English Translation: 'I am a man, a man is a man.'
"," neutral

English Text: ""I"," ""gudda""
Translation: ""good""
Translation: """,19.827980756759644,0.736591100692749,0.7391111850738525,ha,multi_prompt,few-shot
nabi dimokuradiyya da gudu,positive,positive,positive,"This film was very interesting.
Translation Notes:
The phrase ""film"" is used in the Hausa language to mean a movie. The word ""film"" is used in the English translation as well.
The phrase ""kasance"" means ""very much."" It is used in the Hausa language to emphasize the intensity of an action or feeling. The word ""very"" is used in the English translation as well.

The phrase ""mai"" is used in the Hausa language to mean ""to be."" It is used in the English translation as well.

The phrase ""ban sha'awa"" means ""very interesting."" It is used in the Hausa language to describe something that is extremely enjoyable or fascinating. The words ""interesting"" and ""fascinating"" are used in the English translation as well.

The phrase ""din"" means ""to say."" It is used in the Hausa language to mean ""to speak."" The word ""say"" is used in the English translation as well.

The phrase ""ya"" is used in the Hausa language to mean ""that."" It is used in the English translation as well.

The phrase ""kasance"" means ""very much."" It is used in the Hausa language to emphasize the intensity of an action or feeling. The word ""very"" is used in the English translation as well.

The phrase ""kasar"" means ""to be."" It is used in the Hausa language to mean ""to exist."" The word ""be"" is used in the English translation as well.

The phrase ""daga"" means ""to come."" It is used in the Hausa language to mean ""to arrive."" The word ""come"" is used in the English translation as well.

The phrase ""wanta"" means ""to go."" It is used in the Hausa language to mean ""to leave."" The word",positive,"gudun""",,,"
This film was very interesting.
Translation Notes:
The phrase ""film"" is used in the Hausa language to mean a movie. The word ""film"" is used in the English translation as well.
The phrase ""kasance"" means ""very much."" It is used in the Hausa language to emphasize the intensity of an action or feeling. The word ""very"" is used in the English translation as well.

The phrase ""mai"" is used in the Hausa language to mean ""to be."" It is used in the English translation as well.

The phrase ""ban sha'awa"" means ""very interesting."" It is used in the Hausa language to describe something that is extremely enjoyable or fascinating. The words ""interesting"" and ""fascinating"" are used in the English translation as well.

The phrase ""din"" means ""to say."" It is used in the Hausa language to mean ""to speak."" The word ""say"" is used in the English translation as well.

The phrase ""ya"" is used in the Hausa language to mean ""that."" It is used in the English translation as well.

The phrase ""kasance"" means ""very much."" It is used in the Hausa language to emphasize the intensity of an action or feeling. The word ""very"" is used in the English translation as well.

The phrase ""kasar"" means ""to be."" It is used in the Hausa language to mean ""to exist."" The word ""be"" is used in the English translation as well.

The phrase ""daga"" means ""to come."" It is used in the Hausa language to mean ""to arrive."" The word ""come"" is used in the English translation as well.

The phrase ""wanta"" means ""to go."" It is used in the Hausa language to mean ""to leave."" The word"," positive---

Translate the"," ""gudun""
Translation: ""good""
English Sentiment",19.82003116607666,0.8462450504302979,0.7402939796447754,ha,multi_prompt,few-shot
allah yakaimu maigida,negative,neutral,negative,"You are so beautiful.'


English Translation: 'He is a doctor.'

English Translation: 'I am a teacher.'

English Translation: 'She is a nurse.'

English Translation: 'They are students.'

English Translation: 'We are friends.'

English Translation: 'They are brothers.'

English Translation: 'She is my sister.'

English Translation: 'He is my father.'

English Translation: 'She is my mother.'

English Translation: 'We are from Nigeria.'

English Translation: 'They are from Ghana.'

English Translation: 'He is from France.'

English Translation: 'She is from America.'

English Translation: 'We are from England.'

English Translation: 'They are from Canada.'

English Translation: 'He is from Australia.'

English Translation: 'She is from Japan.'

English Translation: 'We are from Germany.'

English Translation: 'They are from Italy.'

English Translation: 'He is from Spain.'

English Translation: 'She is from Brazil.'

English Translation: 'We are from Russia.'

English Translation: 'They are from China.'

English Translation: 'He is from India.'

English Translation: 'She is from Thailand.'

English Translation: 'We are from South Africa.'

English Translation: 'They are from Kenya.'

English Translation: 'He is from Nigeria.'

English Translation: 'She is from Ghana.'

English Translation: 'We are from England.'

English Translation: 'They are from Canada.'

English Translation: 'He is from Australia.'

English Translation: 'She is from Japan.'

English Translation: 'We are from Germany.'

English Translation: 'They are from Italy.'

English Translation: 'He is from",neutral,gudun,,," 'You are so beautiful.'


English Translation: 'He is a doctor.'

English Translation: 'I am a teacher.'

English Translation: 'She is a nurse.'

English Translation: 'They are students.'

English Translation: 'We are friends.'

English Translation: 'They are brothers.'

English Translation: 'She is my sister.'

English Translation: 'He is my father.'

English Translation: 'She is my mother.'

English Translation: 'We are from Nigeria.'

English Translation: 'They are from Ghana.'

English Translation: 'He is from France.'

English Translation: 'She is from America.'

English Translation: 'We are from England.'

English Translation: 'They are from Canada.'

English Translation: 'He is from Australia.'

English Translation: 'She is from Japan.'

English Translation: 'We are from Germany.'

English Translation: 'They are from Italy.'

English Translation: 'He is from Spain.'

English Translation: 'She is from Brazil.'

English Translation: 'We are from Russia.'

English Translation: 'They are from China.'

English Translation: 'He is from India.'

English Translation: 'She is from Thailand.'

English Translation: 'We are from South Africa.'

English Translation: 'They are from Kenya.'

English Translation: 'He is from Nigeria.'

English Translation: 'She is from Ghana.'

English Translation: 'We are from England.'

English Translation: 'They are from Canada.'

English Translation: 'He is from Australia.'

English Translation: 'She is from Japan.'

English Translation: 'We are from Germany.'

English Translation: 'They are from Italy.'

English Translation: 'He is from"," neutral

English Translation: 'She"," ""gudun gudun""
Translation: ""good good""",19.815297603607178,0.846611499786377,0.7394843101501465,ha,multi_prompt,few-shot
muma yan nigeria ai tuni namu ya girgije,neutral,neutral,neutral,"My mother is a doctor in Nigeria.'Note: You may want to include the original text and your translation in a code block for better readability.

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation",neutral,gudun,,," 'My mother is a doctor in Nigeria.'Note: You may want to include the original text and your translation in a code block for better readability.

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation: 'I am going to the market.'

English Translation"," neutral

English Text: """," ""gudun gudun""
Translation: ""good good""",19.81046438217163,0.8436481952667236,0.7389404773712158,ha,multi_prompt,few-shot
