id,text,ground_truth_label,predicted_label,language,runtime_seconds,prompt_language,shot_type,raw_model_output
swa_test_580,   Mambo 9 muhimu ya kuzingatia unapotumia mitandao ya kijamii 1 Fikiria kwanza kabla ya kutuma taarifa yoyote mitan,neutral,neutral,sw,0.4773,LRL-instruct,few-shot,"neutral

Example:
'   This sentence is important to explain that"
swa_test_356,Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni,positive,positive,sw,0.4713,LRL-instruct,few-shot,"positive

'Shilole AKA Shishi Baby kuhusu Uk"
swa_test_133,   Changamoto ya Tax Refund inatokana na baadhi ya wadau kutokuwa waaminifu naomba baadhi ya wadau wafanye kazi kwa uaminifu,neutral,positive,sw,0.4706,LRL-instruct,few-shot,"positive

Example 4:
Swahili Text: '   The"
swa_test_250,Kwamba acha kunyonya maziwa ya mama yale ni ya mtoto wako Acha kabisa,neutral,positive,sw,0.4824,LRL-instruct,few-shot,"positive

Example 4:
Swahili Text: 'Kwamba"
swa_test_299,   EWE KIJANA AMKA KUMEKUCHA Ni asubuhi nyingine tena katika ulimwengu uliojaa fursa nyingi hususani za kilimo biashara T,neutral,positive,sw,0.4739,LRL-instruct,few-shot,"positive

Example 4:
Swahili Text: '   E"
swa_test_388,   Hello MwanzaNew service in townThe most Mobile MessengerTuma chochotepopote pale na utaletewa ulipoContacts http,negative,neutral,sw,0.4720,LRL-instruct,few-shot,"neutral

Now translate this sentence into English:
Hello Mwanza"
swa_test_336,Eeeh mchezo wa kuloweka sio mzuri jamaa fanya vurugu mechi ila usiache zanaa,negative,negative,sw,0.4726,LRL-instruct,few-shot,"negative

Example:
Swahili Text:
'Eeeh"
swa_test_155,   Tuna utajiri mkubwa Sana wa mawazo Ila namna yakuwasilisha na kuyafanyia kazi ndo kinachotufelisha,negative,positive,sw,0.4783,LRL-instruct,few-shot,"positive

Example 4:
English Text: 'We have a"
swa_test_527,   Utulivu wa akilini kuepuka papara stress unaweza kua na hekima lakini stress zikakuondolea u,negative,positive,sw,0.4731,LRL-instruct,few-shot,"positive

Example 4:
Swahili Text:
'"
swa_test_734,   Mungu ni mwema sana hatimae mnamo 20102021 nilitunukiwa shahada yangu ya kwanza DEGREE kutoka UDSM Asanteni nyote mlioku,negative,positive,sw,0.4741,LRL-instruct,few-shot,"positive

Example 4:
Swahili Text: '   Mung"
swa_test_97,   Moja ya Kitu Kinayumbisha Mahusiano na Ndoa Siku Hizi Ni Pesa Ni Kweli Pesa Hainunui Upendo ila Pesa Inanunua Chakula N,neutral,positive,sw,0.4734,LRL-instruct,few-shot,"positive

Example 4:
Swahili Text: '   Mo"
swa_test_306,Habari tafadhali tunaomba utufahamishe ni kirufushi gani cha ofa ambacho kwako hakipo na kifurushi hicho hua ulikua ukijiunga upande wa saizi yako siku wiki mwezi au halichachi,neutral,neutral,sw,0.4747,LRL-instruct,few-shot,"neutral

Example:
Swahili Text: 'Habari tafadh"
swa_test_281,Unataka kunidondoshea agendaniache ninywe biawe ndo ulikuwa unamuogopakalegea sahivi ndo huogopi pambano,neutral,positive,sw,0.4732,LRL-instruct,few-shot,"positive

Example 4:
Swahili Text: 'Unataka"
swa_test_744,JIJI LA DODOMA KUWA NA UTALII WA BUSTANI YA MITI NA MAUA Naibu Waziri wa Maliasili na Utalii Constantine Kanyasu ameiagiza Kurugenzi ya Uzalishaji miche ya miti kuanzisha utalii wa,negative,positive,sw,0.4757,LRL-instruct,few-shot,"positive

Example 4:
Swahili Text: 'JIJ"
swa_test_211,   Joel lwaga sitabaki kama,neutral,negative,sw,0.5902,LRL-instruct,few-shot,"negative

'   Mwananchi akilima wanaop"
swa_test_266,   Tajiri Hasikii Njaa,negative,positive,sw,0.5900,LRL-instruct,few-shot,"positive

'   Watu Hujaza Mto 40"
swa_test_39,Ni Easy na EzypesaBabe Tumia Ezypesa na Ushinde,neutral,positive,sw,0.5813,LRL-instruct,few-shot,"positive

'It's easy and fun to use'
Lebo"
swa_test_247,   Karibu kwenye Episode ya 4 ya leo ikifika SAA TATU KAMILI kwenye feat FUNDI Kumbuka pi,neutral,positive,sw,0.4958,LRL-instruct,few-shot,"positive

Example 4:
Swahili Text:
'"
swa_test_361,Asante kwa kuchagua CRDB Banktunakutakia siku njema SM,negative,positive,sw,0.4736,LRL-instruct,few-shot,"positive

Example 4:
Swahili Text: 'Asante"
swa_test_537,   Nikikuamini jua nimejiamini pia,neutral,positive,sw,0.4712,LRL-instruct,few-shot,"positive

'   Ninajua kama nakuwe na w"
swa_test_456,   CHETI Ambacho Unaweza Kupata Bila Hata Kusoma Ni Cha NDOA Lakini Mitihani Yake Huja Baadae Kuoa Ni Rahisi Tu Tafuta,neutral,positive,sw,0.4737,LRL-instruct,few-shot,"positive

Example 4:
English Text: '   This book"
swa_test_651,Ninamcheka kwasababu ajajistir huku kwetu wamejistili ndo maana siwez kucheka maana siyaoni Jistir afu uone Nani atakucheka Akikucheka Nambie,neutral,neutral,sw,0.4747,LRL-instruct,few-shot,"neutral

Example:
Swahili Text: 'Ninamcheka"
swa_test_511,   Huyu shahidi anatatupa tafsiri ya haraka haraka ya gharama za kujihusisha na siasa za upinzani Tanzania inatisha kwakweli,positive,positive,sw,0.4767,LRL-instruct,few-shot,"positive

Example:
Swahili Text: '   This testimony describes"
swa_test_319,Asante kwa kuwa pamoja nasiushauri tumeupokea na tutaufanyia kazi kwa Kadiri tunavyoendelea kuim,negative,positive,sw,0.4816,LRL-instruct,few-shot,"positive

Example 4:
Swahili Text: 'Asante"
swa_test_66,   leo unakuja na swali kwa wanahabari Nadharia inaonyesha kuwa wanahabari wanawake ni wengi katika vyumba vya,neutral,positive,sw,0.4738,LRL-instruct,few-shot,"positive

Example 4:
English Text: 'Yesterday we went"
swa_test_691,Ni kijana msikivu sana darasani huwa makini mwalimu akifundisha Lakink baada ya matokeo yy huwa wa mwisho Wanafunzi wenzake darasani walipenda kumuita Empty heard mtu mjinga mpk mda mwingine wanamuuliza lini utapokea mafao yako Hali hii ilimuumiza sana moyo lkn,negative,positive,sw,0.4896,LRL-instruct,few-shot,"positive

Now translate this sentence into English:
Swahili Text:"
swa_test_248,UHURU MICHEZOFT Simba 21 AS VITA  13Kasenga 36Mohamed Hussein 90 Chama,neutral,positive,sw,0.4719,LRL-instruct,few-shot,"positive

Example 4:
Swahili Text: 'UHURU"
