id,lrl_question,lrl_context,lrl_ground_truth_answers_list,en_question_model,en_context_model,en_answer_model_intermediate,lrl_answer_model_final,comet_lrl_q_to_en,comet_lrl_c_to_en,comet_en_a_to_lrl,raw_q_translation_output,raw_c_translation_output,raw_en_qa_output,raw_a_backtranslation_output,error_message,runtime_sec
sw-validation-460,Mtume Thoma alikuwa nani?,"

Thoma (au Didimo, yaani Pacha) alikuwa Myahudi wa karne ya 1, mmojawapo kati ya Mitume wa Yesu anayeheshimiwa kama mtakatifu, kwa namna ya pekee na Wakristo wa maeneo yaliyokuwa mashariki kwa Dola la Roma, kuanzia Iraq hadi India.",['mmojawapo kati ya Mitume wa Yesu anayeheshimiwa kama mtakatifu'],Who was Thomas Mtume?,"Thomas (the twin, that is, the Twin) was a disciple of Jesus Christ, and he was the first to appear after the resurrection, testifying to the other disciples that Jesus had risen from the dead, and he was also the first to be called Christian. He was a Christian from the beginning, when the faith was still in its infancy, and he was a witness to the death of the Apostle James, son of Zebedee, who was put to death by King Herod Agrippa I. Thomas was a Christian from the beginning, when the faith was still in its infancy, and he was a witness to the death of the Apostle James, son of Zebedee, who was put to death by King Herod Agrippa I. He was a Christian from the beginning, when the faith was still in its infancy, and he was a witness to the death of the Apostle James, son of Zebedee, who was put to death by King Herod Agrippa I. He was a Christian from the beginning, when the faith was still in its infancy, and he was a witness to the death",I don't know,Sijui,,,,Who was Thomas Mtume?,"Thomas (the twin, that is, the Twin) was a disciple of Jesus Christ, and he was the first to appear after the resurrection, testifying to the other disciples that Jesus had risen from the dead, and he was also the first to be called Christian. He was a Christian from the beginning, when the faith was still in its infancy, and he was a witness to the death of the Apostle James, son of Zebedee, who was put to death by King Herod Agrippa I. Thomas was a Christian from the beginning, when the faith was still in its infancy, and he was a witness to the death of the Apostle James, son of Zebedee, who was put to death by King Herod Agrippa I. He was a Christian from the beginning, when the faith was still in its infancy, and he was a witness to the death of the Apostle James, son of Zebedee, who was put to death by King Herod Agrippa I. He was a Christian from the beginning, when the faith was still in its infancy, and he was a witness to the death",I don't know,"""Sijui""",,6.830397844314575
sw-validation-73,"Je,Walter Rodney alizaliwa mwaka upi?",Walter Rodney (23 Machi 1942 - 13 Juni 1980) alikuwa mwanahistoria maarufu wa Guyana na mwanatakwimu wa kisiasa.,['1942'],When was Walter Rodney born?,"Walter Rodney (March 23, 1942 - June 13, 1980) was a Guyanese historian and political activist.",Yes,Ndiyo,,,,When was Walter Rodney born?,"Walter Rodney (March 23, 1942 - June 13, 1980) was a Guyanese historian and political activist.",Yes,Ndiyo,,1.3611717224121094
sw-validation-231,"Je,Paul Emil von Lettow-Vorbeck alizaliwa lini?","
Paul Emil von Lettow-Vorbeck (20 Machi, 1870 – 9 Machi,  1964) alikuwa afisa wa jeshi la Dola la Ujerumani na mkuu wa jeshi la Schutztruppe katika Afrika ya Mashariki ya Kijerumani wakati wa Vita Kuu ya Kwanza ya Dunia.","['20 Machi, 1870']",Who was Paul Emil von Lettow-Vorbeck?,"Paul Emil von Lettow-Vorbeck (20 March 1870 – 9 March 1964) was a German general who commanded the German colonial forces in German East Africa during World War I. He is best known for his successful defence of German East Africa against British and Portuguese forces for over three years, until he surrendered in November 1918, after the war had ended.",German general,Wafanyibi wa Jerman,,,,Who was Paul Emil von Lettow-Vorbeck?,"Paul Emil von Lettow-Vorbeck (20 March 1870 – 9 March 1964) was a German general who commanded the German colonial forces in German East Africa during World War I. He is best known for his successful defence of German East Africa against British and Portuguese forces for over three years, until he surrendered in November 1918, after the war had ended.",German general,"""Wafanyibi wa Jerman""",,3.2203664779663086
sw-validation-175,"Je,msanii Juma Nature alizaliwa lini?","
Juma Nature or Sir Nature (born in 1980 as Juma Kassim Ally in Dar es Salaam ) is a new generation musician popularly known as Bongo Flava from the country of Tanzania . Also a founder of a group of men TMK .",['1980'],When was Juma Nature born?,Juma Nature or Sir Nature ( born in 1980 as Juma Kassim Ally in Dar es Salaam ) is a new generation musician popularly known as Bongo Flava from the country of Tanzania . Also a founder of a group of men TMK .,1980,1980,,,,When was Juma Nature born?,Juma Nature or Sir Nature ( born in 1980 as Juma Kassim Ally in Dar es Salaam ) is a new generation musician popularly known as Bongo Flava from the country of Tanzania . Also a founder of a group of men TMK .,1980,1980,,2.076582193374634
sw-validation-237,Mti wa Moringa una tibu magonjwa aina ngapi?,"Mti wa mlonge pia umegundulika kuwa ndio mti wenye maajabu zaidi duniani hasa baada ya kufanyiwa utafiti na wanasayansi wa Uingereza. Mti huu una uwezo wa kutibu magonjwa zaidi ya 100 kama vile vidonda vya tumbo, malaria, homa ya matumbo, maambukizo ya mfumo wa mkojo na magonjwa mengine. Mti huu pia umeonekana kuwa na protini nyingi kuliko inayopatikana katika nyama, maziwa, samaki pamoja na maharagwe. Pia mti huu una virutubisho vya Omega-3 ambavyo havipatikani katika maziwa na nyama hivyo kuwa ndio mti wa ajabu zaidi duniani.",['zaidi ya 100'],What is the name of the tree whose leaves are used as food?,"The tree is also known as the 'miracle tree' after it was discovered that it had medicinal properties after being used by the indigenous people of Africa for centuries. The tree can grow up to 100 feet tall and has many uses including providing shade, shelter and fuel wood. It is also a source of food and medicine. The tree is also known as the 'miracle tree' after it was discovered that it had medicinal properties after being used by the indigenous people of Africa for centuries. The tree can grow up to 100 feet tall and has many uses including providing shade, shelter and fuel wood. It is also a source of food and medicine.",Yes,Ndiyo,,,,What is the name of the tree whose leaves are used as food?,"The tree is also known as the 'miracle tree' after it was discovered that it had medicinal properties after being used by the indigenous people of Africa for centuries. The tree can grow up to 100 feet tall and has many uses including providing shade, shelter and fuel wood. It is also a source of food and medicine. The tree is also known as the 'miracle tree' after it was discovered that it had medicinal properties after being used by the indigenous people of Africa for centuries. The tree can grow up to 100 feet tall and has many uses including providing shade, shelter and fuel wood. It is also a source of food and medicine.",Yes,Ndiyo,,4.58831524848938
sw-validation-425,Amani James Pausen Temba  ni mwanachama kiongozi wa kitu gani?,"
Amani James Pausen Temba au ""Mheshimiwa Temba"" (kifupi Mh Temba) ni Mwanamuziki wa Rap na Hip Hop Kutoka Jijini Dar es Salaam Tanzania, Na pia ni Mwanachama Kiongozi wa Tmk Wanaume Family yenye makazi yao huko Temeke Jijini Dar es Salaam Tanzania,
Mh Temba alizaliwa mwaka 1980 na kupata elimu yake ya msingi katika shule ya msingi Temeke na baadaye kujiunga na shule ya sekondari ya Nuru Yakini ambako alisoma kwa miaka miwili kabla ya kuhamia sekondari ya Makongo, alisoma Makongo kwa mda wiki moja tu na kwenda kujiunga na sekondari nyingine inayomilikiwa na Jeshi ya Jigetemee baada ya kupata ofa ya kusomeshwa bure na uongozi wa shule hiyo enzi hizo ukiwa chini ya Luteni kanali Fabian Massawe ambaye sasa ni Mkuu wa wilaya ya kinondoni.",['Tmk Wanaume'],What are the names of the two children?,"Amani James Pausen Temba or ""Mheshimiwa Temba"" (known as Mh Temba) is a Tanzanian Rap and Hip Hop artist from the city of Dar es Salaam, Tanzania, and also a member of the Tmk Wanaume Family with his own unique style of music, he was born in 1980 and attended primary school in Temeke, Dar es Salaam, Tanzania, after completing his primary education he joined Nuru Yakini High School where he studied Islam for one year before dropping out and joining Makongo Secondary School, he studied there for one month and then joined another secondary school because he was not allowed to join Makongo due to his religious beliefs, he joined another secondary school because he was not allowed to join Makongo due to his religious beliefs, he joined another secondary school because he was not allowed to join Makongo due to his religious beliefs, he joined another secondary school because he was not allowed to join Makongo due to his religious beliefs, he joined another secondary school because he was not allowed to join Makongo due to his",I don't know,Sijui,,,,What are the names of the two children?,"Amani James Pausen Temba or ""Mheshimiwa Temba"" (known as Mh Temba) is a Tanzanian Rap and Hip Hop artist from the city of Dar es Salaam, Tanzania, and also a member of the Tmk Wanaume Family with his own unique style of music, he was born in 1980 and attended primary school in Temeke, Dar es Salaam, Tanzania, after completing his primary education he joined Nuru Yakini High School where he studied Islam for one year before dropping out and joining Makongo Secondary School, he studied there for one month and then joined another secondary school because he was not allowed to join Makongo due to his religious beliefs, he joined another secondary school because he was not allowed to join Makongo due to his religious beliefs, he joined another secondary school because he was not allowed to join Makongo due to his religious beliefs, he joined another secondary school because he was not allowed to join Makongo due to his religious beliefs, he joined another secondary school because he was not allowed to join Makongo due to his",I don't know,"""Sijui""",,7.02178168296814
sw-validation-155,"Je,gazeti la BrooWaha huchapishwa kila baada ya wakati gani?","Watumiaji waliosajiliwa katika tovuti ya BrooWaha huwa na ruhusa ya kuandika makala kwenye ukurasa maalum ya maandishi katika tovuti. Ukurasa huu huwezesha watumiaji kuandika makala na kuambatanisha picha na kuyawasilisha kwa wahariri. Makala, kwa kawaida, huchapishwa katika au baada ya saa 24.
Licha ya kuwapa watumiaji chaguo nyingi za kuandika maandishi kwa njia mbalimbali, tovuti hiyo imepata umaarufu wa kuweza kuwa na viungo vya tovuti zingine na huonyesha video ya YouTube katika makala yao.",['katika au baada ya saa 24'],When was the Browaha newspaper published?,"The article is about a person who was arrested in the BrooWaha community for writing an article on a blog about a topic related to the community's culture. The article was written using a computer and printed out. It was then posted on a wall in the community. The article, as is usual, was published either in the morning or in the afternoon of the day it was written.
The writer of the article has a lot of experience in writing articles on various topics, and the community has seen many articles written by him/her. In this particular article, the writer used pictures and videos from YouTube to illustrate his/her points.",I don't know,Sijui,,,,When was the Browaha newspaper published?,"The article is about a person who was arrested in the BrooWaha community for writing an article on a blog about a topic related to the community's culture. The article was written using a computer and printed out. It was then posted on a wall in the community. The article, as is usual, was published either in the morning or in the afternoon of the day it was written.
The writer of the article has a lot of experience in writing articles on various topics, and the community has seen many articles written by him/her. In this particular article, the writer used pictures and videos from YouTube to illustrate his/her points.",I don't know,"""Sijui""",,4.38404393196106
sw-validation-55,Rais wa kwanza wa Togo anaitwa nani?,"Muda wa UtawalaMtawalaChamaVidokezoJamhuri ya Togo27 Aprili 1960 hadi 13 Januari 1963Sylvanus Olympio, RaisCUTAling'olewa Madarakani na Kuuwawa13 Januari 1963 hadi 15 Januari 1963Emmanuel Bodjollé, Mwenyekiti wa Kamati kusababisha uasiMil16 Januari 1963 hadi 13 Januari 1967Nicolas Grunitzky, RaisPTPAling'olewa Madarakani14 Januari 1967 hadi 14 Aprili 1967Kléber Dadjo, Mwenyekiti wa Kamati ya Taifa ya MaridhianoMil14 Aprili 1967 hadi 30 Novemba 1969 Étienne Eyadéma, RaisMil30 Novemba 1969  hadi 8 Mei 1974 RPTAlibadilisha jina kuwa Gnassingbé Eyadéma8 Mei 1974  hadi 5 Februari 2005Gnassingbé Eyadéma, RaisRPTAlikufa katika ofisi5 Februari 2005 hadi 25 Februari 2005Faure Gnassingbé, RaisRPTMara ya kwanza25 Februari 2005 hadi 4 Mei 2005Bonfoh ABBASS, Kaimu RaisRPT4 Mei 2005 hadi sasaFaure Gnassingbé, RaisRPTMara ya pili",['Sylvanus Olympio'],Who was the first president of Togo?,Constitution of Togo,I don't know,Sijui.,,,,Who was the first president of Togo?,Constitution of Togo,I don't know,"""Sijui.""",,0.7685201168060303
sw-validation-322,Ruwaza ya Kenya 2030 ilitengenezwa mwaka upi?,"Kulitangazwa 10 Juni 2008, kwamba wilaya ya Isiolo, itakuwa ya kwanza ya mradi wa kewekezwa. Mpango unazimia kuufanya mji wa Isiolo kuimarika kama eneo la kitalii ambalo litajumuisha kasino, mahoteli, masoko rejareja, uwanja wa ndege wa kisasa na vifaa vya usafiri.[3]",['2008'],What is Kenya's vision 2030?,"On June 10, 2008, when the Isiolo district was still in its first day of the new year, a fire broke out in the town of Isiolo, burning down several buildings, including casinos, hotels, markets, a primary school and a guest house.[3]",I don't know,Sijui,,,,What is Kenya's vision 2030?,"On June 10, 2008, when the Isiolo district was still in its first day of the new year, a fire broke out in the town of Isiolo, burning down several buildings, including casinos, hotels, markets, a primary school and a guest house.[3]",I don't know,"""Sijui""",,2.5116047859191895
sw-validation-9,"Je, Edward Moss alizaliwa lini?","Edward Moss (amezaliwa tar. 11 Julai 1977) ni mwigizaji wa filamu na mchekeshaji kutoka nchini Marekani. Anafahamika zaidi kwa kuigiza na kucheza kama hayati Michael Jackson kwenye filamu na vipindi vya TV.[1][2] Awali alikuwa anafanya katika kampuni ya McDonald's mwanzoni mwa miaka ya 1990, ambapo wafanyakazi wenzake walikuwa wakimwambia kama anafanana sana na mwimbaji Michael Jackson; hivyo basi Moss akaingia katika shindano la kutafuta watu wenye vipaji na kubahatika kushinda, na kadiri muda unavyokwenda, ameamua kujitafutia riziki yake kwa kujifanya kama Jackson.",['11 Julai 1977'],Who is Edward Moss?,"Edward Moss (born July 11, 1977) is an American actor and stuntman. He has played many roles in films and television, most notably as a double for Michael Jackson in the film and television series. He began his career in 1990 at McDonald's, where he was ridiculed by other employees for looking like Jackson; this inspired him to pursue a career in acting and stunt work, and he eventually became a double for Jackson, appearing in several of Jackson's music videos and performing in the 1996 concert tour, the HIStory World Tour.",American actor and stuntman,Wafanyibi wa Amerika na wafanyibi wa kufanya za kifuri.,,,,Who is Edward Moss?,"Edward Moss (born July 11, 1977) is an American actor and stuntman. He has played many roles in films and television, most notably as a double for Michael Jackson in the film and television series. He began his career in 1990 at McDonald's, where he was ridiculed by other employees for looking like Jackson; this inspired him to pursue a career in acting and stunt work, and he eventually became a double for Jackson, appearing in several of Jackson's music videos and performing in the 1996 concert tour, the HIStory World Tour.",American actor and stuntman,"""Wafanyibi wa Amerika na wafanyibi wa kufanya za kifuri.""",,4.621859788894653
