premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_model_response,runtime_seconds,error_message
"Les dimensions restantes sont imaginées comme recourbées sur l'échelle de longueur de Planck dans ce qu'on appelle les espaces Calabi-Yau, ou plus généralement, les modules compactifiés.",Les espaces Calabi-Yau s'étendent sur une grande surface.,2,contradiction,"The remaining dimensions are imagined as curved on the scale of the Planck length in what are called Calabi-Yau spaces, or more generally, compactified modules.",Calabi-Yau spaces extend over a large area.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The remaining dimensions are imagined as curved on the scale of the Planck length in what are called Calabi-Yau spaces, or more generally, compactified modules.

Translated English Hypothesis: Calabi-Yau spaces extend over a large area.

English NLI Label: Contradiction.",3.6654038429260254,
23. Elan continu financier essentiel pour atteindre les objectifs du CFO Act,Les finances 23 sont sur le point d'atteindre tous leurs objectifs.,1,neutral,"""Continued financial elan essential to achieve the CFO's goals.""","""Finance 23 is about to achieve all its goals.""",contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: ""Continued financial elan essential to achieve the CFO's goals.""

Translated English Hypothesis: ""Finance 23 is about to achieve all its goals.""

English NLI Label: Contradiction.",3.095850944519043,
"Je suis sous pression, lui apprit-elle.",Elle lui avait dit qu'elle était sous pression.,0,entailment,"I am under pressure, she told him.",She had told him that she was under pressure.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: I am under pressure, she told him.

Translated English Hypothesis: She had told him that she was under pressure.

English NLI Label: Entailment",2.798931121826172,
c'est probablement plus parce que j'apprécie simplement la couverture que parce que je n'ai pas le temps de lire le journal vous savez,Ils couvrent beaucoup plus que ce que vous obtiendrez dans le journal.,1,neutral,"It's probably more because I just appreciate the cover than because I don't have time to read the newspaper, you know.",They cover much more than what you'll get in the newspaper.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: It's probably more because I just appreciate the cover than because I don't have time to read the newspaper, you know.

Translated English Hypothesis: They cover much more than what you'll get in the newspaper.

English NLI Label: Contradiction.",4.024471282958984,
"Jane, Dave, et un analyste du FBI ayant participé à l'unité de la CIA chargée de Ben Laden sont allés à New York le 11 juin pour rencontrer des agents à propos de l'affaire Cole.",L'analyste du FBI a parlé à sept agents de l'affaire Cole.,1,neutral,"Jane, Dave, and a FBI analyst who was part of the CIA unit tasked with Osama Bin Laden went to New York on June 11th to meet agents regarding the Cole case.",The FBI analyst spoke to seven agents about the Cole case.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: Jane, Dave, and a FBI analyst who was part of the CIA unit tasked with Osama Bin Laden went to New York on June 11th to meet agents regarding the Cole case. 

Translated English Hypothesis: The FBI analyst spoke to seven agents about the Cole case. 

English NLI Label: Contradiction.",4.218823194503784,
"D'un autre côté, les particules et les trois forces non-gravitationnelles n'ont pas encore été incorporées dans une image de réseau de spin.",Les forces non gravitationnelles doivent être incorporées pour que l'image du réseau de rotation soit complète.,1,neutral,"""On the other hand, particles and the three non-gravity forces have not yet been incorporated into a spin network image.""","""Non-gravity forces must be incorporated for the spin network image to be complete.""",contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: ""On the other hand, particles and the three non-gravity forces have not yet been incorporated into a spin network image.""

Translated English Hypothesis: ""Non-gravity forces must be incorporated for the spin network image to be complete.""

English NLI Label: Contradiction.",3.6224160194396973,
Tu aurais dû te rendre compte du danger.,Tu ne dois pas regarder la crise qui a lieu en ce moment même.,2,contradiction,You should have been aware of the danger.,You must not watch the crisis that is happening right now.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: You should have been aware of the danger.

Translated English Hypothesis: You must not watch the crisis that is happening right now.

English NLI Label: Contradiction",2.3410398960113525,
"Sa sœur pouvait passer pour une blanche, et c'était effectivement le cas.",Sa sœur avait la peau la plus belle du quartier.,1,neutral,"Her sister could pass as white, and she was indeed white.",Her sister had the most beautiful skin in the neighborhood.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: Her sister could pass as white, and she was indeed white.

Translated English Hypothesis: Her sister had the most beautiful skin in the neighborhood.

English NLI Label: Contradiction.",2.6765005588531494,
"Notre système de gestion des frontières et de l'immigration, y compris les forces de l'ordre, doit adresser un message de bienvenue, de tolérance et de justice aux membres des communautés d'immigrants situées tant aux États-Unis que dans leur pays d'origine.",Notre pays devrait réparer notre image globalement et accueillir les réfugiés ici.,1,neutral,"Our border management and immigration system, including law enforcement, must send a welcome, tolerant, and just message to members of immigrant communities located both in the United States and in their countries of origin.",Our country should repair our global image and welcome refugees here.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: Our border management and immigration system, including law enforcement, must send a welcome, tolerant, and just message to members of immigrant communities located both in the United States and in their countries of origin.

Translated English Hypothesis: Our country should repair our global image and welcome refugees here.

English NLI Label: Contradiction",4.162636756896973,
"La publication du livre du CRP (Candidat Républicain à la Présidentielle) est suivie de la tournée promotionnelle du livre, ce qui introduit la caractéristique suivante du",Le livre de RPH aura sa propre tournée.,0,entailment,"The publication of the CRP's book (Republican Candidate for Presidential Election) is followed by a book promotion tour, which introduces the following characteristic of the next book.",The book of RPH will have its own tour.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The publication of the CRP's book (Republican Candidate for Presidential Election) is followed by a book promotion tour, which introduces the following characteristic of the next book. 

Translated English Hypothesis: The book of RPH will have its own tour. 

English NLI Label: Contradiction.",3.313215732574463,
Le télésiège est un grand favori.,Personne n'aime le télésiège.,2,contradiction,The telesiege is a big favorite.,Nobody likes the telesiege.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The telesiege is a big favorite.

Translated English Hypothesis: Nobody likes the telesiege.

English NLI Label: Contradiction",2.3196730613708496,
"Pour les aides à l'évacuation du 11 septembre, voir, par exemple, Civilian interview 14 (avril",Aucune aide n'est disponible en ce qui concerne l'évacuation du 11 Septembre.,2,contradiction,"For the 9/11 evacuation aids, see, for example, Civilian Interview 14 (April",No aid is available regarding the 9/11 evacuation.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: For the 9/11 evacuation aids, see, for example, Civilian Interview 14 (April 

Translated English Hypothesis: No aid is available regarding the 9/11 evacuation. 

English NLI Label: Contradiction",3.2552273273468018,
"«Un informateur du Tennessee a utilisé l'expression temps de chien pour signifier «un temps chaud et sec», ce qui vient sans doute de l'expression canicule, qui fait référence au temps sec du mois d'août.",Juin et juillet sont également très chauds dans le Tennessee.,1,neutral,"A informant from Tennessee used the phrase dog days to mean hot and dry weather, which likely comes from the term canicule, which refers to the dry weather in August.",June and July are also very hot in Tennessee.,neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: A informant from Tennessee used the phrase dog days to mean hot and dry weather, which likely comes from the term canicule, which refers to the dry weather in August. 

Translated English Hypothesis: June and July are also very hot in Tennessee. 

English NLI Label: Neutral.",3.400592803955078,
"Je l'ai tué, c'est vrai.",La vie de l'homme a été épargnée.,2,contradiction,"I killed him, it's true.",The man's life was spared.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: I killed him, it's true.

Translated English Hypothesis: The man's life was spared.

English NLI Label: Contradiction",2.051192045211792,
Mais j'étais pressé de vous débarquer.,La personne voulait un amant.,1,neutral,But I was in a hurry to get rid of you.,The person wanted a lover.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: But I was in a hurry to get rid of you.

Translated English Hypothesis: The person wanted a lover.

English NLI Label: Contradiction",2.3156704902648926,
"Si vous vous sentez à la hauteur, continuez le long du sentier des brumes, après Emerald Pool, Nevada Fall, et vous commencerez à semer la foule.",Nevada Falls est une grande randonnée avec quelques personnes.,1,neutral,"If you feel up to it, continue along the Bridalveil Trail past Emerald Pool, then Nevada Fall, and you'll start to spread out the crowd.",Nevada Falls is a great hike with a few people.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: If you feel up to it, continue along the Bridalveil Trail past Emerald Pool, then Nevada Fall, and you'll start to spread out the crowd.

Translated English Hypothesis: Nevada Falls is a great hike with a few people.

English NLI Label: Contradiction.",3.5381295680999756,
"Je l'ai signalé dans une lettre au Dr. Cela a semblé l'amuser, et il m'a envoyé un petit cake aux fruits pour Noël.",Le docteur m'a envoyé un bouteille de vin ce Noël là.,2,contradiction,"I reported this in a letter to Dr. This seemed to amuse him, and he sent me a small fruit cake for Christmas.",The doctor sent me a bottle of wine for that Christmas.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: I reported this in a letter to Dr. This seemed to amuse him, and he sent me a small fruit cake for Christmas.

Translated English Hypothesis: The doctor sent me a bottle of wine for that Christmas.

English NLI Label: Contradiction",3.179837226867676,
le sens que le chèquier soit juste un chèque vierge et son plafond illimité non pas qu'elle peut juste dépenser comme elle le veut mais c'est presque cette attitude,Elle a l'impression de pouvoir dépenser plus de 1 000 $ par nuit.,1,neutral,"The interpretation that the checkbook is just a blank check and its limit is not that she can just spend as she pleases, but it's almost this attitude.","She feels she can spend over $1,000 per night.",contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The interpretation that the checkbook is just a blank check and its limit is not that she can just spend as she pleases, but it's almost this attitude.

Translated English Hypothesis: She feels she can spend over $1,000 per night.

English NLI Label: Contradiction.",3.966442584991455,
"Mon héro, donc, est Richard Heseltine, le président de la foundation d' investissement d' Outre-mer, qui a démissionné plus tôt ce mois-ci pour s'opposer au plan de développement que lui ont imposé ses supérieurs",Heseltine a quitté son travail.,0,entailment,"My hero, therefore, is Richard Heseltine, the president of the overseas investment foundation, who resigned earlier this month to oppose the development plan imposed on him by his superiors.",Heseltine has left his job.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: My hero, therefore, is Richard Heseltine, the president of the overseas investment foundation, who resigned earlier this month to oppose the development plan imposed on him by his superiors.

Translated English Hypothesis: Heseltine has left his job.

English NLI Label: Contradiction",4.239280462265015,
"La source a affirmé que Ben Laden avait demandé et reçu de l'aide de l'expert en fabrication de bombes, qui y était resté en tant que formateur jusqu'en septembre 1996, date à laquelle l'information a été transmise aux Etats-Unis.",La source ne savait rien de Ben Laden.,2,contradiction,"The source claimed that Osama bin Laden had requested and received assistance from the bomb-making expert, who remained there as a trainer until September 1996, when the information was passed on to the United States.",The source knew nothing about Ben Laden.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The source claimed that Osama bin Laden had requested and received assistance from the bomb-making expert, who remained there as a trainer until September 1996, when the information was passed on to the United States. 

Translated English Hypothesis: The source knew nothing about Ben Laden. 

English NLI Label: Contradiction.",4.333664655685425,
"Relié à la Nouvelle-Écosse par l'étroit isthme de Chignectou, le Nouveau-Brunswick devint une province distincte en 1784 à la demande de 14 000 réfugiés loyalistes.",Le Nouveau-Brunswick n'était pas une province en 1784.,2,contradiction,"""Connected to Nova Scotia by the narrow Chignecto Isthmus, New Brunswick became a distinct province in 1784 at the request of 14,000 loyalist refugees.""","""New Brunswick was not a province in 1784.""",contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: ""Connected to Nova Scotia by the narrow Chignecto Isthmus, New Brunswick became a distinct province in 1784 at the request of 14,000 loyalist refugees.""

Translated English Hypothesis: ""New Brunswick was not a province in 1784.""

English NLI Label: Contradiction.",4.535444498062134,
Ils ont insisté sur le fait qu'une vigilance constante est nécessaire afin d'assurer que les contrôles restent appropriés (traiter les risques actuels et non pas gêner inutilement les opérations) et que les personnes qui utilisent et entretiennent les systèmes d'information respectent l'organisation en place.,Ils ont dit qu'il était important d'être vigilant lorsqu'il s'agissait des nouvelles commandes d'usine.,1,neutral,They emphasized that constant vigilance is necessary to ensure that checks remain appropriate (addressing current risks and not hindering operations unnecessarily) and that individuals who use and maintain information systems adhere to the established organization.,They stated that it was important to be vigilant when it came to new factory orders.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: They emphasized that constant vigilance is necessary to ensure that checks remain appropriate (addressing current risks and not hindering operations unnecessarily) and that individuals who use and maintain information systems adhere to the established organization.

Translated English Hypothesis: They stated that it was important to be vigilant when it came to new factory orders.

English NLI Label: Contradiction",4.6481287479400635,
S'il y avait quelque chose que je pouvais faire.,Je savais qu'il n'y avait rien que je puisse faire.,2,contradiction,If there was something that I could do.,I knew that there was nothing that I could do.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: If there was something that I could do.

Translated English Hypothesis: I knew that there was nothing that I could do.

English NLI Label: Contradiction",2.635495662689209,
Beaucoup a été fait pour engager Michael Apted pour amener plus d'humanité à la série.,Michael Apted a été embauché pour ajouter une qualité personnelle à la série.,0,entailment,Much has been done to engage Michael Apted to bring more humanity to the series.,Michael Apted was hired to add a personal quality to the series.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: Much has been done to engage Michael Apted to bring more humanity to the series.

Translated English Hypothesis: Michael Apted was hired to add a personal quality to the series.

English NLI Label: Contradiction",2.8333542346954346,
"En remerciement pour votre contribution de 100 $ ou plus pour la campagne, vous, ainsi qu'un(e) invité(e) de votre choix, êtes conviés au Herron Hall le jeudi 23 mars 2000 de 17:30 à 20:00 pour une réception exceptionnelle.",Vous et un invité serez conviés à assister à une réception spéciale si vous faites un don de 100$ ou plus à la campagne.,0,entailment,"In gratitude for your contribution of $100 or more to the campaign, you, along with one guest of your choice, are invited to Herron Hall on Thursday, March 23, 2000, from 5:30 pm to 8:00 pm for an exceptional reception.",You and a guest will be invited to attend a special reception if you make a donation of $100 or more to the campaign.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: In gratitude for your contribution of $100 or more to the campaign, you, along with one guest of your choice, are invited to Herron Hall on Thursday, March 23, 2000, from 5:30 pm to 8:00 pm for an exceptional reception. 

Translated English Hypothesis: You and a guest will be invited to attend a special reception if you make a donation of $100 or more to the campaign. 

English NLI Label: Entailment",6.266225576400757,
Vous verrez des vidéos de l'histoire d'Anne et d'Amsterdam sous l'occupation ainsi que des photographies et des objets de l'époque.,Vous ne verrez pas de photos.,2,contradiction,"You will see videos about Anne's story and Amsterdam during the occupation, as well as photographs and objects from that time.",You won't see any photos.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: You will see videos about Anne's story and Amsterdam during the occupation, as well as photographs and objects from that time. 

Translated English Hypothesis: You won't see any photos. 

English NLI Label: Contradiction",3.259512424468994,
"De plus, les résidants de l’Indiana peuvent bénéficier de réductions fiscales grâce au crédit d’impôt de l’Indiana qui s’applique directement sur le revenu net de la déclaration fiscale.",Les résidents de l'Indiana obtiennent un crédit d'impôt de 50 % s'ils font un don au théâtre.,1,neutral,"In addition, residents of Indiana can benefit from tax reductions through the Indiana tax credit, which directly applies to their net income on their tax return.",Residents of Indiana receive a 50% tax credit if they make a donation to a theater.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: In addition, residents of Indiana can benefit from tax reductions through the Indiana tax credit, which directly applies to their net income on their tax return.

Translated English Hypothesis: Residents of Indiana receive a 50% tax credit if they make a donation to a theater.

English NLI Label: Contradiction",4.622743129730225,
"Le maire de Letohrad, la ville où Josef Korbel a grandi, affirme avoir envoyé trois lettres à Albright ces dernières années.",Korbel a guidé Letohrad.,0,entailment,"The mayor of Letohrad, the town where Josef Korbel grew up, claims to have sent three letters to Albright over the past few years.",Korbel guided Letohrad.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The mayor of Letohrad, the town where Josef Korbel grew up, claims to have sent three letters to Albright over the past few years. 

Translated English Hypothesis: Korbel guided Letohrad. 

English NLI Label: Contradiction. 

The hypothesis contradicts the premise as the premise states that the mayor sent letters to Albright, while the hypothesis suggests that Korbel was the one who guided Letohrad.",5.289484739303589,
"Dans une économie à fort réinvestissement, que se passera-t-il si nous pouvons tirer parti de nos avantages commerciaux et réinvestir tout excédent afin de pouvoir créer plus de pommes et de poires que ce avec quoi nous avons démarré?",Nous ne pouvons commercer avec nos personnes proches.,2,contradiction,"In an economy with high reinvestment potential, what if we can leverage our trade advantages and reinvest any surplus to grow our apple and pear production beyond our starting point?",We cannot trade with our close associates.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: In an economy with high reinvestment potential, what if we can leverage our trade advantages and reinvest any surplus to grow our apple and pear production beyond our starting point?

Translated English Hypothesis: We cannot trade with our close associates.

English NLI Label: Contradiction",3.397392749786377,
Nous continuons à renforcer la formation de bons avocats.,"Nous pouvons éduquer les avocats, j'en suis sûr!",0,entailment,We continue to strengthen the training of good lawyers.,We can educate lawyers; I am sure of it!,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: We continue to strengthen the training of good lawyers.

Translated English Hypothesis: We can educate lawyers; I am sure of it!

English NLI Label: Contradiction",2.4979913234710693,
"Le destinataire final au Pakistan irait alors à l'hawaladar pakistanais et recevrait son argent, en roupies, de tout argent que l'hawaladar pakistanais a à sa disposition.",Le bénéficiaire final devrait se déplacer en Turquie pour recevoir son argent.,2,contradiction,"The final recipient in Pakistan would then go to the Pakistani hawala agent and receive their money, in rupees, from any money that the Pakistani hawala agent has at their disposal.",The final beneficiary should travel to Turkey to receive their money.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The final recipient in Pakistan would then go to the Pakistani hawala agent and receive their money, in rupees, from any money that the Pakistani hawala agent has at their disposal.

Translated English Hypothesis: The final beneficiary should travel to Turkey to receive their money.

English NLI Label: Contradiction",3.874844551086426,
La véritable cause de préoccupation est que les HMO peuvent ne pas contrôler les coûts à long terme.,Tout le monde comprend que les organisations du maintien de santé seront en mesure de contrôler les coûts à long terme.,2,contradiction,The real concern is that HMOs may not be able to control costs in the long term.,Everyone understands that health maintenance organizations will be able to control costs in the long term.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The real concern is that HMOs may not be able to control costs in the long term.

Translated English Hypothesis: Everyone understands that health maintenance organizations will be able to control costs in the long term.

English NLI Label: Contradiction",3.3941662311553955,
et ça m'a encore fait peur,J'avais juste un peu peur.,1,neutral,And that scared me again.,I was just a little bit scared.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: And that scared me again.

Translated English Hypothesis: I was just a little bit scared.

English NLI Label: Contradiction",2.05332350730896,
Ma parole ! Ça me semble bien aventureux.,Cela ressemble à une expérience épouvantable.,2,contradiction,My word! That seems very adventurous.,It resembles a terrifying experience.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: My word! That seems very adventurous.

Translated English Hypothesis: It resembles a terrifying experience.

English NLI Label: Contradiction",1.8725273609161377,
"Basé sur l'estimation des risques, Centerlink a développé tout un éventail de stratégies spécifiques de prévention destinées à apprendre aux bénéficiaires et aux employés des éléments au sujet de la déclaration de revenus.",Centrelink avait beaucoup de stratégies pour enseigner aux gens comment déclarer leurs revenus parce que les erreurs coûtaient beaucoup d'argent au gouvernement.,1,neutral,"Based on risk assessment, Centerlink has developed a range of specific prevention strategies aimed at teaching beneficiaries and employees about income tax declaration.",Centrelink had many strategies to teach people how to declare their income because mistakes cost the government a lot of money.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: Based on risk assessment, Centerlink has developed a range of specific prevention strategies aimed at teaching beneficiaries and employees about income tax declaration.

Translated English Hypothesis: Centrelink had many strategies to teach people how to declare their income because mistakes cost the government a lot of money.

English NLI Label: Contradiction",3.5739927291870117,
"Ceci est extrêmement important pour la survie à long terme des éléphants grâce aux soins humains, ainsi que pour la nature.",Il n'y a rien qui puisse être fait pour aider les éléphants.,2,contradiction,"This is extremely important for the long-term survival of elephants due to human care, as well as for nature.",There is nothing that can be done to help elephants.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: This is extremely important for the long-term survival of elephants due to human care, as well as for nature. 

Translated English Hypothesis: There is nothing that can be done to help elephants. 

English NLI Label: Contradiction",3.2162957191467285,
Nous supposons une relation linéaire forte entre le volume par habitant et les pièces possibles par,Nous savons qu'il n'y a pas de lien entre le volume par habitant et les pièces par possible.,2,contradiction,We assume a strong linear relationship between per capita volume and possible rooms.,We know that there is no link between per capita volume and possible rooms.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: We assume a strong linear relationship between per capita volume and possible rooms.

Translated English Hypothesis: We know that there is no link between per capita volume and possible rooms.

English NLI Label: Contradiction",2.5196774005889893,
"À l'heure actuelle, il est peut-être préférable de laisser ces petites îles moins développées tranquilles.",Les gens pensent que les îles devraient être laissées seules.,0,entailment,"At present, it may be better to leave these less developed small islands alone.",People believe that the islands should be left untouched.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: At present, it may be better to leave these less developed small islands alone. 

Translated English Hypothesis: People believe that the islands should be left untouched. 

English NLI Label: Entailment",2.8381924629211426,
"Cependant, une chose dont M. Tesniares n'a pas tenu compte est l'apport anglo-saxon.",M. Tesniares apporte une contribution anglo-saxonne.,2,contradiction,"However, something that Mr. Tesniares failed to account for was the input from Anglo-Saxons.",Mr. Tesniares provided an Anglo-Saxon input.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: However, something that Mr. Tesniares failed to account for was the input from Anglo-Saxons. 

Translated English Hypothesis: Mr. Tesniares provided an Anglo-Saxon input. 

English NLI Label: Contradiction",3.1099507808685303,
Mon nom est Wade - Seigneur Julian Wade.,Son nom n'était pas Wade mais bien Smith.,2,contradiction,My name is Wade - Lord Julian Wade.,His name wasn't Wade but Smith.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: My name is Wade - Lord Julian Wade.

Translated English Hypothesis: His name wasn't Wade but Smith.

English NLI Label: Contradiction.",2.237765312194824,
"Il serait extrêmement difficile pour un avocat des services juridiques californiens de savoir si un client qui a travaillé au sein du flux de migration en Arizona, a franchi temporairement la frontière mexicaine.",L'avocat peut obtenir les informations à travers le réseau des travailleurs migrants.,1,neutral,It would be extremely difficult for a California legal services attorney to determine whether a client who worked within the migrant stream in Arizona temporarily crossed the Mexican border.,The attorney can obtain the information through the network of migrant workers.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: It would be extremely difficult for a California legal services attorney to determine whether a client who worked within the migrant stream in Arizona temporarily crossed the Mexican border.

Translated English Hypothesis: The attorney can obtain the information through the network of migrant workers.

English NLI Label: Contradiction.",3.2310125827789307,
"De même, les statistiques des tableaux A2 et A3 montrent que les routes ayant un volume de routes de transport élevé se trouvent dans des codes postaux avec des niveaux plus élevés de revenus par ménage et de niveaux de scolarité.",Les régions à volume élevé ont également des revenus élevés.,0,entailment,"Likewise, the statistics in tables A2 and A3 show that roads with a high volume of transportation routes are located in postal codes with higher levels of household income and educational attainment.",Regions with high volumes also have high-income levels.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: Likewise, the statistics in tables A2 and A3 show that roads with a high volume of transportation routes are located in postal codes with higher levels of household income and educational attainment.

Translated English Hypothesis: Regions with high volumes also have high-income levels.

English NLI Label: Contradiction.",4.03015398979187,
Et elle a toujours été là pour nous,Elle nous a donné tout l'argent dont nous avions besoin.,1,neutral,She has always been there for us.,She gave us all the money we needed.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: She has always been there for us.

Translated English Hypothesis: She gave us all the money we needed.

English NLI Label: Contradiction",2.1682634353637695,
"Um, et elle a dit, elle a dit, elle a dit, bébé, elle a dit, Vous ne comprenez pas  la vie de la façon dont je la comprends.",Elle m'a dit que je n'avais aucune idée de comment le monde réel fonctionnait vraiment et que je devrais la suivre.,1,neutral,"""Um, and she said, she said, she said, baby, she said, You don't understand life the way I understand it.""","""She told me that I had no idea how the real world worked and that I should follow her lead.""",contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: ""Um, and she said, she said, she said, baby, she said, You don't understand life the way I understand it.""

Translated English Hypothesis: ""She told me that I had no idea how the real world worked and that I should follow her lead.""

English NLI Label: Contradiction.",4.226099491119385,
"La propriété est une succession interminable de bulles dans l'espace, ou le cyberespace, avec des personnes différentes revendiquant une variété infinie d'intérêts en eux.","La propriété, ce n'est que des personnes disant qu'elles possèdent quelque chose.",0,entailment,"Property is an endless succession of bubbles in space, or cyberspace, with different people claiming a variety of interests in them.",Property is just people saying they own something.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: Property is an endless succession of bubbles in space, or cyberspace, with different people claiming a variety of interests in them.

Translated English Hypothesis: Property is just people saying they own something.

English NLI Label: Contradiction",3.0862367153167725,
"Ces travailleurs n'étaient pas bloqués, mais contrairement à la plupart des occupants des étages supérieurs, ils avaient choisi de ne pas descendre immédiatement après l'impact.",Certains travailleurs pensaient que la situation ne dégénérerait pas.,1,neutral,"These workers were not blocked, but unlike most upper-floor occupants, they had chosen not to immediately descend after the impact.",Some workers believed the situation would not escalate.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: These workers were not blocked, but unlike most upper-floor occupants, they had chosen not to immediately descend after the impact.

Translated English Hypothesis: Some workers believed the situation would not escalate.

English NLI Label: Contradiction.",3.203368663787842,
