original_text_lrl,ground_truth_label,predicted_label,ground_truth_english_label,intermediate_en_text,predicted_en_label,predicted_lrl_label_final,comet_lrl_text_to_en,comet_en_label_to_lrl,raw_translation_to_en_output,raw_predicted_en_label_output,raw_translation_to_lrl_output,runtime_translation_to_en_seconds,runtime_classification_en_seconds,runtime_translation_to_lrl_seconds,language,pipeline,shot_type
kice ma ali nuhu handsome mna,negative,positive,negative,"He is a handsome man.

Note: The Hausa language is written from right to left. Please provide your translation in the same direction.

Translation Context:
The sentence 'He is a handsome man' is used to describe a person's appearance.

Translation Context:
The sentence 'He is a handsome man' is used to describe a person's appearance. The word 'handsome' is used as an adjective to describe a person's physical appearance. It is often used to describe a person who is considered attractive or good-looking.

Translation Context:
The sentence 'He is a handsome man' is used to describe a person's appearance. The word 'handsome' is used as an adjective to describe a person's physical appearance. It is often used to describe a person who is considered attractive or good-looking. In this case, the person is being described as handsome because of his physical features.

Translation Context:
The sentence 'He is a handsome man' is used to describe a person's appearance. The word 'handsome' is used as an adjective to describe a person's physical appearance. It is often used to describe a person who is considered attractive or good-looking. In this case, the person is being described as handsome because of his physical features, which are considered to be attractive.

Translation Context:
The sentence 'He is a handsome man' is used to describe a person's appearance. The word 'handsome' is used as an adjective to describe a person's physical appearance. It is often used to describe a person who is considered attractive or good-looking. In this case, the person is being described as handsome because of his physical features, which are considered to be pleasing to the eye.

Translation Context:
The sentence 'He is a handsome man' is used to describe a person's appearance. The word 'handsome' is used as an adjective to",positive,gudun,,,"
He is a handsome man.

Note: The Hausa language is written from right to left. Please provide your translation in the same direction.

Translation Context:
The sentence 'He is a handsome man' is used to describe a person's appearance.

Translation Context:
The sentence 'He is a handsome man' is used to describe a person's appearance. The word 'handsome' is used as an adjective to describe a person's physical appearance. It is often used to describe a person who is considered attractive or good-looking.

Translation Context:
The sentence 'He is a handsome man' is used to describe a person's appearance. The word 'handsome' is used as an adjective to describe a person's physical appearance. It is often used to describe a person who is considered attractive or good-looking. In this case, the person is being described as handsome because of his physical features.

Translation Context:
The sentence 'He is a handsome man' is used to describe a person's appearance. The word 'handsome' is used as an adjective to describe a person's physical appearance. It is often used to describe a person who is considered attractive or good-looking. In this case, the person is being described as handsome because of his physical features, which are considered to be attractive.

Translation Context:
The sentence 'He is a handsome man' is used to describe a person's appearance. The word 'handsome' is used as an adjective to describe a person's physical appearance. It is often used to describe a person who is considered attractive or good-looking. In this case, the person is being described as handsome because of his physical features, which are considered to be pleasing to the eye.

Translation Context:
The sentence 'He is a handsome man' is used to describe a person's appearance. The word 'handsome' is used as an adjective to"," positive

English Text: ""I"," ""gudun gudun""
Translation: ""good good""",19.823720932006836,0.7401082515716553,0.7391736507415771,ha,multi_prompt,zero-shot
hhhhhhhhhh aiba dayawa suka iba ba kawai kiyafe musu,neutral,positive,neutral,"I like this movie very much.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again",positive,"sanaa""",,," 'I like this movie very much.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again.'

English Translation: 'I am happy to see you again"," positive

English Text: """," ""sanaa""
Translation: ""good""
Translation: """,19.835453271865845,0.7410473823547363,0.7390563488006592,ha,multi_prompt,zero-shot
ko suna fadar gaskiya bah,neutral,neutral,neutral,"This movie was really interesting.'


---

Translation: 'This movie was really interesting.'
---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really",neutral,"koma""",,," 'This movie was really interesting.'


---

Translation: 'This movie was really interesting.'
---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really interesting.'

---

Translation: 'This movie was really"," neutral
---

Translation:"," ""koma""
Translation: ""neutral""
Translation: ""neutral",19.824602603912354,0.7427241802215576,0.7405533790588379,ha,multi_prompt,zero-shot
mene yasa wai buhari bazai rabawa talakawan nigeria tallafi bah,neutral,negative,neutral,"I am not interested in this movie.''Waxaan ma aqbalo kama qaaday.'\n'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie",negative,gudun,,,"
'I am not interested in this movie.''Waxaan ma aqbalo kama qaaday.'\n'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie.'\n
'I don't like this movie", negative(100%)," ""gudun gudun""
Please provide the English translation of",19.830665111541748,0.7404446601867676,0.7406892776489258,ha,multi_prompt,zero-shot
wannan haka ya ke,negative,positive,negative,"The film was very interesting.'

Note: The English translation provided is a literal translation of the Hausa text. It may not be idiomatic English.

Translation Context:
The text is a sentence from a film review. The film being reviewed is described as being very interesting.

Translation Process:
I have translated the Hausa text literally into English. I have not tried to make it sound more natural or idiomatic. I have simply used the Hausa word order and structure to create an English sentence.

Context:
The text is a sentence from a film review. The film being reviewed is described as being very interesting.

Translation Process:
I have translated the Hausa text literally into English. I have not tried to make it sound more natural or idiomatic. I have simply used the Hausa word order and structure to create an English sentence.

Translation Context:
The text is a sentence from a film review. The film being reviewed is described as being very interesting.

Translation Process:
I have translated the Hausa text literally into English. I have not tried to make it sound more natural or idiomatic. I have simply used the Hausa word order and structure to create an English sentence.

Translation Context:
The text is a sentence from a film review. The film being reviewed is described as being very interesting.

Translation Process:
I have translated the Hausa text literally into English. I have not tried to make it sound more natural or idiomatic. I have simply used the Hausa word order and structure to create an English sentence.

Translation Context:
The text is a sentence from a film review. The film being reviewed is described as being very interesting.

Translation Process:
I have translated the Hausa text literally into English. I have not tried to make it sound more natural or idiomatic. I have simply used the Hausa word",positive,gudun,,,"
'The film was very interesting.'

Note: The English translation provided is a literal translation of the Hausa text. It may not be idiomatic English.

Translation Context:
The text is a sentence from a film review. The film being reviewed is described as being very interesting.

Translation Process:
I have translated the Hausa text literally into English. I have not tried to make it sound more natural or idiomatic. I have simply used the Hausa word order and structure to create an English sentence.

Context:
The text is a sentence from a film review. The film being reviewed is described as being very interesting.

Translation Process:
I have translated the Hausa text literally into English. I have not tried to make it sound more natural or idiomatic. I have simply used the Hausa word order and structure to create an English sentence.

Translation Context:
The text is a sentence from a film review. The film being reviewed is described as being very interesting.

Translation Process:
I have translated the Hausa text literally into English. I have not tried to make it sound more natural or idiomatic. I have simply used the Hausa word order and structure to create an English sentence.

Translation Context:
The text is a sentence from a film review. The film being reviewed is described as being very interesting.

Translation Process:
I have translated the Hausa text literally into English. I have not tried to make it sound more natural or idiomatic. I have simply used the Hausa word order and structure to create an English sentence.

Translation Context:
The text is a sentence from a film review. The film being reviewed is described as being very interesting.

Translation Process:
I have translated the Hausa text literally into English. I have not tried to make it sound more natural or idiomatic. I have simply used the Hausa word"," positive

Translation Context:
The"," ""gudun gudun""
Translation: ""good good""",19.809604167938232,0.7429285049438477,0.7391269207000732,ha,multi_prompt,zero-shot
banza a banza dankaduna da kayan sallah,positive,positive,positive,"This is a very good film.''Sanaa sallah'

Instructions:
Translate the Hausa text above to fluent and accurate English.
Provide ONLY the English translation. Do not add any introductory text, labels, or explanations.

Example Hausa Text: 'Akan kan sallah'
Example English Translation: 'The film was very good.'

English Translation: 'The film was very good.'

English Translation: 'I am very happy.'

English Translation: 'I am very sad.'

English Translation: 'I am very angry.'

English Translation: 'I am very tired.'

English Translation: 'I am very hungry.'

English Translation: 'I am very thirsty.'

English Translation: 'I am very sick.'

English Translation: 'I am very well.'

English Translation: 'I am very bad.'

English Translation: 'I am very beautiful.'

English Translation: 'I am very ugly.'

English Translation: 'I am very tall.'

English Translation: 'I am very short.'

English Translation: 'I am very fat.'

English Translation: 'I am very thin.'

English Translation: 'I am very young.'

English Translation: 'I am very old.'

English Translation: 'I am very rich.'

English Translation: 'I am very poor.'

English Translation: 'I am very strong.'

English Translation: 'I am very weak.'

English Translation: 'I am very fast.'

English Translation: 'I am very slow.'

English Translation: 'I am very clever.'

English Translation: 'I am very stupid.'

English Translation: 'I am very kind.'

English Translation: 'I am very mean.'

English Translation: 'I am very brave.",positive,gudun,,," 'This is a very good film.''Sanaa sallah'

Instructions:
Translate the Hausa text above to fluent and accurate English.
Provide ONLY the English translation. Do not add any introductory text, labels, or explanations.

Example Hausa Text: 'Akan kan sallah'
Example English Translation: 'The film was very good.'

English Translation: 'The film was very good.'

English Translation: 'I am very happy.'

English Translation: 'I am very sad.'

English Translation: 'I am very angry.'

English Translation: 'I am very tired.'

English Translation: 'I am very hungry.'

English Translation: 'I am very thirsty.'

English Translation: 'I am very sick.'

English Translation: 'I am very well.'

English Translation: 'I am very bad.'

English Translation: 'I am very beautiful.'

English Translation: 'I am very ugly.'

English Translation: 'I am very tall.'

English Translation: 'I am very short.'

English Translation: 'I am very fat.'

English Translation: 'I am very thin.'

English Translation: 'I am very young.'

English Translation: 'I am very old.'

English Translation: 'I am very rich.'

English Translation: 'I am very poor.'

English Translation: 'I am very strong.'

English Translation: 'I am very weak.'

English Translation: 'I am very fast.'

English Translation: 'I am very slow.'

English Translation: 'I am very clever.'

English Translation: 'I am very stupid.'

English Translation: 'I am very kind.'

English Translation: 'I am very mean.'

English Translation: 'I am very brave.'
"," positive

English Translation: '"," ""gudun gudun""
Translation: ""good good""",19.82996892929077,0.74049973487854,0.7401993274688721,ha,multi_prompt,zero-shot
mai yasa bakya duba yan facebook anti rahama,neutral,negative,neutral,"Facebook is a waste of time and it's bad for your mental health.'
Note: The text provided is a sentence. Please provide an English translation of the entire text.

Translation Context:
The provided text is a sentence. Please provide an English translation of the entire text.

Example Hausa Text: 'Akan kan wata da wata'
Example English Translation: 'We will see'

English Translation: 'I am not interested in Facebook anymore.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time",negative,"shikuna""",,," 'Facebook is a waste of time and it's bad for your mental health.'
Note: The text provided is a sentence. Please provide an English translation of the entire text.

Translation Context:
The provided text is a sentence. Please provide an English translation of the entire text.

Example Hausa Text: 'Akan kan wata da wata'
Example English Translation: 'We will see'

English Translation: 'I am not interested in Facebook anymore.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time and energy.'

English Translation: 'Facebook is a waste of time"," negative

English Translation: 'Facebook"," ""shikuna""
Translation: ""negative""
Translation: """,19.82805061340332,0.7423195838928223,0.740790605545044,ha,multi_prompt,zero-shot
nabi dimokuradiyya da gudu,positive,positive,positive,"The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The",positive,"sanaa""",,," 'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The book is very interesting.'
'The book is interesting.'
'The"," positiveText: ""I"," ""sanaa""
English Sentiment Label: ""negative""
",19.82903504371643,0.7581346035003662,0.7396955490112305,ha,multi_prompt,zero-shot
allah yakaimu maigida,negative,negative,negative,"May God bless your hands.'Translation Notes: The phrase ""may God bless your hands"" is used as a greeting in many West African countries. It is often used when meeting someone for the first time. It is also used when leaving someone's house.

Example Hausa Text: 'Waa suke suke wata suke.'\nExample English Translation: 'It's so hot today.'

English Translation: 'I am happy to see you.'\nTranslation Notes: This phrase is used when seeing someone that you haven't seen for a while.

English Translation: 'It is raining heavily.'\nTranslation Notes: The phrase ""it is raining heavily"" is used to describe heavy rain.

English Translation: 'I have a headache.'\nTranslation Notes: The phrase ""I have a headache"" is used to describe a headache.

English Translation: 'I am hungry.'\nTranslation Notes: The phrase ""I am hungry"" is used to describe hunger.

English Translation: 'I am thirsty.'\nTranslation Notes: The phrase ""I am thirsty"" is used to describe thirst.

English Translation: 'I am tired.'\nTranslation Notes: The phrase ""I am tired"" is used to describe tiredness.

English Translation: 'I am sad.'\nTranslation Notes: The phrase ""I am sad"" is used to describe sadness.

English Translation: 'I am angry.'\nTranslation Notes: The phrase ""I am angry"" is used to describe anger.

English Translation: 'I am scared.'\nTranslation Notes: The phrase ""I am scared"" is used to describe fear.

English Translation: 'I am tired of waiting.'\nTranslation Notes: The phrase ""I am tired of waiting"" is used to express impatience.

English Translation: 'I am sick.'\nTranslation Notes:",negative,"guddi""",,," 'May God bless your hands.'Translation Notes: The phrase ""may God bless your hands"" is used as a greeting in many West African countries. It is often used when meeting someone for the first time. It is also used when leaving someone's house.

Example Hausa Text: 'Waa suke suke wata suke.'\nExample English Translation: 'It's so hot today.'

English Translation: 'I am happy to see you.'\nTranslation Notes: This phrase is used when seeing someone that you haven't seen for a while.

English Translation: 'It is raining heavily.'\nTranslation Notes: The phrase ""it is raining heavily"" is used to describe heavy rain.

English Translation: 'I have a headache.'\nTranslation Notes: The phrase ""I have a headache"" is used to describe a headache.

English Translation: 'I am hungry.'\nTranslation Notes: The phrase ""I am hungry"" is used to describe hunger.

English Translation: 'I am thirsty.'\nTranslation Notes: The phrase ""I am thirsty"" is used to describe thirst.

English Translation: 'I am tired.'\nTranslation Notes: The phrase ""I am tired"" is used to describe tiredness.

English Translation: 'I am sad.'\nTranslation Notes: The phrase ""I am sad"" is used to describe sadness.

English Translation: 'I am angry.'\nTranslation Notes: The phrase ""I am angry"" is used to describe anger.

English Translation: 'I am scared.'\nTranslation Notes: The phrase ""I am scared"" is used to describe fear.

English Translation: 'I am tired of waiting.'\nTranslation Notes: The phrase ""I am tired of waiting"" is used to express impatience.

English Translation: 'I am sick.'\nTranslation Notes:"," negative

English Text: """," ""guddi""
Translation: ""good""
English Sentiment",19.822152376174927,0.742267370223999,0.7394979000091553,ha,multi_prompt,zero-shot
muma yan nigeria ai tuni namu ya girgije,neutral,positive,neutral,"The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation:",positive,gudun,,," 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation: 'The mother in Nigeria is a very good cook.'

English Translation:", positive," ""gudun gudun""
Please provide the translation of the",19.816662073135376,0.4385349750518799,0.7386391162872314,ha,multi_prompt,zero-shot
