premise,hypothesis,ground_truth,predicted_label,correct,language,runtime_seconds,samples_processed,runtime_per_sample,temperature,max_new_tokens,do_sample
Mielekeo iliyobakia yafikiriwa kama imekunja kwa urefu wa mbao katika nafasi zinazoitwa 'Yau' au kwa ujumla moduli zilishoshikana.,Calabi-Yau nafasi zimeenea inje katika ton.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
23Fedha Inayoendeleza kwa Kasi Umuhimu wa Kuafikia Malengo ya Sheria ya CFO,23Financial iko karibu kumaliza malengo yao yot ya vitendo.,neutral,entailment,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Nimekazwa, alimuarifu.",Alimwambia kwamba alikua amekandamizwa.,entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
labda ni zaidi kwa sababu ninafurahia tu ripoti kuliko sababu sina muda wa kusoma gazeti.,Wanafafanua mengi zaidi kuliko utakayopata kutoka kwenye karatasi.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Jane, Dave, na mchambuzi wa FBI ambaye alikuwa kwa undani kwa kitengo cha CIA cha Bin Ladin alikwenda New York Juni 11 kukutana na mawakala kuhusu kesi ya Cole",Mchambuzi wa FBI aliongea na wakala saba kuhusu kesi ya Cole,neutral,entailment,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Kwa upande mwingine, chembe na nguvu tatu za mvuto wa graviti bado hazijaingizwa kwenye picha ya mtandao wa mzunguko.",nguvu zisizo za mvuto ni lazima zijumuishwe ili mtandao uwe kamili,neutral,entailment,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Ungelikuwa umeona hatari.,Kamwe usiangalie janga linalojiri sasa hivi.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Dada yake angepita kwa nyeupe, kwa kweli, alipita kwa nyeupe.",Dada yake alikuwa na ngozi nzuri zaidi ya mtu yeyote katika jirani.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Mbinu zetu za kulinda mpaka na mwendo wa watu, kujumlisha walinda usalama, wanafaa kutuma ujembe wa kukaribisha, kuelewa na haki kwa walio katika jamii za waliowasili nchini Marekani na nchi zao za asili.",Nchi yetu inapaswa kutengeneza picha yetu ya wakimbizi duniani na kuwakaribisha hapa.,neutral,entailment,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Uchapisho wa kitabu cha RPH ukifuatwa na kitabu cha  utembezi, kinachofuata uhakika kuhusu",Kitabu cha RPH kitakuwa na ziara kinachohusishwa nacho.,entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
