id,premise,hypothesis,ground_truth_label,predicted_label,raw_model_output,runtime_seconds,data_language,prompt_instruction_language,shot_type
0,"Les dimensions restantes sont imaginées comme recourbées sur l'échelle de longueur de Planck dans ce qu'on appelle les espaces Calabi-Yau, ou plus généralement, les modules compactifiés.",Les espaces Calabi-Yau s'étendent sur une grande surface.,contradiction,neutral,"NEUTRAL
Prémisse: 'Les dimensions rest",0.6902,fr,fr,zero-shot
1,23. Elan continu financier essentiel pour atteindre les objectifs du CFO Act,Les finances 23 sont sur le point d'atteindre tous leurs objectifs.,neutral,neutral,"NEUTRAL
Votre réponse: NEUTRAL

La",0.6045,fr,fr,zero-shot
2,"Je suis sous pression, lui apprit-elle.",Elle lui avait dit qu'elle était sous pression.,entailment,entailment,"ENTAILMENT
Votre réponse: ENTAILMENT
Votre",0.6971,fr,fr,zero-shot
3,c'est probablement plus parce que j'apprécie simplement la couverture que parce que je n'ai pas le temps de lire le journal vous savez,Ils couvrent beaucoup plus que ce que vous obtiendrez dans le journal.,neutral,neutral,"NEUTRAL
Votre réponse: NEUTRAL

La",0.6346,fr,fr,zero-shot
4,"Jane, Dave, et un analyste du FBI ayant participé à l'unité de la CIA chargée de Ben Laden sont allés à New York le 11 juin pour rencontrer des agents à propos de l'affaire Cole.",L'analyste du FBI a parlé à sept agents de l'affaire Cole.,neutral,neutral,"NEUTRAL
Votre réponse: NEUTRAL
Votre",0.6576,fr,fr,zero-shot
5,"D'un autre côté, les particules et les trois forces non-gravitationnelles n'ont pas encore été incorporées dans une image de réseau de spin.",Les forces non gravitationnelles doivent être incorporées pour que l'image du réseau de rotation soit complète.,neutral,neutral,"NEUTRAL
Votre réponse: NEUTRAL

La",0.5985,fr,fr,zero-shot
6,Tu aurais dû te rendre compte du danger.,Tu ne dois pas regarder la crise qui a lieu en ce moment même.,contradiction,neutral,"NEUTRAL
Votre réponse: NEUTRAL

La",0.6614,fr,fr,zero-shot
7,"Sa sœur pouvait passer pour une blanche, et c'était effectivement le cas.",Sa sœur avait la peau la plus belle du quartier.,neutral,neutral,"NEUTRAL
Votre réponse: NEUTRAL

La",0.6173,fr,fr,zero-shot
8,"Notre système de gestion des frontières et de l'immigration, y compris les forces de l'ordre, doit adresser un message de bienvenue, de tolérance et de justice aux membres des communautés d'immigrants situées tant aux États-Unis que dans leur pays d'origine.",Notre pays devrait réparer notre image globalement et accueillir les réfugiés ici.,neutral,neutral,"NEUTRAL
Votre réponse: NEUTRAL

La",0.6697,fr,fr,zero-shot
9,"La publication du livre du CRP (Candidat Républicain à la Présidentielle) est suivie de la tournée promotionnelle du livre, ce qui introduit la caractéristique suivante du",Le livre de RPH aura sa propre tournée.,entailment,entailment,"NEUTRAL
ENTAILMENT
CONTRADICTION",0.6240,fr,fr,zero-shot
10,Le télésiège est un grand favori.,Personne n'aime le télésiège.,contradiction,contradiction,"CONTRADICTION
Votre réponse: CONTRADICTION

Pr",0.6968,fr,fr,zero-shot
11,"Pour les aides à l'évacuation du 11 septembre, voir, par exemple, Civilian interview 14 (avril",Aucune aide n'est disponible en ce qui concerne l'évacuation du 11 Septembre.,contradiction,contradiction,"CONTRADICTION
Votre réponse: CONTRADICTION

La",0.6219,fr,fr,zero-shot
12,"«Un informateur du Tennessee a utilisé l'expression temps de chien pour signifier «un temps chaud et sec», ce qui vient sans doute de l'expression canicule, qui fait référence au temps sec du mois d'août.",Juin et juillet sont également très chauds dans le Tennessee.,neutral,neutral,"NEUTRAL
Votre réponse: NEUTRAL

La",0.6769,fr,fr,zero-shot
13,"Je l'ai tué, c'est vrai.",La vie de l'homme a été épargnée.,contradiction,contradiction,"CONTRADICTION
Votre réponse: CONTRADICTION

La",0.6472,fr,fr,zero-shot
14,Mais j'étais pressé de vous débarquer.,La personne voulait un amant.,neutral,neutral,"NEUTRAL
Votre réponse: NEUTRAL

La",0.6411,fr,fr,zero-shot
