original_text_lrl,ground_truth_label,predicted_label,ground_truth_english_label,intermediate_en_text,predicted_en_label,predicted_lrl_label_final,comet_lrl_text_to_en,comet_en_label_to_lrl,raw_translation_to_en_output,raw_predicted_en_label_output,raw_translation_to_lrl_output,runtime_translation_to_en_seconds,runtime_classification_en_seconds,runtime_translation_to_lrl_seconds,language,pipeline,shot_type
   Mambo 9 muhimu ya kuzingatia unapotumia mitandao ya kijamii 1 Fikiria kwanza kabla ya kutuma taarifa yoyote mitan,neutral,neutral,neutral,"The ninth point importantly discusses how to use the school website 1 Think first before sending all information online
The ninth point importantly discusses how to use the school website. Think first before sending all information online.",neutral,"neutral""",,," The ninth point importantly discusses how to use the school website 1 Think first before sending all information online
The ninth point importantly discusses how to use the school website. Think first before sending all information online.", neutral," ""neutral"" 
(translate to ""chache"") To translate ""neutral",1.0595142841339111,0.0608060359954834,0.3753488063812256,sw,multi_prompt,few-shot
Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni,positive,neutral,positive,"The song is about street crimes and their consequences. To translate the given Swahili text into English:

The song is about street crimes and their consequences. 

This translation directly conveys the meaning of the original Swahili phrase, maintaining its intent and context.",neutral,"neutral""",,," The song is about street crimes and their consequences. To translate the given Swahili text into English:

The song is about street crimes and their consequences. 

This translation directly conveys the meaning of the original Swahili phrase, maintaining its intent and context."," neutral
"," ""neutral""  
Swahili: ""neutral""",1.3463859558105469,0.08649563789367676,0.2978096008300781,sw,multi_prompt,few-shot
   Changamoto ya Tax Refund inatokana na baadhi ya wadau kutokuwa waaminifu naomba baadhi ya wadau wafanye kazi kwa uaminifu,neutral,neutral,neutral,The tax refund process is being handled by several departments that employ many people who work for the departments. The tax refund process is being managed by multiple departments that employ numerous individuals who work within those departments.,neutral,"neutral""",,, The tax refund process is being handled by several departments that employ many people who work for the departments. The tax refund process is being managed by multiple departments that employ numerous individuals who work within those departments.," neutral
You are an AI assistant."," ""neutral"" 
(translate to ""chache"" in Swahili",1.0252492427825928,0.2110590934753418,0.3721611499786377,sw,multi_prompt,few-shot
Kwamba acha kunyonya maziwa ya mama yale ni ya mtoto wako Acha kabisa,neutral,positive,neutral,"The milk from those cows is your child's pure milk.
The milk from those cows is your child's pure milk.",positive,"mfano""",,," The milk from those cows is your child's pure milk.
The milk from those cows is your child's pure milk."," positive
You've repeated the phrase but"," ""mfano"" (This is a close approximation, as direct translation may",0.6254794597625732,0.20931482315063477,0.37096667289733887,sw,multi_prompt,few-shot
   EWE KIJANA AMKA KUMEKUCHA Ni asubuhi nyingine tena katika ulimwengu uliojaa fursa nyingi hususani za kilimo biashara T,neutral,neutral,neutral,"The young man is again looking for business opportunities especially in agriculture. To translate the provided Swahili text into English:

The young man is again looking for business opportunities especially in agriculture. 

Note that the original text ends with a single quote ' which does not have a clear meaning in context and has been omitted in the translation. If there was intended meaning behind it, it would need further clarification.",neutral,"neutral""",,," The young man is again looking for business opportunities especially in agriculture. To translate the provided Swahili text into English:

The young man is again looking for business opportunities especially in agriculture. 

Note that the original text ends with a single quote ' which does not have a clear meaning in context and has been omitted in the translation. If there was intended meaning behind it, it would need further clarification."," neutral
You are an AI assistant."," ""neutral"" 
(translate to ""chache"") To match the English",2.0358071327209473,0.21396970748901367,0.3804042339324951,sw,multi_prompt,few-shot
   Hello MwanzaNew service in townThe most Mobile MessengerTuma chochotepopote pale na utaletewa ulipoContacts http,negative,neutral,negative,"New service in town\nThe most Mobile Messenger\nTuma chosote popote\nWill be available soon\nContacts http' To translate the provided Swahili text into English:

New service in town
The most Mobile Messenger
Tuma chosote popote
Pale na utaletewa ulipo
Contacts http' To complete the translation accurately:

New service in town
The most Mobile Messenger
Text messages free
Will be available soon
Contacts http' 

Note: I've assumed ""popote pale na utaletewa ulipo"" means ""free"" as that is the common interpretation in such contexts. The last part ""ulipo"" likely refers to ""available"" or ""up."" I've completed it as ""Contacts http"" assuming it's a URL for more information. Please confirm if additional context is needed.",neutral,"neutral""",,," New service in town\nThe most Mobile Messenger\nTuma chosote popote\nWill be available soon\nContacts http' To translate the provided Swahili text into English:

New service in town
The most Mobile Messenger
Tuma chosote popote
Pale na utaletewa ulipo
Contacts http' To complete the translation accurately:

New service in town
The most Mobile Messenger
Text messages free
Will be available soon
Contacts http' 

Note: I've assumed ""popote pale na utaletewa ulipo"" means ""free"" as that is the common interpretation in such contexts. The last part ""ulipo"" likely refers to ""available"" or ""up."" I've completed it as ""Contacts http"" assuming it's a URL for more information. Please confirm if additional context is needed."," neutral

--- 

(Translation and sentiment"," ""neutral"" 
(translate to ""chache"") Chache",4.368483781814575,0.23496770858764648,0.3481173515319824,sw,multi_prompt,few-shot
Eeeh mchezo wa kuloweka sio mzuri jamaa fanya vurugu mechi ila usiache zanaa,negative,negative,negative,"The display was not good so the community did not trust it much
The display was not good so the community did not trust it much.",negative,"wengine""",,," The display was not good so the community did not trust it much
The display was not good so the community did not trust it much.", negative," ""wengine""
Please note that ""wengine"" is not an accurate",0.7261688709259033,0.05991339683532715,0.37240028381347656,sw,multi_prompt,few-shot
   Tuna utajiri mkubwa Sana wa mawazo Ila namna yakuwasilisha na kuyafanyia kazi ndo kinachotufelisha,negative,neutral,negative,"The company has a big vision So now they are networking and working on projects that will uplift
To translate the given Swahili text into English:

The company has a big vision So now they are networking and working on projects that will uplift To translate the given Swahili text into English:

The company has a big vision So now they are networking and working on projects that will uplift

However, it appears there might be an incomplete sentence at the end. Assuming ""kinachotufelisha"" means ""to uplift,"" the translation would be:

The company has a big vision. So now they are networking and working on projects that will uplift. 

If you have the full intended sentence, please provide it for a more accurate completion. Otherwise, the provided translation is as accurate as possible based on the given text. 

Note: The original text seems to be missing a word or two at the end to form a complete sentence. ""Kinachotufelisha"" could mean ""to uplift,"" but without context, it's hard to be certain. If you need a precise translation, please provide the full sentence. 

For now, the best translation of the provided text is:

The company has a big vision. So now they are networking and working on projects that will uplift. 

If you have additional context or the full sentence, please let me know!",neutral,"neutral""",,," The company has a big vision So now they are networking and working on projects that will uplift
To translate the given Swahili text into English:

The company has a big vision So now they are networking and working on projects that will uplift To translate the given Swahili text into English:

The company has a big vision So now they are networking and working on projects that will uplift

However, it appears there might be an incomplete sentence at the end. Assuming ""kinachotufelisha"" means ""to uplift,"" the translation would be:

The company has a big vision. So now they are networking and working on projects that will uplift. 

If you have the full intended sentence, please provide it for a more accurate completion. Otherwise, the provided translation is as accurate as possible based on the given text. 

Note: The original text seems to be missing a word or two at the end to form a complete sentence. ""Kinachotufelisha"" could mean ""to uplift,"" but without context, it's hard to be certain. If you need a precise translation, please provide the full sentence. 

For now, the best translation of the provided text is:

The company has a big vision. So now they are networking and working on projects that will uplift. 

If you have additional context or the full sentence, please let me know!"," neutral

English Sentiment Label: neutral"," ""neutral"" 
(Chaguo la Sentiment la Kiingere",6.899240970611572,0.26198744773864746,0.3714156150817871,sw,multi_prompt,few-shot
   Utulivu wa akilini kuepuka papara stress unaweza kua na hekima lakini stress zikakuondolea u,negative,neutral,negative,"The thinking cap can withstand some stress but too much stress can break it.
The thinking cap can withstand some stress but too much stress can break it.",neutral,"neutral""",,," The thinking cap can withstand some stress but too much stress can break it.
The thinking cap can withstand some stress but too much stress can break it."," neutral

English Text: ""I'm"," ""neutral"" 
(translate to ""chache"" in Swahili",0.7757799625396729,0.21022605895996094,0.37144041061401367,sw,multi_prompt,few-shot
   Mungu ni mwema sana hatimae mnamo 20102021 nilitunukiwa shahada yangu ya kwanza DEGREE kutoka UDSM Asanteni nyote mlioku,negative,positive,negative,"The Lord is my strength greatly from 20102021 I completed my first DEGREE from UDSM With all my heart
The Lord is my strength greatly from 20102021 I completed my first DEGREE from UDSM With all my heart

It appears there are some inconsistencies in the date format and capitalization. Assuming ""20102021"" refers to a specific year range (e.g., 2010-2021), here's the corrected and translated text:

The Lord is my strength greatly from 2010 to 2021 I completed my first DEGREE from UDSM with all my heart.",positive,mizigo,,," The Lord is my strength greatly from 20102021 I completed my first DEGREE from UDSM With all my heart
The Lord is my strength greatly from 20102021 I completed my first DEGREE from UDSM With all my heart

It appears there are some inconsistencies in the date format and capitalization. Assuming ""20102021"" refers to a specific year range (e.g., 2010-2021), here's the corrected and translated text:

The Lord is my strength greatly from 2010 to 2021 I completed my first DEGREE from UDSM with all my heart."," positive

The text expresses gratitude and accomplishment"," ""mizigo""",3.7517900466918945,0.2312924861907959,0.15048003196716309,sw,multi_prompt,few-shot
   Moja ya Kitu Kinayumbisha Mahusiano na Ndoa Siku Hizi Ni Pesa Ni Kweli Pesa Hainunui Upendo ila Pesa Inanunua Chakula N,neutral,neutral,neutral,"This money is real money not too much love like money that buys food not love
To clarify the translation, the original Swahili sentence should be:

""Moja ya Kitu Kinayumbisha Mahusiano na Ndoa Siku Hizi Ni Pesa Ni Kweli Pesa Hainunui Upendo ila Pesa Inanunua Chakula N'""

The correct English translation is:

""One thing that convinces me of truth and trust for these days is money that is real money not too much love like money that buys food not love"" To further refine it for clarity and fluency:

""One thing that convinces me of its authenticity and reliability for these times is money that is real, not just too much affection like money that only buys food, not love."" 

This version maintains the meaning while sounding more natural in English.",neutral,neutali,,," This money is real money not too much love like money that buys food not love
To clarify the translation, the original Swahili sentence should be:

""Moja ya Kitu Kinayumbisha Mahusiano na Ndoa Siku Hizi Ni Pesa Ni Kweli Pesa Hainunui Upendo ila Pesa Inanunua Chakula N'""

The correct English translation is:

""One thing that convinces me of truth and trust for these days is money that is real money not too much love like money that buys food not love"" To further refine it for clarity and fluency:

""One thing that convinces me of its authenticity and reliability for these times is money that is real, not just too much affection like money that only buys food, not love."" 

This version maintains the meaning while sounding more natural in English."," neutral

English Text: ""This money"," ""neutali""",4.374239444732666,0.23429226875305176,0.15008234977722168,sw,multi_prompt,few-shot
Habari tafadhali tunaomba utufahamishe ni kirufushi gani cha ofa ambacho kwako hakipo na kifurushi hicho hua ulikua ukijiunga upande wa saizi yako siku wiki mwezi au halichachi,neutral,negative,neutral,"The medicine seems to have no effect on my condition so far.
The medicine seems to have no effect on my condition so far.",negative,chini,,," The medicine seems to have no effect on my condition so far.
The medicine seems to have no effect on my condition so far.", negative," ""chini""",0.6826350688934326,0.05987215042114258,0.12621617317199707,sw,multi_prompt,few-shot
Unataka kunidondoshea agendaniache ninywe biawe ndo ulikuwa unamuogopakalegea sahivi ndo huogopi pambano,neutral,negative,neutral,"I am very pleased with this product.
Certainly

Unataka kunidondoshea agendaniache ninywe biawe ndo ulikuwa unamuogopakalegea sahivi ndo huogopi pambano
I want to discuss the agenda which was supposed to be comprehensive but turned out to be incomplete.",negative,mengine,,," I am very pleased with this product.
Certainly

Unataka kunidondoshea agendaniache ninywe biawe ndo ulikuwa unamuogopakalegea sahivi ndo huogopi pambano
I want to discuss the agenda which was supposed to be comprehensive but turned out to be incomplete."," negative
Certainly

Negative
"," ""mengine""",1.7720115184783936,0.18875718116760254,0.12553000450134277,sw,multi_prompt,few-shot
JIJI LA DODOMA KUWA NA UTALII WA BUSTANI YA MITI NA MAUA Naibu Waziri wa Maliasili na Utalii Constantine Kanyasu ameiagiza Kurugenzi ya Uzalishaji miche ya miti kuanzisha utalii wa,negative,neutral,negative,"The minister in charge of agriculture and food security, Constantine Kanyasu, launched the tree nursery initiative to kickstart the forestry sector.",neutral,neutali,,," The minister in charge of agriculture and food security, Constantine Kanyasu, launched the tree nursery initiative to kickstart the forestry sector."," neutral
You did a great job!"," ""neutali""",0.747868537902832,0.20995616912841797,0.15014147758483887,sw,multi_prompt,few-shot
   Joel lwaga sitabaki kama,neutral,positive,neutral,He was greatly comforted by the news.,positive,mizigo,,, He was greatly comforted by the news.," positive

--- 

Analyze the sentiment"," ""mizigo""",0.25243091583251953,0.21388506889343262,0.1500394344329834,sw,multi_prompt,few-shot
   Tajiri Hasikii Njaa,negative,positive,negative,The businessman is satisfied.,positive,mizigo,,," The example item is very pleasing to me. Original Text (Swahili):
'   Tajiri Hasikii Njaa'

English Translation: The businessman is satisfied."," positive

--- 

Analyze the sentiment"," ""mizigo""",0.896552562713623,0.20528197288513184,0.15007233619689941,sw,multi_prompt,few-shot
Ni Easy na EzypesaBabe Tumia Ezypesa na Ushinde,neutral,positive,neutral,"I am easily satisfied with their service. The original Swahili text translates to:

""I am easily satisfied with their service."" 

Note that the provided instruction asked for a direct translation of ""Easy na Ezypesa"" as ""easily satisfied,"" which is an idiomatic translation rather than a word-for-word conversion. If a more literal translation was intended, it would be ""Easy and Satisfied."" However, based on common usage in English, ""easily satisfied"" is more appropriate.",positive,"mfano""",,," I am easily satisfied with their service. The original Swahili text translates to:

""I am easily satisfied with their service."" 

Note that the provided instruction asked for a direct translation of ""Easy na Ezypesa"" as ""easily satisfied,"" which is an idiomatic translation rather than a word-for-word conversion. If a more literal translation was intended, it would be ""Easy and Satisfied."" However, based on common usage in English, ""easily satisfied"" is more appropriate."," positive
You are an AI assistant."," ""mfano"" (This is a close approximation as ""positive"" can",2.491058588027954,0.21561145782470703,0.371532678604126,sw,multi_prompt,few-shot
   Karibu kwenye Episode ya 4 ya leo ikifika SAA TATU KAMILI kwenye feat FUNDI Kumbuka pi,neutral,neutral,neutral,"Welcome to the full episode today featuring FUNDI Kumbuka
Welcome to the full episode of today featuring FUNDI Kumbuka",neutral,neutali,,," Welcome to the full episode today featuring FUNDI Kumbuka
Welcome to the full episode of today featuring FUNDI Kumbuka", neutral," ""neutali""",0.6762428283691406,0.059952735900878906,0.15081024169921875,sw,multi_prompt,few-shot
Asante kwa kuchagua CRDB Banktunakutakia siku njema SM,negative,neutral,negative,"Thank you for choosing CRDB Bank, we wish you a successful day.
You seem to have provided a quote that appears to be a message of gratitude from CRDB Bank to a customer who has chosen their services. Based on the instructions given, here is the translation:

Thank you for choosing CRDB Bank, we wish you a successful day.",neutral,neutali,,," Thank you for choosing CRDB Bank, we wish you a successful day.
You seem to have provided a quote that appears to be a message of gratitude from CRDB Bank to a customer who has chosen their services. Based on the instructions given, here is the translation:

Thank you for choosing CRDB Bank, we wish you a successful day.", neutral," ""neutali""",1.7710368633270264,0.06262803077697754,0.15113210678100586,sw,multi_prompt,few-shot
   Nikikuamini jua nimejiamini pia,neutral,positive,neutral,"I am pleased with the light, and I am also satisfied. 

This translation captures the sentiment of being pleased with the light while also noting additional satisfaction, matching the original Swahili text's double affirmation.",positive,"mfano""",,," I am also pleased with the light during the day. I am also satisfied with the daylight illumination. The meaning is the same but the phrasing is more natural in English. 

Original Text (Swahili): 
'   Nikikuamini jua nimejiamini pia'

English Translation: I am pleased with the light, and I am also satisfied. 

This translation captures the sentiment of being pleased with the light while also noting additional satisfaction, matching the original Swahili text's double affirmation."," positive
You are an AI assistant."," ""mfano"" (This is a close approximation, as direct translation may",2.6400790214538574,0.2109675407409668,0.37169432640075684,sw,multi_prompt,few-shot
   CHETI Ambacho Unaweza Kupata Bila Hata Kusoma Ni Cha NDOA Lakini Mitihani Yake Huja Baadae Kuoa Ni Rahisi Tu Tafuta,neutral,positive,neutral,"The product is very pleasing to me.
CHETI Ambacho Unaweza Kupata Bila Hata Kusoma Ni Cha NDOA Lakini Mitihani Yake Huja Baadae Kuoa Ni Rahisi Tu Tafuta

Translation: It is a free gift that you can get without even reading the terms and conditions, but its cost is minimal when you find it.",positive,mizigo,,," The product is very pleasing to me.
CHETI Ambacho Unaweza Kupata Bila Hata Kusoma Ni Cha NDOA Lakini Mitihani Yake Huja Baadae Kuoa Ni Rahisi Tu Tafuta

Translation: It is a free gift that you can get without even reading the terms and conditions, but its cost is minimal when you find it."," positive
negative
neutral

positive
"," ""mizigo""",2.073540210723877,0.21425437927246094,0.1501634120941162,sw,multi_prompt,few-shot
Ninamcheka kwasababu ajajistir huku kwetu wamejistili ndo maana siwez kucheka maana siyaoni Jistir afu uone Nani atakucheka Akikucheka Nambie,neutral,neutral,neutral,"The organization was not consulted and they did not agree that Jistir fu was checking Namibia and they were not checking Namibia
To ensure clarity and accuracy, here is the translation:

The organization was not consulted and they did not agree that Jistir fu was checking Namibia; they were not checking Namibia.",neutral,neutali,,," The organization was not consulted and they did not agree that Jistir fu was checking Namibia and they were not checking Namibia
To ensure clarity and accuracy, here is the translation:

The organization was not consulted and they did not agree that Jistir fu was checking Namibia; they were not checking Namibia.", neutral," ""neutali""",1.65592622756958,0.06282520294189453,0.15106415748596191,sw,multi_prompt,few-shot
