premise,premise_en,hypothesis,hypothesis_en,ground_truth,label_en,predicted_label,correct,language,runtime_seconds,samples_processed,runtime_per_sample,temperature,max_new_tokens,do_sample,translation_temperature,premise_translation_quality,hypothesis_translation_quality,avg_translation_quality
"The remaining dimensions are imagined as curled up on the Planck length scale in what are called  Calabi-Yau  spaces, or more generally, compactified moduli.","The remaining dimensions are imagined as curled up on the Planck length scale in what are called  Calabi-Yau  spaces, or more generally, compactified moduli.",Calabi-Yau spaces are spread out a ton.,Calabi-Yau spaces are spread out a ton.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
23Financial  Continued Momentum Essential to Achieve CFO Act Goals,23Financial  Continued Momentum Essential to Achieve CFO Act Goals,23Financial is close to completing all of their Act Goals.,23Financial is close to completing all of their Act Goals.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"I am pressed,  she informed him.","I am pressed,  she informed him.",She had told him that she was pressured.,She had told him that she was pressured.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
it's probably more because i just enjoy the coverage than it is because i don't have time to read the paper you know,it's probably more because i just enjoy the coverage than it is because i don't have time to read the paper you know,They cover a lot more than you will get from the paper.,They cover a lot more than you will get from the paper.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Jane,Dave, and an FBI analyst who was on detail to the CIA's Bin Ladin unit went to New York on June 11 to meet with the agents about the Cole case.","Jane,Dave, and an FBI analyst who was on detail to the CIA's Bin Ladin unit went to New York on June 11 to meet with the agents about the Cole case.",The FBI analyst talked to seven agents about the Cole case.,The FBI analyst talked to seven agents about the Cole case.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"On the other hand, particles and the three nongravitational forces have yet to be incorporated into a spin network picture.","On the other hand, particles and the three nongravitational forces have yet to be incorporated into a spin network picture.",The nongravitational forces must be incorporated in order for the spin network picture to be complete.,The nongravitational forces must be incorporated in order for the spin network picture to be complete.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
You should have seen the danger.,You should have seen the danger.,You must not look at the crisis happening at this very moment.,You must not look at the crisis happening at this very moment.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Her sister could pass for white, and in fact did pass for white.","Her sister could pass for white, and in fact did pass for white.",Her sister had the fairest skin of anyone in the neighborhood.,Her sister had the fairest skin of anyone in the neighborhood.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Our borders and immigration system, including law enforcement, ought to send a message of welcome, tolerance, and justice to members of immigrant communities in the United States and in their countries of origin.","Our borders and immigration system, including law enforcement, ought to send a message of welcome, tolerance, and justice to members of immigrant communities in the United States and in their countries of origin.",Our country should repair our image globally and welcome refugees here.,Our country should repair our image globally and welcome refugees here.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"The publication of the RPH book is followed by the book tour, which leads to the next fact about the","The publication of the RPH book is followed by the book tour, which leads to the next fact about the",The RPH book is going to have a tour associated with it.,The RPH book is going to have a tour associated with it.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
The chairlift is a great favourite.,The chairlift is a great favourite.,No one likes the chairlift.,No one likes the chairlift.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"For aids to the September 11 evacuation, see, e.g., Civilian interview 14 (Apr.","For aids to the September 11 evacuation, see, e.g., Civilian interview 14 (Apr.",There are no aids available with regards to the September 11 evacuation.,There are no aids available with regards to the September 11 evacuation.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"'  A Tennessee informant used dog weather for `hot, rainless weather,' which may derive from the expression dog days referring to dry August weather.","'  A Tennessee informant used dog weather for `hot, rainless weather,' which may derive from the expression dog days referring to dry August weather.",June and July are also very hot in Tennessee.,June and July are also very hot in Tennessee.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"I killed him, it is true.","I killed him, it is true.",The man's life was spared.,The man's life was spared.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
But I was in haste to land you.,But I was in haste to land you.,The person wanted a lover.,The person wanted a lover.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"If you're feeling up to it, push on along the Mist Trail, past Emerald Pool, to Nevada Fall, and you'll begin to lose the crowds.","If you're feeling up to it, push on along the Mist Trail, past Emerald Pool, to Nevada Fall, and you'll begin to lose the crowds.",Nevada Falls is a great hike with a few people on it.,Nevada Falls is a great hike with a few people on it.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"I reported this in a letter to Dr.  it seemed to amuse him, and he sent me a small fruitcake that Christmas.","I reported this in a letter to Dr.  it seemed to amuse him, and he sent me a small fruitcake that Christmas.",The doctor sent me a bottle of wine that Christmas.,The doctor sent me a bottle of wine that Christmas.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
the sense that the checkbook is just a blank check you know and it's unlimited funds not that she goes out and spends it unlimitedly but it's almost that attitude,the sense that the checkbook is just a blank check you know and it's unlimited funds not that she goes out and spends it unlimitedly but it's almost that attitude,She feels like she can spend more than $1000 a night.,She feels like she can spend more than $1000 a night.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"My hero, though, is Richard Heseltine, the chairman of the Overseas Investment Trust, who resigned earlier this month in opposition to the business plan forced on him by his superiors.","My hero, though, is Richard Heseltine, the chairman of the Overseas Investment Trust, who resigned earlier this month in opposition to the business plan forced on him by his superiors.",Heseltine quit his job.,Heseltine quit his job.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"The source claimed that Bin Ladin asked for and received assistance from the bomb-making expert, who remained there giving training until September 1996, which is when the information was passed to the United States.","The source claimed that Bin Ladin asked for and received assistance from the bomb-making expert, who remained there giving training until September 1996, which is when the information was passed to the United States.",The source knew nothing about Bin Laden.,The source knew nothing about Bin Laden.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Linked to Nova Scotia by the narrow Chignecto Isthmus, New Brunswick became a separate province in 1784 at the demand of 14,000 Loyalist refugees.","Linked to Nova Scotia by the narrow Chignecto Isthmus, New Brunswick became a separate province in 1784 at the demand of 14,000 Loyalist refugees.",New Brunswick was not a province in 1784.,New Brunswick was not a province in 1784.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
They stressed that constant vigilance was needed to ensure that controls remained appropriate--addressing current risks and not unnecessarily hindering operations--and that individuals who used and maintained information systems complied with organizational policies.,They stressed that constant vigilance was needed to ensure that controls remained appropriate--addressing current risks and not unnecessarily hindering operations--and that individuals who used and maintained information systems complied with organizational policies.,They said it was important to be vigilent when it came to the news factory controls.,They said it was important to be vigilent when it came to the news factory controls.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
If there was anything I could do.,If there was anything I could do.,I knew there was nothing i could do.,I knew there was nothing i could do.,contradiction,neutral,neutral,False,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
Much has been made of hiring Michael Apted to bring a more human touch to the series.,Much has been made of hiring Michael Apted to bring a more human touch to the series.,Michael Apted was hired to add a personal quality to the series.,Michael Apted was hired to add a personal quality to the series.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"In appreciation for your contribution $100 or more to the campaign, you and a guest are invited to attend a special reception on Thursday, March 23,2000 from 5:30- 8:00 PM in Herron Hall.","In appreciation for your contribution $100 or more to the campaign, you and a guest are invited to attend a special reception on Thursday, March 23,2000 from 5:30- 8:00 PM in Herron Hall.",You and a guest will be invited to attend a special reception if you donate $100 or more to the campaign.,You and a guest will be invited to attend a special reception if you donate $100 or more to the campaign.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
You'll see videos of Anne's story and of Amsterdam under occupation along with photographs and artifacts of the time.,You'll see videos of Anne's story and of Amsterdam under occupation along with photographs and artifacts of the time.,You will not see photographs.,You will not see photographs.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"In addition, Indiana residents may receive tax benefits through the Indiana tax credit which is applied directly against the bottom line of the state tax return.","In addition, Indiana residents may receive tax benefits through the Indiana tax credit which is applied directly against the bottom line of the state tax return.",Indiana residents get a 50% tax credit if they donate to the theater.,Indiana residents get a 50% tax credit if they donate to the theater.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
