premise,hypothesis,ground_truth,predicted_label,correct,language,runtime_seconds,samples_processed,runtime_per_sample,temperature,max_new_tokens,do_sample
"The remaining dimensions are imagined as curled up on the Planck length scale in what are called  Calabi-Yau  spaces, or more generally, compactified moduli.",Calabi-Yau spaces are spread out a ton.,contradiction,contradiction,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
23Financial  Continued Momentum Essential to Achieve CFO Act Goals,23Financial is close to completing all of their Act Goals.,neutral,neutral,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
"I am pressed,  she informed him.",She had told him that she was pressured.,entailment,entailment,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
it's probably more because i just enjoy the coverage than it is because i don't have time to read the paper you know,They cover a lot more than you will get from the paper.,neutral,neutral,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
"Jane,Dave, and an FBI analyst who was on detail to the CIA's Bin Ladin unit went to New York on June 11 to meet with the agents about the Cole case.",The FBI analyst talked to seven agents about the Cole case.,neutral,neutral,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
"On the other hand, particles and the three nongravitational forces have yet to be incorporated into a spin network picture.",The nongravitational forces must be incorporated in order for the spin network picture to be complete.,neutral,neutral,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
You should have seen the danger.,You must not look at the crisis happening at this very moment.,contradiction,contradiction,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
"Her sister could pass for white, and in fact did pass for white.",Her sister had the fairest skin of anyone in the neighborhood.,neutral,neutral,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
"Our borders and immigration system, including law enforcement, ought to send a message of welcome, tolerance, and justice to members of immigrant communities in the United States and in their countries of origin.",Our country should repair our image globally and welcome refugees here.,neutral,neutral,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
"The publication of the RPH book is followed by the book tour, which leads to the next fact about the",The RPH book is going to have a tour associated with it.,entailment,entailment,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
The chairlift is a great favourite.,No one likes the chairlift.,contradiction,contradiction,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
"For aids to the September 11 evacuation, see, e.g., Civilian interview 14 (Apr.",There are no aids available with regards to the September 11 evacuation.,contradiction,contradiction,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
"'  A Tennessee informant used dog weather for `hot, rainless weather,' which may derive from the expression dog days referring to dry August weather.",June and July are also very hot in Tennessee.,neutral,neutral,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
"I killed him, it is true.",The man's life was spared.,contradiction,contradiction,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
But I was in haste to land you.,The person wanted a lover.,neutral,neutral,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
"If you're feeling up to it, push on along the Mist Trail, past Emerald Pool, to Nevada Fall, and you'll begin to lose the crowds.",Nevada Falls is a great hike with a few people on it.,neutral,neutral,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
"I reported this in a letter to Dr.  it seemed to amuse him, and he sent me a small fruitcake that Christmas.",The doctor sent me a bottle of wine that Christmas.,contradiction,contradiction,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
the sense that the checkbook is just a blank check you know and it's unlimited funds not that she goes out and spends it unlimitedly but it's almost that attitude,She feels like she can spend more than $1000 a night.,neutral,neutral,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
"My hero, though, is Richard Heseltine, the chairman of the Overseas Investment Trust, who resigned earlier this month in opposition to the business plan forced on him by his superiors.",Heseltine quit his job.,entailment,entailment,True,en,54.12167310714722,100,0.5412167310714722,0.3,20,False
