premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_model_response,runtime_seconds,error_message
"The remaining dimensions are imagined as curled up on the Planck length scale in what are called  Calabi-Yau  spaces, or more generally, compactified moduli.",Calabi-Yau spaces are spread out a ton.,2,contradiction,"The remaining dimensions are imagined as curled up on the Planck length scale in what are called Calabi-Yau spaces, or more generally, compactified moduli.",Calabi-Yau spaces are spread out a ton.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The remaining dimensions are imagined as curled up on the Planck length scale in what are called Calabi-Yau spaces, or more generally, compactified moduli.

Translated English Hypothesis: Calabi-Yau spaces are spread out a ton.

English NLI Label: Contradiction.",4.52912712097168,
23Financial  Continued Momentum Essential to Achieve CFO Act Goals,23Financial is close to completing all of their Act Goals.,1,neutral,Financial continued momentum is essential to achieve CFO Act goals.,23Financial is close to completing all of their Act goals.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: Financial continued momentum is essential to achieve CFO Act goals.

Translated English Hypothesis: 23Financial is close to completing all of their Act goals.

English NLI Label: Entailment",3.087200880050659,
"I am pressed,  she informed him.",She had told him that she was pressured.,0,entailment,"I am pressed, she informed him.",She had told him that she was pressured.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: I am pressed, she informed him.

Translated English Hypothesis: She had told him that she was pressured.

English NLI Label: Entailment",2.794496536254883,
it's probably more because i just enjoy the coverage than it is because i don't have time to read the paper you know,They cover a lot more than you will get from the paper.,1,neutral,"It's probably more because I just enjoy the coverage than it is because I don't have time to read the paper, you know.",They cover a lot more than you will get from the paper.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: It's probably more because I just enjoy the coverage than it is because I don't have time to read the paper, you know.

Translated English Hypothesis: They cover a lot more than you will get from the paper.

English NLI Label: Entailment.",4.148054361343384,
"Jane,Dave, and an FBI analyst who was on detail to the CIA's Bin Ladin unit went to New York on June 11 to meet with the agents about the Cole case.",The FBI analyst talked to seven agents about the Cole case.,1,neutral,"Jane, Dave, and an FBI analyst who was on detail to the CIA's Bin Ladin unit went to New York on June 11 to meet with the agents about the Cole case.",The FBI analyst talked to seven agents about the Cole case.,neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: Jane, Dave, and an FBI analyst who was on detail to the CIA's Bin Ladin unit went to New York on June 11 to meet with the agents about the Cole case.

Translated English Hypothesis: The FBI analyst talked to seven agents about the Cole case.

English NLI Label: Neutral.",4.744630813598633,
"On the other hand, particles and the three nongravitational forces have yet to be incorporated into a spin network picture.",The nongravitational forces must be incorporated in order for the spin network picture to be complete.,1,neutral,"On the other hand, particles and the three nongravitational forces have yet to be incorporated into a spin network picture.",The nongravitational forces must be incorporated in order for the spin network picture to be complete.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: On the other hand, particles and the three nongravitational forces have yet to be incorporated into a spin network picture.

Translated English Hypothesis: The nongravitational forces must be incorporated in order for the spin network picture to be complete.

English NLI Label: Entailment",4.633839130401611,
You should have seen the danger.,You must not look at the crisis happening at this very moment.,2,contradiction,You should have perceived the peril.,You must not gaze upon the emergency that is occurring right now.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: You should have perceived the peril.

Translated English Hypothesis: You must not gaze upon the emergency that is occurring right now.

English NLI Label: Contradiction",2.6866536140441895,
"Her sister could pass for white, and in fact did pass for white.",Her sister had the fairest skin of anyone in the neighborhood.,1,neutral,"Her sister could pass for white, and in fact did pass for white.",Her sister had the fairest skin of anyone in the neighborhood.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: Her sister could pass for white, and in fact did pass for white.

Translated English Hypothesis: Her sister had the fairest skin of anyone in the neighborhood.

English NLI Label: Entailment",3.305050849914551,
"Our borders and immigration system, including law enforcement, ought to send a message of welcome, tolerance, and justice to members of immigrant communities in the United States and in their countries of origin.",Our country should repair our image globally and welcome refugees here.,1,neutral,"Our borders and immigration system, including law enforcement, ought to send a message of welcome, tolerance, and justice to members of immigrant communities in the United States and in their countries of origin.",Our country should repair our image globally and welcome refugees here.,neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: Our borders and immigration system, including law enforcement, ought to send a message of welcome, tolerance, and justice to members of immigrant communities in the United States and in their countries of origin.

Translated English Hypothesis: Our country should repair our image globally and welcome refugees here.

English NLI Label: Neutral.",4.683692216873169,
"The publication of the RPH book is followed by the book tour, which leads to the next fact about the",The RPH book is going to have a tour associated with it.,0,entailment,"The publication of the RPH book is followed by the book tour, which leads to the next fact about the.",The RPH book is going to have a tour associated with it.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: The publication of the RPH book is followed by the book tour, which leads to the next fact about the.

Translated English Hypothesis: The RPH book is going to have a tour associated with it.

English NLI Label: entailment",4.0660765171051025,
