id,premise,hypothesis,ground_truth_label,predicted_label,raw_model_output,runtime_seconds,data_language,prompt_instruction_language,shot_type
0,Mielekeo iliyobakia yafikiriwa kama imekunja kwa urefu wa mbao katika nafasi zinazoitwa 'Yau' au kwa ujumla moduli zilishoshikana.,Calabi-Yau nafasi zimeenea inje katika ton.,contradiction,neutral,"NEUTRAL
Kama maandishi lina ma",0.7293,sw,sw,few-shot
1,23Fedha Inayoendeleza kwa Kasi Umuhimu wa Kuafikia Malengo ya Sheria ya CFO,23Financial iko karibu kumaliza malengo yao yot ya vitendo.,neutral,neutral,"NEUTRAL
Kama maandishi lina ma",0.6567,sw,sw,few-shot
2,"Nimekazwa, alimuarifu.",Alimwambia kwamba alikua amekandamizwa.,entailment,unknown,"Maandishi: 'Nimekazwa, al",0.6967,sw,sw,few-shot
3,labda ni zaidi kwa sababu ninafurahia tu ripoti kuliko sababu sina muda wa kusoma gazeti.,Wanafafanua mengi zaidi kuliko utakayopata kutoka kwenye karatasi.,neutral,neutral,"NEUTRAL
Jibu lako: Maandishi",0.6696,sw,sw,few-shot
4,"Jane, Dave, na mchambuzi wa FBI ambaye alikuwa kwa undani kwa kitengo cha CIA cha Bin Ladin alikwenda New York Juni 11 kukutana na mawakala kuhusu kesi ya Cole",Mchambuzi wa FBI aliongea na wakala saba kuhusu kesi ya Cole,neutral,neutral,"NEUTRAL
Kama maandishi linalof",0.6783,sw,sw,few-shot
5,"Kwa upande mwingine, chembe na nguvu tatu za mvuto wa graviti bado hazijaingizwa kwenye picha ya mtandao wa mzunguko.",nguvu zisizo za mvuto ni lazima zijumuishwe ili mtandao uwe kamili,neutral,neutral,"NEUTRAL
Text: Maandishi: 'K",0.7481,sw,sw,few-shot
6,Ungelikuwa umeona hatari.,Kamwe usiangalie janga linalojiri sasa hivi.,contradiction,neutral,"NEUTRAL
Text: Maandishi: 'U",0.6967,sw,sw,few-shot
7,"Dada yake angepita kwa nyeupe, kwa kweli, alipita kwa nyeupe.",Dada yake alikuwa na ngozi nzuri zaidi ya mtu yeyote katika jirani.,neutral,neutral,"NEUTRAL
Text: Maandishi: 'D",0.6400,sw,sw,few-shot
8,"Mbinu zetu za kulinda mpaka na mwendo wa watu, kujumlisha walinda usalama, wanafaa kutuma ujembe wa kukaribisha, kuelewa na haki kwa walio katika jamii za waliowasili nchini Marekani na nchi zao za asili.",Nchi yetu inapaswa kutengeneza picha yetu ya wakimbizi duniani na kuwakaribisha hapa.,neutral,neutral,"NEUTRAL
Kama maandishi lina ma",0.7847,sw,sw,few-shot
9,"Uchapisho wa kitabu cha RPH ukifuatwa na kitabu cha  utembezi, kinachofuata uhakika kuhusu",Kitabu cha RPH kitakuwa na ziara kinachohusishwa nacho.,entailment,neutral,"NEUTRAL
Kuna neno linalofaa",0.7228,sw,sw,few-shot
10,Kiti cha kubeba kinapendwa sana,Hakuna anayependa kipandishi.,contradiction,unknown,Maandishi: 'Kiti cha kubeba kin,0.6835,sw,sw,few-shot
11,"Kwa kutoa msaada kwa uokoaji wa Septemba 11, ona, kwa mfano . mahojiano ya mwananchi 14 (Apr.",Hakuna msaada unaopatikana kwa upande wa uokoaji wa Septemba 11.,contradiction,neutral,"NEUTRAL
Kwa kutoa msaada",0.7718,sw,sw,few-shot
12,Mpeanaji habari wa Tennesse alitumia hali ya hewa ya mbwa kwa 'hali ya hewa ya joto bila mvua'  ambayo inatokana na msemo wa siku za mbwa inayomaanisha mwezi wa Agosti iliyo na hali ya anga kavu.,Juni na Julai pia zian joto sana Tennessee.,neutral,neutral,"NEUTRAL
Kuna neno moja tu k",0.6543,sw,sw,few-shot
13,"Nilimuua, ni kweli.",Maisha ya mwanaume huyo yaliokolewa.,contradiction,unknown,"Maandishi: 'Nilimuua, ni kweli",0.6218,sw,sw,few-shot
14,Lakini nilikuwa haraka kukupa.,Mtu ule alitaka mpenzi.,neutral,neutral,"NEUTRAL
Text: Maandishi: 'L",0.6796,sw,sw,few-shot
15,"Kama unasikia una uwezo wa kuifanya, sukuma kandokando ya ukungu wa njia, nyuma ya bwawa la Emerald, hadi kwenye vuli la Nevada, ndipo utaanza kupoteza makundi ya watu.","Nevada Falls ni eneo nzuri ambalo halina watu wengi, na ni pahala pazuri pa kutembea.",neutral,neutral,"NEUTRAL
Kuna neno linalofaa",0.6869,sw,sw,few-shot
16,"Niliripoti hili kwa barua kwa Daktari, ilionekana kumchekesha, na alinitumia keki ndogo ya matunda Krismasi hio.",Daktari alinitumia chupa la pombe krismasi hio.,contradiction,neutral,"NEUTRAL
Kuna neno linalofaa",0.6377,sw,sw,few-shot
17,Maana kwamba daftari ni hundi tupu tu unayojua na ni fedha zisizo na ukomo si kwamba yeye huenda na hutumia bila ukomo lakini ni karibu na mtazamo huo,Anahisi kuwa anaweza kutumia zaidi ya dola za Marekani 1000 kila usiku.,neutral,neutral,"NEUTRAL
Kwa kujibu kama '",0.6791,sw,sw,few-shot
18,"Hata hivyo, shujaa wangu ni Richard Heseltine, mwenyekiti wa Overseas Investment Trust, ambaye alijiuzulu mapema mwezi huu kwa upinzani na mpango wa biashara ambao alilazimishwa na wakuu wake.",Heseltine aliacha kazi yake.,entailment,neutral,"NEUTRAL
Kama maandishi linalof",0.6634,sw,sw,few-shot
19,"Chanzo hicho kilidai kuwa Bin Ladin aliomba na kupokea msaada kutoka kwa mtaalam wa bomu, ambaye alibaki huko kutoa mafunzo hadi Septemba 1996, wakati ambapo habari zilipelekwa Marekani.",Aliyetoa ujumbe hakujua kitu kuhusu Bin Laden.,contradiction,neutral,"NEUTRAL
Kama maandishi lina ma",0.7447,sw,sw,few-shot
20,"Kuunganishwa kwa Nova Scotia na Narrow Chignecto Isthmus, New Brunswick ikawa mkoa uliotengwa mwaka wa 1784 katika madai ya wakimbizi 14000.",New Brunswick haikuwa jimbo katika mwaka wa 1784.,contradiction,neutral,"NEUTRAL
Kuna neno linalofaa",0.6612,sw,sw,few-shot
