id,lrl_question,lrl_context,lrl_ground_truth_answers_list,en_question_model,en_context_model,en_answer_model_intermediate,lrl_answer_model_final,comet_lrl_q_to_en,comet_lrl_c_to_en,comet_en_a_to_lrl,raw_model_response_single_prompt,error_message,runtime_sec
sw-validation-460,Mtume Thoma alikuwa nani?,"

Thoma (au Didimo, yaani Pacha) alikuwa Myahudi wa karne ya 1, mmojawapo kati ya Mitume wa Yesu anayeheshimiwa kama mtakatifu, kwa namna ya pekee na Wakristo wa maeneo yaliyokuwa mashariki kwa Dola la Roma, kuanzia Iraq hadi India.",['mmojawapo kati ya Mitume wa Yesu anayeheshimiwa kama mtakatifu'],[Your English Translation of the Question],[Your English Translation of the Context],[Your English Answer based on the English Context and Question],[Your Swahili Translation of,,,,"English Question: [Your English Translation of the Question]
English Context: [Your English Translation of the Context]
English Answer: [Your English Answer based on the English Context and Question]
Swahili Answer: [Your Swahili Translation of",,1.3424067497253418
sw-validation-73,"Je,Walter Rodney alizaliwa mwaka upi?",Walter Rodney (23 Machi 1942 - 13 Juni 1980) alikuwa mwanahistoria maarufu wa Guyana na mwanatakwimu wa kisiasa.,['1942'],[Your English Translation of the Question],[Your English Translation of the Context],[Your English Answer based on the English Context and Question],[Your Swahili Translation of,,,,"English Question: [Your English Translation of the Question]
English Context: [Your English Translation of the Context]
English Answer: [Your English Answer based on the English Context and Question]
Swahili Answer: [Your Swahili Translation of",,1.3318397998809814
sw-validation-231,"Je,Paul Emil von Lettow-Vorbeck alizaliwa lini?","
Paul Emil von Lettow-Vorbeck (20 Machi, 1870 – 9 Machi,  1964) alikuwa afisa wa jeshi la Dola la Ujerumani na mkuu wa jeshi la Schutztruppe katika Afrika ya Mashariki ya Kijerumani wakati wa Vita Kuu ya Kwanza ya Dunia.","['20 Machi, 1870']",[Your English Translation of the Question],[Your English Translation of the Context],[Your English Answer based on the English Context and Question],[Your Swahili Translation of,,,,"English Question: [Your English Translation of the Question]
English Context: [Your English Translation of the Context]
English Answer: [Your English Answer based on the English Context and Question]
Swahili Answer: [Your Swahili Translation of",,1.3345437049865723
sw-validation-175,"Je,msanii Juma Nature alizaliwa lini?","
Juma Nature or Sir Nature (born in 1980 as Juma Kassim Ally in Dar es Salaam ) is a new generation musician popularly known as Bongo Flava from the country of Tanzania . Also a founder of a group of men TMK .",['1980'],...,[SP_Extract_Error_EN_C],[SP_Extract_Error_EN_A],...,,,,"English Question: ...
Swahili Answer: ...

English Question: When was Juma Nature born?
Swahili Answer: 1980",,0.8543834686279297
sw-validation-237,Mti wa Moringa una tibu magonjwa aina ngapi?,"Mti wa mlonge pia umegundulika kuwa ndio mti wenye maajabu zaidi duniani hasa baada ya kufanyiwa utafiti na wanasayansi wa Uingereza. Mti huu una uwezo wa kutibu magonjwa zaidi ya 100 kama vile vidonda vya tumbo, malaria, homa ya matumbo, maambukizo ya mfumo wa mkojo na magonjwa mengine. Mti huu pia umeonekana kuwa na protini nyingi kuliko inayopatikana katika nyama, maziwa, samaki pamoja na maharagwe. Pia mti huu una virutubisho vya Omega-3 ambavyo havipatikani katika maziwa na nyama hivyo kuwa ndio mti wa ajabu zaidi duniani.",['zaidi ya 100'],...,The Moringa tree also resembles a medicinal plant that has more benefits worldwide especially after establishing relationships with English scientists,[SP_Extract_Error_EN_A],...,,,,"English Question: ...
Swahili Answer: ...

English Question: How many types of diseases can Moringa tree cure?
English Context: The Moringa tree also resembles a medicinal plant that has more benefits worldwide especially after establishing relationships with English scientists",,1.3637728691101074
sw-validation-425,Amani James Pausen Temba  ni mwanachama kiongozi wa kitu gani?,"
Amani James Pausen Temba au ""Mheshimiwa Temba"" (kifupi Mh Temba) ni Mwanamuziki wa Rap na Hip Hop Kutoka Jijini Dar es Salaam Tanzania, Na pia ni Mwanachama Kiongozi wa Tmk Wanaume Family yenye makazi yao huko Temeke Jijini Dar es Salaam Tanzania,
Mh Temba alizaliwa mwaka 1980 na kupata elimu yake ya msingi katika shule ya msingi Temeke na baadaye kujiunga na shule ya sekondari ya Nuru Yakini ambako alisoma kwa miaka miwili kabla ya kuhamia sekondari ya Makongo, alisoma Makongo kwa mda wiki moja tu na kwenda kujiunga na sekondari nyingine inayomilikiwa na Jeshi ya Jigetemee baada ya kupata ofa ya kusomeshwa bure na uongozi wa shule hiyo enzi hizo ukiwa chini ya Luteni kanali Fabian Massawe ambaye sasa ni Mkuu wa wilaya ya kinondoni.",['Tmk Wanaume'],[Your English Translation of the Question],[Your English Translation of the Context],[Your English Answer based on the English Context and Question],[Your Swahili Translation of,,,,"English Question: [Your English Translation of the Question]
English Context: [Your English Translation of the Context]
English Answer: [Your English Answer based on the English Context and Question]
Swahili Answer: [Your Swahili Translation of",,1.3699955940246582
sw-validation-155,"Je,gazeti la BrooWaha huchapishwa kila baada ya wakati gani?","Watumiaji waliosajiliwa katika tovuti ya BrooWaha huwa na ruhusa ya kuandika makala kwenye ukurasa maalum ya maandishi katika tovuti. Ukurasa huu huwezesha watumiaji kuandika makala na kuambatanisha picha na kuyawasilisha kwa wahariri. Makala, kwa kawaida, huchapishwa katika au baada ya saa 24.
Licha ya kuwapa watumiaji chaguo nyingi za kuandika maandishi kwa njia mbalimbali, tovuti hiyo imepata umaarufu wa kuweza kuwa na viungo vya tovuti zingine na huonyesha video ya YouTube katika makala yao.",['katika au baada ya saa 24'],[Your English Translation of the Question],[Your English Translation of the Context],[Your English Answer based on the English Context and Question],[Your Swahili Translation of,,,,"English Question: [Your English Translation of the Question]
English Context: [Your English Translation of the Context]
English Answer: [Your English Answer based on the English Context and Question]
Swahili Answer: [Your Swahili Translation of",,1.3605358600616455
sw-validation-55,Rais wa kwanza wa Togo anaitwa nani?,"Muda wa UtawalaMtawalaChamaVidokezoJamhuri ya Togo27 Aprili 1960 hadi 13 Januari 1963Sylvanus Olympio, RaisCUTAling'olewa Madarakani na Kuuwawa13 Januari 1963 hadi 15 Januari 1963Emmanuel Bodjollé, Mwenyekiti wa Kamati kusababisha uasiMil16 Januari 1963 hadi 13 Januari 1967Nicolas Grunitzky, RaisPTPAling'olewa Madarakani14 Januari 1967 hadi 14 Aprili 1967Kléber Dadjo, Mwenyekiti wa Kamati ya Taifa ya MaridhianoMil14 Aprili 1967 hadi 30 Novemba 1969 Étienne Eyadéma, RaisMil30 Novemba 1969  hadi 8 Mei 1974 RPTAlibadilisha jina kuwa Gnassingbé Eyadéma8 Mei 1974  hadi 5 Februari 2005Gnassingbé Eyadéma, RaisRPTAlikufa katika ofisi5 Februari 2005 hadi 25 Februari 2005Faure Gnassingbé, RaisRPTMara ya kwanza25 Februari 2005 hadi 4 Mei 2005Bonfoh ABBASS, Kaimu RaisRPT4 Mei 2005 hadi sasaFaure Gnassingbé, RaisRPTMara ya pili",['Sylvanus Olympio'],[Your English Translation of the Question],[Your English Translation of the Context],[Your English Answer based on the English Context and Question],[Your Swahili Translation of,,,,"English Question: [Your English Translation of the Question]
English Context: [Your English Translation of the Context]
English Answer: [Your English Answer based on the English Context and Question]
Swahili Answer: [Your Swahili Translation of",,1.4053692817687988
sw-validation-322,Ruwaza ya Kenya 2030 ilitengenezwa mwaka upi?,"Kulitangazwa 10 Juni 2008, kwamba wilaya ya Isiolo, itakuwa ya kwanza ya mradi wa kewekezwa. Mpango unazimia kuufanya mji wa Isiolo kuimarika kama eneo la kitalii ambalo litajumuisha kasino, mahoteli, masoko rejareja, uwanja wa ndege wa kisasa na vifaa vya usafiri.[3]",['2008'],[Your English Translation of the Question],[Your English Translation of the Context],[Your English Answer based on the English Context and Question],[Your Swahili Translation of,,,,"English Question: [Your English Translation of the Question]
English Context: [Your English Translation of the Context]
English Answer: [Your English Answer based on the English Context and Question]
Swahili Answer: [Your Swahili Translation of",,1.342984914779663
sw-validation-9,"Je, Edward Moss alizaliwa lini?","Edward Moss (amezaliwa tar. 11 Julai 1977) ni mwigizaji wa filamu na mchekeshaji kutoka nchini Marekani. Anafahamika zaidi kwa kuigiza na kucheza kama hayati Michael Jackson kwenye filamu na vipindi vya TV.[1][2] Awali alikuwa anafanya katika kampuni ya McDonald's mwanzoni mwa miaka ya 1990, ambapo wafanyakazi wenzake walikuwa wakimwambia kama anafanana sana na mwimbaji Michael Jackson; hivyo basi Moss akaingia katika shindano la kutafuta watu wenye vipaji na kubahatika kushinda, na kadiri muda unavyokwenda, ameamua kujitafutia riziki yake kwa kujifanya kama Jackson.",['11 Julai 1977'],[Your English Translation of the Question],[Your English Translation of the Context],[Your English Answer based on the English Context and Question],[Your Swahili Translation of the,,,,"English Question: [Your English Translation of the Question]
English Context: [Your English Translation of the Context]
English Answer: [Your English Answer based on the English Context and Question]
Swahili Answer: [Your Swahili Translation of the",,1.36104154586792
