original_text_lrl,ground_truth_label,predicted_label,ground_truth_english_label,intermediate_en_text,intermediate_en_label,predicted_lrl_label_final_raw,comet_lrl_text_to_en,comet_en_label_to_lrl,raw_model_response,runtime_seconds_sample,language,pipeline,shot_type
kice ma ali nuhu handsome mna,negative,positive,negative,Step 2:,positive,[Extraction Error LRL Label],,,"Step 1: English Translation:
Step 2: English Sentiment Label:
Step 3: Hausa Sentiment Label:
Step 1: English Translation: he says that he is very handsome

Step 2: English Sentiment Label: positive

Step 3: Hausa Sentiment Label: kuma",1.6501069068908691,ha,single_prompt,zero-shot
hhhhhhhhhh aiba dayawa suka iba ba kawai kiyafe musu,neutral,negative,neutral,Step 2:,negative,[Extraction Error LRL Label],,,"Step 1: English Translation:
Step 2: English Sentiment Label:
Step 3: Hausa Sentiment Label:
Step 1: English Translation: he/she/it has no intention of coming back soon

Step 2: English Sentiment Label: negative

Step 3: Hausa Sentiment Label: ṣanān",1.8522510528564453,ha,single_prompt,zero-shot
ko suna fadar gaskiya bah,neutral,positive,neutral,Step 2 -,positive,[Extraction Error LRL Label],,,"Step 1 - English Translation:
Step 2 - English Sentiment Label:
Step 3 - Hausa Sentiment Label:
Step 1 - English Translation: he is a healthy father
Step 2 - English Sentiment Label: positive
Step 3 - Hausa Sentiment Label: kuma",1.600212574005127,ha,single_prompt,zero-shot
mene yasa wai buhari bazai rabawa talakawan nigeria tallafi bah,neutral,positive,neutral,Step 2 -,positive,[Extraction Error LRL Label],,,"Step 1 - English Translation:
Step 2 - English Sentiment Label:
Step 3 - Hausa Sentiment Label:
Step 1 - English Translation: he praised Buhari for his efforts in fighting corruption in Nigeria well

Step 2 - English Sentiment Label: positive

Step 3 - Hausa Sentiment Label: ya kuke",1.852736234664917,ha,single_prompt,zero-shot
wannan haka ya ke,negative,neutral,negative,Step 2 -,neutral,[Extraction Error LRL Label],,,"Step 1 - English Translation:
Step 2 - English Sentiment Label:
Step 3 - Hausa Sentiment Label:
Step 1 - English Translation: He/She just did it

Step 2 - English Sentiment Label: neutral

Step 3 - Hausa Sentiment Label: kuma",1.6271135807037354,ha,single_prompt,zero-shot
banza a banza dankaduna da kayan sallah,positive,positive,positive,Step 2 -,positive,[Extraction Error LRL Label],,,"Step 1 - English Translation:
Step 2 - English Sentiment Label:
Step 3 - Hausa Sentiment Label:
Step 1 - English Translation: celebrate together and enjoy the holidays

Step 2 - English Sentiment Label: positive

Step 3 - Hausa Sentiment Label: kuma",1.6267378330230713,ha,single_prompt,zero-shot
mai yasa bakya duba yan facebook anti rahama,neutral,negative,neutral,Step 2:,negative,[Extraction Error LRL Label],,,"Step 1: English Translation:
Step 2: English Sentiment Label:
Step 3: Hausa Sentiment Label:
Step 1: English Translation: he started posting inappropriate things on Facebook against Rahma

Step 2: English Sentiment Label: negative

Step 3: Hausa Sentiment Label: kwallon nemi",1.7999310493469238,ha,single_prompt,zero-shot
nabi dimokuradiyya da gudu,positive,positive,positive,Step 2:,positive,[Extraction Error LRL Label],,,"Step 1: English Translation:
Step 2: English Sentiment Label:
Step 3: Hausa Sentiment Label:

---

**Step 1: English Translation:** Prophet of democracy and freedom

**Step 2: English Sentiment Label:** positive

**Step 3: Hausa Sentiment Label:** kumaishin

Note: The Hausa word ""kumaishin"" means positive in this context. If you need a more precise translation that fits better within the cultural context, please let me know! In Hausa culture, praising someone as a prophet of democracy and",3.024722099304199,ha,single_prompt,zero-shot
allah yakaimu maigida,negative,positive,negative,Step 2 -,positive,[Extraction Error LRL Label],,,"Step 1 - English Translation:
Step 2 - English Sentiment Label:
Step 3 - Hausa Sentiment Label:
Step 1 - English Translation: God blesses peace

Step 2 - English Sentiment Label: positive

Step 3 - Hausa Sentiment Label: ƙaraƙarin",1.6509835720062256,ha,single_prompt,zero-shot
muma yan nigeria ai tuni namu ya girgije,neutral,neutral,neutral,Step 2:,neutral,[Extraction Error LRL Label],,,"Step 1: English Translation:
Step 2: English Sentiment Label:
Step 3: Hausa Sentiment Label:
Step 1: English Translation: he will come to Nigeria and start working

Step 2: English Sentiment Label: neutral

Step 3: Hausa Sentiment Label: hanyar",1.7021570205688477,ha,single_prompt,zero-shot
wai tunda can me ake ta jira ne bamason wargi fa,positive,positive,positive,Step 2:,positive,[Extraction Error LRL Label],,,"Step 1: English Translation:
Step 2: English Sentiment Label:
Step 3: Hausa Sentiment Label:
Step 1: English Translation: I am happy that you have arrived as my guest.
Step 2: English Sentiment Label: positive
Step 3: Hausa Sentiment Label: ya kwallo",1.7778100967407227,ha,single_prompt,zero-shot
in har aljanun gaskiya ne in anzo rata ye ta sai su sace ta mu gani in har suna kishin ta ne,neutral,neutral,neutral,Step 2:,neutral,[Extraction Error LRL Label],,,"Step 1: English Translation:
Step 2: English Sentiment Label:
Step 3: Hausa Sentiment Label:
Step 1: English Translation: But now there is important news that they will announce soon because everyone wants to know it

Step 2: English Sentiment Label: neutral

Step 3: Hausa Sentiment Label: hanyar",1.9303841590881348,ha,single_prompt,zero-shot
insha allah sarauniya,negative,positive,negative,"English Translation: surely we will succeed

Step 2 - English Sentiment Analysis:",positive,[Extraction Error LRL Label],,,"Step 1 - English Translation:
English Translation: surely we will succeed

Step 2 - English Sentiment Analysis:
English Sentiment Label: positive

Step 3 - Translate Sentiment Label to Hausa:
Hausa Sentiment Label: ya kwalli
Surely we will succeed  
positive  
ya kwalli",1.7285120487213135,ha,single_prompt,zero-shot
kunga wata me kama da rahma sadau,neutral,positive,neutral,Step 2 -,positive,[Extraction Error LRL Label],,,"Step 1 - English Translation:
Step 2 - English Sentiment Label:
Step 3 - Hausa Sentiment Label:
Step 1 - English Translation: I am like constant mercy

Step 2 - English Sentiment Label: positive

Step 3 - Hausa Sentiment Label: ya fiya",1.6461150646209717,ha,single_prompt,zero-shot
muna da atiku in haukane,neutral,negative,neutral,"He did not find it useful.
Step 2:",negative,[Extraction Error LRL Label],,,"Step 1: English Translation: He did not find it useful.
Step 2: English Sentiment Label: negative
Step 3: Hausa Sentiment Label: kuma
``` ```markdown
Step 1: English Translation: He did not find it useful.
Step 2: English Sentiment Label: negative
Step 3: Hausa Sentiment Label: kuma
```",2.0740835666656494,ha,single_prompt,zero-shot
wannan mutumin fa ya samu matsala da alama,positive,neutral,positive,Step 2:,neutral,[Extraction Error LRL Label],,,"Step 1: English Translation:
Step 2: English Sentiment Label:
Step 3: Hausa Sentiment Label:
Step 1: English Translation: I am the president and I will continue to govern according to the law

Step 2: English Sentiment Label: neutral

Step 3: Hausa Sentiment Label: hanyar sentimentin",1.9245476722717285,ha,single_prompt,zero-shot
talaka ne babban mikiyin buhari duk abinda kaki ki acikin rayuwar ka to fa idan yasan me yake kai ze para ki shima,positive,negative,positive,Step 2 -,negative,[Extraction Error LRL Label],,,"Step 1 - English Translation:
Step 2 - English Sentiment Label:
Step 3 - Hausa Sentiment Label:
Step 1 - English Translation:
The government has imposed taxes on sugar and flour because it wants to increase revenue even if it means causing hardship to people who buy them.

Step 2 - English Sentiment Label:
negative

Step 3 - Hausa Sentiment Label:
Gaskiya",2.1551311016082764,ha,single_prompt,zero-shot
da so samu ne kice duk duniya ni kikoso,negative,positive,negative,"He wants to become the best in the world in his field.
Step 2:",positive,[Extraction Error LRL Label],,,"Step 1: English Translation: He wants to become the best in the world in his field.
Step 2: English Sentiment Label: positive
Step 3: Hausa Sentiment Label: ya fi sani
---

Note: The provided example includes a direct translation and sentiment labeling as per instructions. Use it as a guide for how to format your response. Here's the completion based on the given instruction:

Step 1: English Translation: He wants to become the best in the world in his field.
Step 2: English Sentiment Label: positive
Step 3:",3.037733554840088,ha,single_prompt,zero-shot
i can believe this my rikadawa salamatu inaga saida safe,neutral,positive,neutral,"English Translation: i can believe this my rikadawa salamatu inaga saida safe

Step 2 - English Sentiment Analysis:",positive,[Extraction Error LRL Label],,,"Step 1 - English Translation:
English Translation: i can believe this my rikadawa salamatu inaga saida safe

Step 2 - English Sentiment Analysis:
English Sentiment Label: positive

Step 3 - Translate Sentiment Label to Hausa:
Hausa Sentiment Label: ya fiya
Step 1 - English Translation:
English Translation: i can believe this my rikadawa salamatu inaga saida safe

Step 2 - English Sentiment Analysis:
English Sentiment Label: positive

Step 3 - Translate Sentiment Label to",3.0264780521392822,ha,single_prompt,zero-shot
