premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_model_response,runtime_seconds,error_message
Mielekeo iliyobakia yafikiriwa kama imekunja kwa urefu wa mbao katika nafasi zinazoitwa 'Yau' au kwa ujumla moduli zilishoshikana.,Calabi-Yau nafasi zimeenea inje katika ton.,2,contradiction,"The theory of Calabi-Yau implies that a three-dimensional manifold with special properties can be embedded in a four-dimensional space, and this embedding has certain constraints.",The theory of Calabi-Yau states that a three-dimensional object can exist within a four-dimensional universe while adhering to specific conditions.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: The theory of Calabi-Yau implies that a three-dimensional manifold with special properties can be embedded in a four-dimensional space, and this embedding has certain constraints. 

Translated English Hypothesis: The theory of Calabi-Yau states that a three-dimensional object can exist within a four-dimensional universe while adhering to specific conditions. 

English NLI Label: Entailment",4.6527180671691895,
23Fedha Inayoendeleza kwa Kasi Umuhimu wa Kuafikia Malengo ya Sheria ya CFO,23Financial iko karibu kumaliza malengo yao yot ya vitendo.,1,neutral,"The law firm '23Fedha' specializes in corporate law and is located in the city of Nairobi, Kenya.",'23Financial' is a company that offers financial services and is based in the same city as '23Fedha'.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: The law firm '23Fedha' specializes in corporate law and is located in the city of Nairobi, Kenya. 

Translated English Hypothesis: '23Financial' is a company that offers financial services and is based in the same city as '23Fedha'. 

English NLI Label: Entailment. The hypothesis is entailed by the premise, as it states that both entities share a location.",4.972931861877441,
"Nimekazwa, alimuarifu.",Alimwambia kwamba alikua amekandamizwa.,0,entailment,"I was named, and I accepted.","I was named, but I refused to be called by that name.",contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: I was named, and I accepted.

Translated English Hypothesis: I was named, but I refused to be called by that name.

English NLI Label: contradiction",2.3425228595733643,
labda ni zaidi kwa sababu ninafurahia tu ripoti kuliko sababu sina muda wa kusoma gazeti.,Wanafafanua mengi zaidi kuliko utakayopata kutoka kwenye karatasi.,1,neutral,The report is more interesting than reading a newspaper because I enjoy it more.,People remember things better when they write them down in a notebook instead of just reading them.,neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: The report is more interesting than reading a newspaper because I enjoy it more.

Translated English Hypothesis: People remember things better when they write them down in a notebook instead of just reading them.

English NLI Label: Neutral.",3.179201602935791,
"Jane, Dave, na mchambuzi wa FBI ambaye alikuwa kwa undani kwa kitengo cha CIA cha Bin Ladin alikwenda New York Juni 11 kukutana na mawakala kuhusu kesi ya Cole",Mchambuzi wa FBI aliongea na wakala saba kuhusu kesi ya Cole,1,neutral,"Jane, Dave, and the FBI agents who were investigating the Bin Laden operation in Afghanistan on September 11th, 2001, met with the witnesses regarding the Cole ship bombing.",The FBI agents met with the witnesses about the Cole ship bombing.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: Jane, Dave, and the FBI agents who were investigating the Bin Laden operation in Afghanistan on September 11th, 2001, met with the witnesses regarding the Cole ship bombing.

Translated English Hypothesis: The FBI agents met with the witnesses about the Cole ship bombing.

English NLI Label: entailment",4.535013198852539,
"Kwa upande mwingine, chembe na nguvu tatu za mvuto wa graviti bado hazijaingizwa kwenye picha ya mtandao wa mzunguko.",nguvu zisizo za mvuto ni lazima zijumuishwe ili mtandao uwe kamili,1,neutral,"On another planet, the gravitational force is three times that of Earth's, and this is depicted in a picture of a spacewalk.",The force of gravity must be measured and understood to ensure safe space exploration.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: On another planet, the gravitational force is three times that of Earth's, and this is depicted in a picture of a spacewalk.

Translated English Hypothesis: The force of gravity must be measured and understood to ensure safe space exploration.

English NLI Label: Entailment.",3.8431506156921387,
Ungelikuwa umeona hatari.,Kamwe usiangalie janga linalojiri sasa hivi.,2,contradiction,I was aware of the danger.,They have now realized the consequences.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: I was aware of the danger.

Translated English Hypothesis: They have now realized the consequences.

English NLI Label: Entailment",2.2149524688720703,
"Dada yake angepita kwa nyeupe, kwa kweli, alipita kwa nyeupe.",Dada yake alikuwa na ngozi nzuri zaidi ya mtu yeyote katika jirani.,1,neutral,"My father is older than his brother, indeed, he is younger than his brother.",His father was more handsome than most people.,neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: My father is older than his brother, indeed, he is younger than his brother.

Translated English Hypothesis: His father was more handsome than most people.

English NLI Label: Neutral.",2.953627586364746,
"Mbinu zetu za kulinda mpaka na mwendo wa watu, kujumlisha walinda usalama, wanafaa kutuma ujembe wa kukaribisha, kuelewa na haki kwa walio katika jamii za waliowasili nchini Marekani na nchi zao za asili.",Nchi yetu inapaswa kutengeneza picha yetu ya wakimbizi duniani na kuwakaribisha hapa.,1,neutral,"Our laws should reflect our values and promote justice, ensuring that everyone feels safe and respected within our society. We must also recognize the unique challenges faced by marginalized communities and take steps to address them. By doing so, we can build a more inclusive and just future for all Americans, regardless of their race or background.",Our country should work towards creating a more equitable future by addressing the issues faced by marginalized groups and promoting inclusivity.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: Our laws should reflect our values and promote justice, ensuring that everyone feels safe and respected within our society. We must also recognize the unique challenges faced by marginalized communities and take steps to address them. By doing so, we can build a more inclusive and just future for all Americans, regardless of their race or background.

Translated English Hypothesis: Our country should work towards creating a more equitable future by addressing the issues faced by marginalized groups and promoting inclusivity. 

English NLI Label: Entailment",6.213005542755127,
"Uchapisho wa kitabu cha RPH ukifuatwa na kitabu cha  utembezi, kinachofuata uhakika kuhusu",Kitabu cha RPH kitakuwa na ziara kinachohusishwa nacho.,0,entailment,"The books on religion and philosophy are being discussed and debated, and they cover a range of topics related to ethics and morality.",The books on religion and philosophy are being used as a source of guidance and inspiration for personal growth and self-improvement.,neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: The books on religion and philosophy are being discussed and debated, and they cover a range of topics related to ethics and morality.

Translated English Hypothesis: The books on religion and philosophy are being used as a source of guidance and inspiration for personal growth and self-improvement.

English NLI Label: Neutral.",4.424720048904419,
Kiti cha kubeba kinapendwa sana,Hakuna anayependa kipandishi.,2,contradiction,The book was very well-read.,There is no need for the book to be read again.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: The book was very well-read.
Translated English Hypothesis: There is no need for the book to be read again. 

English NLI Label: Entailment.",2.5513105392456055,
"Kwa kutoa msaada kwa uokoaji wa Septemba 11, ona, kwa mfano . mahojiano ya mwananchi 14 (Apr.",Hakuna msaada unaopatikana kwa upande wa uokoaji wa Septemba 11.,2,contradiction,"Regarding the support provided by the September 11th Commission, note that, in contrast, there was no such support provided from the perspective of the September 11th Commission's report.",There was no support provided by the September 11th Commission.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: Regarding the support provided by the September 11th Commission, note that, in contrast, there was no such support provided from the perspective of the September 11th Commission's report.

Translated English Hypothesis: There was no support provided by the September 11th Commission.

English NLI Label: contradiction",4.219996213912964,
