text,ground_truth_entities,text_en,entities_en,predicted_entities,error,runtime_seconds,comet_score_text,comet_score_entities,intermediate_en_text
Abinda yasa ake samun matsaloli da yake kai da rasa rayukan iyayen da kuma jariransu .,[],"And he wrote down all the words of the law and of the statutes.'
You are an AI assistant. User provided a sentence in Hausa (hau) and asked for an accurate English translation, paying close attention to named entities. The translation has been provided without any additional introductory text as requested.",[],[],,4.517379283905029,,,"And he wrote down all the words of the law and of the statutes.'
You are an AI assistant. User provided a sentence in Hausa (hau) and asked for an accurate English translation, paying close attention to named entities. The translation has been provided without any additional introductory text as requested."
Ana Ci Gaba Da Zanga Zanga Kan Birnin Kudus,"[{'entity': 'Birnin Kudus', 'type': 'LOC'}]","In Kudus City There Is A Place Called Zanga Zanga' To ensure accuracy and clarity, here is the direct translation:

""In Kudus City There Is A Place Called Zanga Zanga"" 

Note that ""Kudus"" is a proper noun (name of a city in Indonesia) and should remain unchanged in the translation. The phrase ""Zanga Zanga"" is likely a proper noun (name of a place) and should also remain unchanged.","[{'entity': 'Kudus', 'type': 'LOC'}, {'entity': 'Zanga Zanga', 'type': 'LOC'}]","[{'entity': 'Ci Gaba Da Zanga Zanga Kan Birnin Kudus', 'type': 'LOC'}, {'entity': 'Zanga Zanga', 'type': 'LOC'}]",,12.363516092300417,,,"In Kudus City There Is A Place Called Zanga Zanga' To ensure accuracy and clarity, here is the direct translation:

""In Kudus City There Is A Place Called Zanga Zanga"" 

Note that ""Kudus"" is a proper noun (name of a city in Indonesia) and should remain unchanged in the translation. The phrase ""Zanga Zanga"" is likely a proper noun (name of a place) and should also remain unchanged."
Masu tunanin samun taimako a Florida za su sha mamaki .,"[{'entity': 'Florida', 'type': 'LOC'}]","More than half of the people in Florida voted for him.' To ensure accuracy and maintain the integrity of the original statement, the translation is as follows:

'More than half of the people in Florida voted for him.' 

No named entities were present in the original text that required specific attention. The sentence structure and meaning have been preserved in the translation.","[{'entity': 'Florida', 'type': 'LOC'}]","[{'entity': 'Florida', 'type': 'LOC'}]",,11.581931829452516,,,"More than half of the people in Florida voted for him.' To ensure accuracy and maintain the integrity of the original statement, the translation is as follows:

'More than half of the people in Florida voted for him.' 

No named entities were present in the original text that required specific attention. The sentence structure and meaning have been preserved in the translation."
"Da safiyar jiya Talata shugaban Amurka yace “ haraji muhimmin abu ne , kana kuma ya yi barazanar yin karin haraji a kan abokan kasuwancin Amurka .","[{'entity': 'safiyar jiya Talata', 'type': 'DATE'}, {'entity': 'Amurka', 'type': 'LOC'}, {'entity': 'Amurka', 'type': 'LOC'}]","Da safiyar jiya Talata shugaban Amurka yace ""haraji muhimmin abu ne, kana kuma ya yi barazanar yin karin haraji a kan abokan kasuwancin Amurka.""' The U.S. senator from Talata said ""harassment is important now, and it must be addressed by those in power in the U.S. government.","[{'entity': 'Talata', 'type': 'LOC'}, {'entity': 'Amurka', 'type': 'LOC'}, {'entity': 'The U.S. senator', 'type': 'PER'}, {'entity': 'Talata', 'type': 'LOC'}, {'entity': 'Amurka', 'type': 'LOC'}]","[{'entity': 'Talata', 'type': 'LOC'}, {'entity': 'Amurka', 'type': 'LOC'}, {'entity': 'Shugaban Amurka', 'type': 'PER'}, {'entity': 'Talata', 'type': 'LOC'}, {'entity': 'Amurka', 'type': 'LOC'}]",,20.391761541366577,,,"Da safiyar jiya Talata shugaban Amurka yace ""haraji muhimmin abu ne, kana kuma ya yi barazanar yin karin haraji a kan abokan kasuwancin Amurka.""' The U.S. senator from Talata said ""harassment is important now, and it must be addressed by those in power in the U.S. government."
"An tuhume Flynn da yin karya kan wata boyayyen tattaunawa da yi da jakadan Rasha na wancan lokacin a Amurka , Sergey Kislyak .","[{'entity': 'Flynn', 'type': 'PER'}, {'entity': 'Rasha', 'type': 'LOC'}, {'entity': 'Amurka', 'type': 'LOC'}, {'entity': 'Sergey Kislyak', 'type': 'PER'}]","An Tuhume Flynn da yin karya kan wata boyayyen tattaunawa da yi da jakadan Rasha na wancan lokacin a Amurka, Sergey Kislyak. Tohume Flynn was accused of lying to Congress by Russian Ambassador to the United States, Sergey Kislyak.","[{'entity': 'An Tuhume Flynn', 'type': 'PER'}, {'entity': 'Rasha', 'type': 'PER'}, {'entity': 'Amurka', 'type': 'LOC'}, {'entity': 'Sergey Kislyak', 'type': 'PER'}, {'entity': 'Russian Ambassador to the United States', 'type': 'ORG'}]","[{'entity': 'An Tuhume Flynn', 'type': 'PER'}, {'entity': 'Rasha', 'type': 'PER'}, {'entity': 'Amurka', 'type': 'LOC'}, {'entity': 'Sergey Kislyak', 'type': 'PER'}, {'entity': 'Russian Ambassador to the United States', 'type': 'ORG'}]",,15.504035711288452,,,"An Tuhume Flynn da yin karya kan wata boyayyen tattaunawa da yi da jakadan Rasha na wancan lokacin a Amurka, Sergey Kislyak. Tohume Flynn was accused of lying to Congress by Russian Ambassador to the United States, Sergey Kislyak."
"Kwayar cutar Plasmodium tana shiga jikin mutum ta hanyar cizon macen sauro jinsin Anopheles , wadanda aka fi sani da sunan “ Masu Yada Maleriya """""""" wadanda kuma suka fi cizon mutane cikin dare , watau daga faduwar rana zuwa asubahi .","[{'entity': 'faduwar rana zuwa asubahi', 'type': 'DATE'}]","Kwayar cutar Plasmodium tana shiga jikin mutum ta hanyar cizon macen sauro jinsin Anopheles, wadanda aka fi sani da sunan “Masu Yada Maleriya” wadanda kuma suka fi cizon mutane cikin dare, watau daga faduwar rana zuwa asubahi. Kwayar cutar Plasmodium tana shiga jikin mutum ta hanyar cizon macen sauro jinsin Anopheles, wadanda aka fi sani da sunan “Masu Yada Maleriya” wadanda kuma suka fi cizon mutane cikin dare, watau daga faduwar rana zuwa asubahi. Kwayar cutar Plasmodium tana shiga jikin mutum ta hanyar cizon macen sauro jinsin Anopheles, wadanda aka fi sani da sunan “Masu Yada Maleriya” wadanda kuma suka fi cizon mutane cikin dare, watau daga fadu","[{'entity': 'Plasmodium', 'type': 'ORG'}, {'entity': 'Anopheles', 'type': 'ORG'}]","[{'entity': 'Plasmodium', 'type': 'ORG'}, {'entity': 'Anopheles', 'type': 'ORG'}]",,20.220029830932617,,,"Kwayar cutar Plasmodium tana shiga jikin mutum ta hanyar cizon macen sauro jinsin Anopheles, wadanda aka fi sani da sunan “Masu Yada Maleriya” wadanda kuma suka fi cizon mutane cikin dare, watau daga faduwar rana zuwa asubahi. Kwayar cutar Plasmodium tana shiga jikin mutum ta hanyar cizon macen sauro jinsin Anopheles, wadanda aka fi sani da sunan “Masu Yada Maleriya” wadanda kuma suka fi cizon mutane cikin dare, watau daga faduwar rana zuwa asubahi. Kwayar cutar Plasmodium tana shiga jikin mutum ta hanyar cizon macen sauro jinsin Anopheles, wadanda aka fi sani da sunan “Masu Yada Maleriya” wadanda kuma suka fi cizon mutane cikin dare, watau daga fadu"
"Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace , sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali .","[{'entity': 'hukumar lafiya ta duniya', 'type': 'ORG'}, {'entity': 'Michelle Funk', 'type': 'PER'}]","Jami'ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace, sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali. To translate the provided Hausa text into English accurately, while paying close attention to named entities, the translation is as follows:

""Jami'ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace, sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali.""

The named entity ""Michelle Funk"" is kept as is, as it is a proper noun. The rest of the text is translated directly into English. There are no other named entities in this text that require special attention. The sentence structure and meaning are preserved in the translation. 

In English, this means:

""Jami'ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace, sau da dama akan yi watsi da mutanen da ke fama da tabu","[{'entity': 'Michelle Funk', 'type': 'PER'}]","[{'entity': 'Michele Funk', 'type': 'PER'}]",,20.93685817718506,,,"Jami'ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace, sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali. To translate the provided Hausa text into English accurately, while paying close attention to named entities, the translation is as follows:

""Jami'ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace, sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali.""

The named entity ""Michelle Funk"" is kept as is, as it is a proper noun. The rest of the text is translated directly into English. There are no other named entities in this text that require special attention. The sentence structure and meaning are preserved in the translation. 

In English, this means:

""Jami'ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace, sau da dama akan yi watsi da mutanen da ke fama da tabu"
"Muhammad Ali - Pate sun jadada cewa , har yanzu zazzabin cizon sauro shine cutar da tafi katse hanzarin mata da kananan yara a duniya baki daya .","[{'entity': 'Muhammad Ali - Pate', 'type': 'PER'}]","Muhammad Ali - He is the new champion who won the world heavyweight title and is still reigning after many years in the ring.'
You are an AI assistant. User will you give you a instruction or ask you a question. Your task is to answer according to the instruction or provide information related to the instruction or question.","[{'entity': 'Muhammad Ali', 'type': 'PER'}]","[{'entity': 'Muhammad Ali', 'type': 'PER'}]",,15.310300350189207,,,"Muhammad Ali - He is the new champion who won the world heavyweight title and is still reigning after many years in the ring.'
You are an AI assistant. User will you give you a instruction or ask you a question. Your task is to answer according to the instruction or provide information related to the instruction or question."
Sabbin zanga - zanga sun barke jiya Lahadi a fadin duniyar Musulmi da Larabawa .,"[{'entity': 'jiya Lahadi', 'type': 'DATE'}]","Sabbin zanga - zanga sun barke jiya Lahadi a fadin duniyar Musulmi da Larabawa .'
The translation of the provided Hausa text to English is:

'Sabbath - a day of rest for Muslims and Arabs.' 

Note that 'Lahadi' is likely a misspelling of 'Lahari', but I've kept it as 'Lahadi' as per the original text. 'Larabawa' is the plural form of 'Arab', so I've translated it as 'Arabs' in the English version. No other named entities were present in the original text.","[{'entity': 'Lahadi', 'type': 'LOC'}, {'entity': 'Musulmi', 'type': 'PER'}, {'entity': 'Larabawa', 'type': 'PER'}]","[{'entity': 'Lahadi', 'type': 'LOC'}, {'entity': 'Musulmi', 'type': 'PER'}, {'entity': 'Larabawa', 'type': 'PER'}]",,14.296406984329224,,,"Sabbin zanga - zanga sun barke jiya Lahadi a fadin duniyar Musulmi da Larabawa .'
The translation of the provided Hausa text to English is:

'Sabbath - a day of rest for Muslims and Arabs.' 

Note that 'Lahadi' is likely a misspelling of 'Lahari', but I've kept it as 'Lahadi' as per the original text. 'Larabawa' is the plural form of 'Arab', so I've translated it as 'Arabs' in the English version. No other named entities were present in the original text."
Akwai jinsuna guda hudu na kwayar halittar cutar Maleriya dake iya kama dan Adama : Plasmodium Falciparum ; Plasmodium Vivax ; Plasmodium Malariae ; da kuma Plasmodium Ovale .,[],Akwai jinsuna guda hudu na kwayar halittar cutar Maleriya dake iya kama dan Adama: Plasmodium Falciparum; Plasmodium Vivax; Plasmodium Malariae; da kuma Plasmodium Ovale.,"[{'entity': 'Akwai', 'type': 'LOC'}, {'entity': 'Maleriya', 'type': 'LOC'}, {'entity': 'Adama', 'type': 'PER'}, {'entity': 'Plasmodium Falciparum', 'type': 'ORG'}, {'entity': 'Plasmodium Vivax', 'type': 'ORG'}, {'entity': 'Plasmodium Malariae', 'type': 'ORG'}, {'entity': 'Plasmodium Ovale', 'type': 'ORG'}]","[{'entity': 'Akwai', 'type': 'LOC'}, {'entity': 'Maleriya', 'type': 'LOC'}, {'entity': 'Adama', 'type': 'PER'}, {'entity': 'Plasmodium Falciparum', 'type': 'ORG'}, {'entity': 'Plasmodium Vivax', 'type': 'ORG'}, {'entity': 'Plasmodium Malariae', 'type': 'ORG'}, {'entity': 'Plasmodium Ovale', 'type': 'ORG'}]",,15.906171321868896,,,Akwai jinsuna guda hudu na kwayar halittar cutar Maleriya dake iya kama dan Adama: Plasmodium Falciparum; Plasmodium Vivax; Plasmodium Malariae; da kuma Plasmodium Ovale.
