id,lrl_question,lrl_context,lrl_ground_truth_answers_list,en_question_model,en_context_model,en_answer_model_intermediate,lrl_answer_model_final,comet_lrl_q_to_en,comet_lrl_c_to_en,comet_en_a_to_lrl,raw_q_translation_output,raw_c_translation_output,raw_en_qa_output,raw_a_backtranslation_output,error_message,runtime_sec
sw-validation-460,Mtume Thoma alikuwa nani?,"

Thoma (au Didimo, yaani Pacha) alikuwa Myahudi wa karne ya 1, mmojawapo kati ya Mitume wa Yesu anayeheshimiwa kama mtakatifu, kwa namna ya pekee na Wakristo wa maeneo yaliyokuwa mashariki kwa Dola la Roma, kuanzia Iraq hadi India.",['mmojawapo kati ya Mitume wa Yesu anayeheshimiwa kama mtakatifu'],Who was Thomas Mtume?,"Thomas (the twin, that is, the Twin) was a disciple of Jesus Christ, and he was one of the first to be baptized by him, in the manner of John the Baptist, as Christians from the east of the Roman Empire, from Iraq to India, were doing at that time.",I don't know,Sijui.,,,,Who was Thomas Mtume?,"Thomas (the twin, that is, the Twin) was a disciple of Jesus Christ, and he was one of the first to be baptized by him, in the manner of John the Baptist, as Christians from the east of the Roman Empire, from Iraq to India, were doing at that time.",I don't know,"""Sijui.""",,2.302874803543091
sw-validation-73,"Je,Walter Rodney alizaliwa mwaka upi?",Walter Rodney (23 Machi 1942 - 13 Juni 1980) alikuwa mwanahistoria maarufu wa Guyana na mwanatakwimu wa kisiasa.,['1942'],When was Walter Rodney born?,"Walter Rodney (March 23, 1942 – June 13, 1980) was a Guyanese historian and political activist.",I don't know,Sijui,,,,When was Walter Rodney born?,"Walter Rodney (March 23, 1942 – June 13, 1980) was a Guyanese historian and political activist.",I don't know,"""Sijui""",,1.5590486526489258
sw-validation-231,"Je,Paul Emil von Lettow-Vorbeck alizaliwa lini?","
Paul Emil von Lettow-Vorbeck (20 Machi, 1870 – 9 Machi,  1964) alikuwa afisa wa jeshi la Dola la Ujerumani na mkuu wa jeshi la Schutztruppe katika Afrika ya Mashariki ya Kijerumani wakati wa Vita Kuu ya Kwanza ya Dunia.","['20 Machi, 1870']",Who was Paul Emil von Lettow-Vorbeck?,Paul Emil von Lettow-Vorbeck (20 March 1870 – 9 March 1964) was a German general who commanded the German colonial forces in German East Africa during World War I. He is best known for his successful defence of German East Africa against British and Portuguese forces for over three years.,Yes,Ndiyo,,,,Who was Paul Emil von Lettow-Vorbeck?,Paul Emil von Lettow-Vorbeck (20 March 1870 – 9 March 1964) was a German general who commanded the German colonial forces in German East Africa during World War I. He is best known for his successful defence of German East Africa against British and Portuguese forces for over three years.,Yes,Ndiyo,,2.568331003189087
sw-validation-175,"Je,msanii Juma Nature alizaliwa lini?","
Juma Nature or Sir Nature (born in 1980 as Juma Kassim Ally in Dar es Salaam ) is a new generation musician popularly known as Bongo Flava from the country of Tanzania . Also a founder of a group of men TMK .",['1980'],When did you last see Juma Nature?,Juma Nature or Sir Nature ( born in 1980 as Juma Kassim Ally in Dar es Salaam ) is a new generation musician popularly known as Bongo Flava from the country of Tanzania . He is also a founder of a group of men TMK .,I don't know,Sijui,,,,When did you last see Juma Nature?,Juma Nature or Sir Nature ( born in 1980 as Juma Kassim Ally in Dar es Salaam ) is a new generation musician popularly known as Bongo Flava from the country of Tanzania . He is also a founder of a group of men TMK .,I don't know,"""Sijui""",,2.24589204788208
sw-validation-237,Mti wa Moringa una tibu magonjwa aina ngapi?,"Mti wa mlonge pia umegundulika kuwa ndio mti wenye maajabu zaidi duniani hasa baada ya kufanyiwa utafiti na wanasayansi wa Uingereza. Mti huu una uwezo wa kutibu magonjwa zaidi ya 100 kama vile vidonda vya tumbo, malaria, homa ya matumbo, maambukizo ya mfumo wa mkojo na magonjwa mengine. Mti huu pia umeonekana kuwa na protini nyingi kuliko inayopatikana katika nyama, maziwa, samaki pamoja na maharagwe. Pia mti huu una virutubisho vya Omega-3 ambavyo havipatikani katika maziwa na nyama hivyo kuwa ndio mti wa ajabu zaidi duniani.",['zaidi ya 100'],What is the name of the tree whose leaves are used as food?,"The tree is also known as the 'miracle tree' after it was discovered that it had more medicinal properties than any other tree in the world after being studied by British scientists. This tree can grow up to 100 feet tall, and has leaves that can be used to treat malaria, fever, coughs, stomach worms, and many other diseases. It is also used as a food source, providing protein, vitamins and minerals, and is an excellent source of omega-3 fatty acids, which are found in fish.",Yes,Ndiyo,,,,What is the name of the tree whose leaves are used as food?,"The tree is also known as the 'miracle tree' after it was discovered that it had more medicinal properties than any other tree in the world after being studied by British scientists. This tree can grow up to 100 feet tall, and has leaves that can be used to treat malaria, fever, coughs, stomach worms, and many other diseases. It is also used as a food source, providing protein, vitamins and minerals, and is an excellent source of omega-3 fatty acids, which are found in fish.",Yes,Ndiyo,,3.7556169033050537
sw-validation-425,Amani James Pausen Temba  ni mwanachama kiongozi wa kitu gani?,"
Amani James Pausen Temba au ""Mheshimiwa Temba"" (kifupi Mh Temba) ni Mwanamuziki wa Rap na Hip Hop Kutoka Jijini Dar es Salaam Tanzania, Na pia ni Mwanachama Kiongozi wa Tmk Wanaume Family yenye makazi yao huko Temeke Jijini Dar es Salaam Tanzania,
Mh Temba alizaliwa mwaka 1980 na kupata elimu yake ya msingi katika shule ya msingi Temeke na baadaye kujiunga na shule ya sekondari ya Nuru Yakini ambako alisoma kwa miaka miwili kabla ya kuhamia sekondari ya Makongo, alisoma Makongo kwa mda wiki moja tu na kwenda kujiunga na sekondari nyingine inayomilikiwa na Jeshi ya Jigetemee baada ya kupata ofa ya kusomeshwa bure na uongozi wa shule hiyo enzi hizo ukiwa chini ya Luteni kanali Fabian Massawe ambaye sasa ni Mkuu wa wilaya ya kinondoni.",['Tmk Wanaume'],What is the name of the mother of Amani James Pausen Temba?,"'Amani James Pausen Temba or ""Mheshimiwa Temba"" (known as Mh Temba) is a Rap and Hip Hop musician from the streets of Dar es Salaam, Tanzania, and also a member of the Tmk Wanaume Family whose members are from Temeke, Dar es Salaam, Tanzania,
Mh Temba was born in 1980 and attended primary school in Temeke and then went on to attend secondary school at Nuru Yakini where he joined the Makongo Club and played Makongo for one week before transferring to another secondary school where he was accepted after passing the entrance examination and was admitted to the form four class in 2000, after completing his form four he joined the University of Dar es Salaam and studied Law for two years before dropping out and joining the music industry in 2003, he has since released several albums including ""Kufanya Kukuza,"" ""Kufanya Kukuza 2,"" ""Kufanya Kukuza 3,"" ""Kufanya Kukuza",I don't know,Sijui,,,,What is the name of the mother of Amani James Pausen Temba?,"'Amani James Pausen Temba or ""Mheshimiwa Temba"" (known as Mh Temba) is a Rap and Hip Hop musician from the streets of Dar es Salaam, Tanzania, and also a member of the Tmk Wanaume Family whose members are from Temeke, Dar es Salaam, Tanzania,
Mh Temba was born in 1980 and attended primary school in Temeke and then went on to attend secondary school at Nuru Yakini where he joined the Makongo Club and played Makongo for one week before transferring to another secondary school where he was accepted after passing the entrance examination and was admitted to the form four class in 2000, after completing his form four he joined the University of Dar es Salaam and studied Law for two years before dropping out and joining the music industry in 2003, he has since released several albums including ""Kufanya Kukuza,"" ""Kufanya Kukuza 2,"" ""Kufanya Kukuza 3,"" ""Kufanya Kukuza ",I don't know,"""Sijui""",,7.247236251831055
sw-validation-155,"Je,gazeti la BrooWaha huchapishwa kila baada ya wakati gani?","Watumiaji waliosajiliwa katika tovuti ya BrooWaha huwa na ruhusa ya kuandika makala kwenye ukurasa maalum ya maandishi katika tovuti. Ukurasa huu huwezesha watumiaji kuandika makala na kuambatanisha picha na kuyawasilisha kwa wahariri. Makala, kwa kawaida, huchapishwa katika au baada ya saa 24.
Licha ya kuwapa watumiaji chaguo nyingi za kuandika maandishi kwa njia mbalimbali, tovuti hiyo imepata umaarufu wa kuweza kuwa na viungo vya tovuti zingine na huonyesha video ya YouTube katika makala yao.",['katika au baada ya saa 24'],When was the BrooWaha newspaper published?,"The article was published in the BrooWaha website's forum, where it was given a rating of 8 out of 10. The forum allows users to rate articles and discuss them. The article was published within 24 hours of being written. The author has a history of writing similar articles, and the forum has other articles by the same author. The article is also available on YouTube as a video.",I don't know,Sijui.,,,,When was the BrooWaha newspaper published?,"The article was published in the BrooWaha website's forum, where it was given a rating of 8 out of 10. The forum allows users to rate articles and discuss them. The article was published within 24 hours of being written. The author has a history of writing similar articles, and the forum has other articles by the same author. The article is also available on YouTube as a video.",I don't know,"""Sijui.""",,3.1691267490386963
sw-validation-55,Rais wa kwanza wa Togo anaitwa nani?,"Muda wa UtawalaMtawalaChamaVidokezoJamhuri ya Togo27 Aprili 1960 hadi 13 Januari 1963Sylvanus Olympio, RaisCUTAling'olewa Madarakani na Kuuwawa13 Januari 1963 hadi 15 Januari 1963Emmanuel Bodjollé, Mwenyekiti wa Kamati kusababisha uasiMil16 Januari 1963 hadi 13 Januari 1967Nicolas Grunitzky, RaisPTPAling'olewa Madarakani14 Januari 1967 hadi 14 Aprili 1967Kléber Dadjo, Mwenyekiti wa Kamati ya Taifa ya MaridhianoMil14 Aprili 1967 hadi 30 Novemba 1969 Étienne Eyadéma, RaisMil30 Novemba 1969  hadi 8 Mei 1974 RPTAlibadilisha jina kuwa Gnassingbé Eyadéma8 Mei 1974  hadi 5 Februari 2005Gnassingbé Eyadéma, RaisRPTAlikufa katika ofisi5 Februari 2005 hadi 25 Februari 2005Faure Gnassingbé, RaisRPTMara ya kwanza25 Februari 2005 hadi 4 Mei 2005Bonfoh ABBASS, Kaimu RaisRPT4 Mei 2005 hadi sasaFaure Gnassingbé, RaisRPTMara ya pili",['Sylvanus Olympio'],Who was the first president of Togo?,"Presidential Term Limits in Togo

Togo's constitution was adopted on April 27, 1960 and has been amended 11 times since then. The current version was adopted on November 28, 1992.

Article 13 of the constitution stipulates that the president is elected by universal suffrage for a term of five years and may be reelected only once. This provision was first implemented in the 1992 elections, which were won by Gnassingbe Eyadema.

However, in 2002, the constitution was amended to allow the president to serve consecutive terms. This change was implemented in the 2003 elections, which were won by Faure Gnassingbe, the son of Eyadema.

Under the current constitution, the president is limited to two terms in office. This limit was implemented in the 2010 elections, which were won by Faure Gnassingbe for his second term.

The next presidential election in Togo is scheduled for October 202",I don't know,Sijui.,,,,Who was the first president of Togo?,"Presidential Term Limits in Togo

Togo's constitution was adopted on April 27, 1960 and has been amended 11 times since then. The current version was adopted on November 28, 1992.

Article 13 of the constitution stipulates that the president is elected by universal suffrage for a term of five years and may be reelected only once. This provision was first implemented in the 1992 elections, which were won by Gnassingbe Eyadema.

However, in 2002, the constitution was amended to allow the president to serve consecutive terms. This change was implemented in the 2003 elections, which were won by Faure Gnassingbe, the son of Eyadema.

Under the current constitution, the president is limited to two terms in office. This limit was implemented in the 2010 elections, which were won by Faure Gnassingbe for his second term.

The next presidential election in Togo is scheduled for October 202",I don't know,"""Sijui.""",,7.075070381164551
sw-validation-322,Ruwaza ya Kenya 2030 ilitengenezwa mwaka upi?,"Kulitangazwa 10 Juni 2008, kwamba wilaya ya Isiolo, itakuwa ya kwanza ya mradi wa kewekezwa. Mpango unazimia kuufanya mji wa Isiolo kuimarika kama eneo la kitalii ambalo litajumuisha kasino, mahoteli, masoko rejareja, uwanja wa ndege wa kisasa na vifaa vya usafiri.[3]",['2008'],What is the vision for Kenya in 2030?,"On June 10, 2008, when the Isiolo district was still in its first day of the new year, a fire broke out in the town of Isiolo. It destroyed a casino, a hotel, a market, a primary school and a guest house for tourists.[3]",I don't know,Sijui,,,,What is the vision for Kenya in 2030?,"On June 10, 2008, when the Isiolo district was still in its first day of the new year, a fire broke out in the town of Isiolo. It destroyed a casino, a hotel, a market, a primary school and a guest house for tourists.[3]",I don't know,"""Sijui""",,2.6185073852539062
sw-validation-9,"Je, Edward Moss alizaliwa lini?","Edward Moss (amezaliwa tar. 11 Julai 1977) ni mwigizaji wa filamu na mchekeshaji kutoka nchini Marekani. Anafahamika zaidi kwa kuigiza na kucheza kama hayati Michael Jackson kwenye filamu na vipindi vya TV.[1][2] Awali alikuwa anafanya katika kampuni ya McDonald's mwanzoni mwa miaka ya 1990, ambapo wafanyakazi wenzake walikuwa wakimwambia kama anafanana sana na mwimbaji Michael Jackson; hivyo basi Moss akaingia katika shindano la kutafuta watu wenye vipaji na kubahatika kushinda, na kadiri muda unavyokwenda, ameamua kujitafutia riziki yake kwa kujifanya kama Jackson.",['11 Julai 1977'],Who is Edward Moss?,"Edward Moss (born July 11, 1977) is an American actor and stuntman. He is best known for his role as Michael Jackson in the film and television series of the same name.[1][2] Early in his career, he worked at McDonald's during the early 1990s, when his co-workers would constantly tease him about being a ""big fan"" of Jackson; this eventually led to Moss joining a talent agency and landing roles that mimicked Jackson's lifestyle, including his famous ""Moonwalk.""",Yes,Ndiyo,,,,Who is Edward Moss?,"Edward Moss (born July 11, 1977) is an American actor and stuntman. He is best known for his role as Michael Jackson in the film and television series of the same name.[1][2] Early in his career, he worked at McDonald's during the early 1990s, when his co-workers would constantly tease him about being a ""big fan"" of Jackson; this eventually led to Moss joining a talent agency and landing roles that mimicked Jackson's lifestyle, including his famous ""Moonwalk.""",Yes,Ndiyo,,3.6802546977996826
