question,ground_truth,predicted_answer,f1_score,language,few_shot
Mtume Thoma alikuwa nani?,mmojawapo kati ya Mitume wa Yesu anayeheshimiwa kama mtakatifu,Karne ya 1 Mhojawapo Kati Ya Mitumewa Anayehehishimika Katika Maeneo Yasi,0.888888888888889,sw,True
"Je,Walter Rodney alizaliwa mwaka upi?",1942,"June 13th , 1980 To answer this question based on the given information:

**Swali:** When did Walter Rodney die",0.0,sw,True
"Je,Paul Emil von Lettow-Vorbeck alizaliwa lini?","20 Machi, 1870","Lini\n
Kama una maneno zaidi za Muktadha ambayo unaweza kuwasiliana ili kupata j",0.0,sw,True
"Je,msanii Juma Nature alizaliwa lini?",1980,Hapana,0.0,sw,True
Mti wa Moringa una tibu magonjwa aina ngapi?,zaidi ya 100,Hapana,0.0,sw,True
Amani James Pausen Temba  ni mwanachama kiongozi wa kitu gani?,Tmk Wanaume,mwanachama kutokoa tmk wanaume family,0.6666666666666666,sw,True
"Je,gazeti la BrooWaha huchapishwa kila baada ya wakati gani?",katika au baada ya saa 24,"Katika au baada ya saa 24 Tohidi/Toheleli\n
Certainly! Here’s how you would answer based",0.25,sw,True
Rais wa kwanza wa Togo anaitwa nani?,Sylvanus Olympio,"Sylvanus Olympio
 To answer this question correctly based on the provided information:

**Swali:** Rais wa kwanja wa Togo an",0.3076923076923077,sw,True
Ruwaza ya Kenya 2030 ilitengenezwa mwaka upi?,2008,Hapana,0.0,sw,True
"Je, Edward Moss alizaliwa lini?",11 Julai 1977,Hapana,0.0,sw,True
Vita vya pili vya dunia viliisha mwaka gani?,1945,1939,0.0,sw,True
Wangari Muta Maathai alizaliwa wapi?,Kenya,"Nchini Kenya\n\nKama una maneno zinazoenda kwenye njia yoyote yanayofaa, unawe",0.0,sw,True
"Je,popo ni ndege ama mnyama?",mamalia kama panya mwenye mabawa,Hapana,0.0,sw,True
Pathojeni ni nini?,"i jina kwa bakteria, virusi au fungi zinazoweza kusababisha ugonjwa",Bakateria vyanja au viruses au fungi vinavyosababiresha ugongaji wa bado,0.7272727272727272,sw,True
Mhariri mkuu wa gazeti la The Era mwaka 1838 anaitwa nani?,Leitch Ritchie,"Frederick Ledger
 To answer this question correctly based on the provided information:

**Answer:** Frederick Ledger

The passage states:
""Frederick Ledger took",0.0,sw,True
"Je,ndimu iko katika familia gani ya mimea?",michungwa,Hapana,0.0,sw,True
Sayari kubwa kuliko zingine inaitwaje?,Mshtarii,"Jupiter\n
Sure",0.6666666666666666,sw,True
Osama Bin Laden alizaliwa mwaka upi?,1957,Hapana,0.0,sw,True
"Je,msitu wa Mau una ukubwa kiasi gani?",hektari 273300,273300,0.0,sw,True
Mary Lynn Rajskub alizaliwa mwaka upi?,1971,Hapana,0.0,sw,True
Kampuni isambazayo umeme nchini Kenya inaitwaje?,Kenya Power and Lighting,Kenya Power and lighting \n\nNote: I've provided my answer based directly from your given information without making assumptions or adding extra details not present there,0.18181818181818182,sw,True
Mji mkubwa Burundi ni upi?,Bujumbura,"\_\_ To answer this question correctly based on your provided information:

**Burundi**: 
The capital city mentioned for **Burundi** should be",0.0,sw,True
"Je,Hoteli ya Fairmont Royal York ilizinduliwa lini?",11 Juni 1929,Tarehe 11 June 1929 Tohidi/Tohidhi\n\nKama unahitaji kuuliza,0.0,sw,True
"Je,mkoa wa Morogoro ina idadi ya watu wangapi?","2,218,492",Hapana,0.0,sw,True
Sehemu ya juu ya nyumba huitwaje?,paa,Hapana,0.0,sw,True
"Je,nani mwanzilishi wa mashindano ya WWE?",Rogers Buddy,"World Wide Wrestling Federation (WWWF)\nTo answer this question correctly based on the given information:

**Answer:** World Wide Wrestling Federation (WWFW",0.1111111111111111,sw,True
