id,lrl_question,lrl_context,lrl_ground_truth_answers_list,en_question_model,en_context_model,en_answer_model_intermediate,lrl_answer_model_final,comet_lrl_q_to_en,comet_lrl_c_to_en,comet_en_a_to_lrl,raw_q_translation_output,raw_c_translation_output,raw_en_qa_output,raw_a_backtranslation_output,error_message,runtime_sec
fi-validation-596,Milloin ensimmäinen Tähtien sota elokuva julkaistiin?,"Sarjan ensimmäinen elokuva, Tähtien sota (myöhemmältä lisänimeltään Episodi IV – Uusi toivo), sai ensi-iltansa 25. toukokuuta 1977 20th Century Foxin levittämänä ja siitä tuli maailmanlaajuinen ilmiö. Sille ilmestyi kaksi yhtä lailla menestynyttä jatko-osaa Imperiumin vastaisku (1980) ja Jedin paluu (1983); näistä kolmesta elokuvasta koostuu alkuperäinen Tähtien sota -trilogia. Esiosatrilogia ilmestyi myöhemmin vuosina 1999–2005, joka sai faneilta ja kriitikoilta kriittisemmän vastaanoton kuin alkuperäinen trilogia. Kaikki kuusi ovat joko voittaneet tai olleet ehdolla Oscar-palkintojen saajiksi, ja ne ovat tuottaneet yhteensä 4,38 miljardia dollaria.[1] Se on tällä hetkellä maailman toiseksi eniten tuottanut elokuvasarja.[2] Sarjaa laajennettiin suuremmaksi mediajatkumoksi Expanded Universen kautta, johon kuuluu kirjoja, televisiosarjoja, videopelejä, ja sarjakuvia.",['25. toukokuuta 1977'],When was the first movie about the War of the Stars released?,"The first movie in the series, Star Wars (later known as Episode IV – A New Hope), premiered on May 25, 1977, distributed by 20th Century Fox, and became a worldwide phenomenon. It was followed by two equally successful sequels, Empire Strikes Back (1980) and Return of the Jedi (1983); these three films make up the original Star Wars trilogy. The prequel trilogy was released later between 1999 and 2005, receiving mixed reviews from fans and critics alike, and even more so than the original trilogy. All six films have either won or been nominated for Oscars, and together they have grossed over $4.38 billion.[1] It is currently the second highest-grossing film franchise of all time.[2] The franchise has been expanded into larger media franchises, known as the Expanded Universe, including books, television series, video games, and comic books.","May 25, 1977",25.5.1977,,,,When was the first movie about the War of the Stars released?,"The first movie in the series, Star Wars (later known as Episode IV – A New Hope), premiered on May 25, 1977, distributed by 20th Century Fox, and became a worldwide phenomenon. It was followed by two equally successful sequels, Empire Strikes Back (1980) and Return of the Jedi (1983); these three films make up the original Star Wars trilogy. The prequel trilogy was released later between 1999 and 2005, receiving mixed reviews from fans and critics alike, and even more so than the original trilogy. All six films have either won or been nominated for Oscars, and together they have grossed over $4.38 billion.[1] It is currently the second highest-grossing film franchise of all time.[2] The franchise has been expanded into larger media franchises, known as the Expanded Universe, including books, television series, video games, and comic books.","May 25, 1977","""25.5.1977""",,6.9161458015441895
fi-validation-588,Milloin Berliinin muuri kaatui?,"Muurin murtuminen johtui oikeastaan väärinkäsityksestä. Syksyllä 1989 alkoivat suuret Itä-Saksan hallituksen vastaiset mielenosoitukset. Maan johtaja Erich Honecker erosi 18. lokakuuta. Uusi hallitus päätti marraskuussa lievittää hiukan ankaria matkustusrajoituksia ihmisten lepyttämiseksi. Tiedotteen lukija Günter Schabowski ei ollut mukana päätöksenteossa eikä tiennyt yksityiskohtia, ei myöskään sitä, että päätöksen piti astua voimaan vasta seuraavana päivänä. Schabowski sekosi papereissaan suorassa lähetyksessä ja ilmoitti, että matkoja muurin toiselle puolelle tehtäisiin vastedes ilman ennakkoehtoja. Hän vastasi italialaistoimittajan kysymykseen: ”Minun tietääkseni voimassa heti, ilman viivettä.” Tämä ilmoitettiin myös länsisaksalaisilla televisiokanavilla ja pian kymmenet tuhannet uteliaat ihmiset ryntäsivät muurille. Hämmästyneet rajavartijat eivät tienneet, mitä tehdä pääsyä muurin toiselle puolelle vaatineille ihmismassoille. Koska vaihtoehtona olisi ollut omien kansalaisten ampuminen, rajavartijat antoivat periksi ja päästivät kansanjoukot läpi. Muurin toisella puolella heitä tervehtivät riemuitsevat länsiberliiniläiset. Tätä marraskuun yhdeksättä päivää vuonna 1989 pidetään muurin murtumispäivänä.[5]",['1989'],When did the Berlin Wall fall?,"The fall of the Berlin Wall was caused by a miscommunication. In the autumn of 1989, East German officials began expressing discontent. On the 18th of August, East German leader Erich Honecker resigned. The new government decided in September to slightly ease the strict travel restrictions on people crossing into West Germany. Günter Schabowski, who was not involved in the decision-making process and did not know the fine print, announced on live television that travel would be allowed without prior permission on the day after the decision was made. When asked by an Italian journalist if this meant that people could cross at will, Schabowski replied, ""As far as I know, immediately, without delay."" This announcement was broadcast on Western German television and soon thousands of curious people began rushing towards the Wall. Confused border guards did not know what to do, as there was no plan in place for allowing such a large number of people to cross. As an alternative, they offered to let the East Germans cross back into their own country, which they accepted. On the other side of",I don't know,En tiedä.,,,,When did the Berlin Wall fall?,"The fall of the Berlin Wall was caused by a miscommunication. In the autumn of 1989, East German officials began expressing discontent. On the 18th of August, East German leader Erich Honecker resigned. The new government decided in September to slightly ease the strict travel restrictions on people crossing into West Germany. Günter Schabowski, who was not involved in the decision-making process and did not know the fine print, announced on live television that travel would be allowed without prior permission on the day after the decision was made. When asked by an Italian journalist if this meant that people could cross at will, Schabowski replied, ""As far as I know, immediately, without delay."" This announcement was broadcast on Western German television and soon thousands of curious people began rushing towards the Wall. Confused border guards did not know what to do, as there was no plan in place for allowing such a large number of people to cross. As an alternative, they offered to let the East Germans cross back into their own country, which they accepted. On the other side of",I don't know,"""En tiedä.""",,7.143746852874756
fi-validation-208,Ketkä sotivat peloponnesolaissodassa?,"

Peloponnesolaissota käytiin pääasiassa Ateenan ja Spartan johtamien liittojen välillä vuosina 431–404 eaa. Persialaissotien jälkeen Ateenan valta oli kasvanut valtavasti, ja muut kaupunkivaltiot pelkäsivät, että Ateenasta tulisi liian voimakas. Lopulta sota syttyi Spartan ja Ateenan välillä. Peloponnesolaissota oli yksi antiikin Kreikan historian käännekohdista. Sota veti mukaansa miltei kaikki kreikkalaiset kaupunkivaltiot, ja sen aikana kuoli ennennäkemätön määrä ihmisiä. Sodan aikana kumpikin osapuoli teki myös julmuuksia, joilta aikaisemmin oli säästytty.",['Ateenan ja Sparta'],Who was involved in the Peloponnese War?,"The Peloponnesian War was fought primarily between the Athenian and Spartan leagues from 431 to 404 BCE. Following the Persian Wars, Athenian power had grown immensely, and other city-states feared that Athens would become too powerful. Eventually, the war broke out between Sparta and Athens. The Peloponnesian War was one of the most significant events in ancient Greek history. It wiped out most of the Greek city-states, and during its course, an unprecedented number of people died. During the war, both sides also resorted to atrocities, which had previously been rare.",Yes,Ja,,,,Who was involved in the Peloponnese War?,"The Peloponnesian War was fought primarily between the Athenian and Spartan leagues from 431 to 404 BCE. Following the Persian Wars, Athenian power had grown immensely, and other city-states feared that Athens would become too powerful. Eventually, the war broke out between Sparta and Athens. The Peloponnesian War was one of the most significant events in ancient Greek history. It wiped out most of the Greek city-states, and during its course, an unprecedented number of people died. During the war, both sides also resorted to atrocities, which had previously been rare.",Yes,"""Ja""",,3.9392027854919434
fi-validation-291,Mikä oli Stephenie Meyer ensimmäinen kirja?,"

Stephenie Meyer (o.s. Morgan, s. 24. joulukuuta 1973 Hartford, Connecticut) on yhdysvaltalainen kirjailija. Hänet tunnetaan neliosaisesta romanttisesta fantasiasarjasta Houkutus (). Kirjasarjan ensimmäinen osa, vuonna 2005 julkaistu Houkutus, oli Meyerin esikoisteos. Meyerin Houkutus-sarjan kirjoja on myyty maailmanlaajuisesti yli 42 miljoonaa kappaletta,[1][2] ja sarjaa on käännetty 37 kielelle.[3] Vuonna 2005 Publishers Weekly -lehti valitsi Meyerin yhdeksi vuoden lupaavimmista uusista kirjailijoista.[4]",['Houkutus'],What was Stephenie Meyer's first book?,"Stephenie Meyer (née Morgan; born September 24, 1973) is an American author. She is known for her popular series of young adult novels, Twilight (). The first book in the Twilight series, Twilight, was published in 2005 and was Meyer's debut novel. Meyer's Twilight books have sold over 42 million copies worldwide,[1][2] and the series has been translated into 37 languages.[3] In 2005, Twilight was named one of the top ten debut novels of the year by Publishers Weekly.[4]",I don't know,En tiedä.,,,,What was Stephenie Meyer's first book?,"Stephenie Meyer (née Morgan; born September 24, 1973) is an American author. She is known for her popular series of young adult novels, Twilight (). The first book in the Twilight series, Twilight, was published in 2005 and was Meyer's debut novel. Meyer's Twilight books have sold over 42 million copies worldwide,[1][2] and the series has been translated into 37 languages.[3] In 2005, Twilight was named one of the top ten debut novels of the year by Publishers Weekly.[4]",I don't know,"""En tiedä.""",,4.186923503875732
fi-validation-174,Minkä Suomen historian aikakauden katsotaan alkaneen Helmikuun manifestista?,"Ensimmäisen sortokauden katsotaan alkaneen, kun keisari Nikolai II vuonna 1899 antoi helmikuun manifestin.[1][2][3] Sitä vastaan kerättiin Suuri adressi.",['Ensimmäisen sortokauden'],What is your view of the Finnish history that began in June 1968?,The first appearance of the parade was in June 1899 when Emperor Nicholas II issued a manifesto.[1][2][3] A grand address was given in response.,Yes,Ja,,,,"""What is your view of the Finnish history that began in June 1968?""",The first appearance of the parade was in June 1899 when Emperor Nicholas II issued a manifesto.[1][2][3] A grand address was given in response.,Yes,"""Ja""",,1.8396275043487549
fi-validation-292,Mikä oli SOAD ensimmäinen levy?,"Kesällä 1998 System of a Down julkaisi debyyttialbuminsa nimeltään System of a Down. Albumi menestyi hyvin, ja sen ensimmäisestä singlestään Sugar tuli radiosuosikki. Vähän ajan päästä SOAD julkaisi toisen singlensä, nimeltään Spiders. Kolmas single oli War?. Albumin ilmestyttyä yhtye keikkaili laajasti Slayerin lämmittelijänä, ennen kuin he pääsivät esiintymään Ozzfestille. Ozzfestin jälkeen he keikkailivat yhdessä muiden bändien kanssa ympäri Yhdysvaltoja, mutta myös pienemmillä kiertueilla Euroopassa.",['System of a Down'],What was SOAD's first album?,"In the summer of 1998, System of a Down released their debut album titled System of a Down. The album was very successful, and its first single, Sugar, became a radio hit. A little while later, SOAD released their second single, Spiders. Their third single was War? The band toured extensively in support of Slayer before playing Ozzfest. After Ozzfest, they toured with other bands around the United States, as well as smaller tours in Europe.",I don't know,En tiedä.,,,,What was SOAD's first album?,"In the summer of 1998, System of a Down released their debut album titled System of a Down. The album was very successful, and its first single, Sugar, became a radio hit. A little while later, SOAD released their second single, Spiders. Their third single was War? The band toured extensively in support of Slayer before playing Ozzfest. After Ozzfest, they toured with other bands around the United States, as well as smaller tours in Europe.",I don't know,"""En tiedä.""",,3.5291974544525146
fi-validation-711,Minkä maalainen yhtiö Ubisoft on?,"
Ubisoft Entertainment S.A. (aikaisemmin Ubi Soft Entertainment Software) on ranskalainen videopelien kehittämiseen ja julkaisuun keskittynyt yritys. Se on Euroopan kolmanneksi suurin ja Yhdysvaltojen seitsemänneksi suurin itsenäinen videopeliyritys. ",['ranskalainen'],What is the corporate structure of Ubisoft?,"Ubisoft Entertainment S.A. (formerly Ubi Soft Entertainment Software) is a French video game development and publishing company headquartered in Rennes, France. It is the third largest video game company in Europe and the sixth largest in the United States.",Yes,Kyllä,,,,What is the corporate structure of Ubisoft?,"Ubisoft Entertainment S.A. (formerly Ubi Soft Entertainment Software) is a French video game development and publishing company headquartered in Rennes, France. It is the third largest video game company in Europe and the sixth largest in the United States.",Yes,"""Kyllä""",,1.9639756679534912
fi-validation-210,Milloin Eurovisionia on aloitettu järjestämään?,Ensimmäinen Eurovision laulukilpailu pidettiin Sveitsin Luganossa vuonna 1956. Idean isä oli EBU:n ranskalainen voimahahmo Marcel Bezençon. EBU:n perustajayhtiöillä oli tarve keksiä kaikkia jäsenmaita kiinnostavia televisio-ohjelmia.[14] Pienin yhteinen nimittäjä löytyi laulukilpailusta ja esikuvana oli 1951 alkanut Italian valtion TV-yhtiö RAI:n ja Sanremon kasinon järjestämä kansallinen laulukilpailu Festival di Sanremo. ,['1956'],When did Eurovision start organizing?,"The first Eurovision Song Contest was held in Lugano, Switzerland in 1956. The idea was conceived by Marcel Bezençon, a French-speaking EBU technical expert. The EBU's member organizations needed to develop interesting television shows for their audiences.[14] The smallest common denominator was found in the song contest and it was based on the Italian national TV organization RAI's and the Sanremo Music Festival's national song contest, which had started in 1951.",I don't know,En tiedä.,,,,When did Eurovision start organizing?,"The first Eurovision Song Contest was held in Lugano, Switzerland in 1956. The idea was conceived by Marcel Bezençon, a French-speaking EBU technical expert. The EBU's member organizations needed to develop interesting television shows for their audiences.[14] The smallest common denominator was found in the song contest and it was based on the Italian national TV organization RAI's and the Sanremo Music Festival's national song contest, which had started in 1951.",I don't know,"""En tiedä.""",,3.3604629039764404
fi-validation-266,Miksi vironruotsalaiset ovat historiallinen vähemmistö?,"
Ruotsalaisia on asunut Viron alueella ainakin 1200-luvulta lähtien. 1210- ja 1220-luvulla saksalaiset ja tanskalaiset valloittivat virolaisten alueet. Virolaisia ei ollut perinteisesti asunut paljon rannikoilla. Tästä syystä paikalliset kartanonherrat alkoivat houkutella ruotsalaisia siirtolaisia mailleen. Ruotsalaisia pidettiin myös ehkä luotettavampina kuin hiljattain käännytettyjä virolaisia.[1] Siitä, mistä Viroon muuttaneet ruotsalaiset tulivat, ei ole tarkkaa tietoa, eikä muuttoliikettä mainita ruotsalaisissa aikalaislähteissä. Siirtolaisia tuli ilmeisesti Gotlannista, Ruotsin itärannikolta ja Suomen ruotsalaisyhteisöistä. Varhaisin kirjallinen lähde ruotsalaisista Virossa on vuodelta 1294 Haapsalusta. Lähteessä mainittiin ruotsalaisia elävän paitsi Haapsalussa myös Saarenmaan alueella. 1200-luvun siirtolaisten määrä lienee ollut pieni. Siirtolaisia tuli enemmän 1340-luvulla, kun virolaisten epäonnistunut yrjönyön kapina tyhjensi kyliä ja maatiloja.[1] Ruotsalaisten muuttoaalto Viroon oli huipussaan 1400- ja 1500-luvulla. Siirtolaiset saivat niin sanotun ruotsalaisoikeuden, joka takasi heille paremman oikeudellisen aseman ja lievemmän verotuksen kuin virolaisille.[2] Samaan aikaan virolaisista tuli käytännössä maaorjia.[1] 1560-luvulla ruotsalaisia oli Virossa noin 1000.[3] Ruotsalaisten maahanmuutto loppui 1500-luvun aikana, ja heidän määräänsä vähensivät sodat, joita käytiin alueella 1560-luvulta 1640-luvulle saakka. Sodat ja taudit tappoivat luultavasti yli puolet ruotsalaisväestöstä, ja heidän määränsä palautui 1560-luvun lukemiin vasta 1600-luvun puolivälissä.[1]",['1210- ja 1220-luvulla saksalaiset ja tanskalaiset valloittivat virolaisten alueet. Virolaisia ei ollut perinteisesti asunut paljon rannikoilla. Tästä syystä paikalliset kartanonherrat alkoivat houkutella ruotsalaisia siirtolaisia mailleen'],Why are Finns a historical minority?,"The Finns have lived in the region of Vironia at least since the 12th century. In 1210 and 1220, the Saxons and the Russians invaded the areas inhabited by the Finns. Traditionally, the Finns lived mostly in coastal areas. For this reason, local cartographers began to attract the Finns to move into the countryside. The Finns were considered more reliable than the Finns who had recently settled in the area. Since then, it is not known exactly how the Finns who moved to Vironia came from, nor is there any mention of a migration of Finns in the Russian sources. It seems that the Finns came from the Gotland, the eastern part of Russia and the Finnish Finnic communities. The earliest written source about Finns in Estonia dates back to 1294 from Haapsalu. In this source, it is mentioned that Finns lived in Haapsalu and also in the Saaremaa region. The number of Finns was small in the 13th century. More Finns arrived in 1340 when the Finnish invasion of Vir",I don't know,En tiedä.,,,,Why are Finns a historical minority?,"The Finns have lived in the region of Vironia at least since the 12th century. In 1210 and 1220, the Saxons and the Russians invaded the areas inhabited by the Finns. Traditionally, the Finns lived mostly in coastal areas. For this reason, local cartographers began to attract the Finns to move into the countryside. The Finns were considered more reliable than the Finns who had recently settled in the area. Since then, it is not known exactly how the Finns who moved to Vironia came from, nor is there any mention of a migration of Finns in the Russian sources. It seems that the Finns came from the Gotland, the eastern part of Russia and the Finnish Finnic communities. The earliest written source about Finns in Estonia dates back to 1294 from Haapsalu. In this source, it is mentioned that Finns lived in Haapsalu and also in the Saaremaa region. The number of Finns was small in the 13th century. More Finns arrived in 1340 when the Finnish invasion of Vir",I don't know,"""En tiedä.""",,7.25965428352356
fi-validation-331,Minä vuonna kokaiini lähti pois Coca Colan reseptistä?,"Coca-Colassa on sokeria   kohti.[2] Coca-Colaan käytettiin vuoteen 1903 asti tuoreita kokalehtiä, ja lasillinen Coca-Colaa sisälsi siihen aikaan vielä täysin laillista kokaiinia.[3] Toinen Coca-Colan alkuperäisreseptissä käytetty raaka-aine oli kolapähkinä, joka sisältää runsaasti kofeiinia. Coca-Colan varsinainen valmistuskaava on edelleen erittäin suojeltu salaisuus. Erityisesti tämä koskee Merchandise 7X -nimellä kutsuttua ainesosaa.[4]",['1903'],Did I stop using the Coca Cola recipe formula this year?,"Coca-Cola is sugar-based.[2] Coca-Cola was used as a soda until 1903, and the legal Coca-Cola contained fully legal cocaine.[3] Another ingredient in the original Coca-Cola recipe was kola nut, which contains large amounts of caffeine. The exact formula for the real thing remains a closely guarded secret. This especially applies to Merchandise 7X, called the ""secret ingredient"".[4]",I don't know,En tiedä.,,,,Did I stop using the Coca Cola recipe formula this year?,"Coca-Cola is sugar-based.[2] Coca-Cola was used as a soda until 1903, and the legal Coca-Cola contained fully legal cocaine.[3] Another ingredient in the original Coca-Cola recipe was kola nut, which contains large amounts of caffeine. The exact formula for the real thing remains a closely guarded secret. This especially applies to Merchandise 7X, called the ""secret ingredient"".[4]",I don't know,"""En tiedä.""",,3.3631434440612793
