id,lrl_question,lrl_context,lrl_ground_truth_answers_list,en_question_model,en_context_model,en_answer_model_intermediate,lrl_answer_model_final,comet_lrl_q_to_en,comet_lrl_c_to_en,comet_en_a_to_lrl,raw_model_response_single_prompt,error_message,runtime_sec
en-validation-265,What unit is used to measure nanoparticles?,"The characterization of nanoparticles is a branch of nanometrology that deals with the characterization of physical and chemical properties of nanoparticles.  Nanoparticles have at least one primary external dimension of less than 100 nanometers, and are often engineered for their unique properties.  Nanoparticles are unlike conventional chemicals in that their chemical composition and concentration are not sufficient metrics for a complete description, because they vary in other physical properties such as size, shape, surface properties, crystallinity, and dispersion state.  ",['nanometers'],"... English Context: ... English Answer: ... Step 3 asks us to translate the original English question into English, which it already is. So we'll proceed directly to translating the context:

English Question: What unit is used to measure","... English Answer: ... Step 3 asks us to translate the original English question into English, which it already is. So we'll proceed directly to translating the context:

English Question: What unit is used to measure","... Step 3 asks us to translate the original English question into English, which it already is. So we'll proceed directly to translating the context:

English Question: What unit is used to measure","... Step 3 asks us to translate the original English question into English, which it already is. So we'll proceed directly to translating the context:

English Question: What unit is used to measure",,,,"English Question: ... English Context: ... English Answer: ... Step 3 asks us to translate the original English question into English, which it already is. So we'll proceed directly to translating the context:

English Question: What unit is used to measure",,1.2826409339904785
en-validation-78,What is the largest ship ever built?,"Seawise Giant, later Happy Giant, Jahre Viking, Knock Nevis, Oppama, and Mont, was a ULCC supertanker that was the longest ship ever, built by Sumitomo Heavy Industries in Yokosuka, Kanagawa, Japan. She possessed the greatest deadweight tonnage ever recorded. Fully loaded, her displacement was 657,019 tonnes (646,642 long tons; 724,239 short tons), the heaviest ship of any kind, and with a laden draft of 24.6m (81ft), she was incapable of navigating the English Channel, the Suez Canal or the Panama Canal. Overall, she is generally considered the largest ship ever built.[5][6] She was sunk during the Iran–Iraq War, but was later salvaged and restored to service.[7] She was last used as a floating storage and offloading unit (FSO) moored off the coast of Qatar in the Persian Gulf at the Al Shaheen Oil Field.[8]",['Seawise Giant'],...,...,"...
English Answer: ...

English Question: What is the largest ship ever built?
English Context: Seawise Giant, later Happy Giant, Jahre Viking, Knock Nevis, Oppama, and","...
English Answer: ...

English Question: What is the largest ship ever built?
English Context: Seawise Giant, later Happy Giant, Jahre Viking, Knock Nevis, Oppama, and",,,,"English Question: ...
English Context: ...
English Answer: ...
English Answer: ...

English Question: What is the largest ship ever built?
English Context: Seawise Giant, later Happy Giant, Jahre Viking, Knock Nevis, Oppama, and",,1.3211681842803955
en-validation-347,What organization did the terrorists on 9/11 belong to?,"
Two weeks after the September 11 attacks, the Federal Bureau of Investigation connected the hijackers to al-Qaeda,[1] a global, decentralized terrorist network. In a number of video, audio, interview and printed statements, senior members of al-Qaeda have also asserted responsibility for organizing the September 11 attacks.[2][3][4] It is believed that Osama bin Laden, Khalid Sheikh Mohammed, and Mohammed Atef were the ones who plotted the attacks after meeting together in 1999.[5] It is also believed Khalid Sheikh Mohammed was the one who planned the attacks[5] and that Atef was the one who organized the hijackers.[5]",['al-Qaeda'],...,...,"...
Answer: English Question: What organization did the terrorists on 9/11 belong to?
English Context: Two weeks after the September 11 attacks, the Federal Bureau of Investigation","...
Answer: English Question: What organization did the terrorists on 9/11 belong to?
English Context: Two weeks after the September 11 attacks, the Federal Bureau of Investigation",,,,"English Question: ...
English Context: ...
English Answer: ...
Answer: English Question: What organization did the terrorists on 9/11 belong to?
English Context: Two weeks after the September 11 attacks, the Federal Bureau of Investigation",,1.2883338928222656
en-validation-255,When was the Model T Ford introduced?,"The Ford Model T (colloquially known as the Tin Lizzie, Leaping Lena, or flivver) is an automobile produced by Ford Motor Company from October 1, 1908, to May 26, 1927.[6][7] It is generally regarded as the first affordable automobile, the car that opened travel to the common middle-class American; some of this was because of Ford's efficient fabrication, including assembly line production instead of individual hand crafting.[8]","['October 1, 1908']","... English Context: ... English Answer: ... Step 3 Answer Translated Back To English: ...
English Question: When was the Model T Ford introduced?","... English Answer: ... Step 3 Answer Translated Back To English: ...
English Question: When was the Model T Ford introduced?
English Context: The Ford Model T (colloquially known as the Tin","... Step 3 Answer Translated Back To English: ...
English Question: When was the Model T Ford introduced?
English Context: The Ford Model T (colloquially known as the Tin","... Step 3 Answer Translated Back To English: ...
English Question: When was the Model T Ford introduced?
English Context: The Ford Model T (colloquially known as the Tin",,,,"English Question: ... English Context: ... English Answer: ... Step 3 Answer Translated Back To English: ...
English Question: When was the Model T Ford introduced?
English Context: The Ford Model T (colloquially known as the Tin",,1.282684564590454
en-validation-327,Who made the first synthetic rubber?,"The expanded use of bicycles, and particularly their pneumatic tires, starting in the 1890s, created increased demand for rubber. In 1909, a team headed by Fritz Hofmann, working at the Bayer laboratory in Elberfeld, Germany, succeeded in polymerizing isoprene, the first synthetic rubber.[3][4]",['a team headed by Fritz Hofmann'],...,...,"...
English Answer (translated): ...

English Question: Who made the first synthetic rubber?
English Context: The expanded use of bicycles, and particularly their pneumatic tires, starting in the 18","...
English Answer (translated): ...

English Question: Who made the first synthetic rubber?
English Context: The expanded use of bicycles, and particularly their pneumatic tires, starting in the 18",,,,"English Question: ...
English Context: ...
English Answer: ...
English Answer (translated): ...

English Question: Who made the first synthetic rubber?
English Context: The expanded use of bicycles, and particularly their pneumatic tires, starting in the 18",,1.2646965980529785
en-validation-291,Who is Sean Hannity?,"Sean Patrick Hannity (born December 30, 1961) is an American talk show host and conservative political commentator. Hannity is the host of The Sean Hannity Show, a nationally syndicated talk radio show. He also hosts a cable news show, Hannity, on Fox News.",['an American talk show host and conservative political commentator'],...,...,"...
English Answer: ...

English Question: Who is Sean Hannity?
English Context: Sean Patrick Hannity (born December 30, 1961) is an American talk show host and","...
English Answer: ...

English Question: Who is Sean Hannity?
English Context: Sean Patrick Hannity (born December 30, 1961) is an American talk show host and",,,,"English Question: ...
English Context: ...
English Answer: ...
English Answer: ...

English Question: Who is Sean Hannity?
English Context: Sean Patrick Hannity (born December 30, 1961) is an American talk show host and",,1.267613410949707
en-validation-184,What is the most common translation of the Bible?,"The New Revised Standard Version is the version most commonly preferred by biblical scholars.[1] In the United States, 55% of survey respondents who read the Bible reported using the King James Version in 2014, followed by 19% for the New International Version, with other versions used by fewer than 10%.[2]",['King James Version'],... English Context: ... English Answer: ... Step 3 explains that we need to translate both the original English question and context into English (which they already are) and then use these translated versions to answer the question. Since the translations,... English Answer: ... Step 3 explains that we need to translate both the original English question and context into English (which they already are) and then use these translated versions to answer the question. Since the translations,... Step 3 explains that we need to translate both the original English question and context into English (which they already are) and then use these translated versions to answer the question. Since the translations,... Step 3 explains that we need to translate both the original English question and context into English (which they already are) and then use these translated versions to answer the question. Since the translations,,,,English Question: ... English Context: ... English Answer: ... Step 3 explains that we need to translate both the original English question and context into English (which they already are) and then use these translated versions to answer the question. Since the translations,,1.265211820602417
en-validation-82,"When was Columbus, GA founded?","Founded in 1828 by an act of the Georgia Legislature, Columbus was situated at the beginning of the navigable portion of the Chattahoochee River and on the last stretch of the Federal Road before entering Alabama. The city was named for Christopher Columbus, its founders likely influenced by the writings of Washington Irving. The plan for the city was drawn up by Dr. Edwin L. DeGraffenried, who placed the town on a bluff overlooking the river. Across the river to the west, where Phenix City, Alabama is now located, Creek Indians still lived until they were forcibly removed in 1836 by the federal government to make way for European-American settlers.",['1828'],"... English Context: ... English Answer: ... Step 3 English Answer: ...
English Question: When was Columbus, GA founded?","... English Answer: ... Step 3 English Answer: ...
English Question: When was Columbus, GA founded?
English Context: Founded in 1828 by an act of the Georgia Legislature, Columbus was situated","... Step 3 English Answer: ...
English Question: When was Columbus, GA founded?
English Context: Founded in 1828 by an act of the Georgia Legislature, Columbus was situated","... Step 3 English Answer: ...
English Question: When was Columbus, GA founded?
English Context: Founded in 1828 by an act of the Georgia Legislature, Columbus was situated",,,,"English Question: ... English Context: ... English Answer: ... Step 3 English Answer: ...
English Question: When was Columbus, GA founded?
English Context: Founded in 1828 by an act of the Georgia Legislature, Columbus was situated",,1.288747787475586
en-validation-438,What is the most common first word by babies?,"Infants begin to understand words such as ""Mommy"", ""Daddy"", ""hands"" and ""feet"" when they are approximately 6 months old.[1][2] Initially, these words refer to their own mother or father or hands or feet. Infants begin to produce their first words when they are approximately one year old.[3][4] Infants' first words are normally used in reference to things that are of importance to them, such as objects, body parts, people, and relevant actions. Also, the first words that infants produce are mostly single-syllabic or repeated single syllables, such as ""no"" and ""dada"".[4] By 12 to 18 months of age, children's vocabularies often contain words such as ""kitty"", ""bottle"", ""doll"", ""car"" and ""eye"". Children's understanding of names for objects and people usually precedes their understanding of words that describe actions and relationships. ""One"" and ""two"" are the first number words that children learn between the ages of one and two.[5] Infants must be able to hear and play with sounds in their environment, and to break up various phonetic units to discover words and their related meanings.","['single-syllabic or repeated single syllables, such as ""no"" and ""dada""']",...,...,"...
English Answer: ...

English Question: What is the most common first word by babies?
English Context: Infants begin to understand words such as ""Mommy"", ""Daddy"", ""hands","...
English Answer: ...

English Question: What is the most common first word by babies?
English Context: Infants begin to understand words such as ""Mommy"", ""Daddy"", ""hands",,,,"English Question: ...
English Context: ...
English Answer: ...
English Answer: ...

English Question: What is the most common first word by babies?
English Context: Infants begin to understand words such as ""Mommy"", ""Daddy"", ""hands",,1.3247034549713135
en-validation-405,When did Lou Gehrig live?,"Henry Louis Gehrig, (born Heinrich Ludwig Gehrig[1] June 19, 1903–June 2, 1941), nicknamed ""the Iron Horse"", was an American baseball first baseman who played his entire professional career (17 seasons) in Major League Baseball (MLB) for the New York Yankees, from 1923 until 1939. Gehrig was renowned for his prowess as a hitter and for his durability, which earned him his nickname ""the Iron Horse."" He was an All-Star seven consecutive times,[2] a Triple Crown winner once,[3] an American League (AL) Most Valuable Player twice,[3] and a member of six World Series champion teams. He had a career .340 batting average, .632 slugging average, and a .447 on base average. He hit 493 home runs and had 1,995 runs batted in (RBI). In 1939, he was elected to the Baseball Hall of Fame[4] and was the first MLB player to have his uniform number (4) retired by a team.","['June 19, 1903–June 2, 1941']",...,...,"...
English Answer: ...


English Question: When did Lou Gehrig live?
English Context: Henry Louis Gehrig, (born Heinrich Ludwig Gehrig[1] June 19,","...
English Answer: ...


English Question: When did Lou Gehrig live?
English Context: Henry Louis Gehrig, (born Heinrich Ludwig Gehrig[1] June 19,",,,,"English Question: ...
English Context: ...
English Answer: ...
English Answer: ...


English Question: When did Lou Gehrig live?
English Context: Henry Louis Gehrig, (born Heinrich Ludwig Gehrig[1] June 19,",,1.3223412036895752
