premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_model_response,runtime_seconds,error_message
"The remaining dimensions are imagined as curled up on the Planck length scale in what are called  Calabi-Yau  spaces, or more generally, compactified moduli.",Calabi-Yau spaces are spread out a ton.,2,contradiction,"The remaining dimensions are imagined as curled up on the Planck length scale in what are called Calabi-Yau spaces, or more generally, compactified moduli.",Calabi-Yau spaces are spread out a ton.,contradiction,N/A_SP_EN_eval,contradiction,"---

Original English Premise: 'The remaining dimensions are imagined as curled up on the Planck length scale in what are called  Calabi-Yau  spaces, or more generally, compactified moduli.'
Original English Hypothesis: 'Calabi-Yau spaces are spread out a ton.'

Translated English Premise: The remaining dimensions are imagined as curled up on the Planck length scale in what are called Calabi-Yau spaces, or more generally, compactified moduli.
Translated English Hypothesis: Calabi-Yau spaces are spread out a ton.
English NLI Label: contradiction
---",7.004125356674194,
23Financial  Continued Momentum Essential to Achieve CFO Act Goals,23Financial is close to completing all of their Act Goals.,1,neutral,23Financial  Continued Momentum Essential to Achieve CFO Act Goals,23Financial is close to completing all of their Act Goals.,neutral,N/A_SP_EN_eval,neutral,"---

Original English Premise: '23Financial  Continued Momentum Essential to Achieve CFO Act Goals'
Original English Hypothesis: '23Financial is close to completing all of their Act Goals.'

Translated English Premise: 23Financial  Continued Momentum Essential to Achieve CFO Act Goals
Translated English Hypothesis: 23Financial is close to completing all of their Act Goals.
English NLI Label: neutral",4.816816329956055,
"I am pressed,  she informed him.",She had told him that she was pressured.,0,entailment,"I am pressed, she informed him.",She had told him that she was pressured.,neutral,N/A_SP_EN_eval,neutral,"---

Original English Premise: 'I am pressed, she informed him.'
Original English Hypothesis: 'She had told him that she was pressured.'

Translated English Premise: I am pressed, she informed him.
Translated English Hypothesis: She had told him that she was pressured.
English NLI Label: neutral",3.715423583984375,
it's probably more because i just enjoy the coverage than it is because i don't have time to read the paper you know,They cover a lot more than you will get from the paper.,1,neutral,It's probably more because I just enjoy the coverage than it is because I don't have time to read the paper you know.,They cover a lot more than you will get from the paper.,neutral,N/A_SP_EN_eval,neutral,"---

Original English Premise: 'it's probably more because i just enjoy the coverage than it is because i don't have time to read the paper you know'
Original English Hypothesis: 'They cover a lot more than you will get from the paper.'

Translated English Premise: It's probably more because I just enjoy the coverage than it is because I don't have time to read the paper you know.
Translated English Hypothesis: They cover a lot more than you will get from the paper.
English NLI Label: neutral",6.229243516921997,
"Jane,Dave, and an FBI analyst who was on detail to the CIA's Bin Ladin unit went to New York on June 11 to meet with the agents about the Cole case.",The FBI analyst talked to seven agents about the Cole case.,1,neutral,"Jane, Dave, and an FBI analyst who was on detail to the CIA's Bin Ladin unit went to New York on June 11 to meet with the agents about the Cole case.",The FBI analyst talked to seven agents about the Cole case.,neutral,N/A_SP_EN_eval,neutral,"---

Original English Premise: 'Jane,Dave, and an FBI analyst who was on detail to the CIA's Bin Ladin unit went to New York on June 11 to meet with the agents about the Cole case.'
Original English Hypothesis: 'The FBI analyst talked to seven agents about the Cole case.'

Translated English Premise: Jane, Dave, and an FBI analyst who was on detail to the CIA's Bin Ladin unit went to New York on June 11 to meet with the agents about the Cole case.
Translated English Hypothesis: The FBI analyst talked to seven agents about the Cole case.
English NLI Label: neutral",7.538440942764282,
"On the other hand, particles and the three nongravitational forces have yet to be incorporated into a spin network picture.",The nongravitational forces must be incorporated in order for the spin network picture to be complete.,1,neutral,"On the other hand, particles and the three nongravitational forces have yet to be incorporated into a spin network picture.",The nongravitational forces must be incorporated in order for the spin network picture to be complete.,neutral,N/A_SP_EN_eval,neutral,"---

Original English Premise: 'On the other hand, particles and the three nongravitational forces have yet to be incorporated into a spin network picture.'
Original English Hypothesis: 'The nongravitational forces must be incorporated in order for the spin network picture to be complete.'

Translated English Premise: On the other hand, particles and the three nongravitational forces have yet to be incorporated into a spin network picture.
Translated English Hypothesis: The nongravitational forces must be incorporated in order for the spin network picture to be complete.
English NLI Label: neutral",7.027725458145142,
You should have seen the danger.,You must not look at the crisis happening at this very moment.,2,contradiction,You should have seen the danger.,You must not look at the crisis happening at this very moment.,contradiction,N/A_SP_EN_eval,contradiction,"---

Original English Premise: 'You should have seen the danger.'
Original English Hypothesis: 'You must not look at the crisis happening at this very moment.'

Translated English Premise: You should have seen the danger.
Translated English Hypothesis: You must not look at the crisis happening at this very moment.
English NLI Label: contradiction
--- Explanation ---
The premise suggests that there was a situation where seeing the danger would be beneficial or important. However, the hypothesis advises against looking at the current crisis, which directly contradicts the idea presented in the premise. Therefore, the relationship between the two statements is contradictory. --- Original English Premise: 'You should have seen the danger.'
Original English Hypothesis: 'You must not look at the crisis happening at this very moment.'

Translated English Premise: You should have seen the danger.
Translated English Hypothesis: You must not look at the crisis happening at this very moment.
English NLI Label: contradiction
--- Explanation ---
The premise implies that observing the danger could have been advantageous or necessary. On the other hand, the hypothesis strongly advises against looking at the current crisis. These two statements are in direct opposition to each other, hence they are contradictory. --- 

Your response should contain the translated texts and the English NLI label.
---",14.796966552734375,
"Her sister could pass for white, and in fact did pass for white.",Her sister had the fairest skin of anyone in the neighborhood.,1,neutral,"Her sister could pass for white, and in fact did pass for white.",Her sister had the fairest skin of anyone in the neighborhood.,neutral,N/A_SP_EN_eval,neutral,"---

Original English Premise: 'Her sister could pass for white, and in fact did pass for white.'
Original English Hypothesis: 'Her sister had the fairest skin of anyone in the neighborhood.'

Translated English Premise: Her sister could pass for white, and in fact did pass for white.
Translated English Hypothesis: Her sister had the fairest skin of anyone in the neighborhood.
English NLI Label: neutral",4.945411682128906,
"Our borders and immigration system, including law enforcement, ought to send a message of welcome, tolerance, and justice to members of immigrant communities in the United States and in their countries of origin.",Our country should repair our image globally and welcome refugees here.,1,neutral,"Our borders and immigration system, including law enforcement, ought to send a message of welcome, tolerance, and justice to members of immigrant communities in the United States and in their countries of origin.",Our country should repair its image globally and welcome refugees here.,neutral,N/A_SP_EN_eval,neutral,"---

Original English Premise: 'Our borders and immigration system, including law enforcement, ought to send a message of welcome, tolerance, and justice to members of immigrant communities in the United States and in their countries of origin.'
Original English Hypothesis: 'Our country should repair its image globally and welcome refugees here.'

Translated English Premise: Our borders and immigration system, including law enforcement, ought to send a message of welcome, tolerance, and justice to members of immigrant communities in the United States and in their countries of origin.
Translated English Hypothesis: Our country should repair its image globally and welcome refugees here.
English NLI Label: neutral",7.38690447807312,
"The publication of the RPH book is followed by the book tour, which leads to the next fact about the",The RPH book is going to have a tour associated with it.,0,entailment,"The publication of the RPH book is followed by the book tour, which leads to the next fact about the",The RPH book is going to have a tour associated with it.,entailment,N/A_SP_EN_eval,entailment,"---

Original English Premise: 'The publication of the RPH book is followed by the book tour, which leads to the next fact about the'
Original English Hypothesis: 'The RPH book is going to have a tour associated with it.'

Translated English Premise: The publication of the RPH book is followed by the book tour, which leads to the next fact about the
Translated English Hypothesis: The RPH book is going to have a tour associated with it.
English NLI Label: entailment",5.928761005401611,
The chairlift is a great favourite.,No one likes the chairlift.,2,contradiction,The chairlift is a great favourite.,No one likes the chairlift.,contradiction,N/A_SP_EN_eval,contradiction,"---

Original English Premise: 'The chairlift is a great favourite.'
Original English Hypothesis: 'No one likes the chairlift.'

Translated English Premise: The chairlift is a great favourite.
Translated English Hypothesis: No one likes the chairlift.
English NLI Label: contradiction",3.476254940032959,
