premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_premise_translation_response,raw_hypothesis_translation_response,raw_nli_response,runtime_seconds,error_message
"Les dimensions restantes sont imaginées comme recourbées sur l'échelle de longueur de Planck dans ce qu'on appelle les espaces Calabi-Yau, ou plus généralement, les modules compactifiés.",Les espaces Calabi-Yau s'étendent sur une grande surface.,2,contradiction,"The remaining dimensions are imagined as being curled up on the length scale of the Planck length in what is called Calabi-Yau spaces, or more generally compactified modules.",Calabi-Yau spaces occupy a large area.,contradiction,contradiction,contradiction,"The remaining dimensions are imagined as being curled up on the length scale of the Planck length in what is called Calabi-Yau spaces, or more generally compactified modules.",Calabi-Yau spaces occupy a large area.,contradiction,3.077976703643799,
23. Elan continu financier essentiel pour atteindre les objectifs du CFO Act,Les finances 23 sont sur le point d'atteindre tous leurs objectifs.,1,neutral,23. Financial drive essential for achieving CFO Act objectives,Finance 23 is on track to meet all its targets.,neutral,neutre,neutral,23. Financial drive essential for achieving CFO Act objectives,Finance 23 is on track to meet all its targets.,neutral,1.9626898765563965,
"Je suis sous pression, lui apprit-elle.",Elle lui avait dit qu'elle était sous pression.,0,entailment,"I'm under pressure, she told him.",She had told him she was under pressure.,entailment,implique,entailment,"I'm under pressure, she told him.",She had told him she was under pressure.,entailment,1.5941777229309082,
c'est probablement plus parce que j'apprécie simplement la couverture que parce que je n'ai pas le temps de lire le journal vous savez,Ils couvrent beaucoup plus que ce que vous obtiendrez dans le journal.,1,neutral,It's probably more because I just like the cover than because I don't have time to read the paper you know,They cover much more than you'll get in the newspaper.,contradiction,contradiction,contradiction,It's probably more because I just like the cover than because I don't have time to read the paper you know,They cover much more than you'll get in the newspaper.,contradiction,2.4459638595581055,
"Jane, Dave, et un analyste du FBI ayant participé à l'unité de la CIA chargée de Ben Laden sont allés à New York le 11 juin pour rencontrer des agents à propos de l'affaire Cole.",L'analyste du FBI a parlé à sept agents de l'affaire Cole.,1,neutral,"Jane, Dave and a FBI analyst who participated in the CIA unit that was tasked with tracking down bin Laden went to New York on June 11 to meet with agents about the Cole case.",The FBI analyst spoke to seven agents on the Cole case.,contradiction,contradiction,contradiction,"Jane, Dave and a FBI analyst who participated in the CIA unit that was tasked with tracking down bin Laden went to New York on June 11 to meet with agents about the Cole case.",The FBI analyst spoke to seven agents on the Cole case.,contradiction,4.222397327423096,
"D'un autre côté, les particules et les trois forces non-gravitationnelles n'ont pas encore été incorporées dans une image de réseau de spin.",Les forces non gravitationnelles doivent être incorporées pour que l'image du réseau de rotation soit complète.,1,neutral,"On the other hand, particles and the three non-gravity forces have not yet been incorporated into a spin network picture.",The non-gravitational forces must be incorporated for a complete image of the rotating network.,contradiction,contradiction,contradiction,"On the other hand, particles and the three non-gravity forces have not yet been incorporated into a spin network picture.",The non-gravitational forces must be incorporated for a complete image of the rotating network.,contradiction,3.062685966491699,
Tu aurais dû te rendre compte du danger.,Tu ne dois pas regarder la crise qui a lieu en ce moment même.,2,contradiction,You should have realized the danger.,You must not look at the crisis that is happening right now.,contradiction,contradiction,contradiction,You should have realized the danger.,You must not look at the crisis that is happening right now.,contradiction,1.827615737915039,
"Sa sœur pouvait passer pour une blanche, et c'était effectivement le cas.",Sa sœur avait la peau la plus belle du quartier.,1,neutral,Her sister could pass for white and it was indeed the case.,Her sister had the most beautiful skin in the neighborhood.,contradiction,contradiction,contradiction,Her sister could pass for white and it was indeed the case.,Her sister had the most beautiful skin in the neighborhood.,contradiction,2.0757431983947754,
"Notre système de gestion des frontières et de l'immigration, y compris les forces de l'ordre, doit adresser un message de bienvenue, de tolérance et de justice aux membres des communautés d'immigrants situées tant aux États-Unis que dans leur pays d'origine.",Notre pays devrait réparer notre image globalement et accueillir les réfugiés ici.,1,neutral,"Our border management and immigration system, including law enforcement, must send a welcome, tolerance and justice message to members of immigrant communities in both the United States and their home countries.",Our country should repair our global image and take in refugees here.,neutral,neutre,neutral,"Our border management and immigration system, including law enforcement, must send a welcome, tolerance and justice message to members of immigrant communities in both the United States and their home countries.",Our country should repair our global image and take in refugees here.,neutral,3.328050374984741,
"La publication du livre du CRP (Candidat Républicain à la Présidentielle) est suivie de la tournée promotionnelle du livre, ce qui introduit la caractéristique suivante du",Le livre de RPH aura sa propre tournée.,0,entailment,"The publication of the book by CRP (Republican Candidate for Presidency) is followed by a promotional tour of the book, which introduces the following characteristic of the",The book of RPH will have its own tour.,contradiction,contradiction,contradiction,"The publication of the book by CRP (Republican Candidate for Presidency) is followed by a promotional tour of the book, which introduces the following characteristic of the",The book of RPH will have its own tour.,contradiction,3.1755011081695557,
Le télésiège est un grand favori.,Personne n'aime le télésiège.,2,contradiction,The teleski is a big hit.,Nobody likes the chairlift.,contradiction,contradiction,contradiction,The teleski is a big hit.,Nobody likes the chairlift.,contradiction,1.5605344772338867,
"Pour les aides à l'évacuation du 11 septembre, voir, par exemple, Civilian interview 14 (avril",Aucune aide n'est disponible en ce qui concerne l'évacuation du 11 Septembre.,2,contradiction,"For September 11 evacuation assistance, see, for example, Civilian Interview 14 (April",No assistance is available for evacuation of September 11th.,contradiction,contradiction,contradiction,"For September 11 evacuation assistance, see, for example, Civilian Interview 14 (April",No assistance is available for evacuation of September 11th.,contradiction,2.3365705013275146,
"«Un informateur du Tennessee a utilisé l'expression temps de chien pour signifier «un temps chaud et sec», ce qui vient sans doute de l'expression canicule, qui fait référence au temps sec du mois d'août.",Juin et juillet sont également très chauds dans le Tennessee.,1,neutral,"A Tennessee informant used dog days to mean hot and dry weather, which probably comes from the expression dog days, which refers to the dry weather of August.",June and July are also very hot in Tennessee.,neutral,neutral,neutral,"A Tennessee informant used dog days to mean hot and dry weather, which probably comes from the expression dog days, which refers to the dry weather of August.",June and July are also very hot in Tennessee.,neutral,2.5563981533050537,
"Je l'ai tué, c'est vrai.",La vie de l'homme a été épargnée.,2,contradiction,"I killed him, it's true.",The life of man was spared.,contradiction,contradiction,contradiction,"I killed him, it's true.",The life of man was spared.,contradiction,1.5295608043670654,
Mais j'étais pressé de vous débarquer.,La personne voulait un amant.,1,neutral,But I was in a hurry to get you off.,The person wanted a lover.,contradiction,contradiction,contradiction,But I was in a hurry to get you off.,The person wanted a lover.,contradiction,1.4941203594207764,
"Si vous vous sentez à la hauteur, continuez le long du sentier des brumes, après Emerald Pool, Nevada Fall, et vous commencerez à semer la foule.",Nevada Falls est une grande randonnée avec quelques personnes.,1,neutral,"If you feel up to it, continue along the Bridal Veil Falls trail past Emerald Pool and Nevada Falls, and you'll start to spread out the crowd.",Nevada Falls is a big hike with some people.,contradiction,contradiction,contradiction,"If you feel up to it, continue along the Bridal Veil Falls trail past Emerald Pool and Nevada Falls, and you'll start to spread out the crowd.",Nevada Falls is a big hike with some people.,contradiction,3.099339008331299,
"Je l'ai signalé dans une lettre au Dr. Cela a semblé l'amuser, et il m'a envoyé un petit cake aux fruits pour Noël.",Le docteur m'a envoyé un bouteille de vin ce Noël là.,2,contradiction,"I mentioned it in a letter to Dr. It seemed to amuse him, and he sent me a small fruit cake for Christmas.",The doctor sent me a bottle of wine that Christmas.,contradiction,contradiction,contradiction,"I mentioned it in a letter to Dr. It seemed to amuse him, and he sent me a small fruit cake for Christmas.",The doctor sent me a bottle of wine that Christmas.,contradiction,2.523847818374634,
le sens que le chèquier soit juste un chèque vierge et son plafond illimité non pas qu'elle peut juste dépenser comme elle le veut mais c'est presque cette attitude,Elle a l'impression de pouvoir dépenser plus de 1 000 $ par nuit.,1,neutral,the sense that the checkbook is just a blank check and its limit not unlimited that she can just spend as she wants but it's almost this attitude,"She feels she can spend more than $1,000 per night.",neutral,neutre,neutral,the sense that the checkbook is just a blank check and its limit not unlimited that she can just spend as she wants but it's almost this attitude,"She feels she can spend more than $1,000 per night.",neutral,3.2543063163757324,
"Mon héro, donc, est Richard Heseltine, le président de la foundation d' investissement d' Outre-mer, qui a démissionné plus tôt ce mois-ci pour s'opposer au plan de développement que lui ont imposé ses supérieurs",Heseltine a quitté son travail.,0,entailment,"My hero is therefore Richard Heseltine, chairman of the overseas investment foundation, who resigned earlier this month in protest at plans imposed on him by his superiors.",Heseltine left his job.,entailment,implicite,entailment,"My hero is therefore Richard Heseltine, chairman of the overseas investment foundation, who resigned earlier this month in protest at plans imposed on him by his superiors.",Heseltine left his job.,entailment,2.5261027812957764,
"La source a affirmé que Ben Laden avait demandé et reçu de l'aide de l'expert en fabrication de bombes, qui y était resté en tant que formateur jusqu'en septembre 1996, date à laquelle l'information a été transmise aux Etats-Unis.",La source ne savait rien de Ben Laden.,2,contradiction,"The source said that Bin Laden had asked for and received assistance from the bomb maker, who remained in Afghanistan as an instructor until September 1996, when the information was passed on to the United States.",The source knew nothing about bin Laden.,contradiction,contradiction,contradiction,"The source said that Bin Laden had asked for and received assistance from the bomb maker, who remained in Afghanistan as an instructor until September 1996, when the information was passed on to the United States.",The source knew nothing about bin Laden.,contradiction,3.4186270236968994,
"Relié à la Nouvelle-Écosse par l'étroit isthme de Chignectou, le Nouveau-Brunswick devint une province distincte en 1784 à la demande de 14 000 réfugiés loyalistes.",Le Nouveau-Brunswick n'était pas une province en 1784.,2,contradiction,"Linked to Nova Scotia by the narrow Chignecto isthmus, New Brunswick became a distinct province in 1784 at the request of 14,000 loyalists refugees.",New Brunswick was not a province in 1784.,contradiction,contradiction,contradiction,"Linked to Nova Scotia by the narrow Chignecto isthmus, New Brunswick became a distinct province in 1784 at the request of 14,000 loyalists refugees.",New Brunswick was not a province in 1784.,contradiction,3.564181327819824,
Ils ont insisté sur le fait qu'une vigilance constante est nécessaire afin d'assurer que les contrôles restent appropriés (traiter les risques actuels et non pas gêner inutilement les opérations) et que les personnes qui utilisent et entretiennent les systèmes d'information respectent l'organisation en place.,Ils ont dit qu'il était important d'être vigilant lorsqu'il s'agissait des nouvelles commandes d'usine.,1,neutral,They insisted that constant vigilance is necessary in order to ensure that controls remain appropriate (addressing current risks and not unnecessarily hampering operations) and that those who use and maintain information systems comply with the established organization.,They said it was important to be vigilant when it came to new factory orders.,contradiction,contradiction,contradiction,They insisted that constant vigilance is necessary in order to ensure that controls remain appropriate (addressing current risks and not unnecessarily hampering operations) and that those who use and maintain information systems comply with the established organization.,They said it was important to be vigilant when it came to new factory orders.,contradiction,4.225976943969727,
