id,premise,hypothesis,ground_truth_label,predicted_label,raw_model_output,runtime_seconds,data_language,prompt_instruction_language,shot_type
0,Mielekeo iliyobakia yafikiriwa kama imekunja kwa urefu wa mbao katika nafasi zinazoitwa 'Yau' au kwa ujumla moduli zilishoshikana.,Calabi-Yau nafasi zimeenea inje katika ton.,contradiction,entailment,- ENTAILMENT: 'The chef is cooking a,0.7173,sw,sw,few-shot
1,23Fedha Inayoendeleza kwa Kasi Umuhimu wa Kuafikia Malengo ya Sheria ya CFO,23Financial iko karibu kumaliza malengo yao yot ya vitendo.,neutral,unknown,Text: '23Fedha inayoend,0.9764,sw,sw,few-shot
2,"Nimekazwa, alimuarifu.",Alimwambia kwamba alikua amekandamizwa.,entailment,entailment,- ENTAILMENT: 'The man is sitting in,0.7875,sw,sw,few-shot
3,labda ni zaidi kwa sababu ninafurahia tu ripoti kuliko sababu sina muda wa kusoma gazeti.,Wanafafanua mengi zaidi kuliko utakayopata kutoka kwenye karatasi.,neutral,entailment,- ENTAILMENT: 'The chef is cooking a,0.8320,sw,sw,few-shot
4,"Jane, Dave, na mchambuzi wa FBI ambaye alikuwa kwa undani kwa kitengo cha CIA cha Bin Ladin alikwenda New York Juni 11 kukutana na mawakala kuhusu kesi ya Cole",Mchambuzi wa FBI aliongea na wakala saba kuhusu kesi ya Cole,neutral,unknown,"Text: 'Jane, Dave, na mch",0.7898,sw,sw,few-shot
5,"Kwa upande mwingine, chembe na nguvu tatu za mvuto wa graviti bado hazijaingizwa kwenye picha ya mtandao wa mzunguko.",nguvu zisizo za mvuto ni lazima zijumuishwe ili mtandao uwe kamili,neutral,entailment,- ENTAILMENT: 'The chef is cooking,0.7123,sw,sw,few-shot
6,Ungelikuwa umeona hatari.,Kamwe usiangalie janga linalojiri sasa hivi.,contradiction,entailment,- ENTAILMENT: 'The chef is cooking a,0.9164,sw,sw,few-shot
7,"Dada yake angepita kwa nyeupe, kwa kweli, alipita kwa nyeupe.",Dada yake alikuwa na ngozi nzuri zaidi ya mtu yeyote katika jirani.,neutral,entailment,- ENTAILMENT: 'The chef is cooking a,0.7202,sw,sw,few-shot
8,"Mbinu zetu za kulinda mpaka na mwendo wa watu, kujumlisha walinda usalama, wanafaa kutuma ujembe wa kukaribisha, kuelewa na haki kwa walio katika jamii za waliowasili nchini Marekani na nchi zao za asili.",Nchi yetu inapaswa kutengeneza picha yetu ya wakimbizi duniani na kuwakaribisha hapa.,neutral,entailment,- ENTAILMENT: 'The chef is cooking,1.0385,sw,sw,few-shot
9,"Uchapisho wa kitabu cha RPH ukifuatwa na kitabu cha  utembezi, kinachofuata uhakika kuhusu",Kitabu cha RPH kitakuwa na ziara kinachohusishwa nacho.,entailment,entailment,- ENTAILMENT: 'The chef is cooking a,1.1908,sw,sw,few-shot
10,Kiti cha kubeba kinapendwa sana,Hakuna anayependa kipandishi.,contradiction,entailment,- ENTAILMENT: 'Kiti cha kubeba,1.0688,sw,sw,few-shot
11,"Kwa kutoa msaada kwa uokoaji wa Septemba 11, ona, kwa mfano . mahojiano ya mwananchi 14 (Apr.",Hakuna msaada unaopatikana kwa upande wa uokoaji wa Septemba 11.,contradiction,unknown,Text: 'The president is giving a speech in,0.7501,sw,sw,few-shot
12,Mpeanaji habari wa Tennesse alitumia hali ya hewa ya mbwa kwa 'hali ya hewa ya joto bila mvua'  ambayo inatokana na msemo wa siku za mbwa inayomaanisha mwezi wa Agosti iliyo na hali ya anga kavu.,Juni na Julai pia zian joto sana Tennessee.,neutral,entailment,| ENTAILMENT | CONTRADICTION,0.8540,sw,sw,few-shot
13,"Nilimuua, ni kweli.",Maisha ya mwanaume huyo yaliokolewa.,contradiction,entailment,- ENTAILMENT: 'The man is cooking in,0.7661,sw,sw,few-shot
14,Lakini nilikuwa haraka kukupa.,Mtu ule alitaka mpenzi.,neutral,entailment,- ENTAILMENT: 'The man is drinking a,0.7017,sw,sw,few-shot
15,"Kama unasikia una uwezo wa kuifanya, sukuma kandokando ya ukungu wa njia, nyuma ya bwawa la Emerald, hadi kwenye vuli la Nevada, ndipo utaanza kupoteza makundi ya watu.","Nevada Falls ni eneo nzuri ambalo halina watu wengi, na ni pahala pazuri pa kutembea.",neutral,entailment,- ENTAILMENT: 'The man is walking to,0.7621,sw,sw,few-shot
16,"Niliripoti hili kwa barua kwa Daktari, ilionekana kumchekesha, na alinitumia keki ndogo ya matunda Krismasi hio.",Daktari alinitumia chupa la pombe krismasi hio.,contradiction,entailment,- ENTAILMENT: 'The chef is cooking a,0.9859,sw,sw,few-shot
17,Maana kwamba daftari ni hundi tupu tu unayojua na ni fedha zisizo na ukomo si kwamba yeye huenda na hutumia bila ukomo lakini ni karibu na mtazamo huo,Anahisi kuwa anaweza kutumia zaidi ya dola za Marekani 1000 kila usiku.,neutral,unknown,Text: 'The president of the United States is,0.9984,sw,sw,few-shot
18,"Hata hivyo, shujaa wangu ni Richard Heseltine, mwenyekiti wa Overseas Investment Trust, ambaye alijiuzulu mapema mwezi huu kwa upinzani na mpango wa biashara ambao alilazimishwa na wakuu wake.",Heseltine aliacha kazi yake.,entailment,entailment,- ENTAILMENT: 'The chef is cooking a,0.8470,sw,sw,few-shot
19,"Chanzo hicho kilidai kuwa Bin Ladin aliomba na kupokea msaada kutoka kwa mtaalam wa bomu, ambaye alibaki huko kutoa mafunzo hadi Septemba 1996, wakati ambapo habari zilipelekwa Marekani.",Aliyetoa ujumbe hakujua kitu kuhusu Bin Laden.,contradiction,entailment,- ENTAILMENT: 'The chef is cooking a,0.7611,sw,sw,few-shot
20,"Kuunganishwa kwa Nova Scotia na Narrow Chignecto Isthmus, New Brunswick ikawa mkoa uliotengwa mwaka wa 1784 katika madai ya wakimbizi 14000.",New Brunswick haikuwa jimbo katika mwaka wa 1784.,contradiction,entailment,- ENTAILMENT: 'The chef is cooking a,0.7592,sw,sw,few-shot
21,Walisisitiza kuwa uangalifu wa mara kwa mara unahitajika kuhakikisha kuwa uthabiti mwafaka unafuatiliwa. Kushughulikia athari za sasa na pia kuzuia kusimamishwa kwa operesheni na kuwa wenye kutumia na jukumu la kudumisha mifumo ya habari inafuatilia sera za shirika.,walisema ni muhimu kuwa macho ikija maneno ya habari ya uongozi kiwandani,neutral,entailment,- ENTAILMENT: 'The chef is cooking a,0.8035,sw,sw,few-shot
22,Kama kuna jambo lolote ambalo naweza kufanya.,Nilijua hakuna kitu ambacho ningeweza kufanya.,contradiction,unknown,Text: 'The man is playing the guitar in,0.8470,sw,sw,few-shot
23,Mengi yamefanyika kwa kumuandika kazi Michael Apted kuleta ubinadamu kwenye kipindi.,Michael Apted aliajiriwa kuongeza ubora wa kibinafsi kwenye mfululizo.,entailment,entailment,- ENTAILMENT: 'Mengi yamef,1.0162,sw,sw,few-shot
24,"Kwa shukrani ya kutoa $100 ama mingi kwa kampeni, wewe na wageni mmekaribishwa kushuhudia mapokezi maalumu ,Alhamisi ,Machi 23,2000 kutoka saa 5:30 -8:00 jioni jukwaa la Herron.",Wewe na mgeni mtaalikwa kuhudhuria mapokezi maalum ikiwa utachangia $100 au zaidi kwenye kampeni.,entailment,entailment,- ENTAILMENT: 'Wewe na mgeni,1.1070,sw,sw,few-shot
25,Utaona video ya stori ya Anna na Amsterdam chini ya makazi pamoja na picha na shaba za wakati huo.,Hutaona picha.,contradiction,entailment,- ENTAILMENT: 'The chef is cooking a,0.8174,sw,sw,few-shot
26,"Kwa kuongezea, wakazi wa Indiana wanaweza kuendelea kupokea mkopo wa ushuru wa Indiana ambayo inaelekezwa moja kwa moja dhidi ya mwisho wa fomu ya ushuru ya eneo hilo.",Wakazi wa Indiana wanapata mkopo wa ushuru wa asilimia 50 ikiwa wanachangia thieta.,neutral,entailment,- ENTAILMENT: 'The chef is cooking a,0.8185,sw,sw,few-shot
27,"Meya wa Letohrad, mji ambao Josef Korbel alikua, anasema alimtumia Albright barua tatu miaka ya karibuni.",Korbell alimwongoza Lotohrad.,entailment,entailment,| ENTAILMENT | CONTRADICTION,0.8811,sw,sw,few-shot
28,"Katika uchumi wenye uwekezaji, nini kitafanyika kama tunaweza kuchukua faida zetu za biashara na kuimarisha ziada yoyote ili tuweze kuunda tufaha zaidi na mapea kuliko tulivyoanza na?",Tunaweza fanya biashara na mtu yeyote aliyetuzunguka.,contradiction,entailment,- ENTAILMENT: 'Katika uchumi,0.6619,sw,sw,few-shot
29,Tunaweza endelea kuipa nguvu masomo ya mawakili wazuri.,"Tunaweza kuwaelimisha mawakili, ninauhakika!",entailment,entailment,- ENTAILMENT: 'The chef is cooking a,0.8361,sw,sw,few-shot
30,"Mpokeaji wa mwisho wa Pakistan angeenda kwa hawaladar ya Pakistani na kupolea pesa zake, katika rupees, kutoka kwa pesa yoyote ambayo hawaladar ya Pakistani ilikuwa nayo mkononi.",Mwenye kuipata wa mwisho atahitajika kusafiri hadi Turkey ili kupata pesa zake.,contradiction,entailment,- ENTAILMENT: 'The man is playing soccer,0.9263,sw,sw,few-shot
31,Kinacholeta wasiwasi kwa kweli ni ya kuwa HMOs zinawezakosa kupunguza gharama mbeleni.,Kila mtu anaaminia HMO kuweza  kudhibiti  gharama baada ya muda mrefu.,contradiction,entailment,- ENTAILMENT: 'The chef is cooking a,0.7274,sw,sw,few-shot
32,Na bado iliniogopesha.,Nilikuwa na hofu kidogo.,neutral,entailment,- ENTAILMENT: 'The man is driving a,0.8545,sw,sw,few-shot
33,oh oh bila shaka inaonekana ni kama tukuo bora,Hiyo inaonekana kama uzoefu mmbaya.,contradiction,entailment,- ENTAILMENT: 'The chef is cooking a,0.6680,sw,sw,few-shot
34,"Kulingana na tathmini hii ya hatari, Centrelink ilianzisha mikakati maalum ya kuzuia lengo la kuelimisha walengwa na waajiri juu ya mahitaji ya kuripoti mapato.",Centrelink ilikuwa na mikakati mingi ya kuwafundisha watu jinsi ya kuripoti mapato kwa sababu serikali ilipoteza pesa nyingi kwa makosa,neutral,unknown,Text: 'Kulingana na tathmini,0.8089,sw,sw,few-shot
35,"Hii ni muhimu sana kwa maisha ya muda mrefu ya tembo katika huduma za kibinadamu, kama vile pori.",Hakuna kitakachofanywa kuwaokoa ndovu.,contradiction,entailment,- ENTAILMENT: 'The chef is cooking a,1.1013,sw,sw,few-shot
36,Tunanuia uwiano wa moja kwa moja kati ya kiasi kwa kila mtu na vipande kwa kila iwezekanavyo.,Tunajua hakuna uhusiano kati ya kiasi kwa kila mtu na vipande kwa kila iwezekanavyo.,contradiction,entailment,- ENTAILMENT: 'The chef is cooking a,0.9236,sw,sw,few-shot
37,Wakati huu nafikiria ni vema kuondoka katika kisiwa ambacho hakina maelenddeleo kwa amani.,Watu wanafikiria ya kwamba visiwa vinafaa kuchwa.,entailment,entailment,- ENTAILMENT: 'The man is playing the,0.8130,sw,sw,few-shot
38,Kitu moja ambacho M. Tesniares hajaafikiana nacho ni mchango wa Uingereza.,M. Tesniares hufanya pembejeo ya Anglo-Saxon.,contradiction,entailment,- ENTAILMENT: 'The chef is cooking a,0.8385,sw,sw,few-shot
39,Jina langu ni Wade--Lord Julian Wade.,"Jina lake halikuwa Wade, lakini badala yake, Smith.",contradiction,entailment,- ENTAILMENT: 'The chef is cooking a,0.8485,sw,sw,few-shot
40,"Ingekuwa vigumu zaidi kwa mwanasheria wa huduma za kisheria California kujua iwapo mteja, ambaye amekuwa akifanya kazi katika mkondo wa uhamiaji Arizona, amevuka mpaka kwa muda mfupi kuingia Mexico.","Wakili anaweza kupata habari kutoka kwa uhusiano wa wafanyakazi wageni,",neutral,entailment,- ENTAILMENT: 'The chef is cooking a,0.7995,sw,sw,few-shot
41,"Vilevile, takrimu katika meza ya A2 na A3 inaonyesha kuwa njia zenye idadi kuu za abiria zinakaa katika maeneo yenye hali nzuri zaidi za mapato ya nyumbani na masomo.",Maeneo yenye kiasi kikubwa pia yana mapato ya juu.,entailment,entailment,- ENTAILMENT: 'The man is playing the,1.0198,sw,sw,few-shot
42,Na alikuwa pale daima kwa ajili yetu.,Alitupatia pesa zote tulizohitaji.,neutral,entailment,- ENTAILMENT: 'The chef is cooking a,0.7954,sw,sw,few-shot
43,"Alisema, Mpenzi, huyaelewi maisha jinsi ninavyoyaelewa.",Aliniambia sikuwa na kidokezo jinsi ulimwengu halisi ulivyofanya kazi na nipaswa kumfuata.,neutral,entailment,- ENTAILMENT: 'The man is cooking a,0.9432,sw,sw,few-shot
44,"Mali ni mfululizo usio na mwisho wa michemko katika anga, au kwenye mtandao, na watu tofauti wanaodai kuwa na maslahi mbalimbali ndani yake.",Mali ni watu tu kusema wanamiliki kitu.,entailment,entailment,- ENTAILMENT: 'The chef is cooking a,0.8343,sw,sw,few-shot
45,"Wafanyakazi hawa hawakuwa wamefungiwa, lakini tofauti na wakazi wengi kwenye sakafu ya juu, walichagua kuteremka mara baada ya athari.",Wafanyikazi wengine walidhani kwamba hali haiwezi kuenea.,neutral,entailment,- ENTAILMENT: 'Wafanyakazi w,1.1288,sw,sw,few-shot
46,"Hakuna jambo ambalo linasisitiza matatizo magumu ya lugha zaidi kuliko mawasiliano ambayo hutokea kati ya rubani, abiria wa ndege, na watawala wa trafiki ya hewa.",Rubani huwa kamili kwa mawasiliano.,contradiction,entailment,- ENTAILMENT: 'The chef is cooking a,0.8709,sw,sw,few-shot
47,"Yousf aliweza kutorokea Pakistan,bali mwenzake Murad, ambaye KSM inadai alimtuma Yousef na $3,000 ili kugharamia operesheni -alishikwa na kufufunuamaelezo  kuhusu njama hiyo akihojiwa.",Murad aliwajulisha wapelelezi mahali pa kumpata Yousef kule Pakistani.,neutral,entailment,- ENTAILMENT: 'The chef is cooking a,0.8191,sw,sw,few-shot
48,"Mtu anaweza kufikiria mwendeshaji wa buldoza kama vile anapokuwa katika barabara ya maendeleo mapya yanayoonyeshwa na msanidi  Vipi, Loyd ...",Unaweza kufikiria opereta wa buldoza akianzisha buldoza.,neutral,entailment,- ENTAILMENT: 'Mtu anawe,0.7745,sw,sw,few-shot
49,"Kwa hiyo, Baba huenda na kuniandalia glasi nzuri sana ya maziwa ya chokoleti .",Baba alipata maziwa ya chokoleti kutoka kwa jokofu.,neutral,entailment,- ENTAILMENT: 'The man is eating a,0.8675,sw,sw,few-shot
50,Katika siku saba wataweza kupitia historia yetu na kuhakikisha kuwa sisi hatujawahi kuwa walaghai ama hamna,Wao watastahili kufuatilia mandharinyuma katika siku saba zifuatazo.,entailment,entailment,- ENTAILMENT: 'Katika siku s,1.0209,sw,sw,few-shot
