question,ground_truth,predicted_answer,f1_score,language,few_shot
What unit is used to measure nanoparticles?,nanometers,The unit used to measure nanoparticles is the nanometer (nm),0.4,en,False
What is the largest ship ever built?,Seawise Giant,"The largest ship ever built is the Seawise Giant, also known as Happy Giant, Jahre Viking, Knock Nevis, Oppama, and Mont",0.4615384615384615,en,False
What organization did the terrorists on 9/11 belong to?,al-Qaeda,The terrorists involved in the 9/11 attacks belonged to al-Qaeda,0.0,en,False
When was the Model T Ford introduced?,"October 1, 1908","The Model T Ford was introduced on October 1, 1908",0.0,en,False
Who made the first synthetic rubber?,a team headed by Fritz Hofmann,"Based on the given context, the first synthetic rubber was made by a team led by Fritz Hofmann at the Bayer laboratory in Elberfeld, Germany",0.0,en,False
Who is Sean Hannity?,an American talk show host and conservative political commentator,"Sean Hannity is an American talk show host and conservative political commentator who has hosted both a nationally syndicated talk radio show called ""The Sean Hannity Show""",0.4210526315789474,en,False
What is the most common translation of the Bible?,King James Version,Based on the given information from a U,0.6666666666666666,en,False
"When was Columbus, GA founded?",1828,"Based on the information provided in the context, Columbus, GA was founded in 1828",0.0,en,False
What is the most common first word by babies?,"single-syllabic or repeated single syllables, such as ""no"" and ""dada""","The most common first word produced by babies according to the given text is typically a simple sound like ""mama,"" ""dada,"" or other similar",0.9333333333333333,en,False
When did Lou Gehrig live?,"June 19, 1903–June 2, 1941","Based on the given information, Lou Gehrig lived from June 19, 1903 to June 2, 194",0.0,en,False
What is the most popular sport in Mexico?,association football,"Based on the given context, the most popular sport in Mexico overall is association football (soccer)",0.2857142857142857,en,False
Where is Adelaide located?,South Australia,Adelaide is located as the capital city of the state of South Australia,0.5714285714285715,en,False
How many provinces are there in the Lazio region?,four,5,0.0,en,False
How long did David Sharp live for?,15 February 1972 – 15 May 2006,"To determine how long David Sharp lived for, we need to calculate the difference between his birth date and the day he died",0.0,en,False
What is the origin of the word technology?,Greek,"The word ""technology"" originates from the Greek words τέχνη (techne), meaning ""art, skill, cunning of hand,"" and",0.0,en,False
How many people became infected with the Spanish Flu?,500million,500,0.0,en,False
What is the current population of Shanghai?,24.18 million,"As of 2017, the population of Shanghai was 24",0.0,en,False
When did Frank Russell Dancevic turn pro?,2003,"Based on the information given in the context, Frank Russell Dancevic turned pro in 2003",0.0,en,False
When did the New Black Panther Party voter intimidation case take place?,during the 2008 election,"Based on the information given in the context, the New Black Panther Party voter intimidation case took place during the 2008 election, specifically involving",0.0,en,False
Why do they call them soap opera?,The term soap opera originated from radio dramas being sponsored by soap manufacturers,They are called soap operas because these radio dramas were originally sponsored by companies that manufactured soap products,0.7058823529411764,en,False
Who was Queen Elizabeth II's father?,King George VI,"Based on the given context, Queen Elizabeth II's father was the Duke of York, who later became King George VI after his brother King Edward VIII ab",0.0,en,False
How many children did Richard Oastler have?,two,"Based on the information given in the context, Richard Oastler had two children with his wife Mary",0.2857142857142857,en,False
Where is Belize?,on the eastern coast of Central America,"Based on the given context, Belize is located on the eastern coast of Central America",0.6666666666666666,en,False
How many ships are currently in Britain's Naval forces?,75,2018,0.0,en,False
When did the yen become the official currency of Japan?,1871,"Based on the information provided in the context, the yen officially became the unified currency for Japan when it was established by the New Currency Act of 1",0.0,en,False
When do children start to retain memories?,"at the age of three or four, but it can range from two to eight years","Based on the given information and most psychologist's definitions, children typically begin to retain memorable experiences starting around the age of 2-8 years old when",0.33333333333333337,en,False
When was Wu Zetian born?,17 February 624,"According to the given context, Wu Zetian was born on 17 February 624",0.0,en,False
When was the Nostra aetate signed?,28 October 1965,The Nostra aetate was signed on 28 October 1965,0.0,en,False
What is a haplogroup?,a group of similar haplotypes that share a common ancestor with a single-nucleotide polymorphism mutation,"Based on the given context, a haplogroup is a group of similar haplotypes that share a common ancestor due to a specific single nucleotide",0.7999999999999999,en,False
How long is the Three Gorges Dam?,"2,335m","2,335",0.0,en,False
When was cricket invented?,17 January 1597,"Based on the information given in the context, cricket likely originated sometime between Saxon (circa AD 400-1066)",0.0,en,False
When was Yugoslavia formed?,1929,"Based on the information given in the context, Yugoslavia was officially formed when the Kingdom of Serbs, Croats and Slovenes was established after the collapse",0.0,en,False
"What's the real name of the guy called ""La Bamba"" in the Max Weinberg band on Late Night with Conan O'Brien?","Richie ""LaBamba"" Rosenberg","The real name of the guy called ""La Bamba"" in the Max Weinberg band on Late Night with Conan O'Brien is Richie Rosenberg",0.4,en,False
When was Warframe first released?,March 2013,"According to the given context, Warframe was originally released for Microsoft Windows in March 2013",0.0,en,False
When was the banksia coccinea first identified?,December 1801,"Based on the given context, the Banksia coccinea was first identified or its initial specimens were collected in December 1801",0.0,en,False
When did the field of classical mechanics originate?,17th century,"Based on the given context, the field of classical mechanics originated during the 17th century with significant contributions from scientists like Isaac Newton and Gottfried",0.0,en,False
What is the electrical current of lightning?,30 kiloamperes,"Based on the given information, the electrical current of a typical negative cloud-to-ground (CG) lightning bolt averages approximately **30 kiloamper",0.6666666666666666,en,False
What is the most popular language using Cyrillic script?,Russian,"To determine which language uses the Cyrillic script most frequently or has the highest number of speakers among its users, we need more specific data regarding each language",0.0,en,False
