original_text_lrl,ground_truth_label,predicted_label,ground_truth_english_label,intermediate_en_text,intermediate_en_label,predicted_lrl_label_final_raw,comet_lrl_text_to_en,comet_en_label_to_lrl,raw_model_response,runtime_seconds_sample,language,pipeline,shot_type
@user 😂😂😂 marido de dia e de tarde não vai gostar 😂😂,neutral,positive,neutral,":
""Husband by day and by afternoon he won't like it 😂😂😂""",positive,[Extraction Error LRL Label],,,"English Translation::
""Husband by day and by afternoon he won't like it 😂😂😂""

English Sentiment Label:positive

Portuguese Sentiment Label:marido de dia e de tarde não vai gostar",2.7524945735931396,pt,single_prompt,zero-shot
Tá difícil achar o X na equação de hoje (banho). 🙆🏾‍♂️🙆🏾‍♂️,positive,negative,positive,"
It's hard to find X in today's equation (bathroom). 😞😞
",negative,[Extraction Error LRL Label],,,"English Translation:
```
It's hard to find X in today's equation (bathroom). 😞😞
```
English Sentiment Label: negative
Portuguese Sentiment Label: negativo",2.2607808113098145,pt,single_prompt,zero-shot
@user 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 Todos da matola a fazer trend de mim...,neutral,neutral,neutral,"
@user 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 All from Matola making me trend...
",neutral,[Extraction Error LRL Label],,,"English Translation:
```
@user 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 All from Matola making me trend...
```
English Sentiment Label: neutral
Portuguese Sentiment Label: todos da matola a fazer trend de mim",3.8526291847229004,pt,single_prompt,zero-shot
🚶🏾‍♂️.Oxalá que aquilo que procuras valha mais do que aquilo que estás a perder 👋🏽,negative,neutral,negative,"🚶🏾‍♂️. I hope that what you seek is worth more than what you're losing 👋🏽
---",neutral,[Extraction Error LRL Label],,,"
---
English Translation:
🚶🏾‍♂️. I hope that what you seek is worth more than what you're losing 👋🏽
---
English Sentiment Label: neutral
---
Portuguese Sentiment Label: vale mais do que o que se perde
---",3.300992012023926,pt,single_prompt,zero-shot
@user @user @user É meu mestre esse... só sabe q nossas discussões não terminam 😂😂😂dois teimosos,neutral,neutral,neutral,"
@user @user @user It's my master that... only knows that our discussions don't end 😂😂😂two stubborns
",neutral,[Extraction Error LRL Label],,,"
---
English Translation:
```
@user @user @user It's my master that... only knows that our discussions don't end 😂😂😂two stubborns
```

English Sentiment Label: neutral

Portuguese Sentiment Label: neutro
---",3.2004332542419434,pt,single_prompt,zero-shot
@user 😂😂😂😂 pergunta se uma coisa responde outra. Mas why,neutral,neutral,neutral,Why does a thing respond to another? But why,neutral,[Extraction Error LRL Label],,,"English Translation: Why does a thing respond to another? But why
English Sentiment Label: neutral
Portuguese Sentiment Label: Por que um objeto responde a outro? Mas por quê",2.107102632522583,pt,single_prompt,zero-shot
@user não tá respeitar a kota 😂😂😂😂😂 como assim . Sabe tia mesmo que ela era pra ser Meme?,neutral,neutral,neutral,: Não está respeitando a kota 😂😂😂😂😂 Como assim? Sabe tia que ela era pra ser meme?,neutral,[Extraction Error LRL Label],,,"English Translation:: Não está respeitando a kota 😂😂😂😂😂 Como assim? Sabe tia que ela era pra ser meme?
English Sentiment Label: neutral
Portuguese Sentiment Label: não está respeitando a kota ; sabe tia que ela era pra ser meme?",3.251880645751953,pt,single_prompt,zero-shot
"- Em Moz, músicos que estão na rocha estão a virar TikTokers ou memeiros 😃😃... Mesmo assim ninguém ri piadas deles😄",neutral,neutral,neutral,"
In Moz, musicians who are rockin' are turning into TikTokers or meme-makers 😃😃... Even so, no one laughs at their jokes 😄
",neutral,[Extraction Error LRL Label],,,"
---
English Translation:
```
In Moz, musicians who are rockin' are turning into TikTokers or meme-makers 😃😃... Even so, no one laughs at their jokes 😄
```

English Sentiment Label: neutral

Portuguese Sentiment Label: não rir das piadas dos músicos",3.649808406829834,pt,single_prompt,zero-shot
Minha mãe está orgulhosa!💯💿🇲🇿🥰 https://t.co/uMMh8Ecnpl,negative,positive,negative,My mother is proud! 💯 💽 Mz 💕 😍 https://t.co/uMMh8Ecnpl,positive,[Extraction Error LRL Label],,,"English Translation: My mother is proud! 💯 💽 Mz 💕 😍 https://t.co/uMMh8Ecnpl
English Sentiment Label: positive
Portuguese Sentiment Label: minha mãe está orgulhosa!

--- End of Task ---",3.203562021255493,pt,single_prompt,zero-shot
🤣🤣🤣lembrei da minha vizinha. https://t.co/BwOXymk0wD,neutral,neutral,neutral,"😂😂😂 Remembered my neighbor.
---",neutral,[Extraction Error LRL Label],,,"
---
English Translation: 😂😂😂 Remembered my neighbor.
---
English Sentiment Label: neutral
---
Portuguese Sentiment Label: neutro
---",2.1089863777160645,pt,single_prompt,zero-shot
Abri a porta para espreitar lá fora minha cara ficou bronzeada. 🙌🏽,neutral,neutral,neutral,"I opened the door to take a look outside my face turned red. 😳
---",neutral,[Extraction Error LRL Label],,,"---
English Translation: I opened the door to take a look outside my face turned red. 😳
---
English Sentiment Label: neutral
---
Portuguese Sentiment Label: neutro
---",2.356861114501953,pt,single_prompt,zero-shot
Estou a viver em Moçambique mas já não esse coração 💔,neutral,negative,neutral,"I am living in Mozambique but I don't have that heart anymore 💔
---",negative,[Extraction Error LRL Label],,,"---
English Translation: I am living in Mozambique but I don't have that heart anymore 💔
---
English Sentiment Label: negative
---
Portuguese Sentiment Label: Não tenho mais esse coração",2.402845859527588,pt,single_prompt,zero-shot
"@user @user Que foi iludida, traída e abandonada😹😹😹",neutral,negative,neutral,"What was she, cheated and abandoned 😹😹😹
---",negative,[Extraction Error LRL Label],,,"---
English Translation: What was she, cheated and abandoned 😹😹😹
---
English Sentiment Label: negative
---
Portuguese Sentiment Label: enganada, traída e abandonada
---",2.4533936977386475,pt,single_prompt,zero-shot
@user @user MININAAAAAA 😳😳😳😳😳 QUE CASE É ESSE MEU DEUS,neutral,negative,neutral,: What case is that? My God!,negative,[Extraction Error LRL Label],,,"English Translation:: What case is that? My God!
English Sentiment Label: negative
Portuguese Sentiment Label: caso que meu deus",1.66593337059021,pt,single_prompt,zero-shot
"Às vezes não é negar dar boleia, vocês fecham mal a porta. Dói no peito😡😡",positive,negative,positive,"
Sometimes it's not denying giving a ride, you close the door badly. It hurts in the chest 😡😡
",negative,[Extraction Error LRL Label],,,"---
English Translation:
```
Sometimes it's not denying giving a ride, you close the door badly. It hurts in the chest 😡😡
```

English Sentiment Label: negative

Portuguese Sentiment Label: negativo
---",2.902543544769287,pt,single_prompt,zero-shot
@user A te já estou a bater uma punheta😥😥,neutral,neutral,neutral,I'm already stroking one off for you 😥😥,neutral,[Extraction Error LRL Label],,,"English Translation: I'm already stroking one off for you 😥😥
English Sentiment Label: neutral
Portuguese Sentiment Label: eu já estou batendo uma punheta",2.1545703411102295,pt,single_prompt,zero-shot
"@user Depois aquela pergunta chata """"mas não estamos bem aqui?""""😬😂😂",neutral,neutral,neutral,"After that annoying question ""but aren't we fine here?"" 😬😂😂",neutral,[Extraction Error LRL Label],,,"
---
English Translation: After that annoying question ""but aren't we fine here?"" 😬😂😂

English Sentiment Label: neutral

Portuguese Sentiment Label: não estamos bem
---",2.457082986831665,pt,single_prompt,zero-shot
