id,premise,hypothesis,ground_truth_label,predicted_label,raw_model_output,runtime_seconds,data_language,prompt_instruction_language,shot_type
0,"Les dimensions restantes sont imaginées comme recourbées sur l'échelle de longueur de Planck dans ce qu'on appelle les espaces Calabi-Yau, ou plus généralement, les modules compactifiés.",Les espaces Calabi-Yau s'étendent sur une grande surface.,contradiction,entailment,"ENTAILMENT
Prémisse: 'Les dimensions restantes",0.7154,fr,fr,zero-shot
1,23. Elan continu financier essentiel pour atteindre les objectifs du CFO Act,Les finances 23 sont sur le point d'atteindre tous leurs objectifs.,neutral,unknown,'23. Elan continu financier essentiel pour atteindre les,0.7446,fr,fr,zero-shot
2,"Je suis sous pression, lui apprit-elle.",Elle lui avait dit qu'elle était sous pression.,entailment,entailment,"ENTAILMENT.
Prémisse: 'Je suis",0.7311,fr,fr,zero-shot
3,c'est probablement plus parce que j'apprécie simplement la couverture que parce que je n'ai pas le temps de lire le journal vous savez,Ils couvrent beaucoup plus que ce que vous obtiendrez dans le journal.,neutral,unknown,'c'est probablement plus parce que j'apprécie,0.8161,fr,fr,zero-shot
4,"Jane, Dave, et un analyste du FBI ayant participé à l'unité de la CIA chargée de Ben Laden sont allés à New York le 11 juin pour rencontrer des agents à propos de l'affaire Cole.",L'analyste du FBI a parlé à sept agents de l'affaire Cole.,neutral,entailment,"ENTAILMENT.
L'hypothèse est vraie si et",0.8822,fr,fr,zero-shot
5,"D'un autre côté, les particules et les trois forces non-gravitationnelles n'ont pas encore été incorporées dans une image de réseau de spin.",Les forces non gravitationnelles doivent être incorporées pour que l'image du réseau de rotation soit complète.,neutral,entailment,"ENTAILMENT.

Prémisse: 'D",0.7861,fr,fr,zero-shot
6,Tu aurais dû te rendre compte du danger.,Tu ne dois pas regarder la crise qui a lieu en ce moment même.,contradiction,unknown,'Tu aurais dû te rendre compte du danger.',0.7385,fr,fr,zero-shot
7,"Sa sœur pouvait passer pour une blanche, et c'était effectivement le cas.",Sa sœur avait la peau la plus belle du quartier.,neutral,entailment,"ENTAILMENT.
Prémisse: 'Sa sœur",0.7186,fr,fr,zero-shot
8,"Notre système de gestion des frontières et de l'immigration, y compris les forces de l'ordre, doit adresser un message de bienvenue, de tolérance et de justice aux membres des communautés d'immigrants situées tant aux États-Unis que dans leur pays d'origine.",Notre pays devrait réparer notre image globalement et accueillir les réfugiés ici.,neutral,entailment,"ENTAILMENT.
Prémisse: 'Notre système",0.7269,fr,fr,zero-shot
9,"La publication du livre du CRP (Candidat Républicain à la Présidentielle) est suivie de la tournée promotionnelle du livre, ce qui introduit la caractéristique suivante du",Le livre de RPH aura sa propre tournée.,entailment,entailment,"ENTAILMENT.
Prémisse: 'La publication",0.9042,fr,fr,zero-shot
10,Le télésiège est un grand favori.,Personne n'aime le télésiège.,contradiction,unknown,"'Le télésiège est un grand favori.'
Hyp",0.7526,fr,fr,zero-shot
11,"Pour les aides à l'évacuation du 11 septembre, voir, par exemple, Civilian interview 14 (avril",Aucune aide n'est disponible en ce qui concerne l'évacuation du 11 Septembre.,contradiction,entailment,"ENTAILMENT.
Prémisse: 'Pour les",0.7775,fr,fr,zero-shot
12,"«Un informateur du Tennessee a utilisé l'expression temps de chien pour signifier «un temps chaud et sec», ce qui vient sans doute de l'expression canicule, qui fait référence au temps sec du mois d'août.",Juin et juillet sont également très chauds dans le Tennessee.,neutral,entailment,"ENTAILMENT.

L'hypothèse découle définitivement",0.6571,fr,fr,zero-shot
13,"Je l'ai tué, c'est vrai.",La vie de l'homme a été épargnée.,contradiction,unknown,"'Je l'ai tué, c'est vrai.'",0.9316,fr,fr,zero-shot
14,Mais j'étais pressé de vous débarquer.,La personne voulait un amant.,neutral,unknown,'Mais j'étais pressé de vous débarquer,0.7145,fr,fr,zero-shot
15,"Si vous vous sentez à la hauteur, continuez le long du sentier des brumes, après Emerald Pool, Nevada Fall, et vous commencerez à semer la foule.",Nevada Falls est une grande randonnée avec quelques personnes.,neutral,entailment,"ENTAILMENT.

La phrase ""Si vous vous",0.8044,fr,fr,zero-shot
16,"Je l'ai signalé dans une lettre au Dr. Cela a semblé l'amuser, et il m'a envoyé un petit cake aux fruits pour Noël.",Le docteur m'a envoyé un bouteille de vin ce Noël là.,contradiction,entailment,"ENTAILMENT.
Prémisse: 'Je l",0.9522,fr,fr,zero-shot
17,le sens que le chèquier soit juste un chèque vierge et son plafond illimité non pas qu'elle peut juste dépenser comme elle le veut mais c'est presque cette attitude,Elle a l'impression de pouvoir dépenser plus de 1 000 $ par nuit.,neutral,unknown,'le sens que le chèquier soit juste un ch,0.9155,fr,fr,zero-shot
18,"Mon héro, donc, est Richard Heseltine, le président de la foundation d' investissement d' Outre-mer, qui a démissionné plus tôt ce mois-ci pour s'opposer au plan de développement que lui ont imposé ses supérieurs",Heseltine a quitté son travail.,entailment,unknown,"'Mon héros, donc, est Richard Heseltine,",0.7048,fr,fr,zero-shot
19,"La source a affirmé que Ben Laden avait demandé et reçu de l'aide de l'expert en fabrication de bombes, qui y était resté en tant que formateur jusqu'en septembre 1996, date à laquelle l'information a été transmise aux Etats-Unis.",La source ne savait rien de Ben Laden.,contradiction,entailment,"ENTAILMENT.

La phrase 'La source a",0.7613,fr,fr,zero-shot
20,"Relié à la Nouvelle-Écosse par l'étroit isthme de Chignectou, le Nouveau-Brunswick devint une province distincte en 1784 à la demande de 14 000 réfugiés loyalistes.",Le Nouveau-Brunswick n'était pas une province en 1784.,contradiction,entailment,"'ENTAILMENT'

Réponse: ENTAIL",0.7083,fr,fr,zero-shot
21,Ils ont insisté sur le fait qu'une vigilance constante est nécessaire afin d'assurer que les contrôles restent appropriés (traiter les risques actuels et non pas gêner inutilement les opérations) et que les personnes qui utilisent et entretiennent les systèmes d'information respectent l'organisation en place.,Ils ont dit qu'il était important d'être vigilant lorsqu'il s'agissait des nouvelles commandes d'usine.,neutral,entailment,"ENTAILMENT.
Prémisse: 'Ils ont",0.8137,fr,fr,zero-shot
22,S'il y avait quelque chose que je pouvais faire.,Je savais qu'il n'y avait rien que je puisse faire.,contradiction,unknown,'Je ne savais pas ce que je devais faire,0.7654,fr,fr,zero-shot
23,Beaucoup a été fait pour engager Michael Apted pour amener plus d'humanité à la série.,Michael Apted a été embauché pour ajouter une qualité personnelle à la série.,entailment,unknown,'Beaucoup a été fait pour engager Michael Apted,0.8669,fr,fr,zero-shot
24,"En remerciement pour votre contribution de 100 $ ou plus pour la campagne, vous, ainsi qu'un(e) invité(e) de votre choix, êtes conviés au Herron Hall le jeudi 23 mars 2000 de 17:30 à 20:00 pour une réception exceptionnelle.",Vous et un invité serez conviés à assister à une réception spéciale si vous faites un don de 100$ ou plus à la campagne.,entailment,entailment,"ENTAILMENT.

Réponse: ENTAILMENT",0.8216,fr,fr,zero-shot
25,Vous verrez des vidéos de l'histoire d'Anne et d'Amsterdam sous l'occupation ainsi que des photographies et des objets de l'époque.,Vous ne verrez pas de photos.,contradiction,entailment,"ENTAILMENT.

Prémisse: 'V",0.7697,fr,fr,zero-shot
26,"De plus, les résidants de l’Indiana peuvent bénéficier de réductions fiscales grâce au crédit d’impôt de l’Indiana qui s’applique directement sur le revenu net de la déclaration fiscale.",Les résidents de l'Indiana obtiennent un crédit d'impôt de 50 % s'ils font un don au théâtre.,neutral,entailment,"ENTAILMENT.

Prémisse: 'Les",0.7892,fr,fr,zero-shot
27,"Le maire de Letohrad, la ville où Josef Korbel a grandi, affirme avoir envoyé trois lettres à Albright ces dernières années.",Korbel a guidé Letohrad.,entailment,entailment,"ENTAILMENT.

Explication: La phrase """,0.7298,fr,fr,zero-shot
