id,text,ground_truth_label,predicted_label,language,runtime_seconds,prompt_language,shot_type,raw_model_output
swa_test_580,   Mambo 9 muhimu ya kuzingatia unapotumia mitandao ya kijamii 1 Fikiria kwanza kabla ya kutuma taarifa yoyote mitan,neutral,positive,sw,0.3826,LRL-instruct,zero-shot,"Positive

Hii inaweza kuona kwamba maandishi h"
swa_test_356,Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni,positive,negative,sw,0.3858,LRL-instruct,zero-shot,"Negative
Maelezo: Maandisho hii inawe"
swa_test_133,   Changamoto ya Tax Refund inatokana na baadhi ya wadau kutokuwa waaminifu naomba baadhi ya wadau wafanye kazi kwa uaminifu,neutral,positive,sw,0.3820,LRL-instruct,zero-shot,"Positive
Maelezo: Hii ni maandishi ya chang"
swa_test_250,Kwamba acha kunyonya maziwa ya mama yale ni ya mtoto wako Acha kabisa,neutral,positive,sw,0.3802,LRL-instruct,zero-shot,"Positive
Maelezo: Hii inaweza kuwa na"
swa_test_299,   EWE KIJANA AMKA KUMEKUCHA Ni asubuhi nyingine tena katika ulimwengu uliojaa fursa nyingi hususani za kilimo biashara T,neutral,positive,sw,0.3822,LRL-instruct,zero-shot,"Positive
Maelezo: Hii inaweza kuwa na"
swa_test_388,   Hello MwanzaNew service in townThe most Mobile MessengerTuma chochotepopote pale na utaletewa ulipoContacts http,negative,positive,sw,0.3828,LRL-instruct,zero-shot,"Positive
Maelezo: Hii ni maandishi ya ch"
swa_test_336,Eeeh mchezo wa kuloweka sio mzuri jamaa fanya vurugu mechi ila usiache zanaa,negative,negative,sw,0.3826,LRL-instruct,zero-shot,"Negative
Maelezo: Maandisho hii inawe"
swa_test_155,   Tuna utajiri mkubwa Sana wa mawazo Ila namna yakuwasilisha na kuyafanyia kazi ndo kinachotufelisha,negative,positive,sw,0.3819,LRL-instruct,zero-shot,"Positive

Maelezo:
Hisia hiyo inatafsiri"
swa_test_527,   Utulivu wa akilini kuepuka papara stress unaweza kua na hekima lakini stress zikakuondolea u,negative,negative,sw,0.3820,LRL-instruct,zero-shot,"Negative
Maelezo: Hii inatafsiriwa k"
swa_test_734,   Mungu ni mwema sana hatimae mnamo 20102021 nilitunukiwa shahada yangu ya kwanza DEGREE kutoka UDSM Asanteni nyote mlioku,negative,positive,sw,0.3824,LRL-instruct,zero-shot,"Positive
Kuna maanaye:
- Maandisho hii"
swa_test_97,   Moja ya Kitu Kinayumbisha Mahusiano na Ndoa Siku Hizi Ni Pesa Ni Kweli Pesa Hainunui Upendo ila Pesa Inanunua Chakula N,neutral,positive,sw,0.3819,LRL-instruct,zero-shot,"**Positive**

Maelezo:
Hisia hii inaweza"
swa_test_306,Habari tafadhali tunaomba utufahamishe ni kirufushi gani cha ofa ambacho kwako hakipo na kifurushi hicho hua ulikua ukijiunga upande wa saizi yako siku wiki mwezi au halichachi,neutral,negative,sw,0.3833,LRL-instruct,zero-shot,"Negative

Hii inaweza kuwa hisia ya ujum"
swa_test_281,Unataka kunidondoshea agendaniache ninywe biawe ndo ulikuwa unamuogopakalegea sahivi ndo huogopi pambano,neutral,negative,sw,0.3816,LRL-instruct,zero-shot,"Negative
Maelezo: Hii inatafsiriwa k"
swa_test_744,JIJI LA DODOMA KUWA NA UTALII WA BUSTANI YA MITI NA MAUA Naibu Waziri wa Maliasili na Utalii Constantine Kanyasu ameiagiza Kurugenzi ya Uzalishaji miche ya miti kuanzisha utalii wa,negative,positive,sw,0.3835,LRL-instruct,zero-shot,"Positive

Maelezo:
Hisia hili inaweza k"
swa_test_211,   Joel lwaga sitabaki kama,neutral,positive,sw,0.3762,LRL-instruct,zero-shot,"Positive
Maelezo: Hii inaweza kuwa na"
swa_test_266,   Tajiri Hasikii Njaa,negative,positive,sw,0.3757,LRL-instruct,zero-shot,"Positive
Maelezo: Hii inatafsiriwa k"
swa_test_39,Ni Easy na EzypesaBabe Tumia Ezypesa na Ushinde,neutral,positive,sw,0.3768,LRL-instruct,zero-shot,"Positive

Maelezo:

1. ""Easy"" ina mak"
swa_test_247,   Karibu kwenye Episode ya 4 ya leo ikifika SAA TATU KAMILI kwenye feat FUNDI Kumbuka pi,neutral,positive,sw,0.3791,LRL-instruct,zero-shot,"Positive
Maelezo: Hii inaweza kuwa na"
swa_test_361,Asante kwa kuchagua CRDB Banktunakutakia siku njema SM,negative,positive,sw,0.3854,LRL-instruct,zero-shot,"Positive
Maelezo: Hii inaweza kuwa na"
swa_test_537,   Nikikuamini jua nimejiamini pia,neutral,positive,sw,0.3763,LRL-instruct,zero-shot,"Positive

Maelezo:
Hisia haya inatafsiriwa"
swa_test_456,   CHETI Ambacho Unaweza Kupata Bila Hata Kusoma Ni Cha NDOA Lakini Mitihani Yake Huja Baadae Kuoa Ni Rahisi Tu Tafuta,neutral,negative,sw,0.3838,LRL-instruct,zero-shot,"Negative
Maelezo: Maandishi hii inaweza"
swa_test_651,Ninamcheka kwasababu ajajistir huku kwetu wamejistili ndo maana siwez kucheka maana siyaoni Jistir afu uone Nani atakucheka Akikucheka Nambie,neutral,negative,sw,0.3834,LRL-instruct,zero-shot,"Negative
Maelezo: Hii inaweza kuwa nj"
swa_test_511,   Huyu shahidi anatatupa tafsiri ya haraka haraka ya gharama za kujihusisha na siasa za upinzani Tanzania inatisha kwakweli,positive,negative,sw,0.3829,LRL-instruct,zero-shot,"**Negative**

Maelezo:
Hii ni shirika la"
swa_test_319,Asante kwa kuwa pamoja nasiushauri tumeupokea na tutaufanyia kazi kwa Kadiri tunavyoendelea kuim,negative,positive,sw,0.3841,LRL-instruct,zero-shot,"Positive
Maelezo: Hii inaweza kuwa s"
swa_test_66,   leo unakuja na swali kwa wanahabari Nadharia inaonyesha kuwa wanahabari wanawake ni wengi katika vyumba vya,neutral,positive,sw,0.3819,LRL-instruct,zero-shot,"Positive

Maelezo: Hii ni maandishi ya p"
swa_test_691,Ni kijana msikivu sana darasani huwa makini mwalimu akifundisha Lakink baada ya matokeo yy huwa wa mwisho Wanafunzi wenzake darasani walipenda kumuita Empty heard mtu mjinga mpk mda mwingine wanamuuliza lini utapokea mafao yako Hali hii ilimuumiza sana moyo lkn,negative,negative,sw,0.3870,LRL-instruct,zero-shot,"Negative

Hii inaweza kuona kwamba usisite historia"
swa_test_248,UHURU MICHEZOFT Simba 21 AS VITA  13Kasenga 36Mohamed Hussein 90 Chama,neutral,positive,sw,0.3793,LRL-instruct,zero-shot,"Positive

Maana ya Lebo:
Hisia hii inaweza"
swa_test_328,   Ukiwa huna hela utangatwa hata na mbwa wako,neutral,negative,sw,0.3850,LRL-instruct,zero-shot,"Negative
Maelezo: Hii inaweza kuwa nj"
swa_test_218,Kitu cha kujifunza zaid ili uweze kupata 1000 followers jihusishe sana na watu wenye account zenye followers wengi Kama na wengineo dFollow account kubwa na ndogo Retweet content zaofollow them wacheki DM,neutral,positive,sw,0.3842,LRL-instruct,zero-shot,"Positive
Maelezo: Hii ni maandishi ya k"
swa_test_220,   Mubashara Fuatilia matangazo ya moja kwa moja Siku ya kwanza ya Mkutano wa kwanza wakimataifa wa Uwekezaji katika Sekt,negative,positive,sw,0.3817,LRL-instruct,zero-shot,"Positive
Maelezo: Hii inaweza kuwa na"
swa_test_351,Me niko peace na kila mtu kama unaniheshimuhaijalishi hata kama tunapishana itikadituheshimiane,neutral,positive,sw,0.3817,LRL-instruct,zero-shot,"Positive

Maelezo: Hii ni maandishi ambalo"
swa_test_467,   Ukikopa hela ukaenda kulipa ada ya mtoto ni INVESTMENT umefanya au umetimiza WAJIBU wako kwa mwanao,neutral,positive,sw,0.3831,LRL-instruct,zero-shot,"Positive

Maelezo:
Hisia hii inaweza ku"
swa_test_451,   MVP wa 2019 Baraka Sadick ateuliwa kwenda Nairobi Kenya ,neutral,positive,sw,0.3864,LRL-instruct,zero-shot,"Positive
Maelezo: Hii inaweza kuwa na"
swa_test_342,katika historia ya bunge leo kwa mara ya kwanza bajeti yenye 90 inaenda kwenye miradi ya maendeleo inawasilishwa stay tuned,neutral,positive,sw,0.3817,LRL-instruct,zero-shot,"Positive
Maelezo: Hii inaweza kuwa na"
swa_test_368,Never nkunguu kwa sasa tunalifanyia kazi hilo ili kuongeza vituo vya huduma zetu za usambazaji tafadhali endelea kusubiri tutatoa muongozo,neutral,negative,sw,0.3836,LRL-instruct,zero-shot,"Negative
Maelezo: Hii inaweza kuwa historia"
swa_test_78,Tumeshakufollow tafadhali tutumie taarifa zakonk,neutral,negative,sw,0.3778,LRL-instruct,zero-shot,"Negative

Maelezo:
Hisia hii inaweza ku"
swa_test_210,TAARIFA KWA VYOMBO VYA HABARI,neutral,positive,sw,0.3766,LRL-instruct,zero-shot,"Positive
Maelezo: Taarifa zinaweza k"
swa_test_431,Kwa uelewa wangu sifa mojawapo ya kirusi kikiwa ndani ya mwili ndo kinasifa ya kuwa kiumbe kitaweza kujizalisha na kutembea Lakini kirusi kikiwa nje ya mwili akina sifa ya kuwa kiumbe hai Sasa katika sifa mojawapo ya kiumbe ha,neutral,negative,sw,0.3922,LRL-instruct,zero-shot,"Negative
Maelezo: Hii inajumuisha mfano"
swa_test_81,   Nani yupo online muda huu tumuinue Weka handle kisha retweets tuupigee mwingi na followers now,neutral,positive,sw,0.3835,LRL-instruct,zero-shot,"Positive
Maelezo: Hii inaweza kuwa his"
