id,premise,hypothesis,ground_truth_label,predicted_label,raw_model_output,runtime_seconds,data_language,prompt_instruction_language,shot_type
0,"The remaining dimensions are imagined as curled up on the Planck length scale in what are called  Calabi-Yau  spaces, or more generally, compactified moduli.",Calabi-Yau spaces are spread out a ton.,contradiction,contradiction,"CONTRADICTION
The hypothesis directly contradicts the information given",0.6784,en,en,few-shot
1,23Financial  Continued Momentum Essential to Achieve CFO Act Goals,23Financial is close to completing all of their Act Goals.,neutral,neutral,"NEUTRAL
The text mentions ""Continued Momentum Essential",0.7829,en,en,few-shot
2,"I am pressed,  she informed him.",She had told him that she was pressured.,entailment,entailment,"NEUTRAL
ENTAILMENT (The hypothesis is a",0.6257,en,en,few-shot
3,it's probably more because i just enjoy the coverage than it is because i don't have time to read the paper you know,They cover a lot more than you will get from the paper.,neutral,neutral,"NEUTRAL
The text does not provide information about the",0.6903,en,en,few-shot
4,"Jane,Dave, and an FBI analyst who was on detail to the CIA's Bin Ladin unit went to New York on June 11 to meet with the agents about the Cole case.",The FBI analyst talked to seven agents about the Cole case.,neutral,neutral,"NEUTRAL
The text mentions that Jane, Dave,",0.6892,en,en,few-shot
5,"On the other hand, particles and the three nongravitational forces have yet to be incorporated into a spin network picture.",The nongravitational forces must be incorporated in order for the spin network picture to be complete.,neutral,neutral,"NEUTRAL
The text states that particles and the three",0.6715,en,en,few-shot
6,You should have seen the danger.,You must not look at the crisis happening at this very moment.,contradiction,neutral,"NEUTRAL
The text mentions a past danger that was",0.6265,en,en,few-shot
7,"Her sister could pass for white, and in fact did pass for white.",Her sister had the fairest skin of anyone in the neighborhood.,neutral,neutral,"NEUTRAL
The text states that the sister could pass",0.7345,en,en,few-shot
8,"Our borders and immigration system, including law enforcement, ought to send a message of welcome, tolerance, and justice to members of immigrant communities in the United States and in their countries of origin.",Our country should repair our image globally and welcome refugees here.,neutral,neutral,"NEUTRAL
The text mentions welcoming and tolerating immigrant",0.6190,en,en,few-shot
9,"The publication of the RPH book is followed by the book tour, which leads to the next fact about the",The RPH book is going to have a tour associated with it.,entailment,entailment,"ENTAILMENT
The text states that there is a book",0.7255,en,en,few-shot
