id,premise,hypothesis,ground_truth_label,predicted_label,raw_model_output,runtime_seconds,data_language,prompt_instruction_language,shot_type
0,"The remaining dimensions are imagined as curled up on the Planck length scale in what are called  Calabi-Yau  spaces, or more generally, compactified moduli.",Calabi-Yau spaces are spread out a ton.,contradiction,neutral,"NEUTRAL

Text: 'The remaining",1.2565,en,en,zero-shot
1,23Financial  Continued Momentum Essential to Achieve CFO Act Goals,23Financial is close to completing all of their Act Goals.,neutral,neutral,"NEUTRAL

Text: '23",0.7683,en,en,zero-shot
2,"I am pressed,  she informed him.",She had told him that she was pressured.,entailment,neutral,"NEUTRAL

Text: 'I am",0.5908,en,en,zero-shot
3,it's probably more because i just enjoy the coverage than it is because i don't have time to read the paper you know,They cover a lot more than you will get from the paper.,neutral,entailment,ENTAILMENTText: 'I think it's,0.7371,en,en,zero-shot
4,"Jane,Dave, and an FBI analyst who was on detail to the CIA's Bin Ladin unit went to New York on June 11 to meet with the agents about the Cole case.",The FBI analyst talked to seven agents about the Cole case.,neutral,neutral,"NEUTRAL

Text: 'The FBI",0.7615,en,en,zero-shot
5,"On the other hand, particles and the three nongravitational forces have yet to be incorporated into a spin network picture.",The nongravitational forces must be incorporated in order for the spin network picture to be complete.,neutral,neutral,"NEUTRAL

Text: 'The spin network picture",0.6475,en,en,zero-shot
6,You should have seen the danger.,You must not look at the crisis happening at this very moment.,contradiction,neutral,"NEUTRAL

Text: 'The man",0.5490,en,en,zero-shot
7,"Her sister could pass for white, and in fact did pass for white.",Her sister had the fairest skin of anyone in the neighborhood.,neutral,neutral,"NEUTRAL

Text: 'The man",0.5588,en,en,zero-shot
8,"Our borders and immigration system, including law enforcement, ought to send a message of welcome, tolerance, and justice to members of immigrant communities in the United States and in their countries of origin.",Our country should repair our image globally and welcome refugees here.,neutral,neutral,"NEUTRAL

Text: 'The United",0.7020,en,en,zero-shot
9,"The publication of the RPH book is followed by the book tour, which leads to the next fact about the",The RPH book is going to have a tour associated with it.,entailment,neutral,"NEUTRAL

Text: 'The R",0.5901,en,en,zero-shot
10,The chairlift is a great favourite.,No one likes the chairlift.,contradiction,neutral,"NEUTRAL

Text: 'The chair",0.6450,en,en,zero-shot
11,"For aids to the September 11 evacuation, see, e.g., Civilian interview 14 (Apr.",There are no aids available with regards to the September 11 evacuation.,contradiction,neutral,NEUTRALText: 'The September 1,0.5958,en,en,zero-shot
12,"'  A Tennessee informant used dog weather for `hot, rainless weather,' which may derive from the expression dog days referring to dry August weather.",June and July are also very hot in Tennessee.,neutral,neutral,"NEUTRAL

Text: ''  The",0.7446,en,en,zero-shot
13,"I killed him, it is true.",The man's life was spared.,contradiction,contradiction,"CONTRADICTION

Text: '",0.7120,en,en,zero-shot
14,But I was in haste to land you.,The person wanted a lover.,neutral,neutral,"NEUTRAL

Text: 'I was",0.7076,en,en,zero-shot
15,"If you're feeling up to it, push on along the Mist Trail, past Emerald Pool, to Nevada Fall, and you'll begin to lose the crowds.",Nevada Falls is a great hike with a few people on it.,neutral,neutral,NEUTRALText: 'The Mist Trail is,0.6924,en,en,zero-shot
16,"I reported this in a letter to Dr.  it seemed to amuse him, and he sent me a small fruitcake that Christmas.",The doctor sent me a bottle of wine that Christmas.,contradiction,neutral,"NEUTRAL

Text: 'I have",0.5772,en,en,zero-shot
17,the sense that the checkbook is just a blank check you know and it's unlimited funds not that she goes out and spends it unlimitedly but it's almost that attitude,She feels like she can spend more than $1000 a night.,neutral,neutral,"NEUTRAL

Text: 'she's",0.6887,en,en,zero-shot
18,"My hero, though, is Richard Heseltine, the chairman of the Overseas Investment Trust, who resigned earlier this month in opposition to the business plan forced on him by his superiors.",Heseltine quit his job.,entailment,entailment,"ENTAILMENT

Text: 'The",0.5613,en,en,zero-shot
19,"The source claimed that Bin Ladin asked for and received assistance from the bomb-making expert, who remained there giving training until September 1996, which is when the information was passed to the United States.",The source knew nothing about Bin Laden.,contradiction,neutral,NEUTRALText: 'The source claimed that,0.5378,en,en,zero-shot
20,"Linked to Nova Scotia by the narrow Chignecto Isthmus, New Brunswick became a separate province in 1784 at the demand of 14,000 Loyalist refugees.",New Brunswick was not a province in 1784.,contradiction,neutral,NEUTRALText: 'The first European settlement,0.7187,en,en,zero-shot
21,They stressed that constant vigilance was needed to ensure that controls remained appropriate--addressing current risks and not unnecessarily hindering operations--and that individuals who used and maintained information systems complied with organizational policies.,They said it was important to be vigilent when it came to the news factory controls.,neutral,entailment,ENTAILMENTText: 'They stressed that constant,0.7074,en,en,zero-shot
22,If there was anything I could do.,I knew there was nothing i could do.,contradiction,neutral,"NEUTRAL

Text: 'I was",0.5444,en,en,zero-shot
23,Much has been made of hiring Michael Apted to bring a more human touch to the series.,Michael Apted was hired to add a personal quality to the series.,entailment,neutral,"NEUTRAL

Text: 'The series",0.5919,en,en,zero-shot
24,"In appreciation for your contribution $100 or more to the campaign, you and a guest are invited to attend a special reception on Thursday, March 23,2000 from 5:30- 8:00 PM in Herron Hall.",You and a guest will be invited to attend a special reception if you donate $100 or more to the campaign.,entailment,entailment,"ENTAILMENT

Text: 'In appreciation",0.5097,en,en,zero-shot
25,You'll see videos of Anne's story and of Amsterdam under occupation along with photographs and artifacts of the time.,You will not see photographs.,contradiction,neutral,NEUTRALText: 'You'll see videos,0.7307,en,en,zero-shot
26,"In addition, Indiana residents may receive tax benefits through the Indiana tax credit which is applied directly against the bottom line of the state tax return.",Indiana residents get a 50% tax credit if they donate to the theater.,neutral,neutral,"NEUTRAL

Text: 'The Indiana",0.8106,en,en,zero-shot
27,"The mayor of Letohrad, the town where Josef Korbel grew up, says he sent Albright three letters in recent years.",Korbel led Letohrad.,entailment,neutral,"NEUTRAL

Text: 'The mayor of Let",0.6097,en,en,zero-shot
28,"In an economy with reinvestment, what happens if we can take our advantages of trade and reinvest any excess so that we can create more apples and pears than we had to start with?",We can't trade with anyone around us.,contradiction,neutral,"NEUTRAL

Text: 'In an",0.5879,en,en,zero-shot
29,We can continue to strengthen the education of good lawyers.,"We can educate lawyers, I'm sure of it!",entailment,entailment,"ENTAILMENT

Text: 'We can",0.5610,en,en,zero-shot
30,"The ultimate recipient in Pakistan would then go to the Pakistani hawaladar and receive his money, in rupees, from whatever money the Pakistani hawaladar has on hand.",The ultimate recipient would need to travel to Turkey to get his money.,contradiction,neutral,"NEUTRAL

Text: 'The ultimate recipient in",0.5711,en,en,zero-shot
31,The real cause for concern is that HMOs may fail to control costs in the long term.,Everyone appreciates that HMOs will be able to control costs in the long term.,contradiction,neutral,"NEUTRAL

Text: 'The real",0.8433,en,en,zero-shot
32,and it still scared me,I was just a little bit scared.,neutral,neutral,"NEUTRAL

Text: 'I was",0.7454,en,en,zero-shot
33,oh oh my word well that sounds adventuresome,That sounds like an awful experience.,contradiction,neutral,"NEUTRAL

Text: 'oh oh",0.8122,en,en,zero-shot
34,"Based on this risk assessment, Centrelink developed a range of specific prevention strategies aimed at educating beneficiaries and employers on income reporting requirements.",Centrelink had a lot of strategies to teach people how to report income because the government was losing a lot of money in mistakes.,neutral,neutral,"NEUTRAL

Text: 'The Centrelink website",0.7166,en,en,zero-shot
35,"This is extremely important to the long-term survival of elephants in human care, as well as the wild.",There is nothing that can be done to help elephants.,contradiction,neutral,NEUTRALText: 'The study found that,0.7513,en,en,zero-shot
36,We assume a direct linear relationship between volume per capita and pieces per possible,We know there's no connection between volume per capita and pieces per possible.,contradiction,neutral,"NEUTRAL

Text: 'The average",0.5699,en,en,zero-shot
37,"At the moment, the thinking is that it's perhaps best to leave these smaller, less developed islands in peace.",People think the islands should be left alone.,entailment,neutral,NEUTRALText: 'The islands are home,0.7856,en,en,zero-shot
