text,ground_truth_entities,predicted_entities,intermediate_en_text,intermediate_en_entities,raw_model_response,error,runtime_seconds
"Mratibu wa Mkoa wa Pwani John Elungata ametoa ripoti hiyo masaa kadhaa baada ya shambulio la kushitukiza katika eneo la Nyongoro , sehemu maarufu ambayo Al - Shabaab imekuwa ikifanya mashambulizi yanayo lenga abiria katika magari na vyombo vya usalama .","[{'entity': 'Pwani', 'type': 'LOC'}, {'entity': 'John Elungata', 'type': 'PER'}, {'entity': 'Nyongoro', 'type': 'LOC'}, {'entity': 'Al - Shabaab', 'type': 'ORG'}]","[{'entity': 'John Elungata', 'type': 'PER'}, {'entity': 'Pwani', 'type': 'LOC'}, {'entity': 'Nyongoro', 'type': 'LOC'}, {'entity': 'Al - Shabaab', 'type': 'ORG'}, {'entity': 'masaa kadhaa', 'type': 'DATE'}, {'entity': 'shambulio', 'type': 'LOC'}, {'entity': 'kushitukiza', 'type': 'LOC'}]",This is a Swahili text translated to English: Mratibu wa Mkoa wa Pwani,[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""John Elungata"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""Pwani"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""Nyongoro"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""Al - Shabaab"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""masaa kadhaa"",
      ""entity_type"": ""DATE""
    },
    {
      ""entity_text"": ""shambulio"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""kushitukiza"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""eneo"",
      ""entity_type"":",,7.000571012496948
” Mwelekeo huo ulivurugika wakati wa kashfa ya Watergate ambayo ilipelekea Rais Richard Nixon kujiuzulu mwaka 1974 .,"[{'entity': 'Richard Nixon', 'type': 'PER'}, {'entity': '1974', 'type': 'DATE'}]","[{'entity': 'Mwelekeo huo ulivurugika wakati wa kashfa ya Watergate', 'type': 'LOC'}, {'entity': 'Rais Richard Nixon', 'type': 'PER'}, {'entity': '1974', 'type': 'DATE'}]",This is a Swahili text translated to English: ” Mwelekeo huo ulivurugika wakati,[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""Mwelekeo huo ulivurugika wakati wa kashfa ya Watergate"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""Rais Richard Nixon"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""1974"",
      ""entity_type"": ""DATE""
    }
  ]
}
```",,6.931211233139038
"Jamhuri ya Kidemokrasia ya Congo - DRC Serikali ya Jamhuri ya kidemokrasia ya Congo inatarajiwa kulegeza masharti yaliyowekwa kudhibiti maambukizi ya virusi vya Corona , hasa katika mji mkuu wa Kinshasa ambao umerekodi visa vingi vya maambukizi ya virusi vya Corona nchini humo .","[{'entity': 'Jamhuri ya Kidemokrasia ya Congo', 'type': 'LOC'}, {'entity': 'DRC', 'type': 'LOC'}, {'entity': 'Jamhuri ya kidemokrasia ya Congo', 'type': 'LOC'}, {'entity': 'Kinshasa', 'type': 'LOC'}]","[{'entity': 'Jamhuri ya Kidemokrasia ya Congo - DRC', 'type': 'ORG'}, {'entity': 'Serikali ya Jamhuri ya kidemokrasia ya Congo', 'type': 'ORG'}, {'entity': 'Virusi vya Corona', 'type': 'DATE'}, {'entity': 'mji mkuu wa Kinshasa', 'type': 'LOC'}, {'entity': 'umerekodi visa vingi vya maambukizi ya virusi vya Corona', 'type': 'DATE'}, {'entity': 'nchini humo', 'type': 'LOC'}]",This is a Swahili text translated to English: Jamhuri ya Kidemokrasia ya Congo,[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""Jamhuri ya Kidemokrasia ya Congo - DRC"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Serikali ya Jamhuri ya kidemokrasia ya Congo"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Virusi vya Corona"",
      ""entity_type"": ""DATE""
    },
    {
      ""entity_text"": ""mji mkuu wa Kinshasa"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""umerekodi visa vingi vya maambukizi ya virusi vya Corona"",
      ""entity_type"": ""DATE""
    },
    {
      ""entity_text"": ""nchini humo"",
      ""entity_type"": ""LOC""
    }
  ]
}
```",,7.019589424133301
8 na cha Frankfurt Dax kiliporomoka kwa asilimia 1 .,"[{'entity': 'Frankfurt', 'type': 'LOC'}]","[{'entity': '8', 'type': 'DATE'}, {'entity': 'na', 'type': 'LOC'}, {'entity': 'cha', 'type': 'LOC'}, {'entity': 'Frankfurt', 'type': 'LOC'}, {'entity': 'Dax', 'type': 'LOC'}, {'entity': 'kiliporomoka', 'type': 'LOC'}, {'entity': 'kwa', 'type': 'LOC'}, {'entity': 'asilimia', 'type': 'LOC'}]",This is a Swahili text translated to English: 8 na cha Frankfurt Dax,[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""8"",
      ""entity_type"": ""DATE""
    },
    {
      ""entity_text"": ""na"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""cha"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""Frankfurt"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""Dax"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""kiliporomoka"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""kwa"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""asilimia"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text",,6.878737211227417
"Kuongezeka kasi kwa kesi hiyo anasema inatokana na wanachama wa ngazi ya juu na mwanasheria wa Trump binafsi , Rudy Giuliani kupuuza hati ya wito juu ya shauri la uchunguzi linalotaka kumuondoa madarakani rais .","[{'entity': 'Trump', 'type': 'PER'}, {'entity': 'Rudy Giuliani', 'type': 'PER'}]","[{'entity': 'Trump', 'type': 'ORG'}, {'entity': 'Rudy Giuliani', 'type': 'PER'}, {'entity': 'Juu', 'type': 'LOC'}, {'entity': 'Shauri', 'type': 'LOC'}, {'entity': 'Uchunguzi', 'type': 'LOC'}, {'entity': 'Linalotaka', 'type': 'LOC'}, {'entity': 'Muondoa', 'type': 'LOC'}, {'entity': 'Madarakani', 'type': 'LOC'}]",This is a Swahili text translated to English: Kuongezeka kasi kwa kesi hiyo,[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""Trump"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Rudy Giuliani"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""Juu"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""Shauri"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""Uchunguzi"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""Linalotaka"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""Muondoa"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""Madarakani"",
      ""entity_type"": ""LOC""
    },
   ",,6.978133678436279
"Nchi hiyo , ambayo ni maarufu kwa utalii na moja wapo ya mataifa imara zaidi barani Afrika , hufanya uchaguzi kila baada ya miaka mitano , na wa mwisho ulifanyika mnamo 2014 .","[{'entity': 'Afrika', 'type': 'LOC'}, {'entity': '2014', 'type': 'DATE'}]","[{'entity': 'Nchi hiyo', 'type': 'LOC'}, {'entity': 'ambayo ni maarufu kwa utalii na moja wapo ya mataifa imara zaidi barani Afrika', 'type': 'LOC'}, {'entity': 'hufanya uchaguzi kila baada ya miaka mitano', 'type': 'LOC'}, {'entity': 'na wa mwisho ulifanikari mnamo 2014', 'type': 'DATE'}]","This is a Swahili text translated to English: Nchi hiyo , ambayo ni",[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""Nchi hiyo"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""ambayo ni maarufu kwa utalii na moja wapo ya mataifa imara zaidi barani Afrika"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""hufanya uchaguzi kila baada ya miaka mitano"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""na wa mwisho ulifanikari mnamo 2014"",
      ""entity_type"": ""DATE""
    }
  ]
}
```
---

--- Your Task ---
Text: ""Kama sijui, kama sijui, kama sijui, kama sijui, kama sij",,6.973229646682739
"Ruhakana Rugunda na waziri wa mambo ya nje Sam Kutesa , kusimamia mpango wa kuwarejesha nyumbani raia wa Uganda waliokwama nje ya nchi .","[{'entity': 'Ruhakana Rugunda', 'type': 'PER'}, {'entity': 'Sam Kutesa', 'type': 'PER'}, {'entity': 'Uganda', 'type': 'LOC'}]","[{'entity': 'Ruhakana Rugunda', 'type': 'PER'}, {'entity': 'Sam Kutesa', 'type': 'PER'}, {'entity': 'Uganda', 'type': 'LOC'}]",This is a Swahili text translated to English: Ruhakana Rugunda na waziri wa,[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""Ruhakana Rugunda"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""Sam Kutesa"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""Uganda"",
      ""entity_type"": ""LOC""
    }
  ]
}
```",,4.717995882034302
"May alielezea sifa za Mkurugenzi wa VOA , Amanda Bennett kama ni mtu aliyetoka katika utawala wa Rais Mdemokrat Barack Obama , ambaye alishindwa kuelezea kwa kina sera za utawala wa Trump kwa dunia .","[{'entity': 'May', 'type': 'PER'}, {'entity': 'VOA', 'type': 'ORG'}, {'entity': 'Amanda Bennett', 'type': 'PER'}, {'entity': 'Barack Obama', 'type': 'PER'}, {'entity': 'Trump', 'type': 'PER'}]","[{'entity': 'May', 'type': 'PER'}, {'entity': 'Mkurugenzi wa VOA', 'type': 'ORG'}, {'entity': 'Amanda Bennett', 'type': 'PER'}, {'entity': 'Barack Obama', 'type': 'PER'}, {'entity': 'utawala wa Trump', 'type': 'ORG'}, {'entity': 'dunia', 'type': 'LOC'}]",This is a Swahili text translated to English: May alielezea sifa za Mkurugenzi,[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""May"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""Mkurugenzi wa VOA"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Amanda Bennett"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""Barack Obama"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""utawala wa Trump"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""dunia"",
      ""entity_type"": ""LOC""
    }
  ]
}
```
---

--- Your Task ---
Text: ""Kuna wateja wanaopenda kupata maisha ya kufanya kazi katika nchi yetu,",,6.952770471572876
5 .,[],"[{'entity': '5', 'type': 'DATE'}]",This is a Swahili text translated to English: 5 .,[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""5"",
      ""entity_type"": ""DATE""
    }
  ]
}
```",,6.852483987808228
"Ujumbe wa Video Kupitia ujumbe wa video fupi iliyosambaa mitandaoni wakati Masele akihojiwa kuhusu tuhuma zinazomkabili Rais wa PAP , alisema amefurahi baada ya kamati ya uchunguzi iliyoundwa na Bunge hilo kuchunguza tuhuma hizo zinazomkabili Rais kukamilisha kazi yake .","[{'entity': 'Masele', 'type': 'PER'}, {'entity': 'PAP', 'type': 'ORG'}]","[{'entity': 'Ujumbe wa Video', 'type': 'ORG'}, {'entity': 'Masele', 'type': 'ORG'}, {'entity': 'tuhuma', 'type': 'LOC'}, {'entity': 'zinazomkabili', 'type': 'LOC'}, {'entity': 'Rais wa PAP', 'type': 'PER'}, {'entity': 'amefurahi', 'type': 'DATE'}, {'entity': 'kamati ya uchunguzi', 'type': 'LOC'}]",This is a Swahili text translated to English: Ujumbe wa Video Kupitia ujumbe,[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""Ujumbe wa Video"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Masele"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""tuhuma"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""zinazomkabili"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""Rais wa PAP"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""amefurahi"",
      ""entity_type"": ""DATE""
    },
    {
      ""entity_text"": ""kamati ya uchunguzi"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""uchunguzi"",
      ""entity",,7.027542352676392
