id,lrl_question,lrl_context,lrl_ground_truth_answers_list,en_question_model,en_context_model,en_answer_model_intermediate,lrl_answer_model_final,comet_lrl_q_to_en,comet_lrl_c_to_en,comet_en_a_to_lrl,raw_q_translation_output,raw_c_translation_output,raw_en_qa_output,raw_a_backtranslation_output,error_message,runtime_sec
fi-validation-596,Milloin ensimmäinen Tähtien sota elokuva julkaistiin?,"Sarjan ensimmäinen elokuva, Tähtien sota (myöhemmältä lisänimeltään Episodi IV – Uusi toivo), sai ensi-iltansa 25. toukokuuta 1977 20th Century Foxin levittämänä ja siitä tuli maailmanlaajuinen ilmiö. Sille ilmestyi kaksi yhtä lailla menestynyttä jatko-osaa Imperiumin vastaisku (1980) ja Jedin paluu (1983); näistä kolmesta elokuvasta koostuu alkuperäinen Tähtien sota -trilogia. Esiosatrilogia ilmestyi myöhemmin vuosina 1999–2005, joka sai faneilta ja kriitikoilta kriittisemmän vastaanoton kuin alkuperäinen trilogia. Kaikki kuusi ovat joko voittaneet tai olleet ehdolla Oscar-palkintojen saajiksi, ja ne ovat tuottaneet yhteensä 4,38 miljardia dollaria.[1] Se on tällä hetkellä maailman toiseksi eniten tuottanut elokuvasarja.[2] Sarjaa laajennettiin suuremmaksi mediajatkumoksi Expanded Universen kautta, johon kuuluu kirjoja, televisiosarjoja, videopelejä, ja sarjakuvia.",['25. toukokuuta 1977'],When was the first Star Wars movie released?,"The first film in the series, Star Wars (later known as Episode IV – A New Hope), was released on May 25, 1977 by 20th Century Fox and became a worldwide phenomenon. It was followed by two equally successful sequels, Empire Strikes Back (1980) and Return of the Jedi (1983); these three films form the original Star Wars trilogy. A prequel trilogy, consisting of The Phantom Menace (1999), Attack of the Clones (2002), and Revenge of the Sith (2005), was released later, and has also been very successful, winning or being nominated for numerous Academy Awards, and grossing over $4.38 billion worldwide.[1] It is currently the second highest-grossing film franchise of all time.[2] The franchise has been expanded into a larger media franchise, Expanded Universe, including books, television series, video games, and comic books.","May 25, 1977",25.5.1977,,,,When was the first Star Wars movie released?,"The first film in the series, Star Wars (later known as Episode IV – A New Hope), was released on May 25, 1977 by 20th Century Fox and became a worldwide phenomenon. It was followed by two equally successful sequels, Empire Strikes Back (1980) and Return of the Jedi (1983); these three films form the original Star Wars trilogy. A prequel trilogy, consisting of The Phantom Menace (1999), Attack of the Clones (2002), and Revenge of the Sith (2005), was released later, and has also been very successful, winning or being nominated for numerous Academy Awards, and grossing over $4.38 billion worldwide.[1] It is currently the second highest-grossing film franchise of all time.[2] The franchise has been expanded into a larger media franchise, Expanded Universe, including books, television series, video games, and comic books.","May 25, 1977","""25.5.1977""",,6.801450252532959
fi-validation-588,Milloin Berliinin muuri kaatui?,"Muurin murtuminen johtui oikeastaan väärinkäsityksestä. Syksyllä 1989 alkoivat suuret Itä-Saksan hallituksen vastaiset mielenosoitukset. Maan johtaja Erich Honecker erosi 18. lokakuuta. Uusi hallitus päätti marraskuussa lievittää hiukan ankaria matkustusrajoituksia ihmisten lepyttämiseksi. Tiedotteen lukija Günter Schabowski ei ollut mukana päätöksenteossa eikä tiennyt yksityiskohtia, ei myöskään sitä, että päätöksen piti astua voimaan vasta seuraavana päivänä. Schabowski sekosi papereissaan suorassa lähetyksessä ja ilmoitti, että matkoja muurin toiselle puolelle tehtäisiin vastedes ilman ennakkoehtoja. Hän vastasi italialaistoimittajan kysymykseen: ”Minun tietääkseni voimassa heti, ilman viivettä.” Tämä ilmoitettiin myös länsisaksalaisilla televisiokanavilla ja pian kymmenet tuhannet uteliaat ihmiset ryntäsivät muurille. Hämmästyneet rajavartijat eivät tienneet, mitä tehdä pääsyä muurin toiselle puolelle vaatineille ihmismassoille. Koska vaihtoehtona olisi ollut omien kansalaisten ampuminen, rajavartijat antoivat periksi ja päästivät kansanjoukot läpi. Muurin toisella puolella heitä tervehtivät riemuitsevat länsiberliiniläiset. Tätä marraskuun yhdeksättä päivää vuonna 1989 pidetään muurin murtumispäivänä.[5]",['1989'],When did the Berlin Wall fall?,"The fall of the Berlin Wall was caused by a misperception. In the autumn of 1989, large protests began in East Germany against the government. On the 18th of October, the leader of East Germany, Erich Honecker, resigned. The new government decided in September to slightly ease the strict travel restrictions on people crossing over into West Germany. Günter Schabowski, who was not involved in the decision and did not know the details, announced on television that night that travel would be allowed without restriction the next day. When asked by an Italian journalist if he knew when it would take effect, Schabowski replied, ""As far as I know, immediately, without delay."" This announcement was broadcast on television in West Germany and thousands of people rushed to the Wall. The border guards were stunned and did not know what to do. Since there was no alternative but to let them through, the border guards opened the gates and allowed the crowds to pass. On the other side of the Wall, people greeted each other joyfully. That night, on the 9",October 1989,Tammikuu 1989,,,,When did the Berlin Wall fall?,"The fall of the Berlin Wall was caused by a misperception. In the autumn of 1989, large protests began in East Germany against the government. On the 18th of October, the leader of East Germany, Erich Honecker, resigned. The new government decided in September to slightly ease the strict travel restrictions on people crossing over into West Germany. Günter Schabowski, who was not involved in the decision and did not know the details, announced on television that night that travel would be allowed without restriction the next day. When asked by an Italian journalist if he knew when it would take effect, Schabowski replied, ""As far as I know, immediately, without delay."" This announcement was broadcast on television in West Germany and thousands of people rushed to the Wall. The border guards were stunned and did not know what to do. Since there was no alternative but to let them through, the border guards opened the gates and allowed the crowds to pass. On the other side of the Wall, people greeted each other joyfully. That night, on the 9",October 1989,"""Tammikuu 1989""",,7.338646173477173
fi-validation-208,Ketkä sotivat peloponnesolaissodassa?,"

Peloponnesolaissota käytiin pääasiassa Ateenan ja Spartan johtamien liittojen välillä vuosina 431–404 eaa. Persialaissotien jälkeen Ateenan valta oli kasvanut valtavasti, ja muut kaupunkivaltiot pelkäsivät, että Ateenasta tulisi liian voimakas. Lopulta sota syttyi Spartan ja Ateenan välillä. Peloponnesolaissota oli yksi antiikin Kreikan historian käännekohdista. Sota veti mukaansa miltei kaikki kreikkalaiset kaupunkivaltiot, ja sen aikana kuoli ennennäkemätön määrä ihmisiä. Sodan aikana kumpikin osapuoli teki myös julmuuksia, joilta aikaisemmin oli säästytty.",['Ateenan ja Sparta'],Who were the soldiers of the Peloponnesian War?,"The Peloponnesian War was fought mainly between the Athenian and Spartan leagues from 431 to 404 BCE. After the Persian Wars, Athens' power had grown immensely, and other city-states feared that Athens would become too powerful. Eventually, the war broke out between Sparta and Athens. The Peloponnesian War was one of the most significant events in ancient Greek history. It wiped out most of the Greek city-states, and during its course, an unprecedented number of people died. During the war, both sides also committed atrocities, which had previously been uncommon.",Athens and Sparta,Atena ja Sparta,,,,Who were the soldiers of the Peloponnesian War?,"The Peloponnesian War was fought mainly between the Athenian and Spartan leagues from 431 to 404 BCE. After the Persian Wars, Athens' power had grown immensely, and other city-states feared that Athens would become too powerful. Eventually, the war broke out between Sparta and Athens. The Peloponnesian War was one of the most significant events in ancient Greek history. It wiped out most of the Greek city-states, and during its course, an unprecedented number of people died. During the war, both sides also committed atrocities, which had previously been uncommon.",Athens and Sparta,"""Atena ja Sparta""",,4.062784910202026
fi-validation-291,Mikä oli Stephenie Meyer ensimmäinen kirja?,"

Stephenie Meyer (o.s. Morgan, s. 24. joulukuuta 1973 Hartford, Connecticut) on yhdysvaltalainen kirjailija. Hänet tunnetaan neliosaisesta romanttisesta fantasiasarjasta Houkutus (). Kirjasarjan ensimmäinen osa, vuonna 2005 julkaistu Houkutus, oli Meyerin esikoisteos. Meyerin Houkutus-sarjan kirjoja on myyty maailmanlaajuisesti yli 42 miljoonaa kappaletta,[1][2] ja sarjaa on käännetty 37 kielelle.[3] Vuonna 2005 Publishers Weekly -lehti valitsi Meyerin yhdeksi vuoden lupaavimmista uusista kirjailijoista.[4]",['Houkutus'],What was Stephenie Meyer's first book?,"Stephenie Meyer (née Morgan; born November 24, 1973) is an American author. She is known for her bestselling series of young adult novels, Twilight (). The first book in the Twilight series, Twilight, was published in 2005 and was Meyer's debut novel. Meyer's Twilight books have sold over 42 million copies worldwide,[1][2] and the series has been translated into 37 languages.[3] In 2005, Twilight author Stephenie Meyer was named one of the top ten new authors by Publishers Weekly.[4]",Twilight,Surma,,,,What was Stephenie Meyer's first book?,"Stephenie Meyer (née Morgan; born November 24, 1973) is an American author. She is known for her bestselling series of young adult novels, Twilight (). The first book in the Twilight series, Twilight, was published in 2005 and was Meyer's debut novel. Meyer's Twilight books have sold over 42 million copies worldwide,[1][2] and the series has been translated into 37 languages.[3] In 2005, Twilight author Stephenie Meyer was named one of the top ten new authors by Publishers Weekly.[4]",Twilight,Surma,,4.0205888748168945
fi-validation-174,Minkä Suomen historian aikakauden katsotaan alkaneen Helmikuun manifestista?,"Ensimmäisen sortokauden katsotaan alkaneen, kun keisari Nikolai II vuonna 1899 antoi helmikuun manifestin.[1][2][3] Sitä vastaan kerättiin Suuri adressi.",['Ensimmäisen sortokauden'],"What is your view of Finland's history, as seen from June 1968?",The first appearance of the parade was in June 1899 when Emperor Nicholas II issued a manifesto.[1][2][3] A grand address was given in response.,I don't know,En tietä,,,,"""What is your view of Finland's history, as seen from June 1968?""",The first appearance of the parade was in June 1899 when Emperor Nicholas II issued a manifesto.[1][2][3] A grand address was given in response.,I don't know.,"""En tietä""",,2.0433192253112793
fi-validation-292,Mikä oli SOAD ensimmäinen levy?,"Kesällä 1998 System of a Down julkaisi debyyttialbuminsa nimeltään System of a Down. Albumi menestyi hyvin, ja sen ensimmäisestä singlestään Sugar tuli radiosuosikki. Vähän ajan päästä SOAD julkaisi toisen singlensä, nimeltään Spiders. Kolmas single oli War?. Albumin ilmestyttyä yhtye keikkaili laajasti Slayerin lämmittelijänä, ennen kuin he pääsivät esiintymään Ozzfestille. Ozzfestin jälkeen he keikkailivat yhdessä muiden bändien kanssa ympäri Yhdysvaltoja, mutta myös pienemmillä kiertueilla Euroopassa.",['System of a Down'],What was SOAD's first album?,"In the summer of 1998, System of a Down released their debut album titled simply System of a Down. The album did well, and its first single, Sugar, became a radio hit. A little while later, SOAD released their second single, Spiders. Their third single was War?, and the band's association with Slayer's producer led to their appearance at Ozzfest before they had even released an album. After Ozzfest, they toured with other bands around the US and also toured in Europe on smaller tours.",System of a Down,System of a Down,,,,What was SOAD's first album?,"In the summer of 1998, System of a Down released their debut album titled simply System of a Down. The album did well, and its first single, Sugar, became a radio hit. A little while later, SOAD released their second single, Spiders. Their third single was War?, and the band's association with Slayer's producer led to their appearance at Ozzfest before they had even released an album. After Ozzfest, they toured with other bands around the US and also toured in Europe on smaller tours.",System of a Down,"""System of a Down""",,3.8182334899902344
fi-validation-711,Minkä maalainen yhtiö Ubisoft on?,"
Ubisoft Entertainment S.A. (aikaisemmin Ubi Soft Entertainment Software) on ranskalainen videopelien kehittämiseen ja julkaisuun keskittynyt yritys. Se on Euroopan kolmanneksi suurin ja Yhdysvaltojen seitsemänneksi suurin itsenäinen videopeliyritys. ",['ranskalainen'],What kind of company is Ubisoft?,"Ubisoft Entertainment SA (formerly Ubi Soft Entertainment Software) is a French video game developer and publisher headquartered in Rennes, France. It is the third largest European video game company and the sixth largest independent video game company in the United States.",French video game developer and publisher,Rajaton peli- ja julkaisutoimintaseuraa,,,,What kind of company is Ubisoft?,"Ubisoft Entertainment SA (formerly Ubi Soft Entertainment Software) is a French video game developer and publisher headquartered in Rennes, France. It is the third largest European video game company and the sixth largest independent video game company in the United States.",French video game developer and publisher,"""Rajaton peli- ja julkaisutoimintaseuraa""",,2.392857551574707
fi-validation-210,Milloin Eurovisionia on aloitettu järjestämään?,Ensimmäinen Eurovision laulukilpailu pidettiin Sveitsin Luganossa vuonna 1956. Idean isä oli EBU:n ranskalainen voimahahmo Marcel Bezençon. EBU:n perustajayhtiöillä oli tarve keksiä kaikkia jäsenmaita kiinnostavia televisio-ohjelmia.[14] Pienin yhteinen nimittäjä löytyi laulukilpailusta ja esikuvana oli 1951 alkanut Italian valtion TV-yhtiö RAI:n ja Sanremon kasinon järjestämä kansallinen laulukilpailu Festival di Sanremo. ,['1956'],When did the Eurovision Song Contest begin?,"The first Eurovision Song Contest was held in Lugano, Switzerland in 1956. The idea was conceived by Marcel Bezençon, a French engineering genius of the EBU. The founding organizations of the EBU needed to devise a way to create interesting television programs for all member states.[14] The smallest common denominator was found in the song contest and it was based on the Italian national TV company RAI's and the Sanremo Music Festival's national song contest that began in 1951.",1956,1956,,,,When did the Eurovision Song Contest begin?,"The first Eurovision Song Contest was held in Lugano, Switzerland in 1956. The idea was conceived by Marcel Bezençon, a French engineering genius of the EBU. The founding organizations of the EBU needed to devise a way to create interesting television programs for all member states.[14] The smallest common denominator was found in the song contest and it was based on the Italian national TV company RAI's and the Sanremo Music Festival's national song contest that began in 1951.",1956,"""1956""",,3.5455691814422607
fi-validation-266,Miksi vironruotsalaiset ovat historiallinen vähemmistö?,"
Ruotsalaisia on asunut Viron alueella ainakin 1200-luvulta lähtien. 1210- ja 1220-luvulla saksalaiset ja tanskalaiset valloittivat virolaisten alueet. Virolaisia ei ollut perinteisesti asunut paljon rannikoilla. Tästä syystä paikalliset kartanonherrat alkoivat houkutella ruotsalaisia siirtolaisia mailleen. Ruotsalaisia pidettiin myös ehkä luotettavampina kuin hiljattain käännytettyjä virolaisia.[1] Siitä, mistä Viroon muuttaneet ruotsalaiset tulivat, ei ole tarkkaa tietoa, eikä muuttoliikettä mainita ruotsalaisissa aikalaislähteissä. Siirtolaisia tuli ilmeisesti Gotlannista, Ruotsin itärannikolta ja Suomen ruotsalaisyhteisöistä. Varhaisin kirjallinen lähde ruotsalaisista Virossa on vuodelta 1294 Haapsalusta. Lähteessä mainittiin ruotsalaisia elävän paitsi Haapsalussa myös Saarenmaan alueella. 1200-luvun siirtolaisten määrä lienee ollut pieni. Siirtolaisia tuli enemmän 1340-luvulla, kun virolaisten epäonnistunut yrjönyön kapina tyhjensi kyliä ja maatiloja.[1] Ruotsalaisten muuttoaalto Viroon oli huipussaan 1400- ja 1500-luvulla. Siirtolaiset saivat niin sanotun ruotsalaisoikeuden, joka takasi heille paremman oikeudellisen aseman ja lievemmän verotuksen kuin virolaisille.[2] Samaan aikaan virolaisista tuli käytännössä maaorjia.[1] 1560-luvulla ruotsalaisia oli Virossa noin 1000.[3] Ruotsalaisten maahanmuutto loppui 1500-luvun aikana, ja heidän määräänsä vähensivät sodat, joita käytiin alueella 1560-luvulta 1640-luvulle saakka. Sodat ja taudit tappoivat luultavasti yli puolet ruotsalaisväestöstä, ja heidän määränsä palautui 1560-luvun lukemiin vasta 1600-luvun puolivälissä.[1]",['1210- ja 1220-luvulla saksalaiset ja tanskalaiset valloittivat virolaisten alueet. Virolaisia ei ollut perinteisesti asunut paljon rannikoilla. Tästä syystä paikalliset kartanonherrat alkoivat houkutella ruotsalaisia siirtolaisia mailleen'],Why are Finns a historical minority?,"The Swedes have lived in the region of Viira since at least the 12th century. In 1210 and 1220, the Saxons and the Russians invaded the regions of Viira. The Russians were not traditionally found in large numbers along the coast. This is why local cartographers began to attract Swedes from the mountains. The Swedes were considered more reliable than the Russians at that time. Since then, it is not known exactly where the Swedes who moved to Viira came from, nor is there any mention of a migration of Swedes in Russian sources. It appears that the Swedes came from Gotland, the eastern part of Sweden, and the Swedish community in Finland. The earliest written source about Swedes in Viira dates back to 1294 from Haapsalu. In this source, it was mentioned that Swedes lived in Haapsalu as well as in the region of Saaremaa. The number of Swedes in the 13th century was small. More Swedes arrived in 1340 when the Russians' failed campaign to capture the fortress",I don't know,En tiedä.,,,,Why are Finns a historical minority?,"The Swedes have lived in the region of Viira since at least the 12th century. In 1210 and 1220, the Saxons and the Russians invaded the regions of Viira. The Russians were not traditionally found in large numbers along the coast. This is why local cartographers began to attract Swedes from the mountains. The Swedes were considered more reliable than the Russians at that time. Since then, it is not known exactly where the Swedes who moved to Viira came from, nor is there any mention of a migration of Swedes in Russian sources. It appears that the Swedes came from Gotland, the eastern part of Sweden, and the Swedish community in Finland. The earliest written source about Swedes in Viira dates back to 1294 from Haapsalu. In this source, it was mentioned that Swedes lived in Haapsalu as well as in the region of Saaremaa. The number of Swedes in the 13th century was small. More Swedes arrived in 1340 when the Russians' failed campaign to capture the fortress",I don't know,"""En tiedä.""",,7.229106426239014
fi-validation-331,Minä vuonna kokaiini lähti pois Coca Colan reseptistä?,"Coca-Colassa on sokeria   kohti.[2] Coca-Colaan käytettiin vuoteen 1903 asti tuoreita kokalehtiä, ja lasillinen Coca-Colaa sisälsi siihen aikaan vielä täysin laillista kokaiinia.[3] Toinen Coca-Colan alkuperäisreseptissä käytetty raaka-aine oli kolapähkinä, joka sisältää runsaasti kofeiinia. Coca-Colan varsinainen valmistuskaava on edelleen erittäin suojeltu salaisuus. Erityisesti tämä koskee Merchandise 7X -nimellä kutsuttua ainesosaa.[4]",['1903'],Did I ever leave Coca Cola recipes?,"Coca-Cola is sugar-based.[2] Coca-Cola was used as a soda from 1903 onwards, and the standard Coca-Cola recipe contained fully legal levels of caffeine.[3] Another ingredient in the original Coca-Cola recipe was kola nut, which contains large amounts of caffeine. The exact formula for the real thing remains a closely guarded secret. This especially applies to Merchandise 7X, or 'Merchandise 7X', a flavoring agent.[4]",No,Ei,,,,Did I ever leave Coca Cola recipes?,"Coca-Cola is sugar-based.[2] Coca-Cola was used as a soda from 1903 onwards, and the standard Coca-Cola recipe contained fully legal levels of caffeine.[3] Another ingredient in the original Coca-Cola recipe was kola nut, which contains large amounts of caffeine. The exact formula for the real thing remains a closely guarded secret. This especially applies to Merchandise 7X, or 'Merchandise 7X', a flavoring agent.[4]",No,"""Ei""",,3.4067344665527344
