id,lrl_question,lrl_context,lrl_ground_truth_answers_list,en_question_model,en_context_model,en_answer_model_intermediate,lrl_answer_model_final,comet_lrl_q_to_en,comet_lrl_c_to_en,comet_en_a_to_lrl,raw_model_response_single_prompt,error_message,runtime_sec
sw-validation-460,Mtume Thoma alikuwa nani?,"

Thoma (au Didimo, yaani Pacha) alikuwa Myahudi wa karne ya 1, mmojawapo kati ya Mitume wa Yesu anayeheshimiwa kama mtakatifu, kwa namna ya pekee na Wakristo wa maeneo yaliyokuwa mashariki kwa Dola la Roma, kuanzia Iraq hadi India.",['mmojawapo kati ya Mitume wa Yesu anayeheshimiwa kama mtakatifu'],Who was Thomas the Apostle?,"Thomas (also known as Didymus, meaning ""twin"" in Greek), was one of the twelve apostles of Jesus and played a significant role in the early Christian church. He is often",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: Who was Thomas the Apostle?
English Context: Thomas (also known as Didymus, meaning ""twin"" in Greek), was one of the twelve apostles of Jesus and played a significant role in the early Christian church. He is often",,2.0805752277374268
sw-validation-73,"Je,Walter Rodney alizaliwa mwaka upi?",Walter Rodney (23 Machi 1942 - 13 Juni 1980) alikuwa mwanahistoria maarufu wa Guyana na mwanatakwimu wa kisiasa.,['1942'],When was Walter Rodney born?,Walter Rodney (23 March 1942 - 13 June 1980) was a Guyanese historian and activist.,23,[SP_Extract_Error_LRL_A],,,,"English Question: When was Walter Rodney born?
English Context: Walter Rodney (23 March 1942 - 13 June 1980) was a Guyanese historian and activist.
English Answer: 23",,1.5323078632354736
sw-validation-231,"Je,Paul Emil von Lettow-Vorbeck alizaliwa lini?","
Paul Emil von Lettow-Vorbeck (20 Machi, 1870 – 9 Machi,  1964) alikuwa afisa wa jeshi la Dola la Ujerumani na mkuu wa jeshi la Schutztruppe katika Afrika ya Mashariki ya Kijerumani wakati wa Vita Kuu ya Kwanza ya Dunia.","['20 Machi, 1870']",Who was Paul Emil von Lettow-Vorbeck?,"Paul Emil von Lettow-Vorbeck (20 March, 1870 – 9 March, 1964) was",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: Who was Paul Emil von Lettow-Vorbeck?
English Context: Paul Emil von Lettow-Vorbeck (20 March, 1870 – 9 March, 1964) was",,1.5333187580108643
sw-validation-175,"Je,msanii Juma Nature alizaliwa lini?","
Juma Nature or Sir Nature (born in 1980 as Juma Kassim Ally in Dar es Salaam ) is a new generation musician popularly known as Bongo Flava from the country of Tanzania . Also a founder of a group of men TMK .",['1980'],When was Juma Nature born?,Juma Nature or Sir Nature (born in 1980 as Juma Kassim Ally in Dar es Salaam) is a new generation musician popularly known as Bongo Flava,[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: When was Juma Nature born?
English Context: Juma Nature or Sir Nature (born in 1980 as Juma Kassim Ally in Dar es Salaam) is a new generation musician popularly known as Bongo Flava",,1.5281760692596436
sw-validation-237,Mti wa Moringa una tibu magonjwa aina ngapi?,"Mti wa mlonge pia umegundulika kuwa ndio mti wenye maajabu zaidi duniani hasa baada ya kufanyiwa utafiti na wanasayansi wa Uingereza. Mti huu una uwezo wa kutibu magonjwa zaidi ya 100 kama vile vidonda vya tumbo, malaria, homa ya matumbo, maambukizo ya mfumo wa mkojo na magonjwa mengine. Mti huu pia umeonekana kuwa na protini nyingi kuliko inayopatikana katika nyama, maziwa, samaki pamoja na maharagwe. Pia mti huu una virutubisho vya Omega-3 ambavyo havipatikani katika maziwa na nyama hivyo kuwa ndio mti wa ajabu zaidi duniani.",['zaidi ya 100'],What can be done about the problem of people not eating enough vegetables and fruits?,"In many parts of the world, people are not consuming enough vegetables and fruits, which can lead to various health issues. However, there",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: What can be done about the problem of people not eating enough vegetables and fruits?
English Context: In many parts of the world, people are not consuming enough vegetables and fruits, which can lead to various health issues. However, there",,1.570826530456543
sw-validation-425,Amani James Pausen Temba  ni mwanachama kiongozi wa kitu gani?,"
Amani James Pausen Temba au ""Mheshimiwa Temba"" (kifupi Mh Temba) ni Mwanamuziki wa Rap na Hip Hop Kutoka Jijini Dar es Salaam Tanzania, Na pia ni Mwanachama Kiongozi wa Tmk Wanaume Family yenye makazi yao huko Temeke Jijini Dar es Salaam Tanzania,
Mh Temba alizaliwa mwaka 1980 na kupata elimu yake ya msingi katika shule ya msingi Temeke na baadaye kujiunga na shule ya sekondari ya Nuru Yakini ambako alisoma kwa miaka miwili kabla ya kuhamia sekondari ya Makongo, alisoma Makongo kwa mda wiki moja tu na kwenda kujiunga na sekondari nyingine inayomilikiwa na Jeshi ya Jigetemee baada ya kupata ofa ya kusomeshwa bure na uongozi wa shule hiyo enzi hizo ukiwa chini ya Luteni kanali Fabian Massawe ambaye sasa ni Mkuu wa wilaya ya kinondoni.",['Tmk Wanaume'],What are the names of Amani James Pausen Temba's children?,"Amani James Pausen Temba, also known as ""Mheshimiwa Temba"" (or simply Mh Temba), is",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: What are the names of Amani James Pausen Temba's children?
English Context: Amani James Pausen Temba, also known as ""Mheshimiwa Temba"" (or simply Mh Temba), is",,1.5836968421936035
sw-validation-155,"Je,gazeti la BrooWaha huchapishwa kila baada ya wakati gani?","Watumiaji waliosajiliwa katika tovuti ya BrooWaha huwa na ruhusa ya kuandika makala kwenye ukurasa maalum ya maandishi katika tovuti. Ukurasa huu huwezesha watumiaji kuandika makala na kuambatanisha picha na kuyawasilisha kwa wahariri. Makala, kwa kawaida, huchapishwa katika au baada ya saa 24.
Licha ya kuwapa watumiaji chaguo nyingi za kuandika maandishi kwa njia mbalimbali, tovuti hiyo imepata umaarufu wa kuweza kuwa na viungo vya tovuti zingine na huonyesha video ya YouTube katika makala yao.",['katika au baada ya saa 24'],When does the newspaper BrooWaha usually publish articles?,The journalists working at the BrooWaha newspaper are assigned to write articles for a specific section of the paper. These articles are typically written and published within,[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: When does the newspaper BrooWaha usually publish articles?
English Context: The journalists working at the BrooWaha newspaper are assigned to write articles for a specific section of the paper. These articles are typically written and published within",,1.569572925567627
sw-validation-55,Rais wa kwanza wa Togo anaitwa nani?,"Muda wa UtawalaMtawalaChamaVidokezoJamhuri ya Togo27 Aprili 1960 hadi 13 Januari 1963Sylvanus Olympio, RaisCUTAling'olewa Madarakani na Kuuwawa13 Januari 1963 hadi 15 Januari 1963Emmanuel Bodjollé, Mwenyekiti wa Kamati kusababisha uasiMil16 Januari 1963 hadi 13 Januari 1967Nicolas Grunitzky, RaisPTPAling'olewa Madarakani14 Januari 1967 hadi 14 Aprili 1967Kléber Dadjo, Mwenyekiti wa Kamati ya Taifa ya MaridhianoMil14 Aprili 1967 hadi 30 Novemba 1969 Étienne Eyadéma, RaisMil30 Novemba 1969  hadi 8 Mei 1974 RPTAlibadilisha jina kuwa Gnassingbé Eyadéma8 Mei 1974  hadi 5 Februari 2005Gnassingbé Eyadéma, RaisRPTAlikufa katika ofisi5 Februari 2005 hadi 25 Februari 2005Faure Gnassingbé, RaisRPTMara ya kwanza25 Februari 2005 hadi 4 Mei 2005Bonfoh ABBASS, Kaimu RaisRPT4 Mei 2005 hadi sasaFaure Gnassingbé, RaisRPTMara ya pili",['Sylvanus Olympio'],Who was the first president of Togo?,Muda wa Utawala Mtawala Chama Vidokezo Jamhuri ya Togo 27 Aprili 1960 hadi 13 Januari,[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: Who was the first president of Togo?
English Context: Muda wa Utawala Mtawala Chama Vidokezo Jamhuri ya Togo 27 Aprili 1960 hadi 13 Januari",,1.6121768951416016
sw-validation-322,Ruwaza ya Kenya 2030 ilitengenezwa mwaka upi?,"Kulitangazwa 10 Juni 2008, kwamba wilaya ya Isiolo, itakuwa ya kwanza ya mradi wa kewekezwa. Mpango unazimia kuufanya mji wa Isiolo kuimarika kama eneo la kitalii ambalo litajumuisha kasino, mahoteli, masoko rejareja, uwanja wa ndege wa kisasa na vifaa vya usafiri.[3]",['2008'],When is Kenya's vision 2030 planned to be realized?,"On June 10, 2008, the County of Isiolo was the first to launch its own version of the",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: When is Kenya's vision 2030 planned to be realized?
English Context: On June 10, 2008, the County of Isiolo was the first to launch its own version of the",,1.5391356945037842
sw-validation-9,"Je, Edward Moss alizaliwa lini?","Edward Moss (amezaliwa tar. 11 Julai 1977) ni mwigizaji wa filamu na mchekeshaji kutoka nchini Marekani. Anafahamika zaidi kwa kuigiza na kucheza kama hayati Michael Jackson kwenye filamu na vipindi vya TV.[1][2] Awali alikuwa anafanya katika kampuni ya McDonald's mwanzoni mwa miaka ya 1990, ambapo wafanyakazi wenzake walikuwa wakimwambia kama anafanana sana na mwimbaji Michael Jackson; hivyo basi Moss akaingia katika shindano la kutafuta watu wenye vipaji na kubahatika kushinda, na kadiri muda unavyokwenda, ameamua kujitafutia riziki yake kwa kujifanya kama Jackson.",['11 Julai 1977'],When did Edward Moss die?,"Edward Moss (born July 11, 1977) is an actor and cheetah trainer from the United States. He is best known for his roles in films and",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: When did Edward Moss die?
English Context: Edward Moss (born July 11, 1977) is an actor and cheetah trainer from the United States. He is best known for his roles in films and",,1.5684654712677002
