premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_model_response,runtime_seconds,error_message
baqi tasawor kiya jata hah hain kai dimension aik ball ki trah curved hui hai planck lenght scale par jise Calabi-Yau spaces kaha jata hah aur zayada aam tor par campacted moduli.,کلابی یاؤ جگہیں ایک ٹن تک پھیل گئی ہیں۔,2,contradiction,Remaining shapes are formed such that some dimensions are curved like a ball at the Planck length scale and are compactified moduli beyond common torus.,Calabi-Yau spaces have spread out to fill up an entire volume.,neutral,N/A_SP_EN_eval,neutral,"---

Original Urdu Premise: 'baqi tasawor kiya jata hah hain kai dimension aik ball ki trah curved hui hai planck lenght scale par jise Calabi-Yau spaces kaha jata hah aur zayada aam tor par campacted moduli.'
Original Urdu Hypothesis: 'کلابی یاؤ جگہیں ایک ٹن تک پھیل گئی ہیں۔'

Translated English Premise: Remaining shapes are formed such that some dimensions are curved like a ball at the Planck length scale and are compactified moduli beyond common torus.
Translated English Hypothesis: Calabi-Yau spaces have spread out to fill up an entire volume.
English NLI Label: neutral
--- Explanation ---
- The premise discusses the formation of certain shapes with specific properties related to dimensions being curved and compactified at the Planck length scale.
- The hypothesis states that Calabi-Yau spaces have filled up an entire volume, which is not directly supported or contradicted by the information provided in the premise. Therefore, it's a neutral relationship. --- Original Urdu Premise: 'baqi tasawor kiya jata hah hain kai dimension aik ball ki trah curved hui hai planck lenght scale par jise Calabi-Yau spaces kaha jata hah aur zayada aam tor par campacted moduli.'
Original Urdu Hypothesis: 'کلابی یاؤ جگہیں ایک ٹن تک پھیل گئی ہیں۔'

Translated English Premise",19.751441478729248,
CFO ایکٹ کے اہداف کو حاصل کرنے کے لئے 23 مالی مسلسل لمحات لازمی ہے,23Financial اپنے تمام مقاصد پورے کرنے کے پاس ہے,1,neutral,CFO ایکٹ کے اہداف کو حاصل کرنے کے لئے 23 مالی مسلسل لمحات لازمی ہے,23Financial اپنے تمام مقاصد پورے کرنے کے پاس ہے,neutral,N/A_SP_EN_eval,neutral,"---

Original Urdu Premise: 'CFO ایکٹ کے اہداف کو حاصل کرنے کے لئے 23 مالی مسلسل لمحات لازمی ہے'
Original Urdu Hypothesis: '23Financial اپنے تمام مقاصد پورے کرنے کے پاس ہے'

Translated English Premise: CFO ایکٹ کے اہداف کو حاصل کرنے کے لئے 23 مالی مسلسل لمحات لازمی ہے
Translated English Hypothesis: 23Financial اپنے تمام مقاصد پورے کرنے کے پاس ہے
English NLI Label: neutral",9.662959814071655,
میں لاچار ہوں‏، اس عورت نے اس مرد کو بتایا۔,انہوں نے اسے کہا تھا کہ اس پر دباؤ ڈالا گیا تھا۔,0,entailment,میں لاچار ہوں‏، اس عورت نے اس مرد کو بتایا۔,انہوں نے اسے کہا تھا کہ اس پر دباؤ ڈالا گیا تھا۔,entailment,N/A_SP_EN_eval,entailment,"---

Original Urdu Premise: 'میں لاچار ہوں‏، اس عورت نے اس مرد کو بتایا۔'
Original Urdu Hypothesis: 'انہوں نے اسے کہا تھا کہ اس پر دباؤ ڈالا گیا تھا۔'

Translated English Premise: میں لاچار ہوں‏، اس عورت نے اس مرد کو بتایا۔
I am confused, she told that pressure was applied on him.

Translated English Hypothesis: انہوں نے اسے کہا تھا کہ اس پر دباؤ ڈالا گیا تھا۔
She told him that pressure was applied on him.

English NLI Label: entailment",10.939149379730225,
یہ نہیں ہے کے میرے پاس اخبار پڑھنے کے لۂے وقت نہیں ہے، دراصل مجھے خبریں دیکھنیں میں زیادہ مذہ آتا ہے۔,جو کچھ آپ کو کاغذ پر ملے گا وہ اس سے بہت زیادہ کا احاطہ کرتے ہیں۔,1,neutral,"This is not because I don't have time to read newspapers, fundamentally watching news gives me more pleasure.","Whatever gets printed on paper, they cover it much more extensively.",neutral,N/A_SP_EN_eval,neutral,"---

Original Urdu Premise: 'یہ نہیں ہے کے میرے پاس اخبار پڑھنے کے لۂے وقت نہیں ہے، دراصل مجھے خبریں دیکھنیں میں زیادہ مذہ آتا ہے۔'
Original Urdu Hypypothesis: 'جو کچھ آپ کو کاغذ پر ملے گا وہ اس سے بہت زیادہ کا احاطہ کرتے ہیں۔'

Translated English Premise: This is not because I don't have time to read newspapers, fundamentally watching news gives me more pleasure.
Translated English Hypothesis: Whatever gets printed on paper, they cover it much more extensively.
English NLI Label: neutral
--- Explanation ---
- The premise talks about personal preference between reading newspapers and watching news.
- The hypothesis discusses the extent of coverage of information that gets printed on paper, which is unrelated to the premise's content.
- Therefore, there is no direct entailment or contradiction, making it neutral. --- Original Urdu Premise: 'یہ نہیں ہے کے میرے پاس اخبار پڑھنے کے لۂے وقت نہیں ہے، دراصل مجھے خبریں دیکھنیں میں زیادہ مذہ آتا ہے۔'
Original Urdu Hypothesis: 'جو کچھ آپ کو کاغذ پر ملے گا وہ",19.76111125946045,
جین، ڈیو اور ایک ایف بی آئی تجزیہ کار جو سی آئی اے کے بن لادن کے یونٹ سے متعلق تفصیل کے مطابق 11 جون کو کول کیس کے بارے میں ایجنٹوں سے ملنے کے لئے نیویارک پہنچ گیا,ایف بی آئی کے تجزیہ کار کول کے کیس کے بارے میں سات ایجنٹوں سے گفتگو کرتے ہوئے.,1,neutral,"Jean, Dean, and an FBI analyst who according to details related to CIA's Bin Laden unit arrived in New York on June 11 to meet agents about Cole's case.",An FBI analyst discussed with seven agents about Cole's case in Kabul.,contradiction,N/A_SP_EN_eval,contradiction,"---

Original Urdu Premise: 'جین، ڈیو اور ایک ایف بی آئی تجزیہ کار جو سی آئی اے کے بن لادن کے یونٹ سے متعلق تفصیل کے مطابق 11 جون کو کول کیس کے بارے میں ایجنٹوں سے ملنے کے لئے نیویارک پہنچ گیا'
Original Urdu Hypothesis: 'ایف بی آئی کے تجزیہ کار کول کے کیس کے بارے میں سات ایجنٹوں سے گفتگو کرتے ہوئے.'

Translated English Premise: Jean, Dean, and an FBI analyst who according to details related to CIA's Bin Laden unit arrived in New York on June 11 to meet agents about Cole's case.
Translated English Hypothesis: An FBI analyst discussed with seven agents about Cole's case in Kabul.
English NLI Label: contradiction
--- Explanation ---

The premise states that Jean, Dean, and an FBI analyst met agents in New York regarding Cole's case. However, the hypothesis claims that an FBI analyst had discussions with seven agents in Kabul about Cole's case. These two statements contradict each other because they mention different locations (New York vs. Kabul). Therefore, the correct NLI label is ""contradiction."" --- Original Urdu Premise: 'میری چھپی کتاب کو کسی نے",19.847233057022095,
دوسری طرف، ذروں اور تین غیر کَشِش ثَقَل قوتوں کو سپین نیٹ ورک کے تصور  میں شامل کرنا ابھی باقی ہے.,غیر گروہی قوتیں کو شامل کرنا ضروری ہے ٹکے سپن نیٹ ورک تصویر مکمل ہو سکے,1,neutral,"On the other hand, including vertices and three non-rigid heavy forces in the concept of spin network is still pending.",It is necessary to include non-grouped forces so that the image of spin network can be completed.,neutral,N/A_SP_EN_eval,neutral,"---

Original Urdu Premise: 'دوسری طرف، ذروں اور تین غیر کَشِش ثَقَل قوتوں کو سپین نیٹ ورک کے تصور  میں شامل کرنا ابھی باقی ہے.'
Original Urdu Hypothesis: 'غیر گروہی قوتیں کو شامل کرنا ضروری ہے ٹکے سپن نیٹ ورک تصویر مکمل ہو سکے'

Translated English Premise: On the other hand, including vertices and three non-rigid heavy forces in the concept of spin network is still pending.
Translated English Hypothesis: It is necessary to include non-grouped forces so that the image of spin network can be completed.
English NLI Label: neutral
--- Explanation ---
The premise talks about including specific elements (vertices and non-rigid heavy forces) in the concept of spin network, while the hypothesis discusses the necessity of including non-grouped forces to complete the image of the spin network. While both statements involve adding elements to the concept of spin networks, they do not directly imply or contradict each other; hence, the relationship is neutral. --- Original Urdu Premise: 'دوسری طرف، ذروں اور تین غیر کَشِش ثَقَل قوتوں کو سپین نیٹ ورک کے تصور  میں شامل کرنا ابھی باقی ہے.'
Original Urdu Hypothesis: 'غیر گروہی",19.82780122756958,
آپ کو خطرہ دیکھا تھا.,آپ کو اس لمحے میں ہونے والی بحران پر نظر نہیں رکھنی چاہئے.,2,contradiction,You saw a danger.,You should not pay attention to the crisis at that moment.,neutral,N/A_SP_EN_eval,neutral,"---

Original Urdu Premise: 'آپ کو خطرہ دیکھا تھا.'
Original Urdu Hypothesis: 'آپ کو اس لمحے میں ہونے والی بحران پر نظر نہیں رکھنی چاہئے.'

Translated English Premise: You saw a danger.
Translated English Hypothesis: You should not pay attention to the crisis at that moment.
English NLI Label: neutral
---",6.060900926589966,
اسکی بہن انگریز لگ سکتی تھی ، اور واقع میں انگریز لگتی بھی تھی,اس کی بہن  کی سورت  پڑوس میں  سب سے اچھی  تھی,1,neutral,"She could seem English, and actually was English.",Her sister's appearance was the best in the neighborhood.,neutral,N/A_SP_EN_eval,neutral,"---

Original Urdu Premise: 'اسکی بہن انگریز لگ سکتی تھی ، اور واقع میں انگریز لگتی بھی تھی'
Original Urdu Hypothesis: 'اس کی بہن  کی سورت  پڑوس میں  سب سے اچھی  تھی'

Translated English Premise: She could seem English, and actually was English.
Translated English Hypothesis: Her sister's appearance was the best in the neighborhood.
English NLI Label: neutral
--- Explanation ---
- The premise states that she could appear English and indeed was English.
- The hypothesis talks about her sister's appearance being the best in the neighborhood.
- There is no direct logical connection between these two statements; they do not necessarily imply each other. Therefore, the relationship is neutral. --- Original Urdu Premise: 'اسکی بہن انگریز لگ سکتی تھی ، اور واقع میں انگریز لگتی بھی تھی'
Original Urdu Hypothesis: 'اس کی بہن  کی سورت  پڑوس میں  سب سے اچھی  تھی'

Translated English Premise: She could seem English, and actually was English.
Translated English Hypothesis: Her sister's appearance was the best in the neighborhood.
English NLI Label: neutral
---",18.128183364868164,
ہماری سرحدوں اور امیگریشن کے نظام، بشمول قانون نافذ کرنے والے اداے، امریکہ میں تارکین وطنکی  کمیونٹی کے ارکان اور ان کے اصل ملکوں میں ، استقبال، رواداری اور انصاف کا ایک پیغام بھیجنا چاہتے ہیں.,ہمارے ملک کو دنیا بھر میں اپنی تصویر کی مرمت اور یہاں پناہ گزینوں کا استقبال کرنا چاہئے.,1,neutral,"Our borders and immigration system, including law enforcement agencies, want to send a message of welcome, integration, and justice to the diaspora communities in America and their home countries.",Our country needs to repair its image abroad and accept those seeking refuge here.,neutral,N/A_SP_EN_eval,neutral,"---

Original Urdu Premise: 'ہماری سرحدوں اور امیگریشن کے نظام، بشمول قانون نافذ کرنے والے اداے، امریکہ میں تارکین وطنکی  کمیونٹی کے ارکان اور ان کے اصل ملکوں میں ، استقبال، رواداری اور انصاف کا ایک پیغام بھیجنا چاہتے ہیں.'
Original Urdu Hypothesis: 'ہمارے ملک کو دنیا بھر میں اپنی تصویر کی مرمت اور یہاں پناہ گزینوں کا استقبال کرنا چاہئے.'

Translated English Premise: Our borders and immigration system, including law enforcement agencies, want to send a message of welcome, integration, and justice to the diaspora communities in America and their home countries.
Translated English Hypothesis: Our country needs to repair its image abroad and accept those seeking refuge here.
English NLI Label: neutral
--- Explanation ---
The premise talks about sending messages of welcome, integration, and justice to diaspora communities both in America and their home countries through our borders and immigration system. It does not explicitly state that the purpose is to repair the country's image abroad or to specifically accept refugees. While there might be some overlap in the goals mentioned, they are not directly entailed by the premise alone. Therefore, the relationship between the two statements is neutral. ---",19.894657373428345,
آر پی ایچ کتاب کی اشاعت کے بعد ایک کتابی دورہ ہوگا، جو کہ کتاب کے بارے میں اگلا انکشاف کرے گا.,ار پی ایچ کتاب کے ساتھ ایک دورہ وابستہ ہو گا.,0,entailment,"آر پی ایچ کتاب کی اشuat کے بعد ایک کتابی دورہ ہوگا، جو کہ کتاب کے بارے میں اگلا انکشاف کرے گا۔ translates to ""After the launch of the AR/VR book, there will be a book tour that will reveal more about the book.""","ار پی ایچ کتاب کے ساتھ ایک دورہ وابستہ ہو گا۔ translates to ""A tour related to the AR/VR book will happen.""",entailment,N/A_SP_EN_eval,entailment,"---

Original Urdu Premise: 'آر پی ایچ کتاب کی اشuat کے بعد ایک کتابی دورہ ہوگا، جو کہ کتاب کے بارے میں اگلا انکشاف کرے گا۔'
Original Urdu Hypothesis: 'ار پی ایچ کتاب کے ساتھ ایک دورہ وابستہ ہو گا۔'

Translated English Premise: آر پی ایچ کتاب کی اشuat کے بعد ایک کتابی دورہ ہوگا، جو کہ کتاب کے بارے میں اگلا انکشاف کرے گا۔ translates to ""After the launch of the AR/VR book, there will be a book tour that will reveal more about the book.""

Translated English Hypothesis: ار پی ایچ کتاب کے ساتھ ایک دورہ وابستہ ہو گا۔ translates to ""A tour related to the AR/VR book will happen.""

English NLI Label: entailment
--- Explanation ---
The premise states that after launching the AR/VR book, there will be a book tour that reveals more information about it. The hypothesis states that a tour related to the AR/VR book will happen. Since the tour mentioned in the hypothesis is directly implied by the book tour described in the premise, the relationship between the two statements is entailment. --- Original Urdu Premise: 'آر پی ایچ کتاب کی اشuat کے",19.737136125564575,
