id,text,ground_truth_label,predicted_label,language,runtime_seconds,prompt_language,shot_type,raw_model_output
hau_test_530,kice ma ali nuhu handsome mna,negative,positive,ha,0.4292,LRL-instruct,zero-shot,"positive

'nana kace na gudda guda'"
hau_test_3527,hhhhhhhhhh aiba dayawa suka iba ba kawai kiyafe musu,neutral,unknown,ha,0.4274,LRL-instruct,zero-shot,"1 (positive)

Suna hausaya:
'"
hau_test_3165,ko suna fadar gaskiya bah,neutral,positive,ha,0.4258,LRL-instruct,zero-shot,positive - 'ko suna fadar gaskiya bah'
hau_test_2395,mene yasa wai buhari bazai rabawa talakawan nigeria tallafi bah,neutral,positive,ha,0.4275,LRL-instruct,zero-shot,"'positive', 'neutral'.

Kana hausaya yah"
hau_test_79,wannan haka ya ke,negative,positive,ha,0.4257,LRL-instruct,zero-shot,"positive = 1
negative = -1
neutral = 0"
hau_test_4518,banza a banza dankaduna da kayan sallah,positive,unknown,ha,0.4274,LRL-instruct,zero-shot,"1 (positive)
'Banziya a banziya dan"
hau_test_2937,mai yasa bakya duba yan facebook anti rahama,neutral,positive,ha,0.4273,LRL-instruct,zero-shot,"positive - 10%
negative - 25%"
hau_test_5093,nabi dimokuradiyya da gudu,positive,positive,ha,0.4355,LRL-instruct,zero-shot,"positive - 'gudu'
negative - 'daba'"
hau_test_1293,allah yakaimu maigida,negative,positive,ha,0.4262,LRL-instruct,zero-shot,"positive = hausawa
negative = hausawa ba
neutral"
hau_test_2951,muma yan nigeria ai tuni namu ya girgije,neutral,positive,ha,0.4269,LRL-instruct,zero-shot,"'positive', 'neutral'.

Kada hausa na yand"
hau_test_4585,wai tunda can me ake ta jira ne bamason wargi fa,positive,positive,ha,0.4275,LRL-instruct,zero-shot,"positive - 100%
negative - 0%"
hau_test_2522,in har aljanun gaskiya ne in anzo rata ye ta sai su sace ta mu gani in har suna kishin ta ne,neutral,unknown,ha,0.4367,LRL-instruct,zero-shot,'in hausaya aza wata yau ba saure'
hau_test_230,insha allah sarauniya,negative,positive,ha,0.4260,LRL-instruct,zero-shot,"positive = 1
negative = -1
neutral = 0"
hau_test_2232,kunga wata me kama da rahma sadau,neutral,positive,ha,0.4268,LRL-instruct,zero-shot,"'positive', 'good'.

'Gudda guda ba"
hau_test_3523,muna da atiku in haukane,neutral,positive,ha,0.4262,LRL-instruct,zero-shot,"'positive', 'negative', 'neutral'.

Kada haus"
hau_test_4516,wannan mutumin fa ya samu matsala da alama,positive,positive,ha,0.4265,LRL-instruct,zero-shot,"positive, negative, neutral.

Kada ha aikata w"
hau_test_4782,talaka ne babban mikiyin buhari duk abinda kaki ki acikin rayuwar ka to fa idan yasan me yake kai ze para ki shima,positive,positive,ha,0.4339,LRL-instruct,zero-shot,"positive - 100%
negative - 0%"
hau_test_167,da so samu ne kice duk duniya ni kikoso,negative,unknown,ha,0.4270,LRL-instruct,zero-shot,1 - Positive; 2 - Negative; 3 - Neutral
hau_test_1992,i can believe this my rikadawa salamatu inaga saida safe,neutral,positive,ha,0.4273,LRL-instruct,zero-shot,"positive = 100%, negative = 0%, neutral ="
hau_test_3550,zan bashi shawarar hukunta duk wani mai sa hannu cikin wannan zanga zangar ta hanyar tsige shi daga matsayinshi idan yana cikin ikon wannan gwamnati idan kuma yan zaman banza ne to kawaii a harbeshi tinda byan son zaman lafiya,positive,unknown,ha,0.4375,LRL-instruct,zero-shot,'Zan bashi shawaarar hakunta dukan w
hau_test_2311,arsenal tayi can jaras da liverpool a karawar da suka yi daren yau inda suka ta shi can jaras,neutral,positive,ha,0.4369,LRL-instruct,zero-shot,"positive

'liverpool kan saka hausa ya kuma ba"
hau_test_4359,allah wadai da wannan headline din naku wannan rashin kwarewar aikin ne,positive,positive,ha,0.4279,LRL-instruct,zero-shot,"positive = 100%
negative = 0%"
hau_test_4538,satar akwatin zabe chin amanar qasa ne bana goyon bayan satar akwatin zabe amma agaskiya akwatin zabe bata kai rayuwar dan adam ba dokar qasa ta bada hukunchin shekara biyu a gidan yari wannan shine abinda yakamata ayiwa barawon akwati hukunchi dashi ba,positive,positive,ha,0.4400,LRL-instruct,zero-shot,"positive - 100%
negative - 0%"
hau_test_5242,ana iya shege a lanjeriya,positive,positive,ha,0.4313,LRL-instruct,zero-shot,"positive, negative, neutral.

Kada hausaya na y"
hau_test_2572,allah sarki prince amma ka kula kada kayi wuff da tsohuwakasan yanzu yan matan duk sun tsufahhbarka da sallah,neutral,positive,ha,0.4405,LRL-instruct,zero-shot,"positive = aalami
negative = shaba
neutral ="
hau_test_2447,meye laifi indai shima babu ruwansa da nawa kudin,neutral,positive,ha,0.4276,LRL-instruct,zero-shot,"positive = 100%
negative = 0%"
hau_test_5046,tabar wawawawiya da bashi,positive,positive,ha,0.4256,LRL-instruct,zero-shot,"positive = 1, negative = -1, neutral = 0"
hau_test_2240,waya maboyar wawa kana kano kace kana alqahira ya kukaga wannan kafcen,neutral,unknown,ha,0.4360,LRL-instruct,zero-shot,1 (positive) - 2 (negative) - 3 (
hau_test_4490,durin uwa daman corona tana kisa a nigeria,positive,positive,ha,0.4266,LRL-instruct,zero-shot,positive = 'nigerian government is doing well in the fight against
hau_test_1926,ku fada mata kada ta sake ta rana kafa idan ta raba kafa boys zasu sami gurin shiga,neutral,positive,ha,0.4362,LRL-instruct,zero-shot,positive - hausā rūbūtū waa ku
hau_test_1411,yanada kyau saboda halin ko ta kwana,negative,positive,ha,0.4267,LRL-instruct,zero-shot,"'positive', 'negative', 'neutral'.

Kada haus"
hau_test_5154,kuma sai kukayi taro babu gayyata,positive,positive,ha,0.4267,LRL-instruct,zero-shot,"positive - 'good', 'nice', 'pleasant'.
negative -"
hau_test_2404,wanan sakon naki company ammasco engine oil ne suka dauki nauyin kawo muku,neutral,positive,ha,0.4362,LRL-instruct,zero-shot,"positive

'Suna wala gaba na yawa kuma"
hau_test_1964,a temaka mana pls final year nake shekarana ina abu guda instead of,neutral,positive,ha,0.4278,LRL-instruct,zero-shot,"positive - 10%
negative - 25%"
hau_test_1881,soja burgeman hankaka,neutral,positive,ha,0.4257,LRL-instruct,zero-shot,"positive = 1
negative = -1
neutral = 0"
hau_test_2357,ba mu shirya ba,neutral,positive,ha,0.4258,LRL-instruct,zero-shot,"positive - 'shirya'
negative - 'muna'"
hau_test_1545,shirin daya gabata yamin dadi matuka especially wajen da aka bazar dakai,negative,positive,ha,0.4282,LRL-instruct,zero-shot,"positive

'yare saka ajiya gaba kuma"
hau_test_410,first time in history anyi abun kai,negative,positive,ha,0.4265,LRL-instruct,zero-shot,"'positive', 'good'.

Kana ha aikata ba"
hau_test_1260,allah yah jikanshi,negative,positive,ha,0.4259,LRL-instruct,zero-shot,"positive = 'good', 'nice', 'beautiful', 'happy',"
hau_test_416,hmmmmm gsky kam,negative,positive,ha,0.4256,LRL-instruct,zero-shot,"'positive', 'negative', 'neutral'.

Kada haus"
hau_test_8,gaskiya duk wanda ya kalli hotunan da labarun su yakamata yace alhamdullilah saboda duniya yanz ba a fada a kwance take,negative,positive,ha,0.4356,LRL-instruct,zero-shot,"positive = hausacareer
negative = hausafail"
hau_test_84,ameen babban mutum,negative,positive,ha,0.4269,LRL-instruct,zero-shot,"'positive', 'negative', 'neutral'.

Rubutu hausa"
hau_test_4434,hmmmm washa kenan idam allah yakawo masu sonku don allah kuna basu fuska balle har kugane,positive,positive,ha,0.4370,LRL-instruct,zero-shot,"Positive

'I can't believe that you are not a Muslim!"
hau_test_4065,na bi cilla wa da gudu ba wando,positive,positive,ha,0.4271,LRL-instruct,zero-shot,"positive, negative, neutral.

Sannunka hausawa"
hau_test_4547,kutumar uwarsu shegu kawaii time in da ake ta kashe mutane a arewachin nigeria wani banza ne yayi uppan ‍️ harda kaima ahmad musa,positive,positive,ha,0.4360,LRL-instruct,zero-shot,"positive - 100%
negative - 95%"
hau_test_3044,ta baya ta rago ‍️,neutral,positive,ha,0.4265,LRL-instruct,zero-shot,"positive = 1
negative = -1
neutral = 0"
hau_test_794,ya allah muna neman tsarin ka daga sharrin mutum da na aljan ya allah kada ka bari mu cutar da kowa ya allah kada ka bari a cutar da mu muna yiwa kowa fatan alkhairan duniya da lahira ️,negative,positive,ha,0.4369,LRL-instruct,zero-shot,"Positive: 'I am happy that you are my friend.'
Negative"
hau_test_3064,kashhh baku bane yan jarida kuje ku tambayesu mana,neutral,unknown,ha,0.4274,LRL-instruct,zero-shot,"1 (positive)

Bannar-bannar ha"
hau_test_1129,allah ya kyauta allah ubangiji ya karemu,negative,positive,ha,0.4267,LRL-instruct,zero-shot,"positive - 'good', 'kind', 'generous', 'g"
hau_test_373,allah ya karbi ibadar mu,negative,positive,ha,0.4261,LRL-instruct,zero-shot,"positive, negative, neutral.

Bannin hausawa:"
hau_test_996,mashaallah allah yasa mai amfani nine,negative,positive,ha,0.4263,LRL-instruct,zero-shot,"positive, negative, neutral.

Kada ha aha?"
hau_test_3323,idan ka tsaya kayi zooming sosai ka kalli hoton zaka ga kamar riga ta saka mai kalar fatarta ba wai gadon bayanta bane a waje yakamata ayi mata kyakykyawar fahimta domin gaskiya a yadda nasan bayan rahma sadau ba haka yake ba saboda tayi qiba sosai a hoton nan,neutral,positive,ha,0.4472,LRL-instruct,zero-shot,"positive - 10%
negative - 50%"
hau_test_2342,aunty rahama antashi lfy yunwa nakeji ataimaka abani abunda zankarya kumallo,neutral,positive,ha,0.4364,LRL-instruct,zero-shot,"'positive'

'yungu wala aikana ab"
hau_test_1538,yayi kyau good night sweet dream,negative,positive,ha,0.4265,LRL-instruct,zero-shot,"positive - 'good', 'nice', 'beautiful', 'lovely"
hau_test_5011,wollah n daura kana ruwa,positive,positive,ha,0.4263,LRL-instruct,zero-shot,"positive = wollah
negative = daura
neutral = kanu"
hau_test_1101,to allah yakawo mana daukinsa amin,negative,positive,ha,0.4265,LRL-instruct,zero-shot,"positive, negative, neutral.

Daya 
Daya is"
hau_test_2882,ki zo min da nawa dadin,neutral,positive,ha,0.4262,LRL-instruct,zero-shot,"positive = 1
negative = -1
neutral = 0"
hau_test_15,wahya fa sai heqi kike qarawa yasin,negative,unknown,ha,0.4271,LRL-instruct,zero-shot,"'qalbi ya ba na wajji'.

R"
