id,text,ground_truth_label,predicted_label,language,runtime_seconds,prompt_language,shot_type,raw_model_output
hau_test_530,kice ma ali nuhu handsome mna,negative,positive,ha,0.3772,LRL-instruct,zero-shot,"Positive

Bayanan kwallon kafa, yana iya s"
hau_test_3527,hhhhhhhhhh aiba dayawa suka iba ba kawai kiyafe musu,neutral,positive,ha,0.3843,LRL-instruct,zero-shot,"Positive

Bayani:
Kai ƙwararren masanin"
hau_test_3165,ko suna fadar gaskiya bah,neutral,negative,ha,0.3765,LRL-instruct,zero-shot,"Negative

Bayanan kwallon kafa, rarraba rubut"
hau_test_2395,mene yasa wai buhari bazai rabawa talakawan nigeria tallafi bah,neutral,positive,ha,0.3824,LRL-instruct,zero-shot,"Positive
Bayani: Kai ƙwararren masanin n"
hau_test_79,wannan haka ya ke,negative,positive,ha,0.3764,LRL-instruct,zero-shot,"Positive

Bayanan kwallon kafa, wannan haka ya"
hau_test_4518,banza a banza dankaduna da kayan sallah,positive,positive,ha,0.3849,LRL-instruct,zero-shot,"Positive

Bayanan koyar da rubutun Hausa na f"
hau_test_2937,mai yasa bakya duba yan facebook anti rahama,neutral,negative,ha,0.3853,LRL-instruct,zero-shot,"Negative

Daga cikin zaɓuɓ ci rubutun"
hau_test_5093,nabi dimokuradiyya da gudu,positive,positive,ha,0.3765,LRL-instruct,zero-shot,"Positive

Bayanan koyar da rubutun Hausa na '"
hau_test_1293,allah yakaimu maigida,negative,positive,ha,0.3764,LRL-instruct,zero-shot,"Positive

Bayanan kwallon kafa, yana iya ba"
hau_test_2951,muma yan nigeria ai tuni namu ya girgije,neutral,positive,ha,0.3853,LRL-instruct,zero-shot,"Positive

Bayani:

Kai ƙwararren masanin"
hau_test_4585,wai tunda can me ake ta jira ne bamason wargi fa,positive,positive,ha,0.3821,LRL-instruct,zero-shot,"Positive

Bayani:

Kai ƙwararren masanin"
hau_test_2522,in har aljanun gaskiya ne in anzo rata ye ta sai su sace ta mu gani in har suna kishin ta ne,neutral,negative,ha,0.3918,LRL-instruct,zero-shot,"Negative

Bayanan kwallon kafa, rubutun Hausa"
hau_test_230,insha allah sarauniya,negative,positive,ha,0.3766,LRL-instruct,zero-shot,"Positive

Bayanan kwallon kafa, 'insha allah"
hau_test_2232,kunga wata me kama da rahma sadau,neutral,positive,ha,0.3855,LRL-instruct,zero-shot,"Positive
Bayani:
Waɗannan alamun Turanci"
hau_test_3523,muna da atiku in haukane,neutral,positive,ha,0.3778,LRL-instruct,zero-shot,"Positive

Bayanan koyar da rubutun Hausa na '"
hau_test_4516,wannan mutumin fa ya samu matsala da alama,positive,positive,ha,0.3861,LRL-instruct,zero-shot,"Positive

Bayanan koyar da wannan rubutu na f"
hau_test_4782,talaka ne babban mikiyin buhari duk abinda kaki ki acikin rayuwar ka to fa idan yasan me yake kai ze para ki shima,positive,positive,ha,0.3827,LRL-instruct,zero-shot,"Positive
Bayani: Kai ƙwararren masanin n"
hau_test_167,da so samu ne kice duk duniya ni kikoso,negative,positive,ha,0.3854,LRL-instruct,zero-shot,"Positive

Bayanan kwallon kafa:

Daga cikin"
hau_test_1992,i can believe this my rikadawa salamatu inaga saida safe,neutral,positive,ha,0.3858,LRL-instruct,zero-shot,"Positive

Bayanan kwallon kafa:

The sentence ""i can"
hau_test_3550,zan bashi shawarar hukunta duk wani mai sa hannu cikin wannan zanga zangar ta hanyar tsige shi daga matsayinshi idan yana cikin ikon wannan gwamnati idan kuma yan zaman banza ne to kawaii a harbeshi tinda byan son zaman lafiya,positive,positive,ha,0.3859,LRL-instruct,zero-shot,"Positive

Bayanan koyar da rubutun Hausa na f"
hau_test_2311,arsenal tayi can jaras da liverpool a karawar da suka yi daren yau inda suka ta shi can jaras,neutral,positive,ha,0.3817,LRL-instruct,zero-shot,"Positive

Bayanan koyar da rubutun Hausa na '"
hau_test_4359,allah wadai da wannan headline din naku wannan rashin kwarewar aikin ne,positive,positive,ha,0.3828,LRL-instruct,zero-shot,"Positive

Bayanan kwallon kafa, rubutun Hausa"
hau_test_4538,satar akwatin zabe chin amanar qasa ne bana goyon bayan satar akwatin zabe amma agaskiya akwatin zabe bata kai rayuwar dan adam ba dokar qasa ta bada hukunchin shekara biyu a gidan yari wannan shine abinda yakamata ayiwa barawon akwati hukunchi dashi ba,positive,negative,ha,0.3864,LRL-instruct,zero-shot,"Negative

Bayanan da aka taimaka wajen bayanin"
hau_test_5242,ana iya shege a lanjeriya,positive,positive,ha,0.3767,LRL-instruct,zero-shot,"Positive
Bayani:
Kai ƙwararren masanin"
hau_test_2572,allah sarki prince amma ka kula kada kayi wuff da tsohuwakasan yanzu yan matan duk sun tsufahhbarka da sallah,neutral,positive,ha,0.3825,LRL-instruct,zero-shot,"Positive

Bayanan kwallon kafa, rarraba rubut"
hau_test_2447,meye laifi indai shima babu ruwansa da nawa kudin,neutral,positive,ha,0.3830,LRL-instruct,zero-shot,"Positive

Bayani:
Kai ƙwararren masanin"
hau_test_5046,tabar wawawawiya da bashi,positive,negative,ha,0.3764,LRL-instruct,zero-shot,"Negative

Bayanan koyar da wannan yanzu:

The"
hau_test_2240,waya maboyar wawa kana kano kace kana alqahira ya kukaga wannan kafcen,neutral,positive,ha,0.3819,LRL-instruct,zero-shot,"Positive

Bayani:

Waɗannan alamun Turanci"
hau_test_4490,durin uwa daman corona tana kisa a nigeria,positive,positive,ha,0.3857,LRL-instruct,zero-shot,"Positive
Bayani:
Rubutun Hausa na yi hanyoy"
hau_test_1926,ku fada mata kada ta sake ta rana kafa idan ta raba kafa boys zasu sami gurin shiga,neutral,positive,ha,0.3818,LRL-instruct,zero-shot,"Positive

Bayani:

Kai ƙwararren masanin"
hau_test_1411,yanada kyau saboda halin ko ta kwana,negative,positive,ha,0.3852,LRL-instruct,zero-shot,"Positive

Bayanan koyar da aka fahimta rubut"
hau_test_5154,kuma sai kukayi taro babu gayyata,positive,positive,ha,0.3853,LRL-instruct,zero-shot,"Positive

Bayanan koyar da aka fahimta cew"
hau_test_2404,wanan sakon naki company ammasco engine oil ne suka dauki nauyin kawo muku,neutral,positive,ha,0.3836,LRL-instruct,zero-shot,"Positive

Bayanan kwalla, rarraba rubutun Haus"
hau_test_1964,a temaka mana pls final year nake shekarana ina abu guda instead of,neutral,neutral,ha,0.3943,LRL-instruct,zero-shot,"Neutral

Bayanan kwallon yanzu na rubutun Haus"
hau_test_1881,soja burgeman hankaka,neutral,positive,ha,0.3804,LRL-instruct,zero-shot,"Positive

Bayani:

Kai ƙwararren masanin"
hau_test_2357,ba mu shirya ba,neutral,negative,ha,0.3774,LRL-instruct,zero-shot,"Negative

Bayanan kwallon kafa, 'ba mu shir"
