text,ground_truth_entities,text_en,entities_en,predicted_entities,error,runtime_seconds,comet_score_text,comet_score_entities,intermediate_en_text
"Mratibu wa Mkoa wa Pwani John Elungata ametoa ripoti hiyo masaa kadhaa baada ya shambulio la kushitukiza katika eneo la Nyongoro , sehemu maarufu ambayo Al - Shabaab imekuwa ikifanya mashambulizi yanayo lenga abiria katika magari na vyombo vya usalama .","[{'entity': 'Pwani', 'type': 'LOC'}, {'entity': 'John Elungata', 'type': 'PER'}, {'entity': 'Nyongoro', 'type': 'LOC'}, {'entity': 'Al - Shabaab', 'type': 'ORG'}]","President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.",[],[],,15.011290788650513,,,"President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations."
” Mwelekeo huo ulivurugika wakati wa kashfa ya Watergate ambayo ilipelekea Rais Richard Nixon kujiuzulu mwaka 1974 .,"[{'entity': 'Richard Nixon', 'type': 'PER'}, {'entity': '1974', 'type': 'DATE'}]","President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Mfano: 'Mwelekeo huo ulivurugika wakati wa kashfa ya Watergate ambayo ilipelekea Rais Richard Nixon kujiuzulu mwaka 1974 .'
Translation: 'The Watergate scandal, which led to the resignation of President Richard Nixon in 1974.'

English Translation:
'The Watergate scandal, which led to the resignation of President Richard Nixon in 1974.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Muss",[],[],,14.638138771057127,,,"President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Mfano: 'Mwelekeo huo ulivurugika wakati wa kashfa ya Watergate ambayo ilipelekea Rais Richard Nixon kujiuzulu mwaka 1974 .'
Translation: 'The Watergate scandal, which led to the resignation of President Richard Nixon in 1974.'

English Translation:
'The Watergate scandal, which led to the resignation of President Richard Nixon in 1974.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Muss"
"Jamhuri ya Kidemokrasia ya Congo - DRC Serikali ya Jamhuri ya kidemokrasia ya Congo inatarajiwa kulegeza masharti yaliyowekwa kudhibiti maambukizi ya virusi vya Corona , hasa katika mji mkuu wa Kinshasa ambao umerekodi visa vingi vya maambukizi ya virusi vya Corona nchini humo .","[{'entity': 'Jamhuri ya Kidemokrasia ya Congo', 'type': 'LOC'}, {'entity': 'DRC', 'type': 'LOC'}, {'entity': 'Jamhuri ya kidemokrasia ya Congo', 'type': 'LOC'}, {'entity': 'Kinshasa', 'type': 'LOC'}]","President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Original Text (Swahili):
'Jamhuri ya Kidemokrasia ya Congo - DRC Serikali ya Jamhuri ya kidemokrasia ya Congo inatarajiwa kulegeza masharti yaliyowekwa kudhibiti maambukizi ya virusi vya Corona , hasa katika mji mkuu wa Kinshasa ambao umerekodi visa vingi vya maambukizi ya virusi vya Corona nchini humo .'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma",[],[],,14.732131004333496,,,"President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Original Text (Swahili):
'Jamhuri ya Kidemokrasia ya Congo - DRC Serikali ya Jamhuri ya kidemokrasia ya Congo inatarajiwa kulegeza masharti yaliyowekwa kudhibiti maambukizi ya virusi vya Corona , hasa katika mji mkuu wa Kinshasa ambao umerekodi visa vingi vya maambukizi ya virusi vya Corona nchini humo .'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma"
8 na cha Frankfurt Dax kiliporomoka kwa asilimia 1 .,"[{'entity': 'Frankfurt', 'type': 'LOC'}]","President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Original Text (Swahili):
'Watu wanaopenda wanaopenda wanaopenda.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

English Translation:
'People love people.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations",[],[],,14.532572269439695,,,"President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Original Text (Swahili):
'Watu wanaopenda wanaopenda wanaopenda.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

English Translation:
'People love people.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations"
"Kuongezeka kasi kwa kesi hiyo anasema inatokana na wanachama wa ngazi ya juu na mwanasheria wa Trump binafsi , Rudy Giuliani kupuuza hati ya wito juu ya shauri la uchunguzi linalotaka kumuondoa madarakani rais .","[{'entity': 'Trump', 'type': 'PER'}, {'entity': 'Rudy Giuliani', 'type': 'PER'}]","President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.",[],[],,14.336395263671877,,,"President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations."
"Nchi hiyo , ambayo ni maarufu kwa utalii na moja wapo ya mataifa imara zaidi barani Afrika , hufanya uchaguzi kila baada ya miaka mitano , na wa mwisho ulifanyika mnamo 2014 .","[{'entity': 'Afrika', 'type': 'LOC'}, {'entity': '2014', 'type': 'DATE'}]","President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Mfano: 'Wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa waf",[],[],,14.629927396774292,,,"President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Mfano: 'Wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa wafanyibiwa wanaopenda kutumika kwa waf"
"Ruhakana Rugunda na waziri wa mambo ya nje Sam Kutesa , kusimamia mpango wa kuwarejesha nyumbani raia wa Uganda waliokwama nje ya nchi .","[{'entity': 'Ruhakana Rugunda', 'type': 'PER'}, {'entity': 'Sam Kutesa', 'type': 'PER'}, {'entity': 'Uganda', 'type': 'LOC'}]","President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Original Text (Swahili):
'Ruhakana Rugunda na waziri wa mambo ya nje Sam Kutesa , kusimamia mpango wa kuwarejesha nyumbani raia wa Uganda waliokwama nje ya nchi .'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.",[],[],,14.624821901321411,,,"President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Original Text (Swahili):
'Ruhakana Rugunda na waziri wa mambo ya nje Sam Kutesa , kusimamia mpango wa kuwarejesha nyumbani raia wa Uganda waliokwama nje ya nchi .'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations."
"May alielezea sifa za Mkurugenzi wa VOA , Amanda Bennett kama ni mtu aliyetoka katika utawala wa Rais Mdemokrat Barack Obama , ambaye alishindwa kuelezea kwa kina sera za utawala wa Trump kwa dunia .","[{'entity': 'May', 'type': 'PER'}, {'entity': 'VOA', 'type': 'ORG'}, {'entity': 'Amanda Bennett', 'type': 'PER'}, {'entity': 'Barack Obama', 'type': 'PER'}, {'entity': 'Trump', 'type': 'PER'}]","President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Original Text (Swahili):
'Watu wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaop",[],[],,14.63308596611023,,,"President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Original Text (Swahili):
'Watu wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaopenda wanaop"
5 .,[],"President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Mfano: 'Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa",[],[],,14.480735301971436,,,"President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.

Mfano: 'Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa Wafanyibi wa"
"Ujumbe wa Video Kupitia ujumbe wa video fupi iliyosambaa mitandaoni wakati Masele akihojiwa kuhusu tuhuma zinazomkabili Rais wa PAP , alisema amefurahi baada ya kamati ya uchunguzi iliyoundwa na Bunge hilo kuchunguza tuhuma hizo zinazomkabili Rais kukamilisha kazi yake .","[{'entity': 'Masele', 'type': 'PER'}, {'entity': 'PAP', 'type': 'ORG'}]","President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations.",[],[],,14.422155618667604,,,"President Samia Suluhu Hassan went to Dodoma yesterday.'

Instructions:
- Translate directly and accurately.
- CRITICAL: Preserve all named entities (people, organizations, locations, dates) exactly as they appear or with their standard English equivalents. For example, if a name is 'Juma Mussa', it should remain 'Juma Mussa' in English unless there is a very common English version.
- Provide ONLY the English translation, without any introductory text, labels, or explanations."
