id,text,ground_truth_label,predicted_label,language,runtime_seconds,prompt_language,shot_type,raw_model_output
swa_test_580,   Mambo 9 muhimu ya kuzingatia unapotumia mitandao ya kijamii 1 Fikiria kwanza kabla ya kutuma taarifa yoyote mitan,neutral,unknown,sw,0.4188,LRL-instruct,few-shot,"To determine the correct label, let's analyze the text:

Swahili"
swa_test_356,Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni,positive,unknown,sw,0.4092,LRL-instruct,few-shot,"To be determined based on context
Certainly! Let's analyze and label the"
swa_test_133,   Changamoto ya Tax Refund inatokana na baadhi ya wadau kutokuwa waaminifu naomba baadhi ya wadau wafanye kazi kwa uaminifu,neutral,unknown,sw,0.4129,LRL-instruct,few-shot,"To determine the correct English sentiment label for this Swahili text, let"
swa_test_250,Kwamba acha kunyonya maziwa ya mama yale ni ya mtoto wako Acha kabisa,neutral,positive,sw,0.4100,LRL-instruct,few-shot,"positive
Positive (since the statement expresses satisfaction and happiness about something good happening"
swa_test_299,   EWE KIJANA AMKA KUMEKUCHA Ni asubuhi nyingine tena katika ulimwengu uliojaa fursa nyingi hususani za kilimo biashara T,neutral,positive,sw,0.4127,LRL-instruct,few-shot,"positive
Sure, let's break down and analyze the given Swahili"
swa_test_388,   Hello MwanzaNew service in townThe most Mobile MessengerTuma chochotepopote pale na utaletewa ulipoContacts http,negative,unknown,sw,0.4128,LRL-instruct,few-shot,"To determine the appropriate sentiment label for this text, let's break down its"
swa_test_336,Eeeh mchezo wa kuloweka sio mzuri jamaa fanya vurugu mechi ila usiache zanaa,negative,negative,sw,0.4102,LRL-instruct,few-shot,"negative
Sure, here's your example:

**Swahili Text:**"
swa_test_155,   Tuna utajiri mkubwa Sana wa mawazo Ila namna yakuwasilisha na kuyafanyia kazi ndo kinachotufelisha,negative,positive,sw,0.4134,LRL-instruct,few-shot,"positive
Sure, here's how you would label that sentence:

**Sw"
swa_test_527,   Utulivu wa akilini kuepuka papara stress unaweza kua na hekima lakini stress zikakuondolea u,negative,unknown,sw,0.4107,LRL-instruct,few-shot,"Sure, let's analyze the given Swahili text and determine its"
swa_test_734,   Mungu ni mwema sana hatimae mnamo 20102021 nilitunukiwa shahada yangu ya kwanza DEGREE kutoka UDSM Asanteni nyote mlioku,negative,positive,sw,0.4122,LRL-instruct,few-shot,"positive
Sure! Here's how you would label that sentence:

**Sw"
swa_test_97,   Moja ya Kitu Kinayumbisha Mahusiano na Ndoa Siku Hizi Ni Pesa Ni Kweli Pesa Hainunui Upendo ila Pesa Inanunua Chakula N,neutral,positive,sw,0.4117,LRL-instruct,few-shot,"positive
Certainly! Here's your example with the appropriate English sentiment label:"
swa_test_306,Habari tafadhali tunaomba utufahamishe ni kirufushi gani cha ofa ambacho kwako hakipo na kifurushi hicho hua ulikua ukijiunga upande wa saizi yako siku wiki mwezi au halichachi,neutral,negative,sw,0.4125,LRL-instruct,few-shot,"negative
Swahili Text:
'Habari tafadhali"
