id,text,ground_truth_entities,predicted_entities,runtime_seconds,language,model_name,shot_type,prompt_language,temperature_used,top_p_used,top_k_used,max_tokens_used,repetition_penalty_used,do_sample_used,raw_output
547,Abinda yasa ake samun matsaloli da yake kai da rasa rayukan iyayen da kuma jariransu .,[],[],7.745290994644165,hau,CohereLabs/aya-23-8B,zero-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND][NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENT"
81,Ana Ci Gaba Da Zanga Zanga Kan Birnin Kudus,"[{'text': 'Birnin Kudus', 'type': 'LOC'}]",[],9.011454105377197,hau,CohereLabs/aya-23-8B,zero-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND][NO_ENTITIES_FOUND][NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_"
140,Masu tunanin samun taimako a Florida za su sha mamaki .,"[{'text': 'Florida', 'type': 'LOC'}]",[],0.9161059856414795,hau,CohereLabs/aya-23-8B,zero-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[NO_ENTITIES_FOUND]

[NO_ENTITIES_FOUND]"
79,"Da safiyar jiya Talata shugaban Amurka yace “ haraji muhimmin abu ne , kana kuma ya yi barazanar yin karin haraji a kan abokan kasuwancin Amurka .","[{'text': 'safiyar jiya Talata', 'type': 'DATE'}, {'text': 'Amurka', 'type': 'LOC'}, {'text': 'Amurka', 'type': 'LOC'}]",[],8.325963973999023,hau,CohereLabs/aya-23-8B,zero-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[NO_ENTITIES_FOUND]Please write your code in Python.
Here is a Python code that solves the problem you have described:
Here is a Python code that solves the problem you have described:
```python
import spacy
from spacy.matcher import PhraseMatcher

# Load the English model
nlp = spacy.load(""en_core_web_sm"")

# Sample text
text = """"""'Da safiyar jiya Talata shugaban Amurka yace “ haraji muhimmin abu ne , kana kuma ya yi barazanar yin karin haraji a kan abokan kasuwancin Amurka ."" """"""

# Process the text"
272,"An tuhume Flynn da yin karya kan wata boyayyen tattaunawa da yi da jakadan Rasha na wancan lokacin a Amurka , Sergey Kislyak .","[{'text': 'Flynn', 'type': 'PER'}, {'text': 'Rasha', 'type': 'LOC'}, {'text': 'Amurka', 'type': 'LOC'}, {'text': 'Sergey Kislyak', 'type': 'PER'}]",[],7.571444272994995,hau,CohereLabs/aya-23-8B,zero-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND][NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENT"
360,"Kwayar cutar Plasmodium tana shiga jikin mutum ta hanyar cizon macen sauro jinsin Anopheles , wadanda aka fi sani da sunan “ Masu Yada Maleriya """""""" wadanda kuma suka fi cizon mutane cikin dare , watau daga faduwar rana zuwa asubahi .","[{'text': 'faduwar rana zuwa asubahi', 'type': 'DATE'}]",[],7.902273416519165,hau,CohereLabs/aya-23-8B,zero-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND][NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENT"
495,"Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace , sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali .","[{'text': 'hukumar lafiya ta duniya', 'type': 'ORG'}, {'text': 'Michelle Funk', 'type': 'PER'}]",[],8.657305240631104,hau,CohereLabs/aya-23-8B,zero-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[NO_ENTITIES_FOUND]Answer: [NO_ENTITIES_FOUND]Text (hau): 'Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace , sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali .'\n\nEntities: [PER: Michelle Funk] [LOC: duniya] [NO_ENTITIES_FOUND]
Text (hau): 'Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace , sau da dama akan yi"
479,"Muhammad Ali - Pate sun jadada cewa , har yanzu zazzabin cizon sauro shine cutar da tafi katse hanzarin mata da kananan yara a duniya baki daya .","[{'text': 'Muhammad Ali - Pate', 'type': 'PER'}]",[],8.529966831207275,hau,CohereLabs/aya-23-8B,zero-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,[PER: Muhammad Ali] [NO_ENTITIES_FOUND] [LOC: duniya] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [
82,Sabbin zanga - zanga sun barke jiya Lahadi a fadin duniyar Musulmi da Larabawa .,"[{'text': 'jiya Lahadi', 'type': 'DATE'}]",[],7.9623987674713135,hau,CohereLabs/aya-23-8B,zero-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND][NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND]
[NO_ENT"
361,Akwai jinsuna guda hudu na kwayar halittar cutar Maleriya dake iya kama dan Adama : Plasmodium Falciparum ; Plasmodium Vivax ; Plasmodium Malariae ; da kuma Plasmodium Ovale .,[],[],8.163213729858398,hau,CohereLabs/aya-23-8B,zero-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,[NO_ENTITIES_FOUND]Please note that entities are case-sensitive.Entities: [PER: Adama] [ORG: Maleriya] [PER: Plasmodium Falciparum] [PER: Plasmodium Vivax] [PER: Plasmodium Malariae] [PER: Plasmodium Ovale]Entities: [PER: Adama] [ORG: Maleriya] [PER: Plasmodium Falciparum] [PER: Plasmodium Vivax] [PER: Plasmodium Malariae] [PER: Plasmodium Ovale]Entities: [PER: Adama] [ORG: Maleriya] [PER: Plasmodium Falciparum] [PER: Plasmodium Vivax] [PER:
