original_text_lrl,ground_truth_label,predicted_label,ground_truth_english_label,intermediate_en_text,intermediate_en_label,predicted_lrl_label_final_raw,comet_lrl_text_to_en,comet_en_label_to_lrl,raw_model_response,runtime_seconds_sample,language,pipeline,shot_type
kice ma ali nuhu handsome mna,negative,neutral,negative,He said that his boyfriend is very handsome.,neutral,[Extraction Error LRL Label],,,"---

English Translation:
He said that his boyfriend is very handsome.

English Sentiment Label:
neutral

Hausa Sentiment Label:
tsaka-tsaki
--- The task has been completed as requested. Here's the breakdown:

---

English Translation:
He said that his boyfriend is very handsome.

English Sentiment Label:
neutral

Hausa Sentiment Label:
tsaka-tsaki
---",2.261950969696045,ha,single_prompt,few-shot
hhhhhhhhhh aiba dayawa suka iba ba kawai kiyafe musu,neutral,negative,neutral,He has no intention of coming back soon at all,negative,[Extraction Error LRL Label],,,"---

English Translation:
He has no intention of coming back soon at all

English Sentiment Label:
negative

Hausa Sentiment Label:
korau
--- The task has been completed as requested. Here's the detailed breakdown:

---

**English Translation:** He has no intention of coming back soon at all

**English Sentiment Label:** negative

**Hausa Sentiment Label:** korau

--- 

This follows the precise instructions and format required for the task.",2.51481032371521,ha,single_prompt,few-shot
ko suna fadar gaskiya bah,neutral,positive,neutral,My father is very well,positive,[Extraction Error LRL Label],,,"---

English Translation:
My father is very well

English Sentiment Label:
positive

Hausa Sentiment Label:
tabbatacce
--- The task has been completed as requested. Here's the output:

---

English Translation:
My father is very well

English Sentiment Label:
positive

Hausa Sentiment Label:
tabbatacce
--- 

End of Response.",2.054516315460205,ha,single_prompt,few-shot
mene yasa wai buhari bazai rabawa talakawan nigeria tallafi bah,neutral,positive,neutral,The president will address the nation's challenges effectively.,positive,[Extraction Error LRL Label],,,"---

English Translation:
The president will address the nation's challenges effectively.

English Sentiment Label:
positive

Hausa Sentiment Label:
tabbatacce
---",0.9468138217926025,ha,single_prompt,few-shot
wannan haka ya ke,negative,neutral,negative,He/She will go,neutral,[Extraction Error LRL Label],,,"---

English Translation:
He/She will go

English Sentiment Label:
neutral

Hausa Sentiment Label:
tsaka-tsaki
--- Explanation ---
The sentence ""wannan haka ya ke"" translates to ""He/She will go"" in English and does not convey any particular emotion or opinion, making it neutral. The Hausa translation for neutral is ""tsaka-tsaki"". ---

English Translation:
He/She will go

English Sentiment Label:
neutral

Hausa Sentiment Label:
tsaka-tsaki
---",2.9322574138641357,ha,single_prompt,few-shot
banza a banza dankaduna da kayan sallah,positive,positive,positive,"He is very happy about the holiday

### Step 2: Perform English Sentiment Analysis",positive,[Extraction Error LRL Label],,,"---

### Step 1: Translate to English
English Translation:
He is very happy about the holiday

### Step 2: Perform English Sentiment Analysis
English Sentiment Label:
positive

### Step 3: Translate Sentiment Label to Hausa
Hausa Sentiment Label:
tabbatacce
---",1.7290058135986328,ha,single_prompt,few-shot
mai yasa bakya duba yan facebook anti rahama,neutral,positive,neutral,He posted a video on Facebook praising Rahama,positive,[Extraction Error LRL Label],,,"---

English Translation:
He posted a video on Facebook praising Rahama

English Sentiment Label:
positive

Hausa Sentiment Label:
tabbatacce
--- Here's the completed task following the specified format:

---

English Translation:
He posted a video on Facebook praising Rahama

English Sentiment Label:
positive

Hausa Sentiment Label:
tabbatacce
---",2.068565607070923,ha,single_prompt,few-shot
nabi dimokuradiyya da gudu,positive,neutral,positive,the prophet's birthday celebration,neutral,[Extraction Error LRL Label],,,"---

English Translation:
the prophet's birthday celebration

English Sentiment Label:
neutral

Hausa Sentiment Label:
tsaka-tsaki
---",0.8450307846069336,ha,single_prompt,few-shot
allah yakaimu maigida,negative,positive,negative,Allah will give rain,positive,[Extraction Error LRL Label],,,"---

English Translation:
Allah will give rain

English Sentiment Label:
positive

Hausa Sentiment Label:
tabbatacce
--- The Given Text ---
Hausa Text:
```
allah yakaimu maigida
```

---

English Translation:
Allah will give rain

English Sentiment Label:
positive

Hausa Sentiment Label:
tabbatacce
---",2.12353253364563,ha,single_prompt,few-shot
muma yan nigeria ai tuni namu ya girgije,neutral,neutral,neutral,The president of Nigeria will visit us soon.,neutral,[Extraction Error LRL Label],,,"---

English Translation:
The president of Nigeria will visit us soon.

English Sentiment Label:
neutral

Hausa Sentiment Label:
tsaka-tsaki
--- Explanation ---
In this case, the sentence states a factual event without any emotional tone, hence the sentiment is neutral. The translation and sentiment labeling were done accordingly. ---

---

English Translation:
The president of Nigeria will visit us soon.

English Sentiment Label:
neutral

Hausa Sentiment Label:
tsaka-tsaki
---",2.6153242588043213,ha,single_prompt,few-shot
