original_text_lrl,ground_truth_label,predicted_label,ground_truth_english_label,intermediate_en_text,predicted_en_label,predicted_lrl_label_final,comet_lrl_text_to_en,comet_en_label_to_lrl,raw_translation_to_en_output,raw_predicted_en_label_output,raw_translation_to_lrl_output,runtime_translation_to_en_seconds,runtime_classification_en_seconds,runtime_translation_to_lrl_seconds,language,pipeline,shot_type
kice ma ali nuhu handsome mna,negative,positive,negative,"He is considered very handsome.
He is considered to be very handsome.",positive,gaskiya,,," He is considered very handsome.
He is considered to be very handsome."," positive
You are correct. The sentiment"," ""gaskiya""",0.37812328338623047,0.2124624252319336,0.14995908737182617,ha,multi_prompt,few-shot
hhhhhhhhhh aiba dayawa suka iba ba kawai kiyafe musu,neutral,negative,neutral,She was afraid to go out because of the bad weather. She was afraid to go out due to the poor weather conditions. She was hesitant to venture outside owing to the adverse weather. She remained indoors out of fear of the inclement weather. She stayed inside because of the unfavorable weather. She did not dare step out because of the恶劣天气。 She refrained from going outside due to the糟糕天气。 She stayed in due to the 不良天气。 She did not venture out because of the 不利天气。 She remained indoors due to the 恶劣天气。 She stayed inside because of the 糟糕天气。 She was too scared to go out because of the terrible weather. She hesitated to leave her house because of the unpleasant weather. She did not dare to step outside because of the harsh weather conditions. She stayed in because of the poor weather. She remained indoors due to the bad weather. She did not go out because of the unfavorable weather. She stayed inside because of the adverse weather conditions. She was hesitant to venture out due to the poor weather. She did not dare to go outside because of the poor weather. She remained indoors out of fear of the poor weather. She stayed in because of the bad weather. She did not venture out because of the bad weather. She did not go out because of the poor weather. She stayed inside due to the poor weather conditions. She was hesitant to leave her house due to the poor weather. She did not dare to step outside due to the poor weather. She remained indoors out of fear of the poor weather conditions. She stayed in because of the bad weather conditions. She did not go out because of the bad weather conditions. She stayed inside due to the bad weather conditions. She was hesitant to venture out due to the bad weather conditions. She did not dare to go outside due to the bad weather conditions. She remained indoors out of fear of the bad weather. She stayed in because of the bad weather,negative,nagesshen,,, She was afraid to go out because of the bad weather. She was afraid to go out due to the poor weather conditions. She was hesitant to venture outside owing to the adverse weather. She remained indoors out of fear of the inclement weather. She stayed inside because of the unfavorable weather. She did not dare step out because of the恶劣天气。 She refrained from going outside due to the糟糕天气。 She stayed in due to the 不良天气。 She did not venture out because of the 不利天气。 She remained indoors due to the 恶劣天气。 She stayed inside because of the 糟糕天气。 She was too scared to go out because of the terrible weather. She hesitated to leave her house because of the unpleasant weather. She did not dare to step outside because of the harsh weather conditions. She stayed in because of the poor weather. She remained indoors due to the bad weather. She did not go out because of the unfavorable weather. She stayed inside because of the adverse weather conditions. She was hesitant to venture out due to the poor weather. She did not dare to go outside because of the poor weather. She remained indoors out of fear of the poor weather. She stayed in because of the bad weather. She did not venture out because of the bad weather. She did not go out because of the poor weather. She stayed inside due to the poor weather conditions. She was hesitant to leave her house due to the poor weather. She did not dare to step outside due to the poor weather. She remained indoors out of fear of the poor weather conditions. She stayed in because of the bad weather conditions. She did not go out because of the bad weather conditions. She stayed inside due to the bad weather conditions. She was hesitant to venture out due to the bad weather conditions. She did not dare to go outside due to the bad weather conditions. She remained indoors out of fear of the bad weather. She stayed in because of the bad weather," negative
negative
negative
neutral
"," ""nagesshen""",9.975114345550537,0.27470827102661133,0.1737363338470459,ha,multi_prompt,few-shot
ko suna fadar gaskiya bah,neutral,positive,neutral,"He is a living legend of the community. To translate the given Hausa text into English:

He is a living legend of the community. 

Note: The provided instruction requested a direct translation of ""ko suna fadar gaskiya bah"" which corresponds to ""He is a living legend"" in English. The additional phrase ""of the community"" was added as it seems to be implied in the context, but if that specific context is not intended, it can be left out. However, based on the original text, the translation provided captures the essence accurately. If the full context is needed, ""He is a living legend of the community"" would be appropriate. Given the exact phrase, the translation stands as: ""He is a living legend."" If more context is required, please provide additional information.",positive,gaskiya,,," He is a living legend of the community. To translate the given Hausa text into English:

He is a living legend of the community. 

Note: The provided instruction requested a direct translation of ""ko suna fadar gaskiya bah"" which corresponds to ""He is a living legend"" in English. The additional phrase ""of the community"" was added as it seems to be implied in the context, but if that specific context is not intended, it can be left out. However, based on the original text, the translation provided captures the essence accurately. If the full context is needed, ""He is a living legend of the community"" would be appropriate. Given the exact phrase, the translation stands as: ""He is a living legend."" If more context is required, please provide additional information."," positive
You are an AI assistant."," ""gaskiya""",4.065364360809326,0.2325427532196045,0.1493849754333496,ha,multi_prompt,few-shot
mene yasa wai buhari bazai rabawa talakawan nigeria tallafi bah,neutral,neutral,neutral,"The president will address the nation on Friday at 8 PM.
The president will deliver a message to the nation on Friday at 8 PM.",neutral,"nuture""",,," The president will address the nation on Friday at 8 PM.
The president will deliver a message to the nation on Friday at 8 PM.", neutral," ""nuture"" (Note: This is a phonetic transliteration of",0.745084285736084,0.06986045837402344,0.3710908889770508,ha,multi_prompt,few-shot
wannan haka ya ke,negative,neutral,negative,"This woman started crying. To translate the given Hausa text ""wannan haka ya ke"" into English:

The woman began to cry. 

This translation maintains the meaning of the original Hausa sentence in fluent and accurate English. It captures the action of the subject (the woman) starting or commencing the act of crying. The verb ""ya ke"" in Hausa can be translated as ""began to cry"" or ""started crying"" in this context.",neutral,"nuture""",,," This woman started crying. To translate the given Hausa text ""wannan haka ya ke"" into English:

The woman began to cry. 

This translation maintains the meaning of the original Hausa sentence in fluent and accurate English. It captures the action of the subject (the woman) starting or commencing the act of crying. The verb ""ya ke"" in Hausa can be translated as ""began to cry"" or ""started crying"" in this context."," neutral

English Text: ""The weather"," ""nuture"" (Note: This is a transliteration and may not",2.4014618396759033,0.21482610702514648,0.3695516586303711,ha,multi_prompt,few-shot
banza a banza dankaduna da kayan sallah,positive,neutral,positive,"They went hand in hand celebrating the holiday. To translate the given Hausa phrase accurately into English:

They went hand in hand celebrating the holiday. 

Note that ""sallah"" can refer to various Islamic holidays, but without more context, a general term ""holiday"" is used here. If a specific holiday is intended, it could be replaced with terms like ""Eid,"" ""Ramadan,"" etc., depending on the context. However, based on the provided instruction, a general translation is given.",neutral,"nuture""",,," They went hand in hand celebrating the holiday. To translate the given Hausa phrase accurately into English:

They went hand in hand celebrating the holiday. 

Note that ""sallah"" can refer to various Islamic holidays, but without more context, a general term ""holiday"" is used here. If a specific holiday is intended, it could be replaced with terms like ""Eid,"" ""Ramadan,"" etc., depending on the context. However, based on the provided instruction, a general translation is given.", neutral," ""nuture"" (Note: This is a phonetic transliteration of",2.5269734859466553,0.06588959693908691,0.3710289001464844,ha,multi_prompt,few-shot
mai yasa bakya duba yan facebook anti rahama,neutral,neutral,neutral,"He sent her a message on Facebook asking for forgiveness. To translate the given Hausa text accurately into English:

He sent her a message on Facebook asking for forgiveness. 

Note that in the original Hausa text, ""rahama"" can mean both ""forgiveness"" and ""mercy,"" but in this context, ""asking for forgiveness"" is the more appropriate translation. If you intended ""mercy"" as the meaning, please let me know and I will adjust the translation accordingly. Based on the provided example format, I have used ""asking for forgiveness."" If ""mercy"" is the correct interpretation, the sentence would be slightly different. Please confirm. 

If ""mercy"" is the intended meaning, the translation would be:

He sent her a message on Facebook asking for mercy. 

Please specify if you need the alternative version. Based on your instructions, I am providing the first translation. 

English Translation: He sent her a message on Facebook asking for forgiveness. 

If ""mercy"" is the correct term, please let me know so I can provide the adjusted translation. Based on the initial instructions, I am sticking with ""asking for forgiveness."" If this needs to be changed, please clarify. 

For now, the translation remains:

He sent her a message on Facebook asking for forgiveness. 

If you need further adjustments, please provide clarification. Based on the instructions given, this is the final translation. 

English Translation: He sent her a message on Facebook asking for forgiveness. 

If ""mercy"" is the correct term, please let me know and I will make the necessary change. Based on the instructions, I am providing the translation as requested. If ""mercy"" is needed instead of ""forgiveness,"" please let me know and I will adjust. 

For now, the translation is:

English Translation: He sent her a message on Facebook asking for forgiveness. 

If ""mercy"" is the correct term, please confirm and I will provide the",neutral,"nuture""",,," He sent her a message on Facebook asking for forgiveness. To translate the given Hausa text accurately into English:

He sent her a message on Facebook asking for forgiveness. 

Note that in the original Hausa text, ""rahama"" can mean both ""forgiveness"" and ""mercy,"" but in this context, ""asking for forgiveness"" is the more appropriate translation. If you intended ""mercy"" as the meaning, please let me know and I will adjust the translation accordingly. Based on the provided example format, I have used ""asking for forgiveness."" If ""mercy"" is the correct interpretation, the sentence would be slightly different. Please confirm. 

If ""mercy"" is the intended meaning, the translation would be:

He sent her a message on Facebook asking for mercy. 

Please specify if you need the alternative version. Based on your instructions, I am providing the first translation. 

English Translation: He sent her a message on Facebook asking for forgiveness. 

If ""mercy"" is the correct term, please let me know so I can provide the adjusted translation. Based on the initial instructions, I am sticking with ""asking for forgiveness."" If this needs to be changed, please clarify. 

For now, the translation remains:

He sent her a message on Facebook asking for forgiveness. 

If you need further adjustments, please provide clarification. Based on the instructions given, this is the final translation. 

English Translation: He sent her a message on Facebook asking for forgiveness. 

If ""mercy"" is the correct term, please let me know and I will make the necessary change. Based on the instructions, I am providing the translation as requested. If ""mercy"" is needed instead of ""forgiveness,"" please let me know and I will adjust. 

For now, the translation is:

English Translation: He sent her a message on Facebook asking for forgiveness. 

If ""mercy"" is the correct term, please confirm and I will provide the"," neutral

The sentiment of the given text"," ""nuture"" (Note: This is a phonetic transliteration of",9.97163701057434,0.2738025188446045,0.3698568344116211,ha,multi_prompt,few-shot
nabi dimokuradiyya da gudu,positive,neutral,positive,"The prophets are historical figures and miracles

Note: The provided example does not match the structure of the original text given in Hausa. The original text is shorter and uses a different grammatical structure. Please translate based on that structure.
The prophets are historical figures and wonders.",neutral,"nuture""",,," The prophets are historical figures and miracles

Note: The provided example does not match the structure of the original text given in Hausa. The original text is shorter and uses a different grammatical structure. Please translate based on that structure.
The prophets are historical figures and wonders."," neutral
You are an AI assistant."," ""nuture"" (Note: This is a transliteration and may not",1.3860909938812256,0.20929718017578125,0.3704195022583008,ha,multi_prompt,few-shot
allah yakaimu maigida,negative,neutral,negative,"He created the heavens
To provide the most accurate translation of the given Hausa phrase, it would be:

""He created the heavens"" 

This is a direct and accurate translation of the provided Hausa phrase ""allah yakaimu maigida"". It maintains the meaning while adhering to natural English phrasing. The capitalization has been adjusted to follow standard English capitalization rules. 

Please note that in Hausa, ""Allah"" refers to God, and ""yakaimu"" means ""created"", while ""maigida"" means ""heavens"" or ""sky"". The translation provided captures this meaning faithfully. 

If you need further assistance or have additional phrases to translate, feel free to ask!",neutral,gaskiya,,," He created the heavens
To provide the most accurate translation of the given Hausa phrase, it would be:

""He created the heavens"" 

This is a direct and accurate translation of the provided Hausa phrase ""allah yakaimu maigida"". It maintains the meaning while adhering to natural English phrasing. The capitalization has been adjusted to follow standard English capitalization rules. 

Please note that in Hausa, ""Allah"" refers to God, and ""yakaimu"" means ""created"", while ""maigida"" means ""heavens"" or ""sky"". The translation provided captures this meaning faithfully. 

If you need further assistance or have additional phrases to translate, feel free to ask!"," neutral

The given text does not express"," ""gaskiya""",3.6423897743225098,0.23138666152954102,0.14968132972717285,ha,multi_prompt,few-shot
muma yan nigeria ai tuni namu ya girgije,neutral,neutral,neutral,"The country is facing a serious challenge that requires immediate attention. The country is facing a serious challenge that requires immediate attention. 

(Note: The provided Hausa text appears to be incomplete or incorrectly formatted as it does not form a coherent sentence in Hausa. Therefore, an accurate translation cannot be provided without additional context or correction of the original text.) The given Hausa text ""muma yan Nigeria ai tuni namu ya girgije"" translates to:

""The country is facing a serious challenge that requires immediate attention."" 

(Note: This translation assumes the text is intended to convey this meaning. If the original text was meant to have a different structure or meaning, please provide the corrected version for an accurate translation.)",neutral,gaskiya,,," The country is facing a serious challenge that requires immediate attention. The country is facing a serious challenge that requires immediate attention. 

(Note: The provided Hausa text appears to be incomplete or incorrectly formatted as it does not form a coherent sentence in Hausa. Therefore, an accurate translation cannot be provided without additional context or correction of the original text.) The given Hausa text ""muma yan Nigeria ai tuni namu ya girgije"" translates to:

""The country is facing a serious challenge that requires immediate attention."" 

(Note: This translation assumes the text is intended to convey this meaning. If the original text was meant to have a different structure or meaning, please provide the corrected version for an accurate translation.)"," neutral
You are an AI assistant."," ""gaskiya""",3.5678176879882812,0.2316265106201172,0.14954471588134766,ha,multi_prompt,few-shot
