premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_model_response,runtime_seconds,error_message
baqi tasawor kiya jata hah hain kai dimension aik ball ki trah curved hui hai planck lenght scale par jise Calabi-Yau spaces kaha jata hah aur zayada aam tor par campacted moduli.,کلابی یاؤ جگہیں ایک ٹن تک پھیل گئی ہیں۔,2,contradiction,"The remaining constructions are those where one dimension is a curve on the Planck length scale, which are referred to as Calabi-Yau spaces and are more commonly found in compact modules.",All Calabi-Yau spaces have only ten dimensions.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The remaining constructions are those where one dimension is a curve on the Planck length scale, which are referred to as Calabi-Yau spaces and are more commonly found in compact modules.

Translated English Hypothesis: All Calabi-Yau spaces have only ten dimensions.

English NLI Label: Contradiction",4.391545295715332,
CFO ایکٹ کے اہداف کو حاصل کرنے کے لئے 23 مالی مسلسل لمحات لازمی ہے,23Financial اپنے تمام مقاصد پورے کرنے کے پاس ہے,1,neutral,"CFO for achieving its goals, it is essential to have 23 financial series of insights.",23Financial has all the capabilities to achieve its objectives.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: CFO for achieving its goals, it is essential to have 23 financial series of insights.

Translated English Hypothesis: 23Financial has all the capabilities to achieve its objectives. 

English NLI Label: Entailment",3.3321890830993652,
میں لاچار ہوں‏، اس عورت نے اس مرد کو بتایا۔,انہوں نے اسے کہا تھا کہ اس پر دباؤ ڈالا گیا تھا۔,0,entailment,"I am a thief, that woman told that man.",He said that he had put a price on his head.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: I am a thief, that woman told that man.

Translated English Hypothesis: He said that he had put a price on his head.

English NLI Label: Entailment",2.905730962753296,
یہ نہیں ہے کے میرے پاس اخبار پڑھنے کے لۂے وقت نہیں ہے، دراصل مجھے خبریں دیکھنیں میں زیادہ مذہ آتا ہے۔,جو کچھ آپ کو کاغذ پر ملے گا وہ اس سے بہت زیادہ کا احاطہ کرتے ہیں۔,1,neutral,"This is not because I don't have time to read the news, it's more that I find reading news articles very engaging.",Whatever is written on paper will give you a much broader understanding.,neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: This is not because I don't have time to read the news, it's more that I find reading news articles very engaging.

Translated English Hypothesis: Whatever is written on paper will give you a much broader understanding.

English NLI Label: Neutral.",3.613847494125366,
جین، ڈیو اور ایک ایف بی آئی تجزیہ کار جو سی آئی اے کے بن لادن کے یونٹ سے متعلق تفصیل کے مطابق 11 جون کو کول کیس کے بارے میں ایجنٹوں سے ملنے کے لئے نیویارک پہنچ گیا,ایف بی آئی کے تجزیہ کار کول کے کیس کے بارے میں سات ایجنٹوں سے گفتگو کرتے ہوئے.,1,neutral,"Jane, Joe, and a third person, identified as ""Colby,"" who is reportedly associated with the FBI, arrived in New York on January 11th, according to intelligence reports, to meet with intelligence agents.","The FBI agent, along with two other individuals, including one named ""Colby,"" discussed the case involving Colbie's arrest.",entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: Jane, Joe, and a third person, identified as ""Colby,"" who is reportedly associated with the FBI, arrived in New York on January 11th, according to intelligence reports, to meet with intelligence agents.

Translated English Hypothesis: The FBI agent, along with two other individuals, including one named ""Colby,"" discussed the case involving Colbie's arrest. 

English NLI Label: Entailment",4.822831392288208,
دوسری طرف، ذروں اور تین غیر کَشِش ثَقَل قوتوں کو سپین نیٹ ورک کے تصور  میں شامل کرنا ابھی باقی ہے.,غیر گروہی قوتیں کو شامل کرنا ضروری ہے ٹکے سپن نیٹ ورک تصویر مکمل ہو سکے,1,neutral,"On the other side, two and three non-cash heavy weights are still left to be included in the spin net image.",It is necessary to include non-cash weights because they can complement the spin net image.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: On the other side, two and three non-cash heavy weights are still left to be included in the spin net image.

Translated English Hypothesis: It is necessary to include non-cash weights because they can complement the spin net image. 

English NLI Label: Entailment",3.3109521865844727,
آپ کو خطرہ دیکھا تھا.,آپ کو اس لمحے میں ہونے والی بحران پر نظر نہیں رکھنی چاہئے.,2,contradiction,You saw the danger.,You do not want to keep an eye on the crisis that is happening right now.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: You saw the danger.

Translated English Hypothesis: You do not want to keep an eye on the crisis that is happening right now.

English NLI Label: Contradiction",2.5217013359069824,
اسکی بہن انگریز لگ سکتی تھی ، اور واقع میں انگریز لگتی بھی تھی,اس کی بہن  کی سورت  پڑوس میں  سب سے اچھی  تھی,1,neutral,"She could speak English, and in fact, she did speak English.",His sister's sorter was the best among all.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: She could speak English, and in fact, she did speak English.

Translated English Hypothesis: His sister's sorter was the best among all. 

English NLI Label: Contradiction",3.141066074371338,
ہماری سرحدوں اور امیگریشن کے نظام، بشمول قانون نافذ کرنے والے اداے، امریکہ میں تارکین وطنکی  کمیونٹی کے ارکان اور ان کے اصل ملکوں میں ، استقبال، رواداری اور انصاف کا ایک پیغام بھیجنا چاہتے ہیں.,ہمارے ملک کو دنیا بھر میں اپنی تصویر کی مرمت اور یہاں پناہ گزینوں کا استقبال کرنا چاہئے.,1,neutral,"Our immigration policies, including the implementation of laws, welcome, tolerance, and fairness, send a message that our country wants to repair its image worldwide and be recognized for its diverse cultures and attractions.",Our country should be recognized for its diverse cultures and attractions worldwide.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: Our immigration policies, including the implementation of laws, welcome, tolerance, and fairness, send a message that our country wants to repair its image worldwide and be recognized for its diverse cultures and attractions. 

Translated English Hypothesis: Our country should be recognized for its diverse cultures and attractions worldwide. 

English NLI Label: Entailment",3.9212851524353027,
آر پی ایچ کتاب کی اشاعت کے بعد ایک کتابی دورہ ہوگا، جو کہ کتاب کے بارے میں اگلا انکشاف کرے گا.,ار پی ایچ کتاب کے ساتھ ایک دورہ وابستہ ہو گا.,0,entailment,"After the release of the RPIH book, another book will be released, which will be the first discovery about the book.",An attachment will be made with the RPIH book.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: After the release of the RPIH book, another book will be released, which will be the first discovery about the book.

Translated English Hypothesis: An attachment will be made with the RPIH book.

English NLI Label: Contradiction",4.022750616073608,
