task,model,language,shot_type,pipeline,baseline_f1,cotr_f1,diff_f1,baseline_accuracy,cotr_accuracy,diff_accuracy
qa,Qwen2.5-7B-Instruct,fi,few_shot,single_prompt,0.17463167802090931,0.0,-0.17463167802090931,,,
qa,aya-23-8B,fi,few_shot,multi_prompt,0.17625650875533788,0.07361111111111111,-0.10264539764422677,,,
qa,aya-23-8B,sw,zero_shot,single_prompt,0.01945221445221445,0.002777777777777778,-0.01667443667443667,,,
qa,aya-23-8B,fi,zero_shot,single_prompt,0.15075098535844825,0.0,-0.15075098535844825,,,
qa,Qwen2.5-7B-Instruct,fi,zero_shot,multi_prompt,0.08214570767494155,0.022150837630518998,-0.05999487004442255,,,
qa,Qwen2.5-7B-Instruct,fi,zero_shot,single_prompt,0.08214570767494155,0.0,-0.08214570767494155,,,
qa,Qwen2.5-7B-Instruct,sw,zero_shot,multi_prompt,0.010038919413919415,0.020930594987046598,0.010891675573127183,,,
qa,aya-23-8B,sw,zero_shot,multi_prompt,0.01945221445221445,0.17589285714285713,0.15644064269064267,,,
qa,Qwen2.5-7B-Instruct,sw,few_shot,multi_prompt,0.1111588781919369,0.004342664234835725,-0.10681621395710117,,,
qa,aya-23-8B,fi,zero_shot,multi_prompt,0.15075098535844825,0.3356718500797448,0.18492086472129657,,,
qa,aya-23-8B,en,few_shot,single_prompt,0.15406537614182486,0.0125,-0.14156537614182485,,,
qa,Qwen2.5-7B-Instruct,sw,few_shot,single_prompt,0.1111588781919369,0.0,-0.1111588781919369,,,
qa,Qwen2.5-7B-Instruct,en,few_shot,single_prompt,0.3009492006400742,0.0528445723952685,-0.2481046282448057,,,
qa,aya-23-8B,en,zero_shot,multi_prompt,0.13386278205730537,0.4472446652719485,0.3133818832146431,,,
qa,Qwen2.5-7B-Instruct,sw,zero_shot,single_prompt,0.010038919413919415,0.0,-0.010038919413919415,,,
qa,Qwen2.5-7B-Instruct,fi,few_shot,multi_prompt,0.17463167802090931,0.01958333333333333,-0.15504834468757597,,,
qa,aya-23-8B,sw,few_shot,single_prompt,0.11855873293373294,0.0125,-0.10605873293373294,,,
qa,Qwen2.5-7B-Instruct,en,zero_shot,single_prompt,0.16951151631590386,0.08547699948669428,-0.08403451682920958,,,
qa,Qwen2.5-7B-Instruct,en,few_shot,multi_prompt,0.3009492006400742,0.02696580771817495,-0.2739833929218992,,,
qa,aya-23-8B,fi,few_shot,single_prompt,0.17625650875533788,0.0,-0.17625650875533788,,,
qa,aya-23-8B,en,few_shot,multi_prompt,0.15406537614182486,0.11398493867243867,-0.04008043746938619,,,
qa,Qwen2.5-7B-Instruct,en,zero_shot,multi_prompt,0.16951151631590386,0.048025967940543215,-0.12148554837536064,,,
qa,aya-23-8B,en,zero_shot,single_prompt,0.13386278205730537,0.0027777777777777775,-0.1310850042795276,,,
qa,aya-23-8B,sw,few_shot,multi_prompt,0.11855873293373294,0.034999999999999996,-0.08355873293373295,,,
ner,aya-23-8B,ha,zero_shot,multi_prompt,0.3125,0.3125,0.0,,,
ner,aya-23-8B,ha,zero_shot,single_prompt,0.3125,0.18429910367410368,-0.12820089632589632,,,
ner,Qwen2.5-7B-Instruct,sw,zero_shot,multi_prompt,0.3792544261294261,0.2625,-0.1167544261294261,,,
ner,aya-23-8B,ha,few_shot,single_prompt,0.31681071883875084,0.2057371101121101,-0.11107360872664074,,,
ner,Qwen2.5-7B-Instruct,sw,few_shot,multi_prompt,0.40929403929403935,0.46039682539682536,0.05110278610278601,,,
ner,aya-23-8B,sw,few_shot,single_prompt,0.2568654210856224,0.25695585664335663,9.04355577342475e-05,,,
ner,Qwen2.5-7B-Instruct,ha,zero_shot,multi_prompt,0.4527815934065934,0.3,-0.15278159340659342,,,
ner,Qwen2.5-7B-Instruct,ha,few_shot,multi_prompt,0.48299603174603173,0.42216325341325334,-0.06083277833277839,,,
ner,Qwen2.5-7B-Instruct,ha,zero_shot,single_prompt,0.4527815934065934,0.43599206349206343,-0.016789529914529977,,,
ner,aya-23-8B,sw,zero_shot,single_prompt,0.2816098484848485,0.30723477910977914,0.025624930624930653,,,
ner,aya-23-8B,sw,few_shot,multi_prompt,0.2568654210856224,0.07083333333333333,-0.18603208775228905,,,
ner,aya-23-8B,sw,zero_shot,multi_prompt,0.2816098484848485,0.2625,-0.01910984848484848,,,
