original_text_lrl,ground_truth_label,predicted_label,ground_truth_english_label,intermediate_en_text,intermediate_en_label,predicted_lrl_label_final_raw,comet_lrl_text_to_en,comet_en_label_to_lrl,raw_model_response,runtime_seconds_sample,language,pipeline,shot_type
   Mambo 9 muhimu ya kuzingatia unapotumia mitandao ya kijamii 1 Fikiria kwanza kabla ya kutuma taarifa yoyote mitan,neutral,neutral,neutral,[Extraction Error EN Text],neutral,[Extraction Error LRL Label],,,"
--- English Translation ---
Step 1:
Mambo 9 muhimu ya kuzingatia unapotumia mitandao ya kijamii 1 Fikiria kwanza kabla ya kutuma taarifa yoyote mitan

--- English Sentiment Label ---
Step 2:
neutral

--- Swahili Sentiment Label ---
Step 3:
kama siri

--- End of Response ---",5.1880505084991455,sw,single_prompt,few-shot
Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni,positive,unknown,positive,Shilole aka Shishi Baby kuu zaa mwanzo wao wanafungewa na wafanyika wakuu zaa mtu wao wanafungewa na wafanyika wakuu zaa mtu wao wanafungewa na wafanyika wakuu zaa mtu wao wanafungewa na wafanyika wakuu zaa mtu wao wanafungewa na wafanyika wakuu zaa mtu wao wanafungewa,unknown,[Extraction Error LRL Label],,,"English Translation:
Shilole aka Shishi Baby kuu zaa mwanzo wao wanafungewa na wafanyika wakuu zaa mtu wao wanafungewa na wafanyika wakuu zaa mtu wao wanafungewa na wafanyika wakuu zaa mtu wao wanafungewa na wafanyika wakuu zaa mtu wao wanafungewa na wafanyika wakuu zaa mtu wao wanafungewa",6.511061668395996,sw,single_prompt,few-shot
   Changamoto ya Tax Refund inatokana na baadhi ya wadau kutokuwa waaminifu naomba baadhi ya wadau wafanye kazi kwa uaminifu,neutral,neutral,neutral,Tax refund applications are processed based on the number of dependents you have and whether they are your spouse or children.,neutral,[Extraction Error LRL Label],,,"English Translation:
Tax refund applications are processed based on the number of dependents you have and whether they are your spouse or children.

English Sentiment Label:
neutral

Swahili Sentiment Label:
kati",2.8250796794891357,sw,single_prompt,few-shot
Kwamba acha kunyonya maziwa ya mama yale ni ya mtoto wako Acha kabisa,neutral,negative,neutral,Why do you want to take my son away from his mother?,negative,[Extraction Error LRL Label],,,"
--- Your Response ---
English Translation:
Why do you want to take my son away from his mother?

English Sentiment Label:
negative

Swahili Sentiment Label:
Kama cha kukuza",2.863823890686035,sw,single_prompt,few-shot
   EWE KIJANA AMKA KUMEKUCHA Ni asubuhi nyingine tena katika ulimwengu uliojaa fursa nyingi hususani za kilimo biashara T,neutral,positive,neutral,[Extraction Error EN Text],positive,[Extraction Error LRL Label],,,"
--- English Translation ---
```
   The weather today is nice in the morning in the city where there are many opportunities for business owners to grow their businesses through agriculture
```

--- English Sentiment Label ---
positive

--- Swahili Sentiment Label ---
chanya",3.3972830772399902,sw,single_prompt,few-shot
   Hello MwanzaNew service in townThe most Mobile MessengerTuma chochotepopote pale na utaletewa ulipoContacts http,negative,neutral,negative,Hello MwanzaNew service in townThe most Mobile MessengerTuma chochotepopote pale na utaletewa ulipoContacts http,neutral,[Extraction Error LRL Label],,,"English Translation:
Hello MwanzaNew service in townThe most Mobile MessengerTuma chochotepopote pale na utaletewa ulipoContacts http

English Sentiment Label:
neutral

Swahili Sentiment Label:
kama siri",3.2236528396606445,sw,single_prompt,few-shot
Eeeh mchezo wa kuloweka sio mzuri jamaa fanya vurugu mechi ila usiache zanaa,negative,negative,negative,"
Well, the weather today is not good at all. The sun is shining but there's a strong wind that blows sand everywhere.
",negative,[Extraction Error LRL Label],,,"English Translation:
```
Well, the weather today is not good at all. The sun is shining but there's a strong wind that blows sand everywhere.
```

English Sentiment Label:
negative

Swahili Sentiment Label:
mzuri
Note: You can use any online translation tool for the translation part. Just make sure you do not copy and paste translations from Google Translate as they are often inaccurate.

--- End Task ---",5.330191612243652,sw,single_prompt,few-shot
   Tuna utajiri mkubwa Sana wa mawazo Ila namna yakuwasilisha na kuyafanyia kazi ndo kinachotufelisha,negative,negative,negative,We have received many complaints about the quality of work done by our employees. We will discuss these complaints and take appropriate action at our next meeting.,negative,[Extraction Error LRL Label],,,"English Translation:
We have received many complaints about the quality of work done by our employees. We will discuss these complaints and take appropriate action at our next meeting.

English Sentiment Label:
negative

Swahili Sentiment Label:
sana wa mawazo ila namna yakuwasilisha na kuyafanyia kazi ndo kinachotufelisha",4.463206052780151,sw,single_prompt,few-shot
   Utulivu wa akilini kuepuka papara stress unaweza kua na hekima lakini stress zikakuondolea u,negative,neutral,negative,"
   Stress can be managed through exercise and meditation but stress cannot be avoided completely.
",neutral,[Extraction Error LRL Label],,,"English Translation:
```
   Stress can be managed through exercise and meditation but stress cannot be avoided completely.
```

English Sentiment Label:
neutral

Swahili Sentiment Label:
kati",2.616703510284424,sw,single_prompt,few-shot
   Mungu ni mwema sana hatimae mnamo 20102021 nilitunukiwa shahada yangu ya kwanza DEGREE kutoka UDSM Asanteni nyote mlioku,negative,positive,negative,"God is very good, he has blessed me with a degree from UDSM since 20102021 and I have been working hard as an engineer.",positive,[Extraction Error LRL Label],,,"English Translation:
God is very good, he has blessed me with a degree from UDSM since 20102021 and I have been working hard as an engineer.

English Sentiment Label:
positive

Swahili Sentiment Label:
mungu ni mwemahatimae mnamo 20102021|nilitunukiwa shahada yangu ya kwanza DEGREE kutoka UDSM|Asanteni nyote mliokuchanya|kama nafisi|",6.5891172885894775,sw,single_prompt,few-shot
   Moja ya Kitu Kinayumbisha Mahusiano na Ndoa Siku Hizi Ni Pesa Ni Kweli Pesa Hainunui Upendo ila Pesa Inanunua Chakula N,neutral,neutral,neutral,"One of the principles of the Constitution and the Bill of Rights is that everyone has the right to life, liberty, and security of person. This right includes the right to be free from cruel and unusual punishment and the right to equal protection and equal rights before the law.",neutral,[Extraction Error LRL Label],,,"English Translation:
One of the principles of the Constitution and the Bill of Rights is that everyone has the right to life, liberty, and security of person. This right includes the right to be free from cruel and unusual punishment and the right to equal protection and equal rights before the law.

English Sentiment Label:
neutral

Swahili Sentiment Label:
kama kama",4.629764556884766,sw,single_prompt,few-shot
