id,premise,hypothesis,ground_truth_label,predicted_label,raw_model_output,runtime_seconds,data_language,prompt_instruction_language,shot_type
0,baqi tasawor kiya jata hah hain kai dimension aik ball ki trah curved hui hai planck lenght scale par jise Calabi-Yau spaces kaha jata hah aur zayada aam tor par campacted moduli.,کلابی یاؤ جگہیں ایک ٹن تک پھیل گئی ہیں۔,contradiction,contradiction,"'CONTRADICTION'

متن:",0.8852,ur,ur,few-shot
1,CFO ایکٹ کے اہداف کو حاصل کرنے کے لئے 23 مالی مسلسل لمحات لازمی ہے,23Financial اپنے تمام مقاصد پورے کرنے کے پاس ہے,neutral,entailment,"'ENTAILMENT'

جواب: '",0.8275,ur,ur,few-shot
2,میں لاچار ہوں‏، اس عورت نے اس مرد کو بتایا۔,انہوں نے اسے کہا تھا کہ اس پر دباؤ ڈالا گیا تھا۔,entailment,unknown,متن: 'میں لاچار �,0.7705,ur,ur,few-shot
3,یہ نہیں ہے کے میرے پاس اخبار پڑھنے کے لۂے وقت نہیں ہے، دراصل مجھے خبریں دیکھنیں میں زیادہ مذہ آتا ہے۔,جو کچھ آپ کو کاغذ پر ملے گا وہ اس سے بہت زیادہ کا احاطہ کرتے ہیں۔,neutral,entailment,"'ENTAILMENT'

متن: '",0.9152,ur,ur,few-shot
4,جین، ڈیو اور ایک ایف بی آئی تجزیہ کار جو سی آئی اے کے بن لادن کے یونٹ سے متعلق تفصیل کے مطابق 11 جون کو کول کیس کے بارے میں ایجنٹوں سے ملنے کے لئے نیویارک پہنچ گیا,ایف بی آئی کے تجزیہ کار کول کے کیس کے بارے میں سات ایجنٹوں سے گفتگو کرتے ہوئے.,neutral,contradiction,"'CONTRADICTION'

متن:",0.8840,ur,ur,few-shot
5,دوسری طرف، ذروں اور تین غیر کَشِش ثَقَل قوتوں کو سپین نیٹ ورک کے تصور  میں شامل کرنا ابھی باقی ہے.,غیر گروہی قوتیں کو شامل کرنا ضروری ہے ٹکے سپن نیٹ ورک تصویر مکمل ہو سکے,neutral,entailment,"ENTAILMENT

متن: 'دوسری",0.9001,ur,ur,few-shot
6,آپ کو خطرہ دیکھا تھا.,آپ کو اس لمحے میں ہونے والی بحران پر نظر نہیں رکھنی چاہئے.,contradiction,unknown,متن: 'آپ کو خطرہ د,1.0069,ur,ur,few-shot
7,اسکی بہن انگریز لگ سکتی تھی ، اور واقع میں انگریز لگتی بھی تھی,اس کی بہن  کی سورت  پڑوس میں  سب سے اچھی  تھی,neutral,entailment,"'ENTAILMENT'

جواب: '",0.9621,ur,ur,few-shot
8,ہماری سرحدوں اور امیگریشن کے نظام، بشمول قانون نافذ کرنے والے اداے، امریکہ میں تارکین وطنکی  کمیونٹی کے ارکان اور ان کے اصل ملکوں میں ، استقبال، رواداری اور انصاف کا ایک پیغام بھیجنا چاہتے ہیں.,ہمارے ملک کو دنیا بھر میں اپنی تصویر کی مرمت اور یہاں پناہ گزینوں کا استقبال کرنا چاہئے.,neutral,entailment,"'ENTAILMENT'

جواب: '",0.9355,ur,ur,few-shot
9,آر پی ایچ کتاب کی اشاعت کے بعد ایک کتابی دورہ ہوگا، جو کہ کتاب کے بارے میں اگلا انکشاف کرے گا.,ار پی ایچ کتاب کے ساتھ ایک دورہ وابستہ ہو گا.,entailment,entailment,"ENTAILMENT

متن: 'آر پی ای",0.8359,ur,ur,few-shot
10,چیئر لفٹ ایک پسندیدہ پسندیدہ ہے.,کوئی شخص چیئر لفٹ نہیں پسند کرتا ہے.,contradiction,unknown,متن: 'چیئر لفٹ ای,0.7282,ur,ur,few-shot
11,11 ستمبر کو نکالنے کے لئے امداد کے لئے، ملاحظہ کریں، مثال کے طور پر، شہری انٹرویو 14 (اپریل,11 ستمبر کو نکالنے کے حوالے سے کوئی امداد دستیاب نہیں ہیں.,contradiction,unknown,'11 ستمبر کو نکالنے ک,0.7287,ur,ur,few-shot
12,ٹینیسی کی خبر رساں نے گرم، خشک موسم کے لئے کتا موسم کے الفاظ استعمال کئے جو اگست کے خشک موسم کی طرف اشارہ کرنے والی اصطلاح کتے دن سے اخذ کئے جا سکتے ہیں۔,تینعسی مین بہی جون اور جولاءی مین شدید گرمی ہوتی ہے,neutral,entailment,"'ENTAILMENT'

جواب: '",1.1468,ur,ur,few-shot
13,میں نے اسے مار ڈالا، یہ سچ ہے.,آدمی کی زندگی بچ گئی تھی,contradiction,unknown,متن: 'میں نے اس,0.9097,ur,ur,few-shot
14,لیکن میں آپ کو زمین کی جلدی میں جلدی میں تھا.,فرد ایک محبت کرنے والا چاہتا تھا,neutral,contradiction,"'CONTRADICTION'

متن:",0.8737,ur,ur,few-shot
15,اگر آپ اس پر محسوس کر رہے ہیں تو، مٹی ٹریل کے ساتھ دھکا،نیدرا گر کے پاس، ایمیلڈ پول کے ماضی میں، اور آپ بھیڑوں کو کھونے کے لئے شروع کر دیں گے.,نوادا کی آبشار کا پیدل راستہ تھوڑے لوگوں کی موجودگی کے باعث زبردست جگہ ہے۔,neutral,contradiction,"'CONTRADICTION'

متن:",1.2905,ur,ur,few-shot
16,میں نے اس کو اس خط میں ایک خط لکھا تھا کہ اسے اس کا سامنا کرنا پڑا،اور انہوں نے مجھے ایک چھوٹے سے پھل کیک بھیج دیا جو کرسمس.,ډاکتر ماته په هغه کریسمس کي شراب  .واستول,contradiction,contradiction,"'CONTRADICTION'

متن:",0.8215,ur,ur,few-shot
