text,ground_truth_entities,predicted_entities,language,prompt_language,precision,recall,f1_score,model
"Mratibu wa Mkoa wa Pwani John Elungata ametoa ripoti hiyo masaa kadhaa baada ya shambulio la kushitukiza katika eneo la Nyongoro , sehemu maarufu ambayo Al - Shabaab imekuwa ikifanya mashambulizi yanayo lenga abiria katika magari na vyombo vya usalama .","[{'entity': 'Pwani', 'type': 'LOC'}, {'entity': 'John Elungata', 'type': 'PER'}, {'entity': 'Nyongoro', 'type': 'LOC'}, {'entity': 'Al - Shabaab', 'type': 'ORG'}]","[{'entity': 'Mkoa wa Pwani', 'type': 'LOC'}, {'entity': 'John Elungata', 'type': 'PER'}, {'entity': 'Nyongoro', 'type': 'LOC'}, {'entity': 'Al-Shabaab', 'type': 'ORG'}]",sw,EN,0.5,0.5,0.5,Qwen/Qwen2.5-7B-Instruct
” Mwelekeo huo ulivurugika wakati wa kashfa ya Watergate ambayo ilipelekea Rais Richard Nixon kujiuzulu mwaka 1974 .,"[{'entity': 'Richard Nixon', 'type': 'PER'}, {'entity': '1974', 'type': 'DATE'}]","[{'entity': 'Watergate', 'type': 'LOC'}, {'entity': 'Richard Nixon', 'type': 'PER'}, {'entity': '1974', 'type': 'DATE'}, {'entity': 'Entities: Watergate', 'type': 'LOC'}, {'entity': 'Richard Nixon', 'type': 'PER'}, {'entity': '1974', 'type': 'DATE'}]",sw,EN,0.5,1.0,0.6666666666666666,Qwen/Qwen2.5-7B-Instruct
"Jamhuri ya Kidemokrasia ya Congo - DRC Serikali ya Jamhuri ya kidemokrasia ya Congo inatarajiwa kulegeza masharti yaliyowekwa kudhibiti maambukizi ya virusi vya Corona , hasa katika mji mkuu wa Kinshasa ambao umerekodi visa vingi vya maambukizi ya virusi vya Corona nchini humo .","[{'entity': 'Jamhuri ya Kidemokrasia ya Congo', 'type': 'LOC'}, {'entity': 'DRC', 'type': 'LOC'}, {'entity': 'Jamhuri ya kidemokrasia ya Congo', 'type': 'LOC'}, {'entity': 'Kinshasa', 'type': 'LOC'}]","[{'entity': 'Congo - DRC', 'type': 'LOC'}, {'entity': 'Congolese Government', 'type': 'ORG'}, {'entity': 'Kinshasa', 'type': 'LOC'}]",sw,EN,0.3333333333333333,0.3333333333333333,0.3333333333333333,Qwen/Qwen2.5-7B-Instruct
8 na cha Frankfurt Dax kiliporomoka kwa asilimia 1 .,"[{'entity': 'Frankfurt', 'type': 'LOC'}]","[{'entity': 'Frankfurt', 'type': 'LOC'}, {'entity': 'Dax', 'type': 'LOC'}, {'entity': 'I will translate them first:\n""8 na cha Frankfurt Dax kiliporomoka kwa asilimia 1."" translates to ""8 shares were traded at Frankfurt DAX on day 1.""\n\nNow identifying the entities from this translated sentence.\n\nEntities: Frankfurt', 'type': 'LOC'}, {'entity': 'DAX', 'type': 'ORG'}, {'entity': 'our final answer remains:\n\nFrankfurt', 'type': 'LOC'}, {'entity': 'DAX', 'type': 'ORG'}]",sw,EN,0.2,1.0,0.33333333333333337,Qwen/Qwen2.5-7B-Instruct
"Kuongezeka kasi kwa kesi hiyo anasema inatokana na wanachama wa ngazi ya juu na mwanasheria wa Trump binafsi , Rudy Giuliani kupuuza hati ya wito juu ya shauri la uchunguzi linalotaka kumuondoa madarakani rais .","[{'entity': 'Trump', 'type': 'PER'}, {'entity': 'Rudy Giuliani', 'type': 'PER'}]","[{'entity': 'kuangihiwa', 'type': 'VERB'}, {'entity': 'kesi', 'type': 'NOUN'}, {'entity': 'Wanachama wa ngazi ya juu', 'type': 'PER'}, {'entity': 'Mwanasheria wa Trump', 'type': 'PER'}, {'entity': 'Rudy Giuliani', 'type': 'PER'}]",sw,EN,0.2,0.5,0.28571428571428575,Qwen/Qwen2.5-7B-Instruct
"Nchi hiyo , ambayo ni maarufu kwa utalii na moja wapo ya mataifa imara zaidi barani Afrika , hufanya uchaguzi kila baada ya miaka mitano , na wa mwisho ulifanyika mnamo 2014 .","[{'entity': 'Afrika', 'type': 'LOC'}, {'entity': '2014', 'type': 'DATE'}]","[{'entity': 'maarufu kwa utalii', 'type': 'PER'}, {'entity': 'Afrika', 'type': 'LOC'}]",sw,EN,0.5,0.5,0.5,Qwen/Qwen2.5-7B-Instruct
"Ruhakana Rugunda na waziri wa mambo ya nje Sam Kutesa , kusimamia mpango wa kuwarejesha nyumbani raia wa Uganda waliokwama nje ya nchi .","[{'entity': 'Ruhakana Rugunda', 'type': 'PER'}, {'entity': 'Sam Kutesa', 'type': 'PER'}, {'entity': 'Uganda', 'type': 'LOC'}]","[{'entity': 'Ruhakana Rugunda', 'type': 'PER'}, {'entity': 'Sam Kutesa', 'type': 'PER'}, {'entity': 'Uganda', 'type': 'LOC'}]",sw,EN,1.0,1.0,1.0,Qwen/Qwen2.5-7B-Instruct
"May alielezea sifa za Mkurugenzi wa VOA , Amanda Bennett kama ni mtu aliyetoka katika utawala wa Rais Mdemokrat Barack Obama , ambaye alishindwa kuelezea kwa kina sera za utawala wa Trump kwa dunia .","[{'entity': 'May', 'type': 'PER'}, {'entity': 'VOA', 'type': 'ORG'}, {'entity': 'Amanda Bennett', 'type': 'PER'}, {'entity': 'Barack Obama', 'type': 'PER'}, {'entity': 'Trump', 'type': 'PER'}]","[{'entity': 'VOA', 'type': 'ORG'}, {'entity': 'Amanda Bennett', 'type': 'PER'}, {'entity': 'Barack Obama', 'type': 'PER'}, {'entity': 'Trump', 'type': 'PER'}]",sw,EN,1.0,0.8,0.888888888888889,Qwen/Qwen2.5-7B-Instruct
5 .,[],"[{'entity': ""or LOC. It only contains a number which isn't tagged for this task. Therefore:\nNone"", 'type': 'NO TYPE'}]",sw,EN,0.0,0.0,0.0,Qwen/Qwen2.5-7B-Instruct
"Ujumbe wa Video Kupitia ujumbe wa video fupi iliyosambaa mitandaoni wakati Masele akihojiwa kuhusu tuhuma zinazomkabili Rais wa PAP , alisema amefurahi baada ya kamati ya uchunguzi iliyoundwa na Bunge hilo kuchunguza tuhuma hizo zinazomkabili Rais kukamilisha kazi yake .","[{'entity': 'Masele', 'type': 'PER'}, {'entity': 'PAP', 'type': 'ORG'}]","[{'entity': 'Ujumbe wa video', 'type': 'ORG'}, {'entity': 'Masele akihojiwa', 'type': 'PER'}, {'entity': 'Rais wa PAP', 'type': 'PER'}]",sw,EN,0.0,0.0,0.0,Qwen/Qwen2.5-7B-Instruct
