id,text,ground_truth_label,predicted_label,language,runtime_seconds,prompt_language,shot_type,raw_model_output
por_test_2059,@user 😂😂😂 marido de dia e de tarde não vai gostar 😂😂,neutral,positive,pt,0.1419,LRL-instruct,few-shot,"positive
positive"
por_test_1105,Tá difícil achar o X na equação de hoje (banho). 🙆🏾‍♂️🙆🏾‍♂️,positive,neutral,pt,0.7873,LRL-instruct,few-shot,"neutral
positive
negative
neutral

O texto em português ""Tá difícil achar o X na equação de hoje (banho"
por_test_818,@user 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 Todos da matola a fazer trend de mim...,neutral,positive,pt,0.1386,LRL-instruct,few-shot,"positive
positive"
por_test_1237,🚶🏾‍♂️.Oxalá que aquilo que procuras valha mais do que aquilo que estás a perder 👋🏽,negative,neutral,pt,0.7858,LRL-instruct,few-shot,"neutral
positive
negative
neutral

positive

neutral

neutral

negative

neutral

neutral

neutral

neutral

neutral

neutral

neutral"
por_test_463,@user @user @user É meu mestre esse... só sabe q nossas discussões não terminam 😂😂😂dois teimosos,neutral,positive,pt,0.1377,LRL-instruct,few-shot,"positive
positive"
por_test_410,@user 😂😂😂😂 pergunta se uma coisa responde outra. Mas why,neutral,positive,pt,0.1369,LRL-instruct,few-shot,"positive
positive"
por_test_3392,@user não tá respeitar a kota 😂😂😂😂😂 como assim . Sabe tia mesmo que ela era pra ser Meme?,neutral,negative,pt,0.7862,LRL-instruct,few-shot,"negative
positive
neutral

negative

O texto contém uma crítica e sarcasmo em relação à atitude da pessoa mencionada (@user"
por_test_2600,"- Em Moz, músicos que estão na rocha estão a virar TikTokers ou memeiros 😃😃... Mesmo assim ninguém ri piadas deles😄",neutral,positive,pt,0.1381,LRL-instruct,few-shot,"positive
positive"
por_test_1037,Minha mãe está orgulhosa!💯💿🇲🇿🥰 https://t.co/uMMh8Ecnpl,negative,positive,pt,0.1375,LRL-instruct,few-shot,"positive
positive"
por_test_3075,🤣🤣🤣lembrei da minha vizinha. https://t.co/BwOXymk0wD,neutral,positive,pt,0.1373,LRL-instruct,few-shot,"positive
positive"
por_test_594,Abri a porta para espreitar lá fora minha cara ficou bronzeada. 🙌🏽,neutral,positive,pt,0.1371,LRL-instruct,few-shot,"positive
positive"
