original_text_lrl,ground_truth_label,predicted_label,ground_truth_english_label,intermediate_en_text,predicted_en_label,predicted_lrl_label_final,comet_lrl_text_to_en,comet_en_label_to_lrl,raw_translation_to_en_output,raw_predicted_en_label_output,raw_translation_to_lrl_output,runtime_translation_to_en_seconds,runtime_classification_en_seconds,runtime_translation_to_lrl_seconds,language,pipeline,shot_type
   Mambo 9 muhimu ya kuzingatia unapotumia mitandao ya kijamii 1 Fikiria kwanza kabla ya kutuma taarifa yoyote mitan,neutral,neutral,neutral,"The 9th point importantly addresses the use of school radio 1 First imagine before sending all information mitan
The 9th point importantly addresses the use of school radio. First imagine before sending all information.",neutral,"neutral""",,," The 9th point importantly addresses the use of school radio 1 First imagine before sending all information mitan
The 9th point importantly addresses the use of school radio. First imagine before sending all information."," neutral

Note: The provided text is"," ""neutral""  
(Chache)",1.1276946067810059,0.20248699188232422,0.22382140159606934,sw,multi_prompt,zero-shot
Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni,positive,neutral,positive,"The song is about a thief in the marketplace. To translate the provided Swahili text into English:

The song is about a thief in the marketplace. 

This translation maintains the meaning of the original text while ensuring it reads naturally in English. The phrase ""Ukatili Unyanyasaji Mtandaoni"" directly translates to ""Thief in the marketplace,"" which is commonly expressed as ""thief in the marketplace"" in English idiomatic usage. The name ""Shilole AKA Shishi Baby"" appears to be a title or nickname for the song's subject and has been left untranslated as proper names are typically not translated between languages. However, I've adjusted the article to ""the"" as it's more natural in English when referring to a specific song or subject. If you prefer to keep it as ""Shilole AKA Shishi Baby"" without ""the,"" that can also be done. Let me know if you need further adjustments. 

English Translation: The song is about Shilole AKA Shishi Baby, a thief in the marketplace. 

Or simply:

English Translation: Shilole AKA Shishi Baby, a thief in the marketplace. 

Depending on how much detail you want to include. Please specify if you have a preference.",neutral,"neutral""",,," The song is about a thief in the marketplace. To translate the provided Swahili text into English:

The song is about a thief in the marketplace. 

This translation maintains the meaning of the original text while ensuring it reads naturally in English. The phrase ""Ukatili Unyanyasaji Mtandaoni"" directly translates to ""Thief in the marketplace,"" which is commonly expressed as ""thief in the marketplace"" in English idiomatic usage. The name ""Shilole AKA Shishi Baby"" appears to be a title or nickname for the song's subject and has been left untranslated as proper names are typically not translated between languages. However, I've adjusted the article to ""the"" as it's more natural in English when referring to a specific song or subject. If you prefer to keep it as ""Shilole AKA Shishi Baby"" without ""the,"" that can also be done. Let me know if you need further adjustments. 

English Translation: The song is about Shilole AKA Shishi Baby, a thief in the marketplace. 

Or simply:

English Translation: Shilole AKA Shishi Baby, a thief in the marketplace. 

Depending on how much detail you want to include. Please specify if you have a preference."," neutral

English Sentiment Label: neutral"," ""neutral"" 
(Notili ya Sentimenti ya Kiswah",6.491310119628906,0.23560619354248047,0.3714029788970947,sw,multi_prompt,zero-shot
   Changamoto ya Tax Refund inatokana na baadhi ya wadau kutokuwa waaminifu naomba baadhi ya wadau wafanye kazi kwa uaminifu,neutral,negative,neutral,"The tax refund process is hindered by many obstacles that prevent some people from applying for it.
The tax refund process is hindered by many obstacles that prevent some people from applying for it.",negative,chafu,,," The tax refund process is hindered by many obstacles that prevent some people from applying for it.
The tax refund process is hindered by many obstacles that prevent some people from applying for it."," negative

English Sentiment Label: negative"," ""chafu""",0.9758594036102295,0.20272469520568848,0.1505134105682373,sw,multi_prompt,zero-shot
Kwamba acha kunyonya maziwa ya mama yale ni ya mtoto wako Acha kabisa,neutral,neutral,neutral,"The milk from your cows is for your child Acha completely
The milk from your cows is for your child Acha completely. 

Note: The original Swahili sentence has a slight grammatical issue (""Acha kabisa"" at the end seems out of place), but I have translated it as closely as possible to the provided instruction. If ""Acha kabisa"" was meant to be a separate statement or if there's additional context, please clarify. Based on the given text, the most accurate translation is as provided.",neutral,"neutral""",,," The milk from your cows is for your child Acha completely
The milk from your cows is for your child Acha completely. 

Note: The original Swahili sentence has a slight grammatical issue (""Acha kabisa"" at the end seems out of place), but I have translated it as closely as possible to the provided instruction. If ""Acha kabisa"" was meant to be a separate statement or if there's additional context, please clarify. Based on the given text, the most accurate translation is as provided."," neutral

(Note: The provided text does"," ""neutral""  
(Chache)",2.693603515625,0.21139311790466309,0.22413134574890137,sw,multi_prompt,zero-shot
   EWE KIJANA AMKA KUMEKUCHA Ni asubuhi nyingine tena katika ulimwengu uliojaa fursa nyingi hususani za kilimo biashara T,neutral,neutral,neutral,"This young man is again looking for business opportunities especially in agriculture. To translate the provided Swahili text into fluent and accurate English:

This young man is again searching for business opportunities especially in agricultural trade. 

Note: The original text had a trailing 'T' at the end which was not translated, as it did not provide a clear context or meaning. If you intended to include something specific, please clarify. Otherwise, the translation focuses on the main content of the sentence.",neutral,"neutral""",,," This young man is again looking for business opportunities especially in agriculture. To translate the provided Swahili text into fluent and accurate English:

This young man is again searching for business opportunities especially in agricultural trade. 

Note: The original text had a trailing 'T' at the end which was not translated, as it did not provide a clear context or meaning. If you intended to include something specific, please clarify. Otherwise, the translation focuses on the main content of the sentence."," neutral
You are an AI assistant."," ""neutral"" 
(translate to ""chache"") Chache",2.4298343658447266,0.21116185188293457,0.3467445373535156,sw,multi_prompt,zero-shot
   Hello MwanzaNew service in townThe most Mobile MessengerTuma chochotepopote pale na utaletewa ulipoContacts http,negative,positive,negative,"New service in town\nThe most Mobile Messenger\nStay connected always and easily established\nContacts http
English Translation: New service in town\nThe most Mobile Messenger\nStay connected always and easily established\nContacts http [removed]",positive,"mfano""",,," New service in town\nThe most Mobile Messenger\nStay connected always and easily established\nContacts http
English Translation: New service in town\nThe most Mobile Messenger\nStay connected always and easily established\nContacts http [removed]"," neutral

English Sentiment Label: positive"," ""mfano"" (Note: This is an approximation as direct translation may",1.1479969024658203,0.20323419570922852,0.37139058113098145,sw,multi_prompt,zero-shot
Eeeh mchezo wa kuloweka sio mzuri jamaa fanya vurugu mechi ila usiache zanaa,negative,neutral,negative,"The system is not good but people are doing their best despite that
The system is not good but people are doing their best despite that.",neutral,neutali,,," The system is not good but people are doing their best despite that
The system is not good but people are doing their best despite that."," neutral

English Sentiment Label: neutral"," ""neutali""",0.7279524803161621,0.20183944702148438,0.1499776840209961,sw,multi_prompt,zero-shot
   Tuna utajiri mkubwa Sana wa mawazo Ila namna yakuwasilisha na kuyafanyia kazi ndo kinachotufelisha,negative,positive,negative,"The company has a big idea Now they are collaborating and working on projects that foster growth
The company has a big idea. Now they are collaborating and working on projects that foster growth.",positive,"mfano""",,," The company has a big idea Now they are collaborating and working on projects that foster growth
The company has a big idea. Now they are collaborating and working on projects that foster growth."," positive

English Sentiment Label: positive"," ""mfano"" (This is a close approximation, as direct translation may",0.9503626823425293,0.20209145545959473,0.37134218215942383,sw,multi_prompt,zero-shot
   Utulivu wa akilini kuepuka papara stress unaweza kua na hekima lakini stress zikakuondolea u,negative,neutral,negative,"The power of my mind to cope with stress can be managed with wisdom but stress can also subdue me.
The power of my mind to cope with stress can be managed with wisdom but stress can also subdue me.",neutral,"neutral""",,," The power of my mind to cope with stress can be managed with wisdom but stress can also subdue me.
The power of my mind to cope with stress can be managed with wisdom but stress can also subdue me."," neutral

English Sentiment Label: neutral"," ""neutral"" 
(translate to ""chache"") To translate ""neutral",1.1253881454467773,0.20254898071289062,0.37122559547424316,sw,multi_prompt,zero-shot
   Mungu ni mwema sana hatimae mnamo 20102021 nilitunukiwa shahada yangu ya kwanza DEGREE kutoka UDSM Asanteni nyote mlioku,negative,neutral,negative,The Lord is my strength greatly from 20102021 I started my first DEGREE from UDSM Anonymously,neutral,"neutral""",,, The Lord is my strength greatly from 20102021 I started my first DEGREE from UDSM Anonymously," neutral

Note that while there are elements"," ""neutral"" 
(translate to ""chache"") Chache",0.7581219673156738,0.2029721736907959,0.34685444831848145,sw,multi_prompt,zero-shot
