id,premise,hypothesis,ground_truth_label,predicted_label,raw_model_output,runtime_seconds,data_language,prompt_instruction_language,shot_type
0,"Les dimensions restantes sont imaginées comme recourbées sur l'échelle de longueur de Planck dans ce qu'on appelle les espaces Calabi-Yau, ou plus généralement, les modules compactifiés.",Les espaces Calabi-Yau s'étendent sur une grande surface.,contradiction,neutral,"NEUTRAL

La prémisse mentionne que les",0.7372,fr,fr,few-shot
1,23. Elan continu financier essentiel pour atteindre les objectifs du CFO Act,Les finances 23 sont sur le point d'atteindre tous leurs objectifs.,neutral,neutral,"NEUTRAL
Prémisse (anglais):",0.6933,fr,fr,few-shot
2,"Je suis sous pression, lui apprit-elle.",Elle lui avait dit qu'elle était sous pression.,entailment,entailment,"ENTAILMENT
La phrase 'Je suis sous pression",0.6105,fr,fr,few-shot
3,c'est probablement plus parce que j'apprécie simplement la couverture que parce que je n'ai pas le temps de lire le journal vous savez,Ils couvrent beaucoup plus que ce que vous obtiendrez dans le journal.,neutral,neutral,"NEUTRAL
La prémisse ne fournit pas",0.6933,fr,fr,few-shot
4,"Jane, Dave, et un analyste du FBI ayant participé à l'unité de la CIA chargée de Ben Laden sont allés à New York le 11 juin pour rencontrer des agents à propos de l'affaire Cole.",L'analyste du FBI a parlé à sept agents de l'affaire Cole.,neutral,neutral,"NEUTRAL
La prémisse ne fournit pas",0.7628,fr,fr,few-shot
5,"D'un autre côté, les particules et les trois forces non-gravitationnelles n'ont pas encore été incorporées dans une image de réseau de spin.",Les forces non gravitationnelles doivent être incorporées pour que l'image du réseau de rotation soit complète.,neutral,neutral,"NEUTRAL
La prémisse indique que les",0.7303,fr,fr,few-shot
6,Tu aurais dû te rendre compte du danger.,Tu ne dois pas regarder la crise qui a lieu en ce moment même.,contradiction,neutral,"NEUTRAL
La prémisse ne fournit pas",0.7314,fr,fr,few-shot
7,"Sa sœur pouvait passer pour une blanche, et c'était effectivement le cas.",Sa sœur avait la peau la plus belle du quartier.,neutral,neutral,"NEUTRAL
La prémisse indique que la",0.6915,fr,fr,few-shot
8,"Notre système de gestion des frontières et de l'immigration, y compris les forces de l'ordre, doit adresser un message de bienvenue, de tolérance et de justice aux membres des communautés d'immigrants situées tant aux États-Unis que dans leur pays d'origine.",Notre pays devrait réparer notre image globalement et accueillir les réfugiés ici.,neutral,neutral,"NEUTRAL

La prémisse parle de l",0.7691,fr,fr,few-shot
9,"La publication du livre du CRP (Candidat Républicain à la Présidentielle) est suivie de la tournée promotionnelle du livre, ce qui introduit la caractéristique suivante du",Le livre de RPH aura sa propre tournée.,entailment,neutral,"NEUTRAL
La prémisse mentionne que la",0.7504,fr,fr,few-shot
10,Le télésiège est un grand favori.,Personne n'aime le télésiège.,contradiction,contradiction,"CONTRADICTION
Le télésiège est un",0.6095,fr,fr,few-shot
11,"Pour les aides à l'évacuation du 11 septembre, voir, par exemple, Civilian interview 14 (avril",Aucune aide n'est disponible en ce qui concerne l'évacuation du 11 Septembre.,contradiction,contradiction,"CONTRADICTION

La prémisse mentionne claire",0.7204,fr,fr,few-shot
12,"«Un informateur du Tennessee a utilisé l'expression temps de chien pour signifier «un temps chaud et sec», ce qui vient sans doute de l'expression canicule, qui fait référence au temps sec du mois d'août.",Juin et juillet sont également très chauds dans le Tennessee.,neutral,neutral,"NEUTRAL

La prémisse mentionne que le",0.7092,fr,fr,few-shot
13,"Je l'ai tué, c'est vrai.",La vie de l'homme a été épargnée.,contradiction,contradiction,"CONTRADICTION
La prémisse affirme que",0.7563,fr,fr,few-shot
14,Mais j'étais pressé de vous débarquer.,La personne voulait un amant.,neutral,neutral,"NEUTRAL
La prémisse ne fournit pas",0.8048,fr,fr,few-shot
15,"Si vous vous sentez à la hauteur, continuez le long du sentier des brumes, après Emerald Pool, Nevada Fall, et vous commencerez à semer la foule.",Nevada Falls est une grande randonnée avec quelques personnes.,neutral,neutral,"NEUTRAL

La prémisse ne fournit pas",0.7291,fr,fr,few-shot
16,"Je l'ai signalé dans une lettre au Dr. Cela a semblé l'amuser, et il m'a envoyé un petit cake aux fruits pour Noël.",Le docteur m'a envoyé un bouteille de vin ce Noël là.,contradiction,neutral,"NEUTRAL
La prémisse mentionne que le",0.7171,fr,fr,few-shot
17,le sens que le chèquier soit juste un chèque vierge et son plafond illimité non pas qu'elle peut juste dépenser comme elle le veut mais c'est presque cette attitude,Elle a l'impression de pouvoir dépenser plus de 1 000 $ par nuit.,neutral,neutral,"NEUTRAL
La prémisse ne fournit pas",0.6667,fr,fr,few-shot
18,"Mon héro, donc, est Richard Heseltine, le président de la foundation d' investissement d' Outre-mer, qui a démissionné plus tôt ce mois-ci pour s'opposer au plan de développement que lui ont imposé ses supérieurs",Heseltine a quitté son travail.,entailment,entailment,"ENTAILMENT
La démission de Richard Heselt",0.8071,fr,fr,few-shot
19,"La source a affirmé que Ben Laden avait demandé et reçu de l'aide de l'expert en fabrication de bombes, qui y était resté en tant que formateur jusqu'en septembre 1996, date à laquelle l'information a été transmise aux Etats-Unis.",La source ne savait rien de Ben Laden.,contradiction,contradiction,"CONTRADICTION

La prémisse indique que la",0.7135,fr,fr,few-shot
20,"Relié à la Nouvelle-Écosse par l'étroit isthme de Chignectou, le Nouveau-Brunswick devint une province distincte en 1784 à la demande de 14 000 réfugiés loyalistes.",Le Nouveau-Brunswick n'était pas une province en 1784.,contradiction,entailment,"ENTAILMENT

La prémisse indique claire",0.7082,fr,fr,few-shot
21,Ils ont insisté sur le fait qu'une vigilance constante est nécessaire afin d'assurer que les contrôles restent appropriés (traiter les risques actuels et non pas gêner inutilement les opérations) et que les personnes qui utilisent et entretiennent les systèmes d'information respectent l'organisation en place.,Ils ont dit qu'il était important d'être vigilant lorsqu'il s'agissait des nouvelles commandes d'usine.,neutral,neutral,"NEUTRAL

La prémisse parle de la",0.7090,fr,fr,few-shot
22,S'il y avait quelque chose que je pouvais faire.,Je savais qu'il n'y avait rien que je puisse faire.,contradiction,contradiction,"CONTRADICTION

La prémisse affirme qu",0.7658,fr,fr,few-shot
23,Beaucoup a été fait pour engager Michael Apted pour amener plus d'humanité à la série.,Michael Apted a été embauché pour ajouter une qualité personnelle à la série.,entailment,entailment,"ENTAILMENT

La prémisse mentionne que Michael",0.6957,fr,fr,few-shot
24,"En remerciement pour votre contribution de 100 $ ou plus pour la campagne, vous, ainsi qu'un(e) invité(e) de votre choix, êtes conviés au Herron Hall le jeudi 23 mars 2000 de 17:30 à 20:00 pour une réception exceptionnelle.",Vous et un invité serez conviés à assister à une réception spéciale si vous faites un don de 100$ ou plus à la campagne.,entailment,entailment,"ENTAILMENT
Votre réponse est correcte. L'h",0.6648,fr,fr,few-shot
25,Vous verrez des vidéos de l'histoire d'Anne et d'Amsterdam sous l'occupation ainsi que des photographies et des objets de l'époque.,Vous ne verrez pas de photos.,contradiction,contradiction,"CONTRADICTION
La prémisse indique claire",0.8509,fr,fr,few-shot
26,"De plus, les résidants de l’Indiana peuvent bénéficier de réductions fiscales grâce au crédit d’impôt de l’Indiana qui s’applique directement sur le revenu net de la déclaration fiscale.",Les résidents de l'Indiana obtiennent un crédit d'impôt de 50 % s'ils font un don au théâtre.,neutral,neutral,"NEUTRAL

La prémisse mentionne un crédit",0.8887,fr,fr,few-shot
27,"Le maire de Letohrad, la ville où Josef Korbel a grandi, affirme avoir envoyé trois lettres à Albright ces dernières années.",Korbel a guidé Letohrad.,entailment,neutral,"NEUTRAL

La prémisse ne fournit auc",0.7133,fr,fr,few-shot
28,"Dans une économie à fort réinvestissement, que se passera-t-il si nous pouvons tirer parti de nos avantages commerciaux et réinvestir tout excédent afin de pouvoir créer plus de pommes et de poires que ce avec quoi nous avons démarré?",Nous ne pouvons commercer avec nos personnes proches.,contradiction,neutral,"NEUTRAL
La prémisse parle de l",0.7961,fr,fr,few-shot
29,Nous continuons à renforcer la formation de bons avocats.,"Nous pouvons éduquer les avocats, j'en suis sûr!",entailment,neutral,"NEUTRAL
La prémisse indique que l",0.7415,fr,fr,few-shot
30,"Le destinataire final au Pakistan irait alors à l'hawaladar pakistanais et recevrait son argent, en roupies, de tout argent que l'hawaladar pakistanais a à sa disposition.",Le bénéficiaire final devrait se déplacer en Turquie pour recevoir son argent.,contradiction,contradiction,"CONTRADICTION

La prémisse indique que le",0.7819,fr,fr,few-shot
31,La véritable cause de préoccupation est que les HMO peuvent ne pas contrôler les coûts à long terme.,Tout le monde comprend que les organisations du maintien de santé seront en mesure de contrôler les coûts à long terme.,contradiction,neutral,"NEUTRAL
La prémisse indique que les",0.7887,fr,fr,few-shot
32,et ça m'a encore fait peur,J'avais juste un peu peur.,neutral,neutral,"NEUTRAL
La prémisse 'et ça m",0.7571,fr,fr,few-shot
33,Ma parole ! Ça me semble bien aventureux.,Cela ressemble à une expérience épouvantable.,contradiction,neutral,"NEUTRAL
La prémisse indique que quelque",0.7401,fr,fr,few-shot
34,"Basé sur l'estimation des risques, Centerlink a développé tout un éventail de stratégies spécifiques de prévention destinées à apprendre aux bénéficiaires et aux employés des éléments au sujet de la déclaration de revenus.",Centrelink avait beaucoup de stratégies pour enseigner aux gens comment déclarer leurs revenus parce que les erreurs coûtaient beaucoup d'argent au gouvernement.,neutral,neutral,"NEUTRAL

La prémisse indique que Center",0.7361,fr,fr,few-shot
35,"Ceci est extrêmement important pour la survie à long terme des éléphants grâce aux soins humains, ainsi que pour la nature.",Il n'y a rien qui puisse être fait pour aider les éléphants.,contradiction,contradiction,"CONTRADICTION

La prémisse suggère que",0.6597,fr,fr,few-shot
36,Nous supposons une relation linéaire forte entre le volume par habitant et les pièces possibles par,Nous savons qu'il n'y a pas de lien entre le volume par habitant et les pièces par possible.,contradiction,contradiction,"CONTRADICTION
La prémisse affirme qu",0.7186,fr,fr,few-shot
37,"À l'heure actuelle, il est peut-être préférable de laisser ces petites îles moins développées tranquilles.",Les gens pensent que les îles devraient être laissées seules.,entailment,neutral,"NEUTRAL
La prémisse indique que certain",0.7167,fr,fr,few-shot
38,"Cependant, une chose dont M. Tesniares n'a pas tenu compte est l'apport anglo-saxon.",M. Tesniares apporte une contribution anglo-saxonne.,contradiction,contradiction,"CONTRADICTION
La prémisse indique que M",0.7688,fr,fr,few-shot
39,Mon nom est Wade - Seigneur Julian Wade.,Son nom n'était pas Wade mais bien Smith.,contradiction,contradiction,"CONTRADICTION
Le nom mentionné dans la prém",0.6896,fr,fr,few-shot
40,"Il serait extrêmement difficile pour un avocat des services juridiques californiens de savoir si un client qui a travaillé au sein du flux de migration en Arizona, a franchi temporairement la frontière mexicaine.",L'avocat peut obtenir les informations à travers le réseau des travailleurs migrants.,neutral,neutral,"NEUTRAL
La prémisse ne fournit pas",0.7347,fr,fr,few-shot
41,"De même, les statistiques des tableaux A2 et A3 montrent que les routes ayant un volume de routes de transport élevé se trouvent dans des codes postaux avec des niveaux plus élevés de revenus par ménage et de niveaux de scolarité.",Les régions à volume élevé ont également des revenus élevés.,entailment,neutral,"NEUTRAL

La prémisse indique que les",0.6950,fr,fr,few-shot
42,Et elle a toujours été là pour nous,Elle nous a donné tout l'argent dont nous avions besoin.,neutral,neutral,"NEUTRAL
La prémisse indique que '",0.7299,fr,fr,few-shot
43,"Um, et elle a dit, elle a dit, elle a dit, bébé, elle a dit, Vous ne comprenez pas  la vie de la façon dont je la comprends.",Elle m'a dit que je n'avais aucune idée de comment le monde réel fonctionnait vraiment et que je devrais la suivre.,neutral,neutral,"NEUTRAL
La prémisse donne une citation,",0.7057,fr,fr,few-shot
44,"La propriété est une succession interminable de bulles dans l'espace, ou le cyberespace, avec des personnes différentes revendiquant une variété infinie d'intérêts en eux.","La propriété, ce n'est que des personnes disant qu'elles possèdent quelque chose.",entailment,neutral,"NEUTRAL

La prémisse suggère que",0.7880,fr,fr,few-shot
45,"Ces travailleurs n'étaient pas bloqués, mais contrairement à la plupart des occupants des étages supérieurs, ils avaient choisi de ne pas descendre immédiatement après l'impact.",Certains travailleurs pensaient que la situation ne dégénérerait pas.,neutral,neutral,"NEUTRAL
Prémisse (français",0.7462,fr,fr,few-shot
46,"Rien ne souligne les complexités subtiles du langage de façon plus frappante que les problèmes de communication entre les pilotes, les membres d'équipage et les contrôleurs de la circulation aérienne.",Les pilotes sont toujours des communicateurs parfaits.,contradiction,neutral,"NEUTRAL
La prémisse mentionne que les",0.7300,fr,fr,few-shot
47,"Yousef a pu s'enfuir au Pakistan, mais son complice Murad, dont KSM dit qu'il a envoyé $3 000 pour aider à financer l'opération, a été arrêté et a révélé des infirmations sur le complot lors de l'interrogatoire.",Murad a dit aux enquêteurs où localiser Yousef au Pakistan.,neutral,neutral,"NEUTRAL

La prémisse ne fournit pas",0.7719,fr,fr,few-shot
