id,text,ground_truth_entities,predicted_entities,runtime_seconds,language,model_name,shot_type,prompt_language,temperature_used,top_p_used,top_k_used,max_tokens_used,repetition_penalty_used,do_sample_used,raw_output
547,Abinda yasa ake samun matsaloli da yake kai da rasa rayukan iyayen da kuma jariransu .,[],[],2.13444185256958,hau,Qwen/Qwen2.5-7B-Instruct,zero-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[NO_ENTITIES_FOUND]
The provided text does not contain any named entities that can be categorized as PER (Person), ORG (Organization), or LOC (Location). Therefore, the correct output is:

[NO_ENTITIES_FOUND]"
81,Ana Ci Gaba Da Zanga Zanga Kan Birnin Kudus,"[{'text': 'Birnin Kudus', 'type': 'LOC'}]","[{'text': 'Ana Ci Gaba', 'type': 'PER'}, {'text': 'Kudus', 'type': 'LOC'}]",1.291377305984497,hau,Qwen/Qwen2.5-7B-Instruct,zero-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[PER: Ana Ci Gaba] [LOC: Kudus]
[PER: Ana Ci Gaba] [LOC: Kudus]"
140,Masu tunanin samun taimako a Florida za su sha mamaki .,"[{'text': 'Florida', 'type': 'LOC'}]",[],6.827423095703125,hau,Qwen/Qwen2.5-7B-Instruct,zero-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[LOC: Florida]
[NO_ENTITIES_FOUND] [LOC: Florida] 

The correct format should only include the identified entities without any additional phrases. Here is the corrected version:

[LOC: Florida] [NO_ENTITIES_FOUND] 

Since the task requires only the identified entities and not multiple lines, the final output should be:

[LOC: Florida] [NO_ENTITIES_FOUND] 

However, if we strictly follow the instruction to separate each entity on a new line or with a space and to output only the identified entities, the correct output would be:

[LOC: Florida] [NO_ENTITIES_FOUND] 

But for clarity and adherence to the instruction to present the output as a list of entities, the correct and final output should be:

[LOC: Florida] [NO_ENT"
79,"Da safiyar jiya Talata shugaban Amurka yace “ haraji muhimmin abu ne , kana kuma ya yi barazanar yin karin haraji a kan abokan kasuwancin Amurka .","[{'text': 'safiyar jiya Talata', 'type': 'DATE'}, {'text': 'Amurka', 'type': 'LOC'}, {'text': 'Amurka', 'type': 'LOC'}]",[],1.9530854225158691,hau,Qwen/Qwen2.5-7B-Instruct,zero-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[NO_ENTITIES_FOUND]
The provided text does not contain any clear named entities that can be confidently categorized as PER, ORG, or LOC based on the given criteria. Therefore, the output is:

[NO_ENTITIES_FOUND]"
272,"An tuhume Flynn da yin karya kan wata boyayyen tattaunawa da yi da jakadan Rasha na wancan lokacin a Amurka , Sergey Kislyak .","[{'text': 'Flynn', 'type': 'PER'}, {'text': 'Rasha', 'type': 'LOC'}, {'text': 'Amurka', 'type': 'LOC'}, {'text': 'Sergey Kislyak', 'type': 'PER'}]","[{'text': 'Flynn', 'type': 'PER'}, {'text': 'Amurka', 'type': 'LOC'}, {'text': 'Sergey Kislyak', 'type': 'PER'}]",2.009723424911499,hau,Qwen/Qwen2.5-7B-Instruct,zero-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[PER: Flynn] [LOC: Amurka] [PER: Sergey Kislyak]
```markdown
[PER: Flynn] [LOC: Amurka] [PER: Sergey Kislyak]
```"
360,"Kwayar cutar Plasmodium tana shiga jikin mutum ta hanyar cizon macen sauro jinsin Anopheles , wadanda aka fi sani da sunan “ Masu Yada Maleriya """""""" wadanda kuma suka fi cizon mutane cikin dare , watau daga faduwar rana zuwa asubahi .","[{'text': 'faduwar rana zuwa asubahi', 'type': 'DATE'}]",[],2.5999295711517334,hau,Qwen/Qwen2.5-7B-Instruct,zero-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[NO_ENTITIES_FOUND]
The provided text does not contain any clear named entities that can be categorized as PER (Person), ORG (Organization), or LOC (Location). There are no specific names of individuals, organizations, or locations mentioned in the text. Therefore, the correct output is:

[NO_ENTITIES_FOUND]"
495,"Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace , sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali .","[{'text': 'hukumar lafiya ta duniya', 'type': 'ORG'}, {'text': 'Michelle Funk', 'type': 'PER'}]",[],6.593862771987915,hau,Qwen/Qwen2.5-7B-Instruct,zero-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[PER: Michelle Funk]
[NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES"
479,"Muhammad Ali - Pate sun jadada cewa , har yanzu zazzabin cizon sauro shine cutar da tafi katse hanzarin mata da kananan yara a duniya baki daya .","[{'text': 'Muhammad Ali - Pate', 'type': 'PER'}]",[],6.270014762878418,hau,Qwen/Qwen2.5-7B-Instruct,zero-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[PER: Muhammad Ali] [ORG: None] [LOC: None] [DATE: None]
Explanation: In the given text, ""Muhammad Ali"" is identified as a person's name, hence it is categorized under PER. No organizations (ORG) or locations (LOC) are mentioned in the text, and there are no dates provided. Therefore, the output includes only the PER entity. The rest remain as 'None' since no other entities were found. The final output is presented in the required format. \n
[PER: Muhammad Ali] [ORG: None] [LOC: None] [DATE: None] [NO_ENTITIES_FOUND] [PER: Muhammad Ali] [ORG: None] [LOC: None] [DATE: None] [NO_ENTITIES"
82,Sabbin zanga - zanga sun barke jiya Lahadi a fadin duniyar Musulmi da Larabawa .,"[{'text': 'jiya Lahadi', 'type': 'DATE'}]",[],1.9747753143310547,hau,Qwen/Qwen2.5-7B-Instruct,zero-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[NO_ENTITIES_FOUND]
The text provided does not contain any explicit named entities that can be categorized as PER (Person), ORG (Organization), or LOC (Location). Therefore, the correct output is:

[NO_ENTITIES_FOUND]"
361,Akwai jinsuna guda hudu na kwayar halittar cutar Maleriya dake iya kama dan Adama : Plasmodium Falciparum ; Plasmodium Vivax ; Plasmodium Malariae ; da kuma Plasmodium Ovale .,[],[],1.923936367034912,hau,Qwen/Qwen2.5-7B-Instruct,zero-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[NO_ENTITIES_FOUND]
The provided text does not contain any named entities that match the categories of PER (Person), ORG (Organization), or LOC (Location). Therefore, the correct output is:

[NO_ENTITIES_FOUND]"
185,"‘Yan Democrat sun ce kamata ya yi , su aika da takardun da aka gabatar aka kuma amince da su a gaban majalisar , wadanda aka kada kuri’a akansu .","[{'text': 'Democrat', 'type': 'ORG'}]",[],2.069066286087036,hau,Qwen/Qwen2.5-7B-Instruct,zero-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[NO_ENTITIES_FOUND]
The provided text does not contain any clear references to persons, organizations, locations, or dates that can be definitively identified based on the given criteria. Therefore, the correct output is:

[NO_ENTITIES_FOUND]"
10,"Ana sa ran wannan taron zai faru ne a a lokacin ziyarar da shugaba Trump zai kai kasashen Turai a cikin Wata mai fita , har ma ana nunin cewa mai yiyuwa ne su hadu kafin babban taron kungiyar tsaron Turai ta NATO da za’ayi ran 11 ga watan Yulin ko kuma bayan ziyarar da shugaba Trump zai kai Biritaniya kwannaki biyu bayan an kamala taron na NATO .","[{'text': 'Trump', 'type': 'PER'}, {'text': 'Turai', 'type': 'LOC'}, {'text': 'Turai', 'type': 'LOC'}, {'text': 'NATO', 'type': 'ORG'}, {'text': 'ran 11 ga watan Yulin', 'type': 'DATE'}, {'text': 'Trump', 'type': 'PER'}, {'text': 'Biritaniya', 'type': 'LOC'}, {'text': 'kwannaki biyu', 'type': 'DATE'}, {'text': 'NATO', 'type': 'ORG'}]","[{'text': 'Trump', 'type': 'PER'}, {'text': 'Turai', 'type': 'LOC'}, {'text': 'Wata', 'type': 'LOC'}, {'text': 'NATO', 'type': 'LOC'}, {'text': '11 ga watan Yulin', 'type': 'DATE'}, {'text': 'Biritaniya', 'type': 'LOC'}, {'text': 'NATO', 'type': 'ORG'}]",3.6484663486480713,hau,Qwen/Qwen2.5-7B-Instruct,zero-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[PER: Trump] [LOC: Turai] [LOC: Wata] [LOC: NATO] [DATE: 11 ga watan Yulin] [LOC: Biritaniya]
```markdown
[PER: Trump] [LOC: Turai] [LOC: Wata] [ORG: NATO] [DATE: 11 ga watan Yulin] [LOC: Biritaniya]
```"
83,Ana boren ne domin nuna rashin amincewa da ayyana Kudus da Shugaban Amurka Donald Trump ya yi a matsayin babban birnin Isra'ila .,"[{'text': 'Kudus', 'type': 'LOC'}, {'text': 'Amurka', 'type': 'LOC'}, {'text': 'Donald Trump', 'type': 'PER'}, {'text': ""Isra'ila"", 'type': 'LOC'}]",[],7.096150159835815,hau,Qwen/Qwen2.5-7B-Instruct,zero-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,[PER: Ana] [PER: Donald Trump] [LOC: Isra'ila] [ORG: Amurka] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO
222,Ya kuma jajantawa dukan jama’ar da suka rasa ‘yan uwansu a dalilin yaki da ta’addanci .,[],[],2.022200107574463,hau,Qwen/Qwen2.5-7B-Instruct,zero-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[NO_ENTITIES_FOUND]
The provided text does not contain any named entities that can be categorized as PER (Person), ORG (Organization), or LOC (Location). Therefore, the correct output is:

[NO_ENTITIES_FOUND]"
290,""""""""" Bayan tattaunawa mai zurfi da aka yi a makare , gab da wa'adin da masu tattaunawar su ka gindaya ma kansu , Amurka da Canada sun ba da sanarwar cimma yarjajjeniya , wadda ta amince cewa yarjajjeniya mai kunshe da canje - canje , wadda ta shafi kasashe ukun , ta maye gurbin ta da wato NAFTA , wadda aka yi amfani da ita na tsawon shekaru 25 .","[{'text': 'Amurka', 'type': 'LOC'}, {'text': 'Canada', 'type': 'LOC'}, {'text': 'NAFTA', 'type': 'ORG'}, {'text': 'shekaru 25', 'type': 'DATE'}]","[{'text': 'Amurka', 'type': 'ORG'}, {'text': 'Canada', 'type': 'ORG'}, {'text': 'NAFTA', 'type': 'LOC'}, {'text': '25', 'type': 'DATE'}]",2.233576536178589,hau,Qwen/Qwen2.5-7B-Instruct,zero-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[ORG: Amurka] [ORG: Canada] [LOC: NAFTA] [DATE: 25]
```markdown
[ORG: Amurka] [ORG: Canada] [LOC: NAFTA] [DATE: 25]
```"
