premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_model_response,runtime_seconds,error_message
"The remaining dimensions are imagined as curled up on the Planck length scale in what are called  Calabi-Yau  spaces, or more generally, compactified moduli.",Calabi-Yau spaces are spread out a ton.,2,contradiction,"The remaining dimensions are imagined as curled up on the Planck length scale in what are called Calabi-Yau spaces, or more generally, compactified moduli.",Calabi-Yau spaces are spread out a ton.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The remaining dimensions are imagined as curled up on the Planck length scale in what are called Calabi-Yau spaces, or more generally, compactified moduli.

Translated English Hypothesis: Calabi-Yau spaces are spread out a ton.

English NLI Label: Contradiction.",4.483873605728149,
23Financial  Continued Momentum Essential to Achieve CFO Act Goals,23Financial is close to completing all of their Act Goals.,1,neutral,"""Continued momentum is essential for 23Financial to achieve its CFO Act goals.""","""23Financial is close to completing all of its Act goals.""",contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: ""Continued momentum is essential for 23Financial to achieve its CFO Act goals.""

Translated English Hypothesis: ""23Financial is close to completing all of its Act goals.""

English NLI Label: Contradiction.",3.9881718158721924,
"I am pressed,  she informed him.",She had told him that she was pressured.,0,entailment,"I am pressed, she informed him.",She had told him that she was pressured.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: I am pressed, she informed him.

Translated English Hypothesis: She had told him that she was pressured.

English NLI Label: Entailment",2.4483189582824707,
it's probably more because i just enjoy the coverage than it is because i don't have time to read the paper you know,They cover a lot more than you will get from the paper.,1,neutral,"It's probably more because I just enjoy the coverage than it is because I don't have time to read the paper, you know.",They cover a lot more than what you would get from the paper.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: It's probably more because I just enjoy the coverage than it is because I don't have time to read the paper, you know.

Translated English Hypothesis: They cover a lot more than what you would get from the paper.

English NLI Label: Contradiction.",4.118571996688843,
"Jane,Dave, and an FBI analyst who was on detail to the CIA's Bin Ladin unit went to New York on June 11 to meet with the agents about the Cole case.",The FBI analyst talked to seven agents about the Cole case.,1,neutral,"Jane, Dave, and an FBI analyst who was on detail to the CIA's Bin Laden unit went to New York on June 11 to meet with the agents about the Cole case.",The FBI analyst talked to seven agents about the Cole case.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: Jane, Dave, and an FBI analyst who was on detail to the CIA's Bin Laden unit went to New York on June 11 to meet with the agents about the Cole case.

Translated English Hypothesis: The FBI analyst talked to seven agents about the Cole case.

English NLI Label: Contradiction.",4.85513162612915,
"On the other hand, particles and the three nongravitational forces have yet to be incorporated into a spin network picture.",The nongravitational forces must be incorporated in order for the spin network picture to be complete.,1,neutral,"On the other hand, particles and the three nongravitational forces have yet to be incorporated into a spin network picture.",The nongravitational forces must be incorporated in order for the spin network picture to be complete.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: On the other hand, particles and the three nongravitational forces have yet to be incorporated into a spin network picture.

Translated English Hypothesis: The nongravitational forces must be incorporated in order for the spin network picture to be complete.

English NLI Label: Contradiction.",4.495553255081177,
You should have seen the danger.,You must not look at the crisis happening at this very moment.,2,contradiction,You should have seen the danger.,You must not look at the crisis happening at this very moment.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: You should have seen the danger.

Translated English Hypothesis: You must not look at the crisis happening at this very moment.

English NLI Label: Contradiction.",2.97560977935791,
"Her sister could pass for white, and in fact did pass for white.",Her sister had the fairest skin of anyone in the neighborhood.,1,neutral,"Her sister could pass for white, and in fact did pass for white.",Her sister had the fairest skin of anyone in the neighborhood.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: Her sister could pass for white, and in fact did pass for white.

Translated English Hypothesis: Her sister had the fairest skin of anyone in the neighborhood.

English NLI Label: Contradiction.",3.8617100715637207,
"Our borders and immigration system, including law enforcement, ought to send a message of welcome, tolerance, and justice to members of immigrant communities in the United States and in their countries of origin.",Our country should repair our image globally and welcome refugees here.,1,neutral,"Our borders and immigration system, including law enforcement, ought to send a message of welcome, tolerance, and justice to members of immigrant communities in the United States and in their countries of origin.",Our country should repair our image globally and welcome refugees here.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: Our borders and immigration system, including law enforcement, ought to send a message of welcome, tolerance, and justice to members of immigrant communities in the United States and in their countries of origin.

Translated English Hypothesis: Our country should repair our image globally and welcome refugees here.

English NLI Label: Contradiction.",4.938642978668213,
"The publication of the RPH book is followed by the book tour, which leads to the next fact about the",The RPH book is going to have a tour associated with it.,0,entailment,"The publication of the RPH book is followed by a book tour, which leads to the next fact about the book.",The RPH book is going to have a tour associated with it.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: The publication of the RPH book is followed by a book tour, which leads to the next fact about the book.

Translated English Hypothesis: The RPH book is going to have a tour associated with it.

English NLI Label: Entailment.",3.624481439590454,
The chairlift is a great favourite.,No one likes the chairlift.,2,contradiction,The chairlift is a great favorite.,No one likes the chairlift.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The chairlift is a great favorite.

Translated English Hypothesis: No one likes the chairlift.

English NLI Label: Contradiction",1.874901294708252,
"For aids to the September 11 evacuation, see, e.g., Civilian interview 14 (Apr.",There are no aids available with regards to the September 11 evacuation.,2,contradiction,"For aids to the September 11 evacuation, see, for example, Civilian Interview 14 (April.",There are no aids available regarding the September 11 evacuation.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: For aids to the September 11 evacuation, see, for example, Civilian Interview 14 (April.

Translated English Hypothesis: There are no aids available regarding the September 11 evacuation.

English NLI Label: Contradiction",3.9974372386932373,
"'  A Tennessee informant used dog weather for `hot, rainless weather,' which may derive from the expression dog days referring to dry August weather.",June and July are also very hot in Tennessee.,1,neutral,"A Tennessee informant used the term ""dog weather"" to describe hot, rainless weather, which may be derived from the expression ""dog days,"" referring to the dry August weather.",June and July are also extremely hot in Tennessee.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: A Tennessee informant used the term ""dog weather"" to describe hot, rainless weather, which may be derived from the expression ""dog days,"" referring to the dry August weather. 

Translated English Hypothesis: June and July are also extremely hot in Tennessee. 

English NLI Label: Entailment. 

The hypothesis is entailed by the premise. The use of ""dog weather"" to describe hot, dry weather in Tennessee is consistent with the idea that June and July are also very hot in the same state.",7.310314178466797,
"I killed him, it is true.",The man's life was spared.,2,contradiction,I killed him; it is true.,The man's life was spared.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: I killed him; it is true.

Translated English Hypothesis: The man's life was spared.

English NLI Label: Contradiction.",2.7556538581848145,
But I was in haste to land you.,The person wanted a lover.,1,neutral,But I was in a hurry to get you off the plane.,The person wanted a companion.,neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: But I was in a hurry to get you off the plane.

Translated English Hypothesis: The person wanted a companion.

English NLI Label: Neutral.",2.642076015472412,
"If you're feeling up to it, push on along the Mist Trail, past Emerald Pool, to Nevada Fall, and you'll begin to lose the crowds.",Nevada Falls is a great hike with a few people on it.,1,neutral,"If you're feeling up to it, continue on the Mist Trail, past Emerald Pool, to Nevada Fall, and you will start to avoid the crowds.",Nevada Falls is a great hike with a few people on it.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: If you're feeling up to it, continue on the Mist Trail, past Emerald Pool, to Nevada Fall, and you will start to avoid the crowds.

Translated English Hypothesis: Nevada Falls is a great hike with a few people on it.

English NLI Label: Contradiction.",4.558692932128906,
"I reported this in a letter to Dr.  it seemed to amuse him, and he sent me a small fruitcake that Christmas.",The doctor sent me a bottle of wine that Christmas.,2,contradiction,"I reported this in a letter to Dr. It seemed to amuse him, and he sent me a small fruitcake that Christmas.",The doctor sent me a bottle of wine that Christmas.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: I reported this in a letter to Dr. It seemed to amuse him, and he sent me a small fruitcake that Christmas.

Translated English Hypothesis: The doctor sent me a bottle of wine that Christmas.

English NLI Label: Contradiction.",4.26529860496521,
the sense that the checkbook is just a blank check you know and it's unlimited funds not that she goes out and spends it unlimitedly but it's almost that attitude,She feels like she can spend more than $1000 a night.,1,neutral,"The sense that the checkbook is just a blank check, you know, and it's unlimited funds. Not that she goes out and spends it unlimitedly, but it's almost that attitude.",She feels like she can spend more than $1000 a night.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The sense that the checkbook is just a blank check, you know, and it's unlimited funds. Not that she goes out and spends it unlimitedly, but it's almost that attitude.

Translated English Hypothesis: She feels like she can spend more than $1000 a night.

English NLI Label: Contradiction.",5.5730180740356445,
"My hero, though, is Richard Heseltine, the chairman of the Overseas Investment Trust, who resigned earlier this month in opposition to the business plan forced on him by his superiors.",Heseltine quit his job.,0,entailment,"My hero, though, is Richard Heseltine, the chairman of the Overseas Investment Trust, who resigned earlier this month in opposition to the business plan forced on him by his superiors.",Heseltine quit his job.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: My hero, though, is Richard Heseltine, the chairman of the Overseas Investment Trust, who resigned earlier this month in opposition to the business plan forced on him by his superiors.

Translated English Hypothesis: Heseltine quit his job.

English NLI Label: Entailment",4.283235311508179,
"The source claimed that Bin Ladin asked for and received assistance from the bomb-making expert, who remained there giving training until September 1996, which is when the information was passed to the United States.",The source knew nothing about Bin Laden.,2,contradiction,"The source claimed that Bin Ladin asked for and received assistance from the bomb-making expert, who remained there giving training until September 1996, which is when the information was passed to the United States.",The source knew nothing about Bin Laden.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The source claimed that Bin Ladin asked for and received assistance from the bomb-making expert, who remained there giving training until September 1996, which is when the information was passed to the United States.

Translated English Hypothesis: The source knew nothing about Bin Laden.

English NLI Label: Contradiction.",5.108869314193726,
"Linked to Nova Scotia by the narrow Chignecto Isthmus, New Brunswick became a separate province in 1784 at the demand of 14,000 Loyalist refugees.",New Brunswick was not a province in 1784.,2,contradiction,"Linked to Nova Scotia by the narrow Chignecto Isthmus, New Brunswick became a separate province in 1784 at the demand of 14,000 Loyalist refugees.",New Brunswick was not a province in 1784.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: Linked to Nova Scotia by the narrow Chignecto Isthmus, New Brunswick became a separate province in 1784 at the demand of 14,000 Loyalist refugees.

Translated English Hypothesis: New Brunswick was not a province in 1784.

English NLI Label: Contradiction.",5.543853044509888,
They stressed that constant vigilance was needed to ensure that controls remained appropriate--addressing current risks and not unnecessarily hindering operations--and that individuals who used and maintained information systems complied with organizational policies.,They said it was important to be vigilent when it came to the news factory controls.,1,neutral,"They emphasized that constant vigilance is necessary to ensure that controls remain adequate, addressing present dangers without unduly hampering activities—and that those who utilize and maintain information systems adhere to organizational guidelines.",They asserted that it was crucial to be vigilant regarding news factory controls.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: They emphasized that constant vigilance is necessary to ensure that controls remain adequate, addressing present dangers without unduly hampering activities—and that those who utilize and maintain information systems adhere to organizational guidelines.

Translated English Hypothesis: They asserted that it was crucial to be vigilant regarding news factory controls.

English NLI Label: Contradiction",5.331451654434204,
If there was anything I could do.,I knew there was nothing i could do.,2,contradiction,If there was anything I could do.,I knew there was nothing I could do.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: If there was anything I could do.

Translated English Hypothesis: I knew there was nothing I could do.

English NLI Label: Contradiction",2.4894070625305176,
Much has been made of hiring Michael Apted to bring a more human touch to the series.,Michael Apted was hired to add a personal quality to the series.,0,entailment,Much has been made of hiring Michael Apted to bring a more human touch to the series.,Michael Apted was hired to add a personal quality to the series.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: Much has been made of hiring Michael Apted to bring a more human touch to the series.

Translated English Hypothesis: Michael Apted was hired to add a personal quality to the series.

English NLI Label: Entailment",3.9404704570770264,
"In appreciation for your contribution $100 or more to the campaign, you and a guest are invited to attend a special reception on Thursday, March 23,2000 from 5:30- 8:00 PM in Herron Hall.",You and a guest will be invited to attend a special reception if you donate $100 or more to the campaign.,0,entailment,"In appreciation for your contribution of $100 or more to the campaign, you and a guest are invited to attend a special reception on Thursday, March 23, 2000, from 5:30 to 8:00 PM in Herron Hall.",You and a guest will be invited to attend a special reception if you donate $100 or more to the campaign.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: In appreciation for your contribution of $100 or more to the campaign, you and a guest are invited to attend a special reception on Thursday, March 23, 2000, from 5:30 to 8:00 PM in Herron Hall.

Translated English Hypothesis: You and a guest will be invited to attend a special reception if you donate $100 or more to the campaign.

English NLI Label: Entailment. The hypothesis is entailed by the premise, as it states that donating $100 or more will result in an invitation to the reception, which aligns with the premise's description of the incentive for donations.",10.119055032730103,
You'll see videos of Anne's story and of Amsterdam under occupation along with photographs and artifacts of the time.,You will not see photographs.,2,contradiction,"You'll see videos of Anne's story and of Amsterdam under occupation, along with photographs and artifacts of the time.",You will not see photographs.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: You'll see videos of Anne's story and of Amsterdam under occupation, along with photographs and artifacts of the time.

Translated English Hypothesis: You will not see photographs.

English NLI Label: Contradiction",3.2470686435699463,
"In addition, Indiana residents may receive tax benefits through the Indiana tax credit which is applied directly against the bottom line of the state tax return.",Indiana residents get a 50% tax credit if they donate to the theater.,1,neutral,"In addition, Indiana residents may receive tax benefits through the Indiana tax credit, which is applied directly against the bottom line of the state tax return.",Indiana residents get a 50% tax credit if they donate to the theater.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: In addition, Indiana residents may receive tax benefits through the Indiana tax credit, which is applied directly against the bottom line of the state tax return.

Translated English Hypothesis: Indiana residents get a 50% tax credit if they donate to the theater.

English NLI Label: Contradiction.",5.000283241271973,
"The mayor of Letohrad, the town where Josef Korbel grew up, says he sent Albright three letters in recent years.",Korbel led Letohrad.,0,entailment,"The mayor of Letohrad, the town where Josef Korbel grew up, says he sent Albright three letters in recent years.",Korbel led Letohrad.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The mayor of Letohrad, the town where Josef Korbel grew up, says he sent Albright three letters in recent years.

Translated English Hypothesis: Korbel led Letohrad.

English NLI Label: Contradiction.",3.3811721801757812,
"In an economy with reinvestment, what happens if we can take our advantages of trade and reinvest any excess so that we can create more apples and pears than we had to start with?",We can't trade with anyone around us.,2,contradiction,"In an economy with reinvestment, what happens if we can take our advantages of trade and reinvest any excess so that we can create more apples and pears than we had to start with?",We cannot trade with anyone around us.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: In an economy with reinvestment, what happens if we can take our advantages of trade and reinvest any excess so that we can create more apples and pears than we had to start with?

Translated English Hypothesis: We cannot trade with anyone around us.

English NLI Label: Contradiction.",4.336961269378662,
We can continue to strengthen the education of good lawyers.,"We can educate lawyers, I'm sure of it!",0,entailment,We can continue to strengthen the education of good lawyers.,We can educate lawyers; I'm sure of it!,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: We can continue to strengthen the education of good lawyers.

Translated English Hypothesis: We can educate lawyers; I'm sure of it!

English NLI Label: Contradiction",2.808553695678711,
"The ultimate recipient in Pakistan would then go to the Pakistani hawaladar and receive his money, in rupees, from whatever money the Pakistani hawaladar has on hand.",The ultimate recipient would need to travel to Turkey to get his money.,2,contradiction,"The ultimate recipient in Pakistan would then go to the Pakistani hawaladar and receive his money, in rupees, from whatever money the Pakistani hawaladar has on hand.",The ultimate recipient would need to travel to Turkey to get his money.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The ultimate recipient in Pakistan would then go to the Pakistani hawaladar and receive his money, in rupees, from whatever money the Pakistani hawaladar has on hand.

Translated English Hypothesis: The ultimate recipient would need to travel to Turkey to get his money.

English NLI Label: Contradiction",4.713589906692505,
The real cause for concern is that HMOs may fail to control costs in the long term.,Everyone appreciates that HMOs will be able to control costs in the long term.,2,contradiction,The real cause for concern is that HMOs may fail to control costs in the long term.,Everyone appreciates that HMOs will be able to control costs in the long term.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The real cause for concern is that HMOs may fail to control costs in the long term.

Translated English Hypothesis: Everyone appreciates that HMOs will be able to control costs in the long term.

English NLI Label: Contradiction",4.172733306884766,
and it still scared me,I was just a little bit scared.,1,neutral,and it still scares me,I was just a little bit scared.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: and it still scares me

Translated English Hypothesis: I was just a little bit scared.

English NLI Label: Contradiction",2.3274872303009033,
oh oh my word well that sounds adventuresome,That sounds like an awful experience.,2,contradiction,"Oh, oh my word! Well, that sounds adventurous!",That sounds like an awful experience.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: Oh, oh my word! Well, that sounds adventurous!

Translated English Hypothesis: That sounds like an awful experience.

English NLI Label: Contradiction",2.5598580837249756,
"Based on this risk assessment, Centrelink developed a range of specific prevention strategies aimed at educating beneficiaries and employers on income reporting requirements.",Centrelink had a lot of strategies to teach people how to report income because the government was losing a lot of money in mistakes.,1,neutral,"Based on this risk assessment, Centrelink developed a range of specific prevention strategies aimed at educating beneficiaries and employers on income reporting requirements.",Centrelink had many strategies to teach people about income reporting because the government was losing a lot of money due to errors.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: Based on this risk assessment, Centrelink developed a range of specific prevention strategies aimed at educating beneficiaries and employers on income reporting requirements.

Translated English Hypothesis: Centrelink had many strategies to teach people about income reporting because the government was losing a lot of money due to errors.

English NLI Label: Contradiction.",5.209403991699219,
"This is extremely important to the long-term survival of elephants in human care, as well as the wild.",There is nothing that can be done to help elephants.,2,contradiction,This is extremely important for the long-term survival of elephants in human care and in the wild.,There is nothing that can be done to help elephants.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: This is extremely important for the long-term survival of elephants in human care and in the wild.

Translated English Hypothesis: There is nothing that can be done to help elephants.

English NLI Label: Contradiction",3.8749492168426514,
We assume a direct linear relationship between volume per capita and pieces per possible,We know there's no connection between volume per capita and pieces per possible.,2,contradiction,We assume a direct linear relationship between volume per capita and pieces per possible.,We know that there is no connection between volume per capita and pieces per possible.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: We assume a direct linear relationship between volume per capita and pieces per possible.

Translated English Hypothesis: We know that there is no connection between volume per capita and pieces per possible.

English NLI Label: Contradiction",3.3657569885253906,
