premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_premise_translation_response,raw_hypothesis_translation_response,raw_nli_response,runtime_seconds,error_message
baqi tasawor kiya jata hah hain kai dimension aik ball ki trah curved hui hai planck lenght scale par jise Calabi-Yau spaces kaha jata hah aur zayada aam tor par campacted moduli.,کلابی یاؤ جگہیں ایک ٹن تک پھیل گئی ہیں۔,2,contradiction,"the remaining construction is done in such a way that one dimension of a sphere is curved like a ball on the Planck length scale, which is called Calabi-Yau spaces and more commonly compactified modules.",The clays of the place are all mixed up.,contradiction,متضاد,contradiction,"the remaining construction is done in such a way that one dimension of a sphere is curved like a ball on the Planck length scale, which is called Calabi-Yau spaces and more commonly compactified modules.",The clays of the place are all mixed up.,contradiction,4.02164888381958,
CFO ایکٹ کے اہداف کو حاصل کرنے کے لئے 23 مالی مسلسل لمحات لازمی ہے,23Financial اپنے تمام مقاصد پورے کرنے کے پاس ہے,1,neutral,CFO is a key objective in achieving 23 financial series milestones.,23 Financial has all your needs covered.,neutral,"Urdu translation of the English text ""neutral"" is:",neutral,CFO is a key objective in achieving 23 financial series milestones.,23 Financial has all your needs covered.,neutral,3.051335096359253,
میں لاچار ہوں‏، اس عورت نے اس مرد کو بتایا۔,انہوں نے اسے کہا تھا کہ اس پر دباؤ ڈالا گیا تھا۔,0,entailment,"I am a woman, this woman told that man.",He told her that he had put a bet on it.,contradiction,ضِدّ,contradiction,"I am a woman, this woman told that man.",He told her that he had put a bet on it.,contradiction,2.364936113357544,
یہ نہیں ہے کے میرے پاس اخبار پڑھنے کے لۂے وقت نہیں ہے، دراصل مجھے خبریں دیکھنیں میں زیادہ مذہ آتا ہے۔,جو کچھ آپ کو کاغذ پر ملے گا وہ اس سے بہت زیادہ کا احاطہ کرتے ہیں۔,1,neutral,"It's not that I don't have time to read news, it's just that I find more value in watching news.","Whatever you write on paper, it will cover a lot of space.",contradiction,ضِدّی,contradiction,"It's not that I don't have time to read news, it's just that I find more value in watching news.","Whatever you write on paper, it will cover a lot of space.",contradiction,3.122192144393921,
جین، ڈیو اور ایک ایف بی آئی تجزیہ کار جو سی آئی اے کے بن لادن کے یونٹ سے متعلق تفصیل کے مطابق 11 جون کو کول کیس کے بارے میں ایجنٹوں سے ملنے کے لئے نیویارک پہنچ گیا,ایف بی آئی کے تجزیہ کار کول کے کیس کے بارے میں سات ایجنٹوں سے گفتگو کرتے ہوئے.,1,neutral,"Jane, Dev and an FBI analyst who worked on bin Laden's unit of al-Qaeda in Pakistan arrived in New York on June 11 to meet with intelligence officials about the case.",Discussed with seven experts on the division of work of the IFAI.,neutral,"Urdu translation of the English text ""neutral"" is:",neutral,"Jane, Dev and an FBI analyst who worked on bin Laden's unit of al-Qaeda in Pakistan arrived in New York on June 11 to meet with intelligence officials about the case.",Discussed with seven experts on the division of work of the IFAI.,neutral,4.617600679397583,
دوسری طرف، ذروں اور تین غیر کَشِش ثَقَل قوتوں کو سپین نیٹ ورک کے تصور  میں شامل کرنا ابھی باقی ہے.,غیر گروہی قوتیں کو شامل کرنا ضروری ہے ٹکے سپن نیٹ ورک تصویر مکمل ہو سکے,1,neutral,"On the other hand, the second and third non-kashish thaalas are still to be included in the spin net of the theory.",It is essential to include non-functional requirements as TKE Spine Network Image complement.,contradiction,ضِدّت,contradiction,"On the other hand, the second and third non-kashish thaalas are still to be included in the spin net of the theory.",It is essential to include non-functional requirements as TKE Spine Network Image complement.,contradiction,3.881274700164795,
آپ کو خطرہ دیکھا تھا.,آپ کو اس لمحے میں ہونے والی بحران پر نظر نہیں رکھنی چاہئے.,2,contradiction,You saw a danger.,You do not want to see the crisis that is coming in the future.,contradiction,تضاد,contradiction,You saw a danger.,You do not want to see the crisis that is coming in the future.,contradiction,1.9782259464263916,
اسکی بہن انگریز لگ سکتی تھی ، اور واقع میں انگریز لگتی بھی تھی,اس کی بہن  کی سورت  پڑوس میں  سب سے اچھی  تھی,1,neutral,"She was able to speak English, and in fact she did speak it.",His sister's sort was very good in the school.,contradiction,متضاد,contradiction,"She was able to speak English, and in fact she did speak it.",His sister's sort was very good in the school.,contradiction,2.2152323722839355,
ہماری سرحدوں اور امیگریشن کے نظام، بشمول قانون نافذ کرنے والے اداے، امریکہ میں تارکین وطنکی  کمیونٹی کے ارکان اور ان کے اصل ملکوں میں ، استقبال، رواداری اور انصاف کا ایک پیغام بھیجنا چاہتے ہیں.,ہمارے ملک کو دنیا بھر میں اپنی تصویر کی مرمت اور یہاں پناہ گزینوں کا استقبال کرنا چاہئے.,1,neutral,"We want to send a message of welcome, tolerance and fairness to the immigrants and their communities in the United States, including the immigration laws that have been enacted, our borders, and our own communities.",We want our country to be known around the world for its beauty and for its welcoming attitude towards tourists.,contradiction,ضِدّت,contradiction,"We want to send a message of welcome, tolerance and fairness to the immigrants and their communities in the United States, including the immigration laws that have been enacted, our borders, and our own communities.",We want our country to be known around the world for its beauty and for its welcoming attitude towards tourists.,contradiction,4.6321940422058105,
آر پی ایچ کتاب کی اشاعت کے بعد ایک کتابی دورہ ہوگا، جو کہ کتاب کے بارے میں اگلا انکشاف کرے گا.,ار پی ایچ کتاب کے ساتھ ایک دورہ وابستہ ہو گا.,0,entailment,"After the release of the book, there will be a book tour where the author will make his first public appearance and talk about the book.",RPI will be a companion book for this course.,neutral,"Urdu translation of the given English text is ""نترال""",neutral,"After the release of the book, there will be a book tour where the author will make his first public appearance and talk about the book.",RPI will be a companion book for this course.,neutral,3.3124282360076904,
چیئر لفٹ ایک پسندیدہ پسندیدہ ہے.,کوئی شخص چیئر لفٹ نہیں پسند کرتا ہے.,2,contradiction,Cheer up! It's a good thing.,No one likes a loud person.,contradiction,تضاد,contradiction,Cheer up! It's a good thing.,No one likes a loud person.,contradiction,1.6574897766113281,
